,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1719.1414977380523,1000.0
1,1.0,0.01,1.0,1694.827432846964,1000.0
2,1.0,0.01,2.0,1726.0008145340096,1000.0
3,1.0,0.01,3.0,111.11360287065443,109.0
4,1.0,0.01,4.0,259.1918392563653,174.0
5,1.0,0.01,5.0,281.479900521931,198.0
6,1.0,0.01,6.0,1716.158583588221,1000.0
7,1.0,0.01,7.0,1671.9375754162659,1000.0
8,1.0,0.01,8.0,1706.6932279649257,1000.0
9,1.0,0.01,9.0,1722.067142300084,1000.0
10,1.0,0.07,0.0,148.89156482585716,115.0
11,1.0,0.07,1.0,156.15028958471268,112.0
12,1.0,0.07,2.0,277.4225490315642,195.0
13,1.0,0.07,3.0,270.42145765732306,183.0
14,1.0,0.07,4.0,122.32403873794607,103.0
15,1.0,0.07,5.0,247.77182878381396,167.0
16,1.0,0.07,6.0,159.76636875242508,114.0
17,1.0,0.07,7.0,240.7931990243703,175.0
18,1.0,0.07,8.0,441.1365408846042,288.0
19,1.0,0.07,9.0,191.27383409512743,131.0
20,1.0,0.13,0.0,122.38609431994627,107.0
21,1.0,0.13,1.0,167.98849466300555,137.0
22,1.0,0.13,2.0,126.80830939680622,107.0
23,1.0,0.13,3.0,146.5294803838317,105.0
24,1.0,0.13,4.0,101.30977877909345,95.0
25,1.0,0.13,5.0,131.9090049092486,98.0
26,1.0,0.13,6.0,131.52125822558776,105.0
27,1.0,0.13,7.0,151.88114107746654,127.0
28,1.0,0.13,8.0,196.9167436549519,150.0
29,1.0,0.13,9.0,133.47644285392093,101.0
30,1.0,0.19000000000000003,0.0,83.27284187252127,79.0
31,1.0,0.19000000000000003,1.0,119.32762049321519,119.0
32,1.0,0.19000000000000003,2.0,138.31607552818406,113.0
33,1.0,0.19000000000000003,3.0,146.46929268158775,123.0
34,1.0,0.19000000000000003,4.0,58.00001383660416,60.0
35,1.0,0.19000000000000003,5.0,51.712789682654055,58.0
36,1.0,0.19000000000000003,6.0,112.91782986809446,88.0
37,1.0,0.19000000000000003,7.0,129.60472723610613,101.0
38,1.0,0.19000000000000003,8.0,133.62952743641753,108.0
39,1.0,0.19000000000000003,9.0,59.001333267632106,61.0
40,1.0,0.25,0.0,94.55468291782668,80.0
41,1.0,0.25,1.0,100.10597503587388,108.0
42,1.0,0.25,2.0,110.00216475932889,95.0
43,1.0,0.25,3.0,65.93271195787302,68.0
44,1.0,0.25,4.0,63.83997395509047,69.0
45,1.0,0.25,5.0,60.15947913729734,71.0
46,1.0,0.25,6.0,101.02165082827052,89.0
47,1.0,0.25,7.0,66.96875019208305,65.0
48,1.0,0.25,8.0,109.01846235476187,121.0
49,1.0,0.25,9.0,44.96432631381665,61.0
50,1.0,0.31000000000000005,0.0,49.451760372259,73.0
51,1.0,0.31000000000000005,1.0,10.726763637134233,72.0
52,1.0,0.31000000000000005,2.0,73.42935438745961,84.0
53,1.0,0.31000000000000005,3.0,54.53028207355879,76.0
54,1.0,0.31000000000000005,4.0,77.87321274946673,73.0
55,1.0,0.31000000000000005,5.0,61.6029833830265,75.0
56,1.0,0.31000000000000005,6.0,56.494810175243714,57.0
57,1.0,0.31000000000000005,7.0,43.72669754538153,55.0
58,1.0,0.31000000000000005,8.0,131.65080721967425,119.0
59,1.0,0.31000000000000005,9.0,64.80217563855712,67.0
60,1.0,0.37000000000000005,0.0,40.999458067276,62.0
61,1.0,0.37000000000000005,1.0,31.200093316371827,72.0
62,1.0,0.37000000000000005,2.0,45.652763397077045,69.0
63,1.0,0.37000000000000005,3.0,61.00691362917848,80.0
64,1.0,0.37000000000000005,4.0,56.1725442465233,65.0
65,1.0,0.37000000000000005,5.0,28.903605211916666,47.0
66,1.0,0.37000000000000005,6.0,56.35316965351233,73.0
67,1.0,0.37000000000000005,7.0,16.551818501042508,48.0
68,1.0,0.37000000000000005,8.0,127.68741444163513,104.0
69,1.0,0.37000000000000005,9.0,81.15372463923403,100.0
70,1.0,0.43000000000000005,0.0,41.977212765075116,63.0
71,1.0,0.43000000000000005,1.0,13.436263621528893,58.0
72,1.0,0.43000000000000005,2.0,61.80657409187659,72.0
73,1.0,0.43000000000000005,3.0,77.58465143509639,73.0
74,1.0,0.43000000000000005,4.0,49.95238687835421,61.0
75,1.0,0.43000000000000005,5.0,18.4047981220679,27.0
76,1.0,0.43000000000000005,6.0,5.76128013524654,54.0
77,1.0,0.43000000000000005,7.0,54.84742484477551,70.0
78,1.0,0.43000000000000005,8.0,48.46632146703271,77.0
79,1.0,0.43000000000000005,9.0,22.265488110059504,68.0
80,1.0,0.49000000000000005,0.0,2.997880701584087,41.0
81,1.0,0.49000000000000005,1.0,7.460570235102436,65.0
82,1.0,0.49000000000000005,2.0,74.4222430633406,73.0
83,1.0,0.49000000000000005,3.0,60.841471296256884,56.0
84,1.0,0.49000000000000005,4.0,43.915408613191126,52.0
85,1.0,0.49000000000000005,5.0,11.360384590932552,30.0
86,1.0,0.49000000000000005,6.0,14.148424375594354,34.0
87,1.0,0.49000000000000005,7.0,30.337873059961947,53.0
88,1.0,0.49000000000000005,8.0,56.532402065642856,65.0
