,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1999.2566540653854,1000.0
1,1.0,0.01,1.0,2003.6634686052942,1000.0
2,1.0,0.01,2.0,1994.2724894120997,1000.0
3,1.0,0.01,3.0,2040.7627715562453,1000.0
4,1.0,0.01,4.0,1998.4226025869157,1000.0
5,1.0,0.01,5.0,1992.4701215234404,1000.0
6,1.0,0.01,6.0,36.48095376019644,97.0
7,1.0,0.01,7.0,2025.0126910242145,1000.0
8,1.0,0.01,8.0,1831.226815416175,1000.0
9,1.0,0.01,9.0,100.16271090918912,104.0
10,1.0,0.07,0.0,1916.827767558945,1000.0
11,1.0,0.07,1.0,1943.4164732539027,1000.0
12,1.0,0.07,2.0,1941.7510533714033,1000.0
13,1.0,0.07,3.0,1975.1359614148946,1000.0
14,1.0,0.07,4.0,1937.3351202709055,1000.0
15,1.0,0.07,5.0,1918.9102128946433,1000.0
16,1.0,0.07,6.0,3.1242565529000554,80.0
17,1.0,0.07,7.0,1911.7416321524913,1000.0
18,1.0,0.07,8.0,-15.197383822526504,77.0
19,1.0,0.07,9.0,1793.6881092790718,1000.0
20,1.0,0.13,0.0,1462.1931535697252,910.0
21,1.0,0.13,1.0,1806.691040731718,1000.0
22,1.0,0.13,2.0,1710.8564310795405,1000.0
23,1.0,0.13,3.0,901.3133971025818,498.0
24,1.0,0.13,4.0,1833.0390548434661,1000.0
25,1.0,0.13,5.0,1668.9594536695975,926.0
26,1.0,0.13,6.0,8.34239346174396,94.0
27,1.0,0.13,7.0,664.20489874839,368.0
28,1.0,0.13,8.0,-73.05372519765079,53.0
29,1.0,0.13,9.0,20.250465780039328,105.0
30,1.0,0.19000000000000003,0.0,599.7241949127636,364.0
31,1.0,0.19000000000000003,1.0,479.60490086433043,273.0
32,1.0,0.19000000000000003,2.0,504.3671244981437,328.0
33,1.0,0.19000000000000003,3.0,124.87690988261303,81.0
34,1.0,0.19000000000000003,4.0,729.6513498079767,439.0
35,1.0,0.19000000000000003,5.0,671.3165362825421,414.0
36,1.0,0.19000000000000003,6.0,33.04010494030718,81.0
37,1.0,0.19000000000000003,7.0,272.49266795959267,184.0
38,1.0,0.19000000000000003,8.0,-14.094010558907444,57.0
39,1.0,0.19000000000000003,9.0,24.14897654716195,101.0
40,1.0,0.25,0.0,292.86774688520995,213.0
41,1.0,0.25,1.0,400.49187144072516,277.0
42,1.0,0.25,2.0,287.2824650565835,218.0
43,1.0,0.25,3.0,110.19438724506526,74.0
44,1.0,0.25,4.0,436.193168575808,280.0
45,1.0,0.25,5.0,175.76985526161104,184.0
46,1.0,0.25,6.0,26.888133643728747,81.0
47,1.0,0.25,7.0,187.2066444856884,125.0
48,1.0,0.25,8.0,-129.9142750880796,63.0
49,1.0,0.25,9.0,69.23688517767557,74.0
50,1.0,0.31000000000000005,0.0,209.79461160237037,168.0
51,1.0,0.31000000000000005,1.0,88.63731119456038,108.0
52,1.0,0.31000000000000005,2.0,355.44173786683245,263.0
53,1.0,0.31000000000000005,3.0,42.603669030848565,50.0
54,1.0,0.31000000000000005,4.0,130.2019441980722,96.0
55,1.0,0.31000000000000005,5.0,162.53160728851734,137.0
56,1.0,0.31000000000000005,6.0,53.46570269304868,75.0
57,1.0,0.31000000000000005,7.0,129.79895503455333,89.0
58,1.0,0.31000000000000005,8.0,-96.8976099118684,51.0
59,1.0,0.31000000000000005,9.0,78.34133785635836,74.0
60,1.0,0.37000000000000005,0.0,91.22113408466585,79.0
61,1.0,0.37000000000000005,1.0,80.69419453733758,85.0
62,1.0,0.37000000000000005,2.0,135.7838877225569,134.0
63,1.0,0.37000000000000005,3.0,18.688712577795616,39.0
64,1.0,0.37000000000000005,4.0,145.55715530384614,108.0
65,1.0,0.37000000000000005,5.0,143.98113694758274,101.0
66,1.0,0.37000000000000005,6.0,15.458718496214901,49.0
67,1.0,0.37000000000000005,7.0,190.65919507862282,152.0
68,1.0,0.37000000000000005,8.0,-35.209872541393956,49.0
69,1.0,0.37000000000000005,9.0,47.872601696992525,61.0
70,1.0,0.43000000000000005,0.0,200.78465374103422,123.0
71,1.0,0.43000000000000005,1.0,267.10755175772454,191.0
72,1.0,0.43000000000000005,2.0,206.60392243312626,171.0
73,1.0,0.43000000000000005,3.0,22.081899269843884,37.0
74,1.0,0.43000000000000005,4.0,237.0751813275791,180.0
75,1.0,0.43000000000000005,5.0,111.72837564848423,81.0
76,1.0,0.43000000000000005,6.0,-14.66667359910073,45.0
77,1.0,0.43000000000000005,7.0,139.02096037014573,97.0
78,1.0,0.43000000000000005,8.0,-56.977957673449865,41.0
79,1.0,0.43000000000000005,9.0,31.819689337069295,47.0
80,1.0,0.49000000000000005,0.0,99.78062943234902,90.0
81,1.0,0.49000000000000005,1.0,37.94471496864619,53.0
82,1.0,0.49000000000000005,2.0,91.1892637744874,72.0
83,1.0,0.49000000000000005,3.0,12.772517688701388,37.0
84,1.0,0.49000000000000005,4.0,35.312143321924935,56.0
85,1.0,0.49000000000000005,5.0,107.92556150935756,85.0
86,1.0,0.49000000000000005,6.0,-11.40064238187059,22.0
87,1.0,0.49000000000000005,7.0,106.64885612503377,91.0
88,1.0,0.49000000000000005,8.0,-1.9915109319937283,33.0
89,1.0,0.49000000000000005,9.0,14.0072872653625,45.0
90,1.0,0.55,0.0,127.46251476659852,131.0
91,1.0,0.55,1.0,59.63651762572112,51.0
92,1.0,0.55,2.0,55.24161945893155,59.0
93,1.0,0.55,3.0,20.8923578901204,40.0
94,1.0,0.55,4.0,19.900712783742687,95.0
95,1.0,0.55,5.0,65.00310134040993,58.0
96,1.0,0.55,6.0,-18.179297944421364,58.0
97,1.0,0.55,7.0,58.81573395549883,62.0
98,1.0,0.55,8.0,9.85411249485592,38.0
99,1.0,0.55,9.0,37.70854833851752,46.0
100,2.0,0.01,0.0,2001.5925808178697,1000.0
101,2.0,0.01,1.0,2015.0608049616726,1000.0
102,2.0,0.01,2.0,2001.991980628763,1000.0
103,2.0,0.01,3.0,2014.2653162892009,1000.0
104,2.0,0.01,4.0,2011.2725467850935,1000.0
105,2.0,0.01,5.0,2008.7546363368754,1000.0
106,2.0,0.01,6.0,36.58556955493957,120.0
107,2.0,0.01,7.0,2018.1058121252295,1000.0
108,2.0,0.01,8.0,1842.9021601128836,1000.0
109,2.0,0.01,9.0,1940.2240854293054,1000.0
110,2.0,0.07,0.0,301.10865522440406,185.0
111,2.0,0.07,1.0,1914.5916450001432,1000.0
112,2.0,0.07,2.0,1934.0382894638733,1000.0
113,2.0,0.07,3.0,1968.397141119403,1000.0
114,2.0,0.07,4.0,1922.44768267775,1000.0
115,2.0,0.07,5.0,1867.3809816768185,1000.0
116,2.0,0.07,6.0,79.37058191493662,85.0
117,2.0,0.07,7.0,1847.1708453478393,1000.0
118,2.0,0.07,8.0,1810.88549983501,1000.0
119,2.0,0.07,9.0,57.63559111925427,89.0
120,2.0,0.13,0.0,475.8833751985288,352.0
121,2.0,0.13,1.0,814.954030369993,452.0
122,2.0,0.13,2.0,900.3214715869028,551.0
123,2.0,0.13,3.0,1726.0005038872548,1000.0
124,2.0,0.13,4.0,1267.2090272381965,715.0
125,2.0,0.13,5.0,267.298087959619,209.0
126,2.0,0.13,6.0,24.271359654441287,65.0
127,2.0,0.13,7.0,839.602189318616,477.0
128,2.0,0.13,8.0,-164.97975542474387,47.0
129,2.0,0.13,9.0,45.263181649722235,81.0
130,2.0,0.19000000000000003,0.0,83.7166076984263,83.0
131,2.0,0.19000000000000003,1.0,301.11920834313867,200.0
132,2.0,0.19000000000000003,2.0,217.52691930691722,151.0
133,2.0,0.19000000000000003,3.0,126.9842970960258,76.0
134,2.0,0.19000000000000003,4.0,443.93056117294145,254.0
135,2.0,0.19000000000000003,5.0,155.17834788631902,111.0
136,2.0,0.19000000000000003,6.0,1.4648995016337025,46.0
137,2.0,0.19000000000000003,7.0,292.02806980494495,172.0
138,2.0,0.19000000000000003,8.0,-50.31777911741243,64.0
139,2.0,0.19000000000000003,9.0,60.44986937806807,68.0
140,2.0,0.25,0.0,51.519654336659585,96.0
141,2.0,0.25,1.0,99.6015037350319,140.0
142,2.0,0.25,2.0,167.38680658817245,113.0
143,2.0,0.25,3.0,70.02489019721456,64.0
144,2.0,0.25,4.0,172.09898350270873,138.0
145,2.0,0.25,5.0,145.96064837397049,97.0
146,2.0,0.25,6.0,5.597041910182373,48.0
147,2.0,0.25,7.0,189.86073467466568,146.0
148,2.0,0.25,8.0,-128.71814036426355,44.0
149,2.0,0.25,9.0,49.857775897936605,62.0
150,2.0,0.31000000000000005,0.0,64.6213439356105,78.0
151,2.0,0.31000000000000005,1.0,118.99069865400337,85.0
152,2.0,0.31000000000000005,2.0,238.54554591049532,182.0
153,2.0,0.31000000000000005,3.0,92.08031925979346,64.0
154,2.0,0.31000000000000005,4.0,118.30144265955064,106.0
155,2.0,0.31000000000000005,5.0,47.341875855169754,57.0
156,2.0,0.31000000000000005,6.0,31.34374316287366,55.0
157,2.0,0.31000000000000005,7.0,47.00120429407154,52.0
158,2.0,0.31000000000000005,8.0,-51.63551069108939,45.0
159,2.0,0.31000000000000005,9.0,36.297363208420315,65.0
160,2.0,0.37000000000000005,0.0,33.92661415966721,83.0
161,2.0,0.37000000000000005,1.0,87.86225918652232,76.0
162,2.0,0.37000000000000005,2.0,85.35492775601853,68.0
163,2.0,0.37000000000000005,3.0,80.06924904565606,62.0
164,2.0,0.37000000000000005,4.0,74.62017196235614,92.0
165,2.0,0.37000000000000005,5.0,51.88491001916284,49.0
166,2.0,0.37000000000000005,6.0,29.918681166224097,51.0
167,2.0,0.37000000000000005,7.0,11.313118311605848,40.0
168,2.0,0.37000000000000005,8.0,-100.1562718391344,31.0
169,2.0,0.37000000000000005,9.0,37.97711869688318,50.0
170,2.0,0.43000000000000005,0.0,47.79495605003727,94.0
171,2.0,0.43000000000000005,1.0,88.40916642681405,74.0
172,2.0,0.43000000000000005,2.0,57.976214450301285,63.0
173,2.0,0.43000000000000005,3.0,61.33958514862372,68.0
174,2.0,0.43000000000000005,4.0,36.50246535885966,70.0
175,2.0,0.43000000000000005,5.0,26.997945667203513,44.0
176,2.0,0.43000000000000005,6.0,28.973696308988295,48.0
177,2.0,0.43000000000000005,7.0,55.53337566412994,54.0
178,2.0,0.43000000000000005,8.0,-37.250806465057046,27.0
179,2.0,0.43000000000000005,9.0,29.403883195088344,49.0
180,2.0,0.49000000000000005,0.0,36.64201845035957,83.0
181,2.0,0.49000000000000005,1.0,69.44131573406557,71.0
182,2.0,0.49000000000000005,2.0,63.879236168137375,68.0
183,2.0,0.49000000000000005,3.0,67.98456244622115,67.0
184,2.0,0.49000000000000005,4.0,-22.213081687336302,59.0
185,2.0,0.49000000000000005,5.0,21.340710264807004,34.0
186,2.0,0.49000000000000005,6.0,-13.04559059001315,46.0
187,2.0,0.49000000000000005,7.0,30.025551367111362,64.0
188,2.0,0.49000000000000005,8.0,-84.62793554105022,26.0
189,2.0,0.49000000000000005,9.0,20.601248743544527,50.0
190,2.0,0.55,0.0,23.348604254872548,67.0
191,2.0,0.55,1.0,62.56152384029912,68.0
192,2.0,0.55,2.0,27.696314100380587,60.0
193,2.0,0.55,3.0,71.55241314607211,69.0
194,2.0,0.55,4.0,-34.41863222341047,59.0
195,2.0,0.55,5.0,14.768713726877412,28.0
196,2.0,0.55,6.0,-2.4912845396416414,39.0
197,2.0,0.55,7.0,-3.3143129224282624,56.0
198,2.0,0.55,8.0,-44.23053701342347,20.0
199,2.0,0.55,9.0,22.824558824816446,43.0
200,3.0,0.01,0.0,1999.1229626755783,1000.0
201,3.0,0.01,1.0,2018.6259943866892,1000.0
202,3.0,0.01,2.0,1988.831936685667,1000.0
203,3.0,0.01,3.0,2022.4658490316158,1000.0
204,3.0,0.01,4.0,1999.9969997952508,1000.0
205,3.0,0.01,5.0,2021.0566353368458,1000.0
206,3.0,0.01,6.0,9.02411657342049,92.0
207,3.0,0.01,7.0,2017.7288344486542,1000.0
208,3.0,0.01,8.0,-5.222686785817151,56.0
209,3.0,0.01,9.0,1949.5230845947565,1000.0
210,3.0,0.07,0.0,1787.5480679540738,1000.0
211,3.0,0.07,1.0,1884.35806410579,1000.0
212,3.0,0.07,2.0,1868.16247656185,1000.0
213,3.0,0.07,3.0,1918.4842080546039,1000.0
214,3.0,0.07,4.0,1893.519356779889,1000.0
215,3.0,0.07,5.0,1932.9696764545665,1000.0
216,3.0,0.07,6.0,18.248543798040092,74.0
217,3.0,0.07,7.0,1919.9954500082235,1000.0
218,3.0,0.07,8.0,-61.19845902097886,48.0
219,3.0,0.07,9.0,62.29607318109469,72.0
220,3.0,0.13,0.0,57.85397278842431,88.0
221,3.0,0.13,1.0,1469.9049669393112,854.0
222,3.0,0.13,2.0,588.6992288051734,334.0
223,3.0,0.13,3.0,1546.9664028229452,932.0
224,3.0,0.13,4.0,713.7837492652559,454.0
225,3.0,0.13,5.0,175.21912293619403,124.0
226,3.0,0.13,6.0,-15.916307908899261,95.0
227,3.0,0.13,7.0,1124.7411748441134,645.0
228,3.0,0.13,8.0,-109.50162253484807,73.0
229,3.0,0.13,9.0,58.81092707489684,69.0
230,3.0,0.19000000000000003,0.0,72.4041098977345,76.0
231,3.0,0.19000000000000003,1.0,253.50631869942262,149.0
232,3.0,0.19000000000000003,2.0,419.0060943276138,317.0
233,3.0,0.19000000000000003,3.0,137.82129514361327,89.0
234,3.0,0.19000000000000003,4.0,275.80323458660797,156.0
235,3.0,0.19000000000000003,5.0,114.86217238355849,72.0
236,3.0,0.19000000000000003,6.0,23.775188083022556,68.0
237,3.0,0.19000000000000003,7.0,288.66457463835195,181.0
238,3.0,0.19000000000000003,8.0,-157.78814941249055,58.0
239,3.0,0.19000000000000003,9.0,52.061443470791296,62.0
240,3.0,0.25,0.0,11.336800299197721,57.0
241,3.0,0.25,1.0,157.85604169679308,111.0
242,3.0,0.25,2.0,101.80448061077465,84.0
243,3.0,0.25,3.0,119.90086683268296,85.0
244,3.0,0.25,4.0,214.3847681299916,140.0
245,3.0,0.25,5.0,70.36653114528771,52.0
246,3.0,0.25,6.0,23.300807166074815,51.0
247,3.0,0.25,7.0,30.25892506873836,52.0
248,3.0,0.25,8.0,-124.17971901472362,44.0
249,3.0,0.25,9.0,46.77518620996032,62.0
250,3.0,0.31000000000000005,0.0,49.63367532200368,51.0
251,3.0,0.31000000000000005,1.0,51.41182593713908,65.0
252,3.0,0.31000000000000005,2.0,29.44878278165102,81.0
253,3.0,0.31000000000000005,3.0,119.19101987635639,91.0
254,3.0,0.31000000000000005,4.0,68.86421726042704,52.0
255,3.0,0.31000000000000005,5.0,60.72777888982267,49.0
256,3.0,0.31000000000000005,6.0,21.749325323805312,63.0
257,3.0,0.31000000000000005,7.0,23.014797912568078,40.0
258,3.0,0.31000000000000005,8.0,-88.19462358940557,37.0
259,3.0,0.31000000000000005,9.0,40.34915387422613,60.0
260,3.0,0.37000000000000005,0.0,19.412361673593118,28.0
261,3.0,0.37000000000000005,1.0,105.52244951738082,101.0
262,3.0,0.37000000000000005,2.0,72.61399790064588,77.0
263,3.0,0.37000000000000005,3.0,80.0864738969287,73.0
264,3.0,0.37000000000000005,4.0,67.86278381318546,52.0
265,3.0,0.37000000000000005,5.0,43.90980955012257,52.0
266,3.0,0.37000000000000005,6.0,-2.759570043618079,44.0
267,3.0,0.37000000000000005,7.0,60.08678715414872,66.0
268,3.0,0.37000000000000005,8.0,-60.603176137980256,26.0
269,3.0,0.37000000000000005,9.0,28.71993288519406,56.0
270,3.0,0.43000000000000005,0.0,8.404813195729906,26.0
271,3.0,0.43000000000000005,1.0,5.161228699431085,54.0
272,3.0,0.43000000000000005,2.0,26.131443997607366,50.0
273,3.0,0.43000000000000005,3.0,35.69844258196253,43.0
274,3.0,0.43000000000000005,4.0,37.45782176096966,37.0
275,3.0,0.43000000000000005,5.0,28.49245923334877,58.0
276,3.0,0.43000000000000005,6.0,-25.033958828702147,41.0
277,3.0,0.43000000000000005,7.0,42.30351964899439,60.0
278,3.0,0.43000000000000005,8.0,-62.653647097136165,25.0
279,3.0,0.43000000000000005,9.0,29.04859211680399,47.0
280,3.0,0.49000000000000005,0.0,5.731024196675412,24.0
281,3.0,0.49000000000000005,1.0,15.091526933119072,47.0
282,3.0,0.49000000000000005,2.0,7.7542612209139365,27.0
283,3.0,0.49000000000000005,3.0,17.778407752377735,37.0
284,3.0,0.49000000000000005,4.0,39.21755169437046,50.0
285,3.0,0.49000000000000005,5.0,-24.165628204601433,49.0
286,3.0,0.49000000000000005,6.0,-10.487368108519455,38.0
287,3.0,0.49000000000000005,7.0,3.0068815263056865,64.0
288,3.0,0.49000000000000005,8.0,-65.97458687807851,21.0
289,3.0,0.49000000000000005,9.0,-1.5956776644381119,22.0
290,3.0,0.55,0.0,13.805147744347485,23.0
291,3.0,0.55,1.0,-3.429895573032454,30.0
292,3.0,0.55,2.0,-3.120554342184616,41.0
293,3.0,0.55,3.0,38.612952937362756,53.0
294,3.0,0.55,4.0,31.893676436418723,44.0
295,3.0,0.55,5.0,-10.913125039525504,30.0
296,3.0,0.55,6.0,-20.883425229268603,39.0
297,3.0,0.55,7.0,-16.482702333776448,68.0
298,3.0,0.55,8.0,-67.8948464599936,21.0
299,3.0,0.55,9.0,-3.020535323979761,21.0
300,4.0,0.01,0.0,1992.9141098623925,1000.0
301,4.0,0.01,1.0,2008.4259542142402,1000.0
302,4.0,0.01,2.0,1992.5070885491666,1000.0
303,4.0,0.01,3.0,2028.8164958754498,1000.0
304,4.0,0.01,4.0,1996.9468121009495,1000.0
305,4.0,0.01,5.0,2009.7584691719605,1000.0
306,4.0,0.01,6.0,47.95107465663355,94.0
307,4.0,0.01,7.0,2019.871623565807,1000.0
308,4.0,0.01,8.0,29.033293653754484,105.0
309,4.0,0.01,9.0,1924.5388505896194,1000.0
310,4.0,0.07,0.0,1599.0835109813886,918.0
311,4.0,0.07,1.0,1815.8379000737536,1000.0
312,4.0,0.07,2.0,278.0043460694838,160.0
313,4.0,0.07,3.0,1180.5693388992622,667.0
314,4.0,0.07,4.0,1837.1525482859734,1000.0
315,4.0,0.07,5.0,1899.0220909463335,1000.0
316,4.0,0.07,6.0,0.5231698066089664,155.0
317,4.0,0.07,7.0,1858.7403638497256,1000.0
318,4.0,0.07,8.0,-88.72128284266522,47.0
319,4.0,0.07,9.0,1747.1889977477379,1000.0
320,4.0,0.13,0.0,638.6475556591707,411.0
321,4.0,0.13,1.0,531.1093460301886,324.0
322,4.0,0.13,2.0,250.12711012071844,164.0
323,4.0,0.13,3.0,202.7185122612916,122.0
324,4.0,0.13,4.0,494.01004860888713,291.0
325,4.0,0.13,5.0,135.8603588860155,94.0
326,4.0,0.13,6.0,-8.682505639629372,127.0
327,4.0,0.13,7.0,383.1188066097107,230.0
328,4.0,0.13,8.0,-153.47430940068648,72.0
329,4.0,0.13,9.0,67.376723566699,112.0
330,4.0,0.19000000000000003,0.0,203.66803789609253,160.0
331,4.0,0.19000000000000003,1.0,142.56391936039384,145.0
332,4.0,0.19000000000000003,2.0,164.30817562367312,130.0
333,4.0,0.19000000000000003,3.0,238.24834581469554,140.0
334,4.0,0.19000000000000003,4.0,193.07452639263926,136.0
335,4.0,0.19000000000000003,5.0,122.97608970972954,73.0
336,4.0,0.19000000000000003,6.0,0.7683294443845647,73.0
337,4.0,0.19000000000000003,7.0,468.50400236561063,278.0
338,4.0,0.19000000000000003,8.0,-129.6532262083509,51.0
339,4.0,0.19000000000000003,9.0,50.274977365311514,77.0
340,4.0,0.25,0.0,43.61440706748921,85.0
341,4.0,0.25,1.0,29.796330015583365,76.0
342,4.0,0.25,2.0,122.84197074645971,94.0
343,4.0,0.25,3.0,91.2413835017564,95.0
344,4.0,0.25,4.0,107.34609505770769,89.0
345,4.0,0.25,5.0,73.89423048892354,53.0
346,4.0,0.25,6.0,21.99693753722908,73.0
347,4.0,0.25,7.0,112.34820843009054,84.0
348,4.0,0.25,8.0,-144.43085033989507,39.0
349,4.0,0.25,9.0,50.3722143631116,74.0
350,4.0,0.31000000000000005,0.0,13.17334762836714,38.0
351,4.0,0.31000000000000005,1.0,57.69649798459523,77.0
352,4.0,0.31000000000000005,2.0,35.45113729761295,71.0
353,4.0,0.31000000000000005,3.0,100.72031235538746,105.0
354,4.0,0.31000000000000005,4.0,73.28699625361918,57.0
355,4.0,0.31000000000000005,5.0,47.21621626684647,48.0
356,4.0,0.31000000000000005,6.0,50.57410296838393,67.0
357,4.0,0.31000000000000005,7.0,59.76237629195495,57.0
358,4.0,0.31000000000000005,8.0,-78.82791688884711,36.0
359,4.0,0.31000000000000005,9.0,40.91662277024202,64.0
360,4.0,0.37000000000000005,0.0,0.5986224341036506,38.0
361,4.0,0.37000000000000005,1.0,34.30318147151961,56.0
362,4.0,0.37000000000000005,2.0,22.33206527103114,44.0
363,4.0,0.37000000000000005,3.0,37.22292341653696,47.0
364,4.0,0.37000000000000005,4.0,51.57188875881553,44.0
365,4.0,0.37000000000000005,5.0,30.057853746698314,44.0
366,4.0,0.37000000000000005,6.0,88.44795983858943,95.0
367,4.0,0.37000000000000005,7.0,15.08070767806206,48.0
368,4.0,0.37000000000000005,8.0,-62.09605756649002,27.0
369,4.0,0.37000000000000005,9.0,49.85318671925697,56.0
370,4.0,0.43000000000000005,0.0,18.259256041945687,27.0
371,4.0,0.43000000000000005,1.0,-22.35428952990228,62.0
372,4.0,0.43000000000000005,2.0,4.036312357087865,27.0
373,4.0,0.43000000000000005,3.0,16.3899877910189,37.0
374,4.0,0.43000000000000005,4.0,62.00513523875493,53.0
375,4.0,0.43000000000000005,5.0,3.3439161823962413,40.0
376,4.0,0.43000000000000005,6.0,17.417617312043554,45.0
377,4.0,0.43000000000000005,7.0,-89.72830528285871,57.0
378,4.0,0.43000000000000005,8.0,-51.68994487320707,21.0
379,4.0,0.43000000000000005,9.0,37.80176822032679,47.0
380,4.0,0.49000000000000005,0.0,14.501609862367134,24.0
381,4.0,0.49000000000000005,1.0,-13.763533405475568,50.0
382,4.0,0.49000000000000005,2.0,-3.0511344240124743,23.0
383,4.0,0.49000000000000005,3.0,-27.93547693759049,60.0
384,4.0,0.49000000000000005,4.0,11.409755291947075,37.0
385,4.0,0.49000000000000005,5.0,35.769430450933996,41.0
386,4.0,0.49000000000000005,6.0,-9.699141863108023,38.0
