,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1429.7948323122691,880.0
1,1.0,0.01,1.0,1492.2749972533275,898.0
2,1.0,0.01,2.0,369.1825357602793,259.0
3,1.0,0.01,3.0,403.1437855904587,1000.0
4,1.0,0.01,4.0,11.67524973867694,8.0
5,1.0,0.01,5.0,249.24094836714357,224.0
6,1.0,0.01,6.0,812.5119533228499,531.0
7,1.0,0.01,7.0,1639.4942908256926,1000.0
8,1.0,0.01,8.0,1632.8475834970595,1000.0
9,1.0,0.01,9.0,1637.7484864640064,1000.0
10,1.0,0.07,0.0,1585.5986032518995,1000.0
11,1.0,0.07,1.0,1602.411693297181,1000.0
12,1.0,0.07,2.0,239.7340628049933,171.0
13,1.0,0.07,3.0,1509.1742121938878,1000.0
14,1.0,0.07,4.0,11.457090185736888,8.0
15,1.0,0.07,5.0,-24.70606126426719,95.0
16,1.0,0.07,6.0,445.9360326479873,307.0
17,1.0,0.07,7.0,166.74039800150058,161.0
18,1.0,0.07,8.0,1576.1144047767812,1000.0
19,1.0,0.07,9.0,1058.877623878012,675.0
20,1.0,0.13,0.0,1203.3634826775815,812.0
21,1.0,0.13,1.0,137.30387716729456,120.0
22,1.0,0.13,2.0,509.4728139602885,343.0
23,1.0,0.13,3.0,158.41118251071748,139.0
24,1.0,0.13,4.0,233.07849974484998,189.0
25,1.0,0.13,5.0,165.28601810402324,145.0
26,1.0,0.13,6.0,410.6559963126274,287.0
27,1.0,0.13,7.0,815.8351915168823,540.0
28,1.0,0.13,8.0,1584.9819114152124,1000.0
29,1.0,0.13,9.0,490.2572605083333,343.0
30,1.0,0.19000000000000003,0.0,540.2495360115281,408.0
31,1.0,0.19000000000000003,1.0,354.7709213051421,261.0
32,1.0,0.19000000000000003,2.0,575.0060737233871,393.0
33,1.0,0.19000000000000003,3.0,607.3454139450187,435.0
34,1.0,0.19000000000000003,4.0,11.892067739740014,8.0
35,1.0,0.19000000000000003,5.0,-20.244352593312215,93.0
36,1.0,0.19000000000000003,6.0,358.3098305494059,265.0
37,1.0,0.19000000000000003,7.0,1501.7461116939812,1000.0
38,1.0,0.19000000000000003,8.0,380.8340279444383,283.0
39,1.0,0.19000000000000003,9.0,532.8456770409757,356.0
40,1.0,0.25,0.0,141.4608856744744,153.0
41,1.0,0.25,1.0,11.334051444617216,7.0
42,1.0,0.25,2.0,1162.618551587053,919.0
43,1.0,0.25,3.0,120.18940872980602,132.0
44,1.0,0.25,4.0,11.736121657078911,8.0
45,1.0,0.25,5.0,119.02601402327855,140.0
46,1.0,0.25,6.0,1361.3829869334368,1000.0
47,1.0,0.25,7.0,494.4565436380508,399.0
48,1.0,0.25,8.0,421.7109238196281,300.0
49,1.0,0.25,9.0,68.07311563650728,86.0
50,1.0,0.31000000000000005,0.0,67.48262472485658,82.0
51,1.0,0.31000000000000005,1.0,11.616350092750508,7.0
52,1.0,0.31000000000000005,2.0,240.92412645803415,218.0
53,1.0,0.31000000000000005,3.0,11.04751775933255,8.0
54,1.0,0.31000000000000005,4.0,11.686102401057724,8.0
55,1.0,0.31000000000000005,5.0,388.9401192314035,628.0
56,1.0,0.31000000000000005,6.0,171.2218739988748,204.0
57,1.0,0.31000000000000005,7.0,239.31995509358967,207.0
58,1.0,0.31000000000000005,8.0,182.53924634973373,163.0
59,1.0,0.31000000000000005,9.0,180.04804283536214,156.0
60,1.0,0.37000000000000005,0.0,93.86090206070367,116.0
61,1.0,0.37000000000000005,1.0,11.797077516464924,7.0
62,1.0,0.37000000000000005,2.0,151.9306971742044,128.0
63,1.0,0.37000000000000005,3.0,11.187748855423706,7.0
64,1.0,0.37000000000000005,4.0,11.832412854208087,8.0
65,1.0,0.37000000000000005,5.0,10.536078397002711,16.0
66,1.0,0.37000000000000005,6.0,592.1888949800559,483.0
67,1.0,0.37000000000000005,7.0,230.2033159685161,197.0
68,1.0,0.37000000000000005,8.0,147.17495865900128,148.0
69,1.0,0.37000000000000005,9.0,49.48663095421216,68.0
70,1.0,0.43000000000000005,0.0,41.80212543634116,70.0
71,1.0,0.43000000000000005,1.0,11.880285272789479,7.0
72,1.0,0.43000000000000005,2.0,248.86733869484306,226.0
73,1.0,0.43000000000000005,3.0,11.359328454724164,7.0
74,1.0,0.43000000000000005,4.0,11.86424456340319,8.0
75,1.0,0.43000000000000005,5.0,10.757516531732108,16.0
76,1.0,0.43000000000000005,6.0,10.820614302429021,15.0
77,1.0,0.43000000000000005,7.0,59.30130754029233,130.0
78,1.0,0.43000000000000005,8.0,232.11783520852623,225.0
79,1.0,0.43000000000000005,9.0,43.81293084222125,61.0
80,1.0,0.49000000000000005,0.0,110.87948033332941,120.0
81,1.0,0.49000000000000005,1.0,11.900618659499742,7.0
82,1.0,0.49000000000000005,2.0,102.3211150798088,101.0
83,1.0,0.49000000000000005,3.0,11.560474134348624,7.0
84,1.0,0.49000000000000005,4.0,11.92682459524076,8.0
85,1.0,0.49000000000000005,5.0,10.819278914372262,15.0
86,1.0,0.49000000000000005,6.0,10.877303592467797,15.0
87,1.0,0.49000000000000005,7.0,57.55365777492261,75.0
88,1.0,0.49000000000000005,8.0,297.96365109392354,286.0
89,1.0,0.49000000000000005,9.0,49.50278697774047,65.0
90,1.0,0.55,0.0,37.792445279090316,66.0
91,1.0,0.55,1.0,11.94563233054214,7.0
92,1.0,0.55,2.0,431.1306556871932,387.0
93,1.0,0.55,3.0,11.708839980317862,7.0
94,1.0,0.55,4.0,11.875653583178064,7.0
95,1.0,0.55,5.0,11.144254337799794,15.0
96,1.0,0.55,6.0,10.309507920777833,15.0
97,1.0,0.55,7.0,171.19776539740997,170.0
98,1.0,0.55,8.0,145.31482602659526,144.0
99,1.0,0.55,9.0,49.447184685115644,65.0
100,2.0,0.01,0.0,1429.836038674439,880.0
101,2.0,0.01,1.0,1492.2749972533275,898.0
102,2.0,0.01,2.0,369.1825357602793,259.0
103,2.0,0.01,3.0,403.1437855904587,1000.0
104,2.0,0.01,4.0,11.67524973867694,8.0
105,2.0,0.01,5.0,249.24094836714357,224.0
106,2.0,0.01,6.0,812.5119533228499,531.0
107,2.0,0.01,7.0,1639.4942908256926,1000.0
108,2.0,0.01,8.0,1632.8475834970595,1000.0
109,2.0,0.01,9.0,1637.7484864640064,1000.0
110,2.0,0.07,0.0,1585.5986032518995,1000.0
111,2.0,0.07,1.0,1602.411693297181,1000.0
112,2.0,0.07,2.0,239.7340628049933,171.0
113,2.0,0.07,3.0,1509.1742121938878,1000.0
114,2.0,0.07,4.0,11.457090185736888,8.0
115,2.0,0.07,5.0,-24.70606126426719,95.0
116,2.0,0.07,6.0,445.9360326479873,307.0
117,2.0,0.07,7.0,166.74039800150058,161.0
118,2.0,0.07,8.0,1576.1144047767812,1000.0
119,2.0,0.07,9.0,1058.877623878012,675.0
120,2.0,0.13,0.0,1203.3634826775815,812.0
121,2.0,0.13,1.0,137.30387716729456,120.0
122,2.0,0.13,2.0,509.4728139602885,343.0
123,2.0,0.13,3.0,158.41118251071748,139.0
124,2.0,0.13,4.0,233.07849974484998,189.0
125,2.0,0.13,5.0,165.28601810402324,145.0
126,2.0,0.13,6.0,410.6559963126274,287.0
127,2.0,0.13,7.0,815.8351915168823,540.0
128,2.0,0.13,8.0,1584.9819114152124,1000.0
