,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,219.35631342726546,128.0
1,1.0,0.01,1.0,252.34865953165715,147.0
2,1.0,0.01,2.0,246.92091327973756,141.0
3,1.0,0.01,3.0,152.05868977017235,137.0
4,1.0,0.01,4.0,216.78392086002864,118.0
5,1.0,0.01,5.0,220.81332377005168,135.0
6,1.0,0.01,6.0,188.25370692327854,118.0
7,1.0,0.01,7.0,142.216428751695,140.0
8,1.0,0.01,8.0,199.87759205229668,111.0
9,1.0,0.01,9.0,215.38765660810466,123.0
10,1.0,0.07,0.0,197.9642513814761,135.0
11,1.0,0.07,1.0,209.29368775653853,118.0
12,1.0,0.07,2.0,203.2659316480116,114.0
13,1.0,0.07,3.0,173.23961361831164,116.0
14,1.0,0.07,4.0,181.30955508639445,122.0
15,1.0,0.07,5.0,204.4811260792048,152.0
16,1.0,0.07,6.0,225.9880773578466,168.0
17,1.0,0.07,7.0,202.13373622336374,143.0
18,1.0,0.07,8.0,190.24370494611213,110.0
19,1.0,0.07,9.0,207.0750001281922,121.0
20,1.0,0.13,0.0,152.5279913635444,111.0
21,1.0,0.13,1.0,174.77623734201185,127.0
22,1.0,0.13,2.0,215.39928609813654,172.0
23,1.0,0.13,3.0,166.97843003000014,104.0
24,1.0,0.13,4.0,143.80599379083873,99.0
25,1.0,0.13,5.0,172.62290281529852,137.0
26,1.0,0.13,6.0,166.85177289995187,136.0
27,1.0,0.13,7.0,155.54206280604996,122.0
28,1.0,0.13,8.0,167.28895483573578,101.0
29,1.0,0.13,9.0,164.89548241954176,129.0
30,1.0,0.19000000000000003,0.0,172.04910412019527,121.0
31,1.0,0.19000000000000003,1.0,117.40692565344797,104.0
32,1.0,0.19000000000000003,2.0,130.42831990796836,104.0
33,1.0,0.19000000000000003,3.0,164.28901364755143,121.0
34,1.0,0.19000000000000003,4.0,147.7115319901015,107.0
35,1.0,0.19000000000000003,5.0,111.21351826879251,99.0
36,1.0,0.19000000000000003,6.0,156.6732667896038,119.0
37,1.0,0.19000000000000003,7.0,169.67344244057747,135.0
38,1.0,0.19000000000000003,8.0,133.5788764808516,95.0
39,1.0,0.19000000000000003,9.0,130.40742027641537,114.0
40,1.0,0.25,0.0,75.44375804717859,102.0
41,1.0,0.25,1.0,113.13808946196806,100.0
42,1.0,0.25,2.0,94.77435381253596,107.0
43,1.0,0.25,3.0,101.46252217134173,82.0
44,1.0,0.25,4.0,68.20516052770544,110.0
