,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,211.25568152354097,85.0
1,1.0,0.01,1.0,239.94844472784294,90.0
2,1.0,0.01,2.0,243.24116161097405,98.0
3,1.0,0.01,3.0,172.21489546808195,73.0
4,1.0,0.01,4.0,255.6275959572963,97.0
5,1.0,0.01,5.0,228.373639053098,88.0
6,1.0,0.01,6.0,238.3335115816039,96.0
7,1.0,0.01,7.0,246.9820860375386,103.0
8,1.0,0.01,8.0,217.8149771264021,85.0
9,1.0,0.01,9.0,271.50797128326053,113.0
10,1.0,0.07,0.0,256.8667245814749,105.0
11,1.0,0.07,1.0,249.88061130854055,101.0
12,1.0,0.07,2.0,233.13776034769094,96.0
13,1.0,0.07,3.0,203.63257428229903,94.0
14,1.0,0.07,4.0,231.54727237073513,90.0
15,1.0,0.07,5.0,157.18567751574793,73.0
16,1.0,0.07,6.0,251.81919345499418,103.0
17,1.0,0.07,7.0,238.20663870002414,99.0
18,1.0,0.07,8.0,201.1114474643379,87.0
19,1.0,0.07,9.0,247.0423129834606,102.0
20,1.0,0.13,0.0,117.51448672505198,88.0
21,1.0,0.13,1.0,230.08179828905944,94.0
22,1.0,0.13,2.0,229.44318741547326,103.0
23,1.0,0.13,3.0,225.78348624484934,92.0
24,1.0,0.13,4.0,214.16571363247468,86.0
25,1.0,0.13,5.0,226.92456438637453,96.0
26,1.0,0.13,6.0,267.37998478533564,109.0
27,1.0,0.13,7.0,239.2012633927184,105.0
28,1.0,0.13,8.0,224.5665889589382,91.0
29,1.0,0.13,9.0,158.51632784147674,98.0
30,1.0,0.19000000000000003,0.0,158.90150231348,86.0
31,1.0,0.19000000000000003,1.0,227.79456231479043,86.0
32,1.0,0.19000000000000003,2.0,180.28216971885345,87.0
33,1.0,0.19000000000000003,3.0,201.11170663777492,102.0
34,1.0,0.19000000000000003,4.0,215.04402041234925,93.0
35,1.0,0.19000000000000003,5.0,235.43674741571166,104.0
36,1.0,0.19000000000000003,6.0,191.52010882365525,80.0
37,1.0,0.19000000000000003,7.0,241.29546129368416,104.0
38,1.0,0.19000000000000003,8.0,204.1477610994269,96.0
39,1.0,0.19000000000000003,9.0,187.17277151599376,82.0
40,1.0,0.25,0.0,131.76427212013485,88.0
41,1.0,0.25,1.0,220.37586306638664,97.0
42,1.0,0.25,2.0,180.68924673058285,95.0
43,1.0,0.25,3.0,247.22161690058863,102.0
44,1.0,0.25,4.0,187.56860118508027,81.0
45,1.0,0.25,5.0,178.2574766801917,83.0
46,1.0,0.25,6.0,176.35155370094904,78.0
47,1.0,0.25,7.0,175.38327949090032,95.0
48,1.0,0.25,8.0,177.62955750974567,81.0
49,1.0,0.25,9.0,224.08263447091505,98.0
50,1.0,0.31000000000000005,0.0,154.65044995866853,86.0
51,1.0,0.31000000000000005,1.0,196.480135206097,87.0
52,1.0,0.31000000000000005,2.0,165.3477889186065,89.0
53,1.0,0.31000000000000005,3.0,237.3938663053996,103.0
54,1.0,0.31000000000000005,4.0,51.415666650023354,42.0
55,1.0,0.31000000000000005,5.0,205.32368977228626,94.0
56,1.0,0.31000000000000005,6.0,43.71864695607981,44.0
57,1.0,0.31000000000000005,7.0,178.46388272438273,87.0
58,1.0,0.31000000000000005,8.0,159.39932942692272,101.0
59,1.0,0.31000000000000005,9.0,174.10297110124026,89.0
60,1.0,0.37000000000000005,0.0,40.20441628443993,66.0
61,1.0,0.37000000000000005,1.0,206.46161542548336,100.0
62,1.0,0.37000000000000005,2.0,83.81522897971422,99.0
63,1.0,0.37000000000000005,3.0,50.97528923895875,44.0
64,1.0,0.37000000000000005,4.0,40.67447687727524,39.0
65,1.0,0.37000000000000005,5.0,203.23946436518526,105.0
66,1.0,0.37000000000000005,6.0,155.2956993445401,82.0
67,1.0,0.37000000000000005,7.0,159.1588575173762,79.0
68,1.0,0.37000000000000005,8.0,132.5392962883034,88.0
69,1.0,0.37000000000000005,9.0,198.86223908794827,122.0
70,1.0,0.43000000000000005,0.0,93.8464797176052,78.0
71,1.0,0.43000000000000005,1.0,116.68378976461118,74.0
72,1.0,0.43000000000000005,2.0,67.70507371185732,59.0
73,1.0,0.43000000000000005,3.0,45.04474831439432,45.0
74,1.0,0.43000000000000005,4.0,39.84300682559594,43.0
75,1.0,0.43000000000000005,5.0,142.31063579851903,92.0
76,1.0,0.43000000000000005,6.0,25.542879586467244,39.0
77,1.0,0.43000000000000005,7.0,40.332799131726034,47.0
78,1.0,0.43000000000000005,8.0,95.37501204029806,70.0
79,1.0,0.43000000000000005,9.0,110.25184308772062,71.0
80,1.0,0.49000000000000005,0.0,29.684465850579468,34.0
81,1.0,0.49000000000000005,1.0,41.50109808963261,46.0
82,1.0,0.49000000000000005,2.0,108.29195577499061,97.0
