,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2448.5398019024033,1000.0
1,1.0,0.01,1.0,2452.6859384933146,1000.0
2,1.0,0.01,2.0,2419.7553000233083,1000.0
3,1.0,0.01,3.0,2459.212309360757,1000.0
4,1.0,0.01,4.0,2455.8566025344644,1000.0
5,1.0,0.01,5.0,2434.3069526488785,1000.0
6,1.0,0.01,6.0,2437.7261081002734,1000.0
7,1.0,0.01,7.0,2454.935536192755,1000.0
8,1.0,0.01,8.0,2445.3940094162344,1000.0
9,1.0,0.01,9.0,2455.00547794356,1000.0
10,1.0,0.07,0.0,2423.7516302353697,1000.0
11,1.0,0.07,1.0,2427.455073653239,1000.0
12,1.0,0.07,2.0,2430.392632449236,1000.0
13,1.0,0.07,3.0,2452.399978269666,1000.0
14,1.0,0.07,4.0,2429.091061418206,1000.0
15,1.0,0.07,5.0,2417.671769022021,1000.0
16,1.0,0.07,6.0,2437.720943955557,1000.0
17,1.0,0.07,7.0,2432.2838488021944,1000.0
18,1.0,0.07,8.0,2435.660726392158,1000.0
19,1.0,0.07,9.0,2433.204115313164,1000.0
20,1.0,0.13,0.0,2395.4249835459423,1000.0
21,1.0,0.13,1.0,2419.7944503568347,1000.0
22,1.0,0.13,2.0,2420.2477606275243,1000.0
23,1.0,0.13,3.0,2402.8696559376276,1000.0
24,1.0,0.13,4.0,2365.8813919230406,1000.0
25,1.0,0.13,5.0,2349.7049655086844,1000.0
26,1.0,0.13,6.0,2399.9962266156795,1000.0
27,1.0,0.13,7.0,2398.6114979600297,1000.0
28,1.0,0.13,8.0,2403.4946564893935,1000.0
29,1.0,0.13,9.0,2382.4557039627134,1000.0
30,1.0,0.19000000000000003,0.0,2322.2620381202996,1000.0
31,1.0,0.19000000000000003,1.0,2339.399625761185,1000.0
32,1.0,0.19000000000000003,2.0,2330.0065640875187,1000.0
33,1.0,0.19000000000000003,3.0,2365.54813653173,1000.0
34,1.0,0.19000000000000003,4.0,2281.5393161146244,1000.0
35,1.0,0.19000000000000003,5.0,2308.0612841537118,1000.0
36,1.0,0.19000000000000003,6.0,2309.4927384349376,1000.0
37,1.0,0.19000000000000003,7.0,2320.3108866176194,1000.0
38,1.0,0.19000000000000003,8.0,2325.6707224314187,1000.0
39,1.0,0.19000000000000003,9.0,2319.3914845129107,1000.0
40,1.0,0.25,0.0,2144.5035361119562,1000.0
41,1.0,0.25,1.0,2284.0467580146806,1000.0
42,1.0,0.25,2.0,2291.3411836544096,1000.0
43,1.0,0.25,3.0,2300.953091116477,1000.0
44,1.0,0.25,4.0,2224.702451117759,1000.0
45,1.0,0.25,5.0,2270.922603762733,1000.0
46,1.0,0.25,6.0,2221.7186678191383,1000.0
47,1.0,0.25,7.0,2077.99818787614,1000.0
48,1.0,0.25,8.0,2234.96735976801,1000.0
49,1.0,0.25,9.0,2258.7861782440623,1000.0
50,1.0,0.31000000000000005,0.0,2233.7552902438265,1000.0
51,1.0,0.31000000000000005,1.0,2191.5597394612723,1000.0
52,1.0,0.31000000000000005,2.0,2146.1357860467506,1000.0
53,1.0,0.31000000000000005,3.0,2216.3897657329094,1000.0
54,1.0,0.31000000000000005,4.0,2173.705616220301,1000.0
55,1.0,0.31000000000000005,5.0,2169.55307519525,1000.0
56,1.0,0.31000000000000005,6.0,2179.1033579707077,1000.0
57,1.0,0.31000000000000005,7.0,1976.0237602480172,1000.0
58,1.0,0.31000000000000005,8.0,2119.9842232336314,1000.0
59,1.0,0.31000000000000005,9.0,2199.250155781317,1000.0
60,1.0,0.37000000000000005,0.0,2045.942682030906,1000.0
61,1.0,0.37000000000000005,1.0,2051.1666730879756,1000.0
62,1.0,0.37000000000000005,2.0,2088.061988827753,1000.0
63,1.0,0.37000000000000005,3.0,2072.7175107766234,1000.0
64,1.0,0.37000000000000005,4.0,1979.6448662653086,1000.0
65,1.0,0.37000000000000005,5.0,2048.6071688225115,1000.0
66,1.0,0.37000000000000005,6.0,2000.2480122160744,1000.0
67,1.0,0.37000000000000005,7.0,1973.6738806201402,1000.0
68,1.0,0.37000000000000005,8.0,1809.2881394342244,1000.0
69,1.0,0.37000000000000005,9.0,2089.640180534479,1000.0
70,1.0,0.43000000000000005,0.0,1003.7987872785267,1000.0
71,1.0,0.43000000000000005,1.0,1893.4376345995925,1000.0
72,1.0,0.43000000000000005,2.0,1645.0285899596772,1000.0
73,1.0,0.43000000000000005,3.0,1399.16009634662,1000.0
74,1.0,0.43000000000000005,4.0,1933.965115863918,1000.0
75,1.0,0.43000000000000005,5.0,1855.7877481294104,1000.0
76,1.0,0.43000000000000005,6.0,1652.3208191308415,1000.0
77,1.0,0.43000000000000005,7.0,1378.7995072138776,1000.0
78,1.0,0.43000000000000005,8.0,1435.0112041506964,1000.0
79,1.0,0.43000000000000005,9.0,1620.8637648240956,1000.0
80,1.0,0.49000000000000005,0.0,953.5208697698404,1000.0
81,1.0,0.49000000000000005,1.0,934.1029039601567,1000.0
82,1.0,0.49000000000000005,2.0,1775.9709132090084,1000.0
83,1.0,0.49000000000000005,3.0,1431.2445133237977,1000.0
84,1.0,0.49000000000000005,4.0,1086.9036258344738,1000.0
85,1.0,0.49000000000000005,5.0,1745.6051856279646,1000.0
86,1.0,0.49000000000000005,6.0,1746.1072216201817,1000.0
87,1.0,0.49000000000000005,7.0,822.4899627475869,1000.0
88,1.0,0.49000000000000005,8.0,1055.4191387945557,1000.0
89,1.0,0.49000000000000005,9.0,1566.491008721925,1000.0
90,1.0,0.55,0.0,1033.1283386282194,1000.0
91,1.0,0.55,1.0,912.9810576573001,1000.0
92,1.0,0.55,2.0,1052.1528070436689,1000.0
93,1.0,0.55,3.0,1685.225181647673,1000.0
94,1.0,0.55,4.0,846.6537593333308,1000.0
95,1.0,0.55,5.0,1065.8781553944605,1000.0
