,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,495.1460540121568,1000.0
1,1.0,0.01,1.0,495.3706157836447,1000.0
2,1.0,0.01,2.0,498.79983407899556,1000.0
3,1.0,0.01,3.0,493.52825437610375,1000.0
4,1.0,0.01,4.0,491.3627048720811,1000.0
5,1.0,0.01,5.0,491.4975313582864,1000.0
6,1.0,0.01,6.0,486.6073120263515,1000.0
7,1.0,0.01,7.0,495.9387130817845,1000.0
8,1.0,0.01,8.0,500.36169644634,1000.0
9,1.0,0.01,9.0,495.22570663278515,1000.0
10,1.0,0.07,0.0,-18.508389890691472,1000.0
11,1.0,0.07,1.0,487.4307071255928,1000.0
12,1.0,0.07,2.0,487.4013262071528,1000.0
13,1.0,0.07,3.0,471.73301360688185,1000.0
14,1.0,0.07,4.0,468.0573286974857,1000.0
15,1.0,0.07,5.0,488.63499535144257,1000.0
16,1.0,0.07,6.0,495.62911019021834,1000.0
17,1.0,0.07,7.0,490.2406169722902,1000.0
18,1.0,0.07,8.0,478.28436191604123,1000.0
19,1.0,0.07,9.0,486.42130789619483,1000.0
20,1.0,0.13,0.0,489.2433135045595,1000.0
21,1.0,0.13,1.0,486.76468058210173,1000.0
22,1.0,0.13,2.0,486.95125070284274,1000.0
23,1.0,0.13,3.0,487.75811445323774,1000.0
24,1.0,0.13,4.0,486.9981806896469,1000.0
25,1.0,0.13,5.0,479.0953671292169,1000.0
26,1.0,0.13,6.0,461.9083696639154,1000.0
27,1.0,0.13,7.0,487.1594038377247,1000.0
28,1.0,0.13,8.0,490.735931638895,1000.0
29,1.0,0.13,9.0,488.28132944467177,1000.0
30,1.0,0.19000000000000003,0.0,481.6573956353598,1000.0
31,1.0,0.19000000000000003,1.0,486.9351648167528,1000.0
32,1.0,0.19000000000000003,2.0,457.4325417839195,1000.0
33,1.0,0.19000000000000003,3.0,467.807559491458,1000.0
34,1.0,0.19000000000000003,4.0,477.9165303402166,1000.0
35,1.0,0.19000000000000003,5.0,479.6074178154495,1000.0
36,1.0,0.19000000000000003,6.0,471.18536556887443,1000.0
37,1.0,0.19000000000000003,7.0,471.50132353596575,1000.0
38,1.0,0.19000000000000003,8.0,473.0974713667409,1000.0
39,1.0,0.19000000000000003,9.0,443.4548061794605,1000.0
40,1.0,0.25,0.0,441.12539623728634,1000.0
41,1.0,0.25,1.0,479.9180069064527,1000.0
42,1.0,0.25,2.0,460.3335140896948,1000.0
43,1.0,0.25,3.0,458.1192985973811,1000.0
44,1.0,0.25,4.0,466.3968748127564,1000.0
45,1.0,0.25,5.0,468.5442069193504,1000.0
46,1.0,0.25,6.0,456.5096367016257,1000.0
47,1.0,0.25,7.0,455.8013933856556,1000.0
48,1.0,0.25,8.0,468.13680091222346,1000.0
49,1.0,0.25,9.0,462.45299527672825,1000.0
50,1.0,0.31000000000000005,0.0,436.15331965392306,1000.0
51,1.0,0.31000000000000005,1.0,449.5677396407105,1000.0
52,1.0,0.31000000000000005,2.0,426.00208401982115,1000.0
53,1.0,0.31000000000000005,3.0,424.89897686489525,1000.0
54,1.0,0.31000000000000005,4.0,445.0654996658154,1000.0
55,1.0,0.31000000000000005,5.0,402.75475538889464,1000.0
56,1.0,0.31000000000000005,6.0,428.3544105840726,1000.0
57,1.0,0.31000000000000005,7.0,429.798355430375,1000.0
58,1.0,0.31000000000000005,8.0,421.16708651362063,1000.0
59,1.0,0.31000000000000005,9.0,414.75812756205363,1000.0
60,1.0,0.37000000000000005,0.0,266.9753413047497,1000.0
61,1.0,0.37000000000000005,1.0,383.52068007859646,1000.0
62,1.0,0.37000000000000005,2.0,293.04760331661083,1000.0
63,1.0,0.37000000000000005,3.0,328.0128684998113,1000.0
64,1.0,0.37000000000000005,4.0,345.32555751554725,1000.0
65,1.0,0.37000000000000005,5.0,283.3301407615768,1000.0
66,1.0,0.37000000000000005,6.0,338.4702387279202,1000.0
67,1.0,0.37000000000000005,7.0,369.5691588966633,1000.0
68,1.0,0.37000000000000005,8.0,330.51235565009455,1000.0
69,1.0,0.37000000000000005,9.0,335.7885423505765,1000.0
70,1.0,0.43000000000000005,0.0,96.2087383003338,1000.0
71,1.0,0.43000000000000005,1.0,216.43600791180782,1000.0
72,1.0,0.43000000000000005,2.0,185.70708636708457,1000.0
73,1.0,0.43000000000000005,3.0,150.3085548468269,1000.0
74,1.0,0.43000000000000005,4.0,201.99251402026852,1000.0
75,1.0,0.43000000000000005,5.0,197.5732016590436,1000.0
76,1.0,0.43000000000000005,6.0,159.9883312158447,1000.0
77,1.0,0.43000000000000005,7.0,244.19734218182285,1000.0
78,1.0,0.43000000000000005,8.0,198.1366530144006,1000.0
79,1.0,0.43000000000000005,9.0,183.54414070420455,1000.0
80,1.0,0.49000000000000005,0.0,-46.63555558052171,1000.0
81,1.0,0.49000000000000005,1.0,-42.52000536701664,1000.0
82,1.0,0.49000000000000005,2.0,-7.170568255070241,1000.0
83,1.0,0.49000000000000005,3.0,-22.95592665141012,1000.0
84,1.0,0.49000000000000005,4.0,-69.49367478233181,1000.0
85,1.0,0.49000000000000005,5.0,23.155527398957947,1000.0
86,1.0,0.49000000000000005,6.0,-21.011005749215816,1000.0
87,1.0,0.49000000000000005,7.0,1.7788913519892648,1000.0
88,1.0,0.49000000000000005,8.0,4.881451363976522,1000.0
89,1.0,0.49000000000000005,9.0,-38.1988098255257,1000.0
90,1.0,0.55,0.0,-226.98827314253734,1000.0
91,1.0,0.55,1.0,-170.56138442711503,1000.0
92,1.0,0.55,2.0,-160.33285102529624,1000.0
93,1.0,0.55,3.0,-241.05083306506845,1000.0
94,1.0,0.55,4.0,-199.5387371279301,1000.0
95,1.0,0.55,5.0,-153.17426625629005,1000.0
96,1.0,0.55,6.0,-202.55248368368632,1000.0
97,1.0,0.55,7.0,-87.14974487728458,1000.0
98,1.0,0.55,8.0,-162.86130086139002,1000.0
99,1.0,0.55,9.0,-122.86762716762618,1000.0
100,2.0,0.01,0.0,486.2019975060102,1000.0
101,2.0,0.01,1.0,495.6051582497944,1000.0
102,2.0,0.01,2.0,498.8420068116937,1000.0
103,2.0,0.01,3.0,495.4784286655973,1000.0
104,2.0,0.01,4.0,495.8524555607514,1000.0
105,2.0,0.01,5.0,492.80025596461064,1000.0
106,2.0,0.01,6.0,492.6781468249911,1000.0
107,2.0,0.01,7.0,476.8893490279832,1000.0
108,2.0,0.01,8.0,497.135613880799,1000.0
109,2.0,0.01,9.0,502.63563636328706,1000.0
110,2.0,0.07,0.0,487.0525740863412,1000.0
111,2.0,0.07,1.0,492.04980420801604,1000.0
112,2.0,0.07,2.0,492.8689573670027,1000.0
113,2.0,0.07,3.0,474.38234951518984,1000.0
114,2.0,0.07,4.0,480.2055304399667,1000.0
115,2.0,0.07,5.0,479.62127702708807,1000.0
116,2.0,0.07,6.0,494.4454607424269,1000.0
117,2.0,0.07,7.0,477.5784112141689,1000.0
118,2.0,0.07,8.0,486.6546287854025,1000.0
119,2.0,0.07,9.0,497.27858562849866,1000.0
120,2.0,0.13,0.0,478.2574251801948,1000.0
121,2.0,0.13,1.0,488.0504671360891,1000.0
122,2.0,0.13,2.0,472.9262795022162,1000.0
123,2.0,0.13,3.0,473.08235425392735,1000.0
124,2.0,0.13,4.0,471.70398756382247,1000.0
125,2.0,0.13,5.0,471.2172914218754,1000.0
126,2.0,0.13,6.0,37.773613890325926,1000.0
127,2.0,0.13,7.0,467.8476829846228,1000.0
128,2.0,0.13,8.0,485.94967430330917,1000.0
129,2.0,0.13,9.0,450.9738743395762,1000.0
130,2.0,0.19000000000000003,0.0,465.23241433953376,1000.0
131,2.0,0.19000000000000003,1.0,483.4603759325394,1000.0
132,2.0,0.19000000000000003,2.0,474.1258038218218,1000.0
133,2.0,0.19000000000000003,3.0,482.67153676273904,1000.0
134,2.0,0.19000000000000003,4.0,473.6603330575181,1000.0
135,2.0,0.19000000000000003,5.0,479.5440909167331,1000.0
136,2.0,0.19000000000000003,6.0,485.0704936566761,1000.0
137,2.0,0.19000000000000003,7.0,470.47133018458123,1000.0
138,2.0,0.19000000000000003,8.0,463.64477478509707,1000.0
139,2.0,0.19000000000000003,9.0,458.7220714721103,1000.0
140,2.0,0.25,0.0,428.3946890505905,1000.0
141,2.0,0.25,1.0,438.7602406319317,1000.0
142,2.0,0.25,2.0,427.64760222656327,1000.0
143,2.0,0.25,3.0,448.5411078393238,1000.0
144,2.0,0.25,4.0,434.3973962962814,1000.0
145,2.0,0.25,5.0,465.46853934310866,1000.0
146,2.0,0.25,6.0,442.50827039647794,1000.0
147,2.0,0.25,7.0,453.1615251090431,1000.0
148,2.0,0.25,8.0,448.2524524596405,1000.0
149,2.0,0.25,9.0,452.19784431603676,1000.0
150,2.0,0.31000000000000005,0.0,359.0188782138802,1000.0
151,2.0,0.31000000000000005,1.0,398.74774150830217,1000.0
152,2.0,0.31000000000000005,2.0,350.4446601538427,1000.0
153,2.0,0.31000000000000005,3.0,371.11840325408554,1000.0
154,2.0,0.31000000000000005,4.0,339.8310932878054,1000.0
155,2.0,0.31000000000000005,5.0,387.6842675271458,1000.0
156,2.0,0.31000000000000005,6.0,370.84134820621716,1000.0
157,2.0,0.31000000000000005,7.0,390.3370002004802,1000.0
158,2.0,0.31000000000000005,8.0,405.20418668204894,1000.0
159,2.0,0.31000000000000005,9.0,388.1987283348479,1000.0
160,2.0,0.37000000000000005,0.0,196.78005917406554,1000.0
161,2.0,0.37000000000000005,1.0,244.20837129844261,1000.0
162,2.0,0.37000000000000005,2.0,245.8442169169663,1000.0
163,2.0,0.37000000000000005,3.0,194.79864689962255,1000.0
164,2.0,0.37000000000000005,4.0,179.86859987749483,1000.0
165,2.0,0.37000000000000005,5.0,251.78851437290746,1000.0
166,2.0,0.37000000000000005,6.0,242.67441388633586,1000.0
167,2.0,0.37000000000000005,7.0,245.98610781345462,1000.0
168,2.0,0.37000000000000005,8.0,234.05273118970692,1000.0
169,2.0,0.37000000000000005,9.0,207.7006786099521,1000.0
170,2.0,0.43000000000000005,0.0,-1.512814056912617,1000.0
171,2.0,0.43000000000000005,1.0,80.27083731610469,1000.0
172,2.0,0.43000000000000005,2.0,-6.0890756970824516,1000.0
173,2.0,0.43000000000000005,3.0,33.402822620574426,1000.0
174,2.0,0.43000000000000005,4.0,-55.017575460282295,1000.0
175,2.0,0.43000000000000005,5.0,103.34188346788153,1000.0
176,2.0,0.43000000000000005,6.0,63.927459808898845,1000.0
177,2.0,0.43000000000000005,7.0,64.5965322649354,1000.0
178,2.0,0.43000000000000005,8.0,113.30177120483431,1000.0
179,2.0,0.43000000000000005,9.0,74.95405071919807,1000.0
180,2.0,0.49000000000000005,0.0,-225.41849672779927,1000.0
181,2.0,0.49000000000000005,1.0,-84.60311342134979,1000.0
182,2.0,0.49000000000000005,2.0,-185.48732524142983,1000.0
183,2.0,0.49000000000000005,3.0,-101.01897045406065,1000.0
184,2.0,0.49000000000000005,4.0,-182.49842425307406,1000.0
185,2.0,0.49000000000000005,5.0,-35.31168580030794,1000.0
186,2.0,0.49000000000000005,6.0,-166.33760759021962,1000.0
187,2.0,0.49000000000000005,7.0,-109.5776651390422,1000.0
188,2.0,0.49000000000000005,8.0,-115.0965230124057,1000.0
189,2.0,0.49000000000000005,9.0,-121.29705216336731,1000.0
190,2.0,0.55,0.0,-253.870214060614,1000.0
191,2.0,0.55,1.0,-199.5401609248102,1000.0
192,2.0,0.55,2.0,-378.06507120014305,1000.0
193,2.0,0.55,3.0,-311.2948766775214,1000.0
194,2.0,0.55,4.0,-442.81436494486934,1000.0
195,2.0,0.55,5.0,-319.0507239803669,1000.0
196,2.0,0.55,6.0,-322.8871504171863,1000.0
197,2.0,0.55,7.0,-265.16494297298766,1000.0
198,2.0,0.55,8.0,-231.74110084494015,1000.0
199,2.0,0.55,9.0,-322.6324336144974,1000.0
200,3.0,0.01,0.0,480.323143858625,1000.0
201,3.0,0.01,1.0,467.68428038688614,1000.0
202,3.0,0.01,2.0,491.3330543951903,1000.0
203,3.0,0.01,3.0,491.9824207755365,1000.0
204,3.0,0.01,4.0,496.60393553922836,1000.0
205,3.0,0.01,5.0,496.0712723640579,1000.0
206,3.0,0.01,6.0,499.76802694466744,1000.0
207,3.0,0.01,7.0,499.6303228864119,1000.0
208,3.0,0.01,8.0,493.10665429955327,1000.0
209,3.0,0.01,9.0,494.76093969352223,1000.0
210,3.0,0.07,0.0,484.4674500216071,1000.0
211,3.0,0.07,1.0,494.0113810609985,1000.0
212,3.0,0.07,2.0,495.4370409378981,1000.0
213,3.0,0.07,3.0,494.4093213989161,1000.0
214,3.0,0.07,4.0,486.9661737919698,1000.0
215,3.0,0.07,5.0,489.4207375118789,1000.0
216,3.0,0.07,6.0,479.23529140528564,1000.0
217,3.0,0.07,7.0,496.25954734470145,1000.0
218,3.0,0.07,8.0,495.95247024543403,1000.0
219,3.0,0.07,9.0,486.57765611691246,1000.0
220,3.0,0.13,0.0,479.95504783043424,1000.0
221,3.0,0.13,1.0,484.07796877487164,1000.0
222,3.0,0.13,2.0,481.4587750558631,1000.0
223,3.0,0.13,3.0,496.5354482270592,1000.0
224,3.0,0.13,4.0,495.99447453346187,1000.0
225,3.0,0.13,5.0,495.2536048872484,1000.0
226,3.0,0.13,6.0,485.79165630684025,1000.0
227,3.0,0.13,7.0,493.54836657098633,1000.0
228,3.0,0.13,8.0,478.68548470114,1000.0
229,3.0,0.13,9.0,471.08506753696537,1000.0
230,3.0,0.19000000000000003,0.0,472.3260716364253,1000.0
231,3.0,0.19000000000000003,1.0,460.60296451051056,1000.0
232,3.0,0.19000000000000003,2.0,465.55652509316855,1000.0
233,3.0,0.19000000000000003,3.0,471.37503861502756,1000.0
234,3.0,0.19000000000000003,4.0,477.6339422455759,1000.0
235,3.0,0.19000000000000003,5.0,457.3389544995062,1000.0
236,3.0,0.19000000000000003,6.0,481.85172959951643,1000.0
237,3.0,0.19000000000000003,7.0,478.6600913542635,1000.0
238,3.0,0.19000000000000003,8.0,470.9271636640511,1000.0
239,3.0,0.19000000000000003,9.0,478.8793712468471,1000.0
240,3.0,0.25,0.0,417.9405265879274,1000.0
241,3.0,0.25,1.0,428.2634661800372,1000.0
242,3.0,0.25,2.0,401.3163407638435,1000.0
243,3.0,0.25,3.0,419.5004799751975,1000.0
244,3.0,0.25,4.0,373.4727443807891,1000.0
245,3.0,0.25,5.0,438.55367367102684,1000.0
246,3.0,0.25,6.0,427.36421977827416,1000.0
247,3.0,0.25,7.0,451.2007349218238,1000.0
248,3.0,0.25,8.0,411.88617576497944,1000.0
249,3.0,0.25,9.0,421.8932893069213,1000.0
250,3.0,0.31000000000000005,0.0,296.6298185221937,1000.0
251,3.0,0.31000000000000005,1.0,288.2975225145227,1000.0
