,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,903.0565574435896,1000.0
1,1.0,0.01,1.0,917.6571366101198,1000.0
2,1.0,0.01,2.0,903.5411595252735,1000.0
3,1.0,0.01,3.0,910.1343157851661,1000.0
4,1.0,0.01,4.0,908.629200848678,1000.0
5,1.0,0.01,5.0,880.0206684492005,1000.0
6,1.0,0.01,6.0,909.3569529563392,1000.0
7,1.0,0.01,7.0,932.200750345859,1000.0
8,1.0,0.01,8.0,920.0795981414412,1000.0
9,1.0,0.01,9.0,905.6564755314394,1000.0
10,1.0,0.07,0.0,911.3758724279542,1000.0
11,1.0,0.07,1.0,918.302600279043,1000.0
12,1.0,0.07,2.0,905.4773759731106,1000.0
13,1.0,0.07,3.0,905.3190583852484,1000.0
14,1.0,0.07,4.0,917.3574742970668,1000.0
15,1.0,0.07,5.0,902.3431194270161,1000.0
16,1.0,0.07,6.0,907.1732855610971,1000.0
17,1.0,0.07,7.0,917.2198620420531,1000.0
18,1.0,0.07,8.0,926.8145626713449,1000.0
19,1.0,0.07,9.0,900.2503302972182,1000.0
20,1.0,0.13,0.0,884.6799347413034,1000.0
21,1.0,0.13,1.0,877.6803286401628,1000.0
22,1.0,0.13,2.0,898.6540147006672,1000.0
23,1.0,0.13,3.0,888.9606324143824,1000.0
24,1.0,0.13,4.0,890.8908165061293,1000.0
25,1.0,0.13,5.0,895.521585737566,1000.0
26,1.0,0.13,6.0,886.5973536419406,1000.0
27,1.0,0.13,7.0,898.1689602783008,1000.0
28,1.0,0.13,8.0,905.016671818943,1000.0
29,1.0,0.13,9.0,881.3869146935904,1000.0
30,1.0,0.19000000000000003,0.0,875.4494194098661,1000.0
31,1.0,0.19000000000000003,1.0,852.1333739533948,1000.0
32,1.0,0.19000000000000003,2.0,865.2486143833157,1000.0
33,1.0,0.19000000000000003,3.0,859.2945762588279,1000.0
34,1.0,0.19000000000000003,4.0,893.5184483938647,1000.0
35,1.0,0.19000000000000003,5.0,858.9313878545363,1000.0
36,1.0,0.19000000000000003,6.0,869.2319169763432,1000.0
37,1.0,0.19000000000000003,7.0,870.7101038593828,1000.0
38,1.0,0.19000000000000003,8.0,853.6968646196547,1000.0
39,1.0,0.19000000000000003,9.0,872.0835898826917,1000.0
