,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1017.0838909261607,1000.0
1,1.0,0.01,1.0,1021.86485865944,1000.0
2,1.0,0.01,2.0,1022.8490655278605,1000.0
3,1.0,0.01,3.0,1023.3638543331908,1000.0
4,1.0,0.01,4.0,1023.3527436321281,1000.0
5,1.0,0.01,5.0,1022.9943519289013,1000.0
6,1.0,0.01,6.0,1023.5364765972494,1000.0
7,1.0,0.01,7.0,1022.4536905172997,1000.0
8,1.0,0.01,8.0,1022.1598622026162,1000.0
9,1.0,0.01,9.0,1024.6421477121073,1000.0
10,1.0,0.07,0.0,1015.2211106706006,1000.0
11,1.0,0.07,1.0,1015.4175398416355,1000.0
12,1.0,0.07,2.0,1014.8635225021851,1000.0
13,1.0,0.07,3.0,1013.7026415262089,1000.0
14,1.0,0.07,4.0,1016.5799283148431,1000.0
15,1.0,0.07,5.0,1014.6620390719646,1000.0
16,1.0,0.07,6.0,1015.3240674161121,1000.0
17,1.0,0.07,7.0,1012.6106172289636,1000.0
18,1.0,0.07,8.0,1016.7689084398003,1000.0
19,1.0,0.07,9.0,1013.6412748503656,1000.0
20,1.0,0.13,0.0,1002.3139960593961,1000.0
21,1.0,0.13,1.0,1004.5484643563586,1000.0
22,1.0,0.13,2.0,1003.9375292695886,1000.0
23,1.0,0.13,3.0,1003.433329194613,1000.0
24,1.0,0.13,4.0,1002.9872013264854,1000.0
25,1.0,0.13,5.0,1003.7851359310707,1000.0
26,1.0,0.13,6.0,990.7430589217937,1000.0
27,1.0,0.13,7.0,936.9964243825141,1000.0
28,1.0,0.13,8.0,1005.1363558574922,1000.0
29,1.0,0.13,9.0,1004.1874920540864,1000.0
30,1.0,0.19000000000000003,0.0,984.5693780584056,1000.0
31,1.0,0.19000000000000003,1.0,987.2361551249021,1000.0
32,1.0,0.19000000000000003,2.0,974.227529075499,1000.0
33,1.0,0.19000000000000003,3.0,987.7979296826047,1000.0
34,1.0,0.19000000000000003,4.0,987.4025007014618,1000.0
35,1.0,0.19000000000000003,5.0,975.316782880228,1000.0
36,1.0,0.19000000000000003,6.0,986.3885840988523,1000.0
37,1.0,0.19000000000000003,7.0,954.388961896575,1000.0
38,1.0,0.19000000000000003,8.0,983.3168148223306,1000.0
39,1.0,0.19000000000000003,9.0,988.2868464006646,1000.0
40,1.0,0.25,0.0,956.9617338417466,1000.0
41,1.0,0.25,1.0,959.2960383502752,1000.0
42,1.0,0.25,2.0,956.146452371382,1000.0
43,1.0,0.25,3.0,960.6574611171509,1000.0
44,1.0,0.25,4.0,962.8703341074826,1000.0
45,1.0,0.25,5.0,959.4911407847119,1000.0
46,1.0,0.25,6.0,963.1744286032322,1000.0
47,1.0,0.25,7.0,958.2379547308705,1000.0
48,1.0,0.25,8.0,960.2222027079916,1000.0
49,1.0,0.25,9.0,951.4330273833889,1000.0
50,1.0,0.31000000000000005,0.0,917.9253298045683,1000.0
51,1.0,0.31000000000000005,1.0,920.8681752278209,1000.0
52,1.0,0.31000000000000005,2.0,915.8008726115273,1000.0
53,1.0,0.31000000000000005,3.0,905.6104619994605,979.0
