,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1765.3374249283017,1000.0
1,1.0,0.01,1.0,1765.7044184270658,1000.0
2,1.0,0.01,2.0,1774.1398388170562,1000.0
3,1.0,0.01,3.0,1748.3251453073524,1000.0
4,1.0,0.01,4.0,1754.9336798445656,1000.0
5,1.0,0.01,5.0,1775.951544458427,1000.0
6,1.0,0.01,6.0,1767.3831681613906,1000.0
7,1.0,0.01,7.0,1742.984162773067,1000.0
8,1.0,0.01,8.0,1765.5759896214397,1000.0
9,1.0,0.01,9.0,1776.1139684207785,1000.0
10,1.0,0.07,0.0,1744.4161793432186,1000.0
11,1.0,0.07,1.0,1759.9420999768859,1000.0
12,1.0,0.07,2.0,1763.8543431754583,1000.0
13,1.0,0.07,3.0,1725.97530800758,977.0
14,1.0,0.07,4.0,1424.714294685844,822.0
15,1.0,0.07,5.0,1741.6504211689196,1000.0
16,1.0,0.07,6.0,1757.1368294626143,1000.0
17,1.0,0.07,7.0,1762.264731037628,1000.0
18,1.0,0.07,8.0,1771.7442457317707,1000.0
19,1.0,0.07,9.0,1745.6572950852863,1000.0
20,1.0,0.13,0.0,1747.4319030809995,1000.0
21,1.0,0.13,1.0,1734.7097877316348,1000.0
22,1.0,0.13,2.0,1761.500598249287,1000.0
23,1.0,0.13,3.0,1749.2967648156714,1000.0
24,1.0,0.13,4.0,1746.7482682230616,1000.0
25,1.0,0.13,5.0,1758.6857654208106,1000.0
26,1.0,0.13,6.0,1748.317143682181,1000.0
27,1.0,0.13,7.0,1753.4690766864132,1000.0
28,1.0,0.13,8.0,1758.738513586283,1000.0
29,1.0,0.13,9.0,1758.8076005940222,1000.0
30,1.0,0.19000000000000003,0.0,1748.4298165687387,1000.0
31,1.0,0.19000000000000003,1.0,1746.7142637138863,1000.0
32,1.0,0.19000000000000003,2.0,876.5158180998195,524.0
33,1.0,0.19000000000000003,3.0,1739.0706631995404,1000.0
34,1.0,0.19000000000000003,4.0,1741.977750490355,1000.0
35,1.0,0.19000000000000003,5.0,1743.6830446870645,1000.0
36,1.0,0.19000000000000003,6.0,1752.4753802662822,1000.0
37,1.0,0.19000000000000003,7.0,1694.499465857911,1000.0
38,1.0,0.19000000000000003,8.0,1756.1872927626102,1000.0
39,1.0,0.19000000000000003,9.0,1743.5507144600633,1000.0
40,1.0,0.25,0.0,331.2457605400078,208.0
41,1.0,0.25,1.0,1742.6342586572168,1000.0
42,1.0,0.25,2.0,1742.7875578467786,1000.0
43,1.0,0.25,3.0,1682.89105114898,1000.0
44,1.0,0.25,4.0,589.9938715365788,365.0
45,1.0,0.25,5.0,1690.0221481835233,1000.0
46,1.0,0.25,6.0,1689.5886410678645,1000.0
47,1.0,0.25,7.0,581.6983556931528,367.0
48,1.0,0.25,8.0,761.0592262408414,470.0
49,1.0,0.25,9.0,570.8308357639527,346.0
50,1.0,0.31000000000000005,0.0,884.3563172308342,538.0
51,1.0,0.31000000000000005,1.0,1703.5431005253533,1000.0
52,1.0,0.31000000000000005,2.0,1048.7338347835457,628.0
53,1.0,0.31000000000000005,3.0,1081.3766214296393,668.0
54,1.0,0.31000000000000005,4.0,1672.4854409193526,1000.0
55,1.0,0.31000000000000005,5.0,323.4776844954191,223.0
56,1.0,0.31000000000000005,6.0,1659.979463592679,1000.0
57,1.0,0.31000000000000005,7.0,1648.5773693970616,1000.0
58,1.0,0.31000000000000005,8.0,1219.3142012889405,743.0
59,1.0,0.31000000000000005,9.0,467.2889241718935,305.0
60,1.0,0.37000000000000005,0.0,178.39245982425928,130.0
61,1.0,0.37000000000000005,1.0,710.5652471980951,449.0
62,1.0,0.37000000000000005,2.0,1292.0080599279192,787.0
63,1.0,0.37000000000000005,3.0,1636.2424214033815,1000.0
64,1.0,0.37000000000000005,4.0,509.24393305280086,338.0
65,1.0,0.37000000000000005,5.0,781.051062177297,500.0
66,1.0,0.37000000000000005,6.0,948.7870817209905,613.0
