,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1763.941605612854,1000.0
1,1.0,0.01,1.0,1710.7772047112958,1000.0
2,1.0,0.01,2.0,1733.8662421512636,1000.0
3,1.0,0.01,3.0,1721.5112714544084,1000.0
4,1.0,0.01,4.0,1695.3851585846423,1000.0
5,1.0,0.01,5.0,1705.5984217424266,1000.0
6,1.0,0.01,6.0,1714.0032233564707,1000.0
7,1.0,0.01,7.0,1686.4517827887903,1000.0
8,1.0,0.01,8.0,1757.8023732087604,1000.0
9,1.0,0.01,9.0,1717.3380153176913,1000.0
10,1.0,0.07,0.0,1727.1228472295188,1000.0
11,1.0,0.07,1.0,1722.4148922800014,1000.0
12,1.0,0.07,2.0,1751.063975848905,1000.0
13,1.0,0.07,3.0,1723.6668936533024,1000.0
14,1.0,0.07,4.0,1683.8047665335616,1000.0
15,1.0,0.07,5.0,1732.6969330462744,1000.0
16,1.0,0.07,6.0,1706.090061994233,1000.0
17,1.0,0.07,7.0,1713.2382320940742,1000.0
18,1.0,0.07,8.0,1713.5720488005536,1000.0
19,1.0,0.07,9.0,1744.0988077446164,1000.0
20,1.0,0.13,0.0,1695.016445897032,1000.0
21,1.0,0.13,1.0,1710.3177015303518,1000.0
22,1.0,0.13,2.0,1666.7615002727252,1000.0
23,1.0,0.13,3.0,1700.3151029358487,1000.0
24,1.0,0.13,4.0,1695.701995031668,1000.0
25,1.0,0.13,5.0,1703.2106551717516,1000.0
26,1.0,0.13,6.0,1685.047537640523,1000.0
27,1.0,0.13,7.0,1698.6929242689075,1000.0
28,1.0,0.13,8.0,1755.8269734371715,1000.0
29,1.0,0.13,9.0,1727.8533270333573,1000.0
30,1.0,0.19000000000000003,0.0,1718.400932936267,1000.0
31,1.0,0.19000000000000003,1.0,1728.7342549002933,1000.0
32,1.0,0.19000000000000003,2.0,1712.8770949861282,1000.0
33,1.0,0.19000000000000003,3.0,1724.1940507310792,1000.0
34,1.0,0.19000000000000003,4.0,1680.1686293223174,1000.0
35,1.0,0.19000000000000003,5.0,1690.317785996871,1000.0
36,1.0,0.19000000000000003,6.0,1662.595430174908,1000.0
37,1.0,0.19000000000000003,7.0,1661.1775444916711,1000.0
38,1.0,0.19000000000000003,8.0,1677.783845292397,1000.0
39,1.0,0.19000000000000003,9.0,1616.6934329821597,1000.0
40,1.0,0.25,0.0,1747.5987337119004,1000.0
41,1.0,0.25,1.0,1661.6964395789983,1000.0
42,1.0,0.25,2.0,1751.551347503002,1000.0
43,1.0,0.25,3.0,1664.3569507205393,1000.0
44,1.0,0.25,4.0,1729.6887494232578,1000.0
45,1.0,0.25,5.0,1735.451063946697,1000.0
46,1.0,0.25,6.0,1692.1995639966117,1000.0
47,1.0,0.25,7.0,1702.5625688449145,1000.0
48,1.0,0.25,8.0,1688.2098818764935,1000.0
49,1.0,0.25,9.0,1707.218858259941,1000.0
50,1.0,0.31000000000000005,0.0,1697.8567307476915,1000.0
51,1.0,0.31000000000000005,1.0,1677.9172317478806,1000.0
52,1.0,0.31000000000000005,2.0,1675.2758706650784,1000.0
53,1.0,0.31000000000000005,3.0,1661.1388177068875,1000.0
54,1.0,0.31000000000000005,4.0,1650.8289696352003,1000.0
55,1.0,0.31000000000000005,5.0,1693.694875455294,1000.0
56,1.0,0.31000000000000005,6.0,1675.2400017348482,1000.0
57,1.0,0.31000000000000005,7.0,1694.8449722804435,1000.0
58,1.0,0.31000000000000005,8.0,1707.703348563824,1000.0
59,1.0,0.31000000000000005,9.0,1706.3651077775648,1000.0
60,1.0,0.37000000000000005,0.0,1709.6086781525155,1000.0
61,1.0,0.37000000000000005,1.0,1164.5672055609684,681.0
62,1.0,0.37000000000000005,2.0,1698.4259163662427,1000.0
63,1.0,0.37000000000000005,3.0,1692.3427519180186,1000.0
64,1.0,0.37000000000000005,4.0,1655.1292710205744,1000.0
65,1.0,0.37000000000000005,5.0,222.7473135465043,168.0
66,1.0,0.37000000000000005,6.0,1616.867554814533,1000.0
67,1.0,0.37000000000000005,7.0,1716.4760951237113,1000.0
68,1.0,0.37000000000000005,8.0,580.4913620876105,372.0
69,1.0,0.37000000000000005,9.0,1049.2122646483986,640.0
70,1.0,0.43000000000000005,0.0,1672.8951217993017,1000.0
71,1.0,0.43000000000000005,1.0,1646.8733858592022,1000.0
72,1.0,0.43000000000000005,2.0,1539.0993599509602,909.0
73,1.0,0.43000000000000005,3.0,705.8342308137799,443.0
74,1.0,0.43000000000000005,4.0,1679.845623501169,1000.0
75,1.0,0.43000000000000005,5.0,278.7100208949196,194.0
76,1.0,0.43000000000000005,6.0,1640.3340298101612,1000.0
77,1.0,0.43000000000000005,7.0,1702.7101668582618,1000.0
78,1.0,0.43000000000000005,8.0,1608.6160770202187,1000.0
79,1.0,0.43000000000000005,9.0,1060.9509026698943,655.0
80,1.0,0.49000000000000005,0.0,1690.5001025019592,1000.0
81,1.0,0.49000000000000005,1.0,438.19751787299174,304.0
82,1.0,0.49000000000000005,2.0,158.98666163937742,123.0
83,1.0,0.49000000000000005,3.0,1215.7729930371424,742.0
84,1.0,0.49000000000000005,4.0,659.5609783651598,431.0
85,1.0,0.49000000000000005,5.0,1640.11190843238,1000.0
86,1.0,0.49000000000000005,6.0,1649.4491171893387,1000.0
87,1.0,0.49000000000000005,7.0,482.55196096844156,326.0
88,1.0,0.49000000000000005,8.0,427.35808167805226,278.0
89,1.0,0.49000000000000005,9.0,1576.56786290148,1000.0
90,1.0,0.55,0.0,369.3579464123686,244.0
91,1.0,0.55,1.0,1666.0712599050894,1000.0
92,1.0,0.55,2.0,758.2090249090106,453.0
93,1.0,0.55,3.0,377.3849471997164,254.0
94,1.0,0.55,4.0,267.4563116174759,192.0
95,1.0,0.55,5.0,271.1178324594366,201.0
96,1.0,0.55,6.0,222.89425399318134,167.0
97,1.0,0.55,7.0,960.0522830662449,589.0
98,1.0,0.55,8.0,293.160507860026,198.0
99,1.0,0.55,9.0,1372.033922845134,842.0
100,2.0,0.01,0.0,1723.429713063917,1000.0
101,2.0,0.01,1.0,1718.132509716801,1000.0
102,2.0,0.01,2.0,1721.432585221417,1000.0
103,2.0,0.01,3.0,1733.829222864195,1000.0
104,2.0,0.01,4.0,1696.2974240385447,1000.0
105,2.0,0.01,5.0,1714.5973580008285,1000.0
106,2.0,0.01,6.0,1727.3634313960283,1000.0
107,2.0,0.01,7.0,1700.018458066399,1000.0
108,2.0,0.01,8.0,1724.4786451496257,1000.0
109,2.0,0.01,9.0,1717.2561448235501,1000.0
110,2.0,0.07,0.0,1742.5867171750724,1000.0
111,2.0,0.07,1.0,1721.2113832641262,1000.0
112,2.0,0.07,2.0,1739.90737771149,1000.0
113,2.0,0.07,3.0,1693.5865291158698,1000.0
114,2.0,0.07,4.0,1727.4432093535288,1000.0
115,2.0,0.07,5.0,1706.9669123555577,1000.0
116,2.0,0.07,6.0,1718.0123386788036,1000.0
117,2.0,0.07,7.0,1712.837618702135,1000.0
118,2.0,0.07,8.0,1707.6206209493394,1000.0
119,2.0,0.07,9.0,1721.1925694360689,1000.0
120,2.0,0.13,0.0,1734.7618092387274,1000.0
121,2.0,0.13,1.0,1676.6476946279072,1000.0
122,2.0,0.13,2.0,1711.5832311866106,1000.0
123,2.0,0.13,3.0,1682.5471195269565,1000.0
124,2.0,0.13,4.0,1708.7846805559093,1000.0
125,2.0,0.13,5.0,1686.806129087825,1000.0
126,2.0,0.13,6.0,1713.3912469314673,1000.0
127,2.0,0.13,7.0,1736.492189898694,1000.0
128,2.0,0.13,8.0,1694.8163825248848,1000.0
129,2.0,0.13,9.0,1682.8581006470704,1000.0
130,2.0,0.19000000000000003,0.0,1729.5014442392785,1000.0
131,2.0,0.19000000000000003,1.0,1700.6380577591044,1000.0
132,2.0,0.19000000000000003,2.0,1675.748847558818,1000.0
133,2.0,0.19000000000000003,3.0,1666.377874261314,1000.0
134,2.0,0.19000000000000003,4.0,1710.023352928656,1000.0
135,2.0,0.19000000000000003,5.0,1703.3424056885633,1000.0
136,2.0,0.19000000000000003,6.0,1672.3590872267814,1000.0
137,2.0,0.19000000000000003,7.0,1703.9779551063984,1000.0
138,2.0,0.19000000000000003,8.0,1750.2053135363603,1000.0
139,2.0,0.19000000000000003,9.0,1748.0223553529067,1000.0
140,2.0,0.25,0.0,1711.2812818829334,1000.0
141,2.0,0.25,1.0,1683.8654451278417,1000.0
142,2.0,0.25,2.0,1201.1647169089338,743.0
143,2.0,0.25,3.0,1694.0867056752977,1000.0
144,2.0,0.25,4.0,1682.061223548415,1000.0
145,2.0,0.25,5.0,1761.4647408531964,1000.0
146,2.0,0.25,6.0,1656.6137663666013,1000.0
147,2.0,0.25,7.0,239.68147600846714,175.0
148,2.0,0.25,8.0,1712.9319351442682,1000.0
149,2.0,0.25,9.0,1685.6287252018446,1000.0
150,2.0,0.31000000000000005,0.0,1686.1547941215176,1000.0
151,2.0,0.31000000000000005,1.0,383.4034597466816,250.0
152,2.0,0.31000000000000005,2.0,1713.575199313178,1000.0
153,2.0,0.31000000000000005,3.0,1666.4463230625333,1000.0
154,2.0,0.31000000000000005,4.0,1720.0286504247415,1000.0
155,2.0,0.31000000000000005,5.0,1708.3796272008185,1000.0
156,2.0,0.31000000000000005,6.0,1572.0379822457471,1000.0
157,2.0,0.31000000000000005,7.0,1706.459889213067,1000.0
158,2.0,0.31000000000000005,8.0,1642.8242321061116,1000.0
159,2.0,0.31000000000000005,9.0,1631.751451791839,1000.0
160,2.0,0.37000000000000005,0.0,541.2805006852868,332.0
161,2.0,0.37000000000000005,1.0,1649.0571820009864,1000.0
162,2.0,0.37000000000000005,2.0,1662.4618104538094,1000.0
163,2.0,0.37000000000000005,3.0,1290.9335776323205,763.0
164,2.0,0.37000000000000005,4.0,1683.4496780837144,1000.0
165,2.0,0.37000000000000005,5.0,1676.5144769663602,1000.0
166,2.0,0.37000000000000005,6.0,1488.4755761834676,874.0
167,2.0,0.37000000000000005,7.0,252.9285392693855,181.0
168,2.0,0.37000000000000005,8.0,1668.711129965217,1000.0
169,2.0,0.37000000000000005,9.0,745.270430333585,452.0
170,2.0,0.43000000000000005,0.0,472.94872762851446,291.0
171,2.0,0.43000000000000005,1.0,815.5731950919071,525.0
172,2.0,0.43000000000000005,2.0,430.48188125755405,282.0
173,2.0,0.43000000000000005,3.0,1252.1637439610786,772.0
174,2.0,0.43000000000000005,4.0,1640.5855587788683,1000.0
175,2.0,0.43000000000000005,5.0,848.0396568602664,522.0
176,2.0,0.43000000000000005,6.0,1430.8300959713524,830.0
177,2.0,0.43000000000000005,7.0,623.9983525990028,391.0
178,2.0,0.43000000000000005,8.0,383.3203741835023,254.0
179,2.0,0.43000000000000005,9.0,885.9287894991139,595.0
180,2.0,0.49000000000000005,0.0,1477.3553735306123,867.0
181,2.0,0.49000000000000005,1.0,760.3709393402023,474.0
182,2.0,0.49000000000000005,2.0,295.25667106678156,208.0
183,2.0,0.49000000000000005,3.0,1626.7097016907428,1000.0
184,2.0,0.49000000000000005,4.0,267.1664228843001,189.0
185,2.0,0.49000000000000005,5.0,461.7507393550695,299.0
186,2.0,0.49000000000000005,6.0,1610.2511281046754,1000.0
187,2.0,0.49000000000000005,7.0,1296.6585478298512,786.0
188,2.0,0.49000000000000005,8.0,1550.263709584302,1000.0
189,2.0,0.49000000000000005,9.0,315.23491742199985,214.0
190,2.0,0.55,0.0,1673.920033507362,1000.0
191,2.0,0.55,1.0,792.5677248271895,498.0
192,2.0,0.55,2.0,232.34177457632177,187.0
193,2.0,0.55,3.0,477.7956433876752,328.0
194,2.0,0.55,4.0,578.7227113080007,377.0
195,2.0,0.55,5.0,150.38315268240694,118.0
196,2.0,0.55,6.0,762.0756655882433,496.0
197,2.0,0.55,7.0,414.80784696436604,296.0
198,2.0,0.55,8.0,242.27093120033533,170.0
199,2.0,0.55,9.0,351.35870132539276,239.0
200,3.0,0.01,0.0,1738.3259418296948,1000.0
201,3.0,0.01,1.0,1765.4274370773273,1000.0
202,3.0,0.01,2.0,1755.448358665053,1000.0
203,3.0,0.01,3.0,1727.0024257356563,1000.0
204,3.0,0.01,4.0,1717.3320279452382,1000.0
205,3.0,0.01,5.0,1711.8542968103066,1000.0
206,3.0,0.01,6.0,1720.5855976052335,1000.0
207,3.0,0.01,7.0,1697.1694089077282,1000.0
208,3.0,0.01,8.0,1728.0369403350196,1000.0
209,3.0,0.01,9.0,1727.8272622583027,1000.0
210,3.0,0.07,0.0,1669.7254172099201,1000.0
211,3.0,0.07,1.0,1710.8064189452853,1000.0
212,3.0,0.07,2.0,1671.9534049953072,1000.0
213,3.0,0.07,3.0,1727.8123125267302,1000.0
214,3.0,0.07,4.0,1732.1327963295043,1000.0
215,3.0,0.07,5.0,1733.1258233381814,1000.0
216,3.0,0.07,6.0,1694.7717997936998,1000.0
217,3.0,0.07,7.0,1702.8462782131974,1000.0
218,3.0,0.07,8.0,1734.5531656910389,1000.0
219,3.0,0.07,9.0,1724.8995599481423,1000.0
220,3.0,0.13,0.0,1696.2795638983152,1000.0
221,3.0,0.13,1.0,1692.4551259330838,1000.0
