,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1032.0204596001518,1000.0
1,1.0,0.01,1.0,1024.5829065608127,1000.0
2,1.0,0.01,2.0,1026.6351858376502,1000.0
3,1.0,0.01,3.0,1029.245542669299,1000.0
4,1.0,0.01,4.0,1027.001352828586,1000.0
5,1.0,0.01,5.0,1035.0983096215984,1000.0
6,1.0,0.01,6.0,985.8524886084214,1000.0
7,1.0,0.01,7.0,1026.1041232354526,1000.0
8,1.0,0.01,8.0,987.7546595670739,1000.0
9,1.0,0.01,9.0,1027.4003307686482,1000.0
10,1.0,0.07,0.0,-1126.1288588688258,1000.0
11,1.0,0.07,1.0,-1040.3121926163778,1000.0
12,1.0,0.07,2.0,-1229.022887124409,1000.0
13,1.0,0.07,3.0,-1130.7377371454102,1000.0
14,1.0,0.07,4.0,-1154.5008379001688,1000.0
15,1.0,0.07,5.0,-991.8459190576108,1000.0
16,1.0,0.07,6.0,-1113.2386857462254,1000.0
17,1.0,0.07,7.0,-1058.1156529131674,1000.0
18,1.0,0.07,8.0,-1114.1647949927822,1000.0
19,1.0,0.07,9.0,-1158.267911726579,1000.0
20,1.0,0.13,0.0,-1102.0554330628127,1000.0
21,1.0,0.13,1.0,-1213.8424147831188,1000.0
22,1.0,0.13,2.0,-1183.0965721350224,1000.0
23,1.0,0.13,3.0,-1210.2375613776553,1000.0
24,1.0,0.13,4.0,-1175.2275988807176,1000.0
25,1.0,0.13,5.0,-1239.2759580279994,1000.0
26,1.0,0.13,6.0,-1209.8312375287471,1000.0
27,1.0,0.13,7.0,-1212.213739067517,1000.0
28,1.0,0.13,8.0,-1262.730735556809,1000.0
29,1.0,0.13,9.0,-1179.0683008054893,1000.0
30,1.0,0.19000000000000003,0.0,-1230.5579037830205,1000.0
31,1.0,0.19000000000000003,1.0,-1272.4177403870326,1000.0
32,1.0,0.19000000000000003,2.0,-1172.907316299957,1000.0
33,1.0,0.19000000000000003,3.0,-1221.1706204435986,1000.0
34,1.0,0.19000000000000003,4.0,-1219.6781344498052,1000.0
35,1.0,0.19000000000000003,5.0,-1231.2255971568397,1000.0
36,1.0,0.19000000000000003,6.0,-1285.8971072852466,1000.0
37,1.0,0.19000000000000003,7.0,-1301.767913760611,1000.0
38,1.0,0.19000000000000003,8.0,-1309.314885926588,1000.0
39,1.0,0.19000000000000003,9.0,-1310.1774406663988,1000.0
40,1.0,0.25,0.0,-1229.543586611978,1000.0
41,1.0,0.25,1.0,-1277.1802849508936,1000.0
42,1.0,0.25,2.0,-1221.473481001496,1000.0
43,1.0,0.25,3.0,-1236.160221366068,1000.0
44,1.0,0.25,4.0,-1355.2331223495428,1000.0
45,1.0,0.25,5.0,-1229.0287693996079,1000.0
46,1.0,0.25,6.0,-1275.5676201464846,1000.0
47,1.0,0.25,7.0,-1282.5947491150973,1000.0
48,1.0,0.25,8.0,-1276.5927101834984,1000.0
49,1.0,0.25,9.0,-1382.4908464268913,1000.0
50,1.0,0.31000000000000005,0.0,-1223.5302592231812,1000.0
51,1.0,0.31000000000000005,1.0,-1340.2897365359954,1000.0
52,1.0,0.31000000000000005,2.0,-1210.7403923769316,1000.0
53,1.0,0.31000000000000005,3.0,-1262.6707182630753,1000.0
54,1.0,0.31000000000000005,4.0,-1166.2550899487842,1000.0
55,1.0,0.31000000000000005,5.0,-1154.8121866051445,1000.0
56,1.0,0.31000000000000005,6.0,-1315.895401079947,1000.0
57,1.0,0.31000000000000005,7.0,-1297.2105583499301,1000.0
58,1.0,0.31000000000000005,8.0,-1315.9368721665696,1000.0
59,1.0,0.31000000000000005,9.0,-1411.059785718967,1000.0
60,1.0,0.37000000000000005,0.0,-1325.22410942267,1000.0
61,1.0,0.37000000000000005,1.0,-1333.5161965760449,1000.0
62,1.0,0.37000000000000005,2.0,-931.764799713401,1000.0
63,1.0,0.37000000000000005,3.0,-1431.287855796881,1000.0
64,1.0,0.37000000000000005,4.0,-1407.401400500225,1000.0
65,1.0,0.37000000000000005,5.0,-1304.121204645184,1000.0
66,1.0,0.37000000000000005,6.0,-1418.8373992112938,1000.0
67,1.0,0.37000000000000005,7.0,-1369.2359889595707,1000.0
68,1.0,0.37000000000000005,8.0,-1093.2931123338635,1000.0
69,1.0,0.37000000000000005,9.0,-1322.527385016924,1000.0
70,1.0,0.43000000000000005,0.0,-1445.472778710635,1000.0
71,1.0,0.43000000000000005,1.0,-1373.52454573773,1000.0
72,1.0,0.43000000000000005,2.0,-1235.752065817333,1000.0
73,1.0,0.43000000000000005,3.0,-1499.7221944254468,1000.0
74,1.0,0.43000000000000005,4.0,-1372.230976251351,1000.0
75,1.0,0.43000000000000005,5.0,-1228.609595743304,1000.0
76,1.0,0.43000000000000005,6.0,-1444.407573281086,1000.0
77,1.0,0.43000000000000005,7.0,-1371.5186072897197,1000.0
78,1.0,0.43000000000000005,8.0,-1149.5754931681558,1000.0
79,1.0,0.43000000000000005,9.0,-1466.5771837122882,1000.0
80,1.0,0.49000000000000005,0.0,-1404.9945138773558,1000.0
81,1.0,0.49000000000000005,1.0,-1348.4184980412188,1000.0
82,1.0,0.49000000000000005,2.0,-1407.0885745748026,1000.0
83,1.0,0.49000000000000005,3.0,-1461.099304010948,1000.0
84,1.0,0.49000000000000005,4.0,-1111.51909098388,1000.0
85,1.0,0.49000000000000005,5.0,-1138.7415186332262,1000.0
86,1.0,0.49000000000000005,6.0,-1463.5874876971384,1000.0
87,1.0,0.49000000000000005,7.0,-1427.4595352530507,1000.0
88,1.0,0.49000000000000005,8.0,-1486.7611046207517,1000.0
89,1.0,0.49000000000000005,9.0,-1465.1067277675472,1000.0
90,1.0,0.55,0.0,-1399.4558541152323,1000.0
91,1.0,0.55,1.0,-1397.8890081346883,1000.0
92,1.0,0.55,2.0,-1323.5899651862096,1000.0
93,1.0,0.55,3.0,-825.1209901290837,1000.0
94,1.0,0.55,4.0,-1461.1384053410882,1000.0
95,1.0,0.55,5.0,-1002.3132043304341,1000.0
96,1.0,0.55,6.0,-1508.831430048669,1000.0
97,1.0,0.55,7.0,-1150.148229875378,1000.0
98,1.0,0.55,8.0,-1478.3347351620268,1000.0
99,1.0,0.55,9.0,-1453.646275099472,1000.0
100,2.0,0.01,0.0,1032.5048910377702,1000.0
101,2.0,0.01,1.0,987.2670426703859,1000.0
102,2.0,0.01,2.0,1037.574375603996,1000.0
103,2.0,0.01,3.0,1035.4424457624702,1000.0
104,2.0,0.01,4.0,988.7483278619858,1000.0
105,2.0,0.01,5.0,1038.6998333395838,1000.0
106,2.0,0.01,6.0,1035.5224747398242,1000.0
107,2.0,0.01,7.0,1029.9477595417582,1000.0
108,2.0,0.01,8.0,1032.91614267041,1000.0
109,2.0,0.01,9.0,1038.643315164145,1000.0
110,2.0,0.07,0.0,224.6640554704099,1000.0
111,2.0,0.07,1.0,234.08986287114286,1000.0
112,2.0,0.07,2.0,-1166.5119236620849,1000.0
113,2.0,0.07,3.0,-1203.7474110997828,1000.0
114,2.0,0.07,4.0,-1047.0138391935277,1000.0
115,2.0,0.07,5.0,-166.6980368175376,1000.0
116,2.0,0.07,6.0,-1205.3624603988067,1000.0
117,2.0,0.07,7.0,-958.4657305064035,1000.0
118,2.0,0.07,8.0,-1121.5765296429915,1000.0
119,2.0,0.07,9.0,-1076.3030891408375,1000.0
120,2.0,0.13,0.0,-1277.3405130544927,1000.0
121,2.0,0.13,1.0,-1154.8826513550848,1000.0
122,2.0,0.13,2.0,-1191.4820787483068,1000.0
123,2.0,0.13,3.0,-1229.5816104079831,1000.0
124,2.0,0.13,4.0,-1270.3315822761788,1000.0
125,2.0,0.13,5.0,-1242.262950074331,1000.0
126,2.0,0.13,6.0,-1291.597862231442,1000.0
127,2.0,0.13,7.0,-1123.9743242961656,1000.0
128,2.0,0.13,8.0,-1147.3748986247608,1000.0
129,2.0,0.13,9.0,-1254.1077446651777,1000.0
130,2.0,0.19000000000000003,0.0,-1272.173869426806,1000.0
131,2.0,0.19000000000000003,1.0,-1242.20453109983,1000.0
132,2.0,0.19000000000000003,2.0,-1111.2066371722187,1000.0
133,2.0,0.19000000000000003,3.0,-1252.5292820184513,1000.0
134,2.0,0.19000000000000003,4.0,-1211.9111599232338,1000.0
135,2.0,0.19000000000000003,5.0,-1251.3222169014387,1000.0
136,2.0,0.19000000000000003,6.0,-1309.03223432959,1000.0
137,2.0,0.19000000000000003,7.0,-1197.3603409385678,1000.0
138,2.0,0.19000000000000003,8.0,-1233.0134465246804,1000.0
139,2.0,0.19000000000000003,9.0,-1405.2136490233302,1000.0
140,2.0,0.25,0.0,-1269.3184501149412,1000.0
141,2.0,0.25,1.0,-1251.072920586253,1000.0
142,2.0,0.25,2.0,-1245.7090439109304,1000.0
143,2.0,0.25,3.0,-1294.6430851495695,1000.0
144,2.0,0.25,4.0,-1198.4989727991763,1000.0
145,2.0,0.25,5.0,-1103.442145025837,1000.0
146,2.0,0.25,6.0,-1252.7609215952161,1000.0
147,2.0,0.25,7.0,-1194.0945904563605,1000.0
148,2.0,0.25,8.0,-1207.8967734892399,1000.0
149,2.0,0.25,9.0,-1352.314294846639,1000.0
150,2.0,0.31000000000000005,0.0,-1283.022650584941,1000.0
151,2.0,0.31000000000000005,1.0,-1294.5823943941484,1000.0
152,2.0,0.31000000000000005,2.0,-1168.556111925788,1000.0
153,2.0,0.31000000000000005,3.0,-1141.5357684782778,1000.0
154,2.0,0.31000000000000005,4.0,-1034.2842539856276,1000.0
155,2.0,0.31000000000000005,5.0,-1237.7721943677002,1000.0
156,2.0,0.31000000000000005,6.0,-1317.608791578568,1000.0
