,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,367.71461530407396,171.0
1,1.0,0.01,1.0,284.80192588398495,133.0
2,1.0,0.01,2.0,2535.718260832051,1000.0
3,1.0,0.01,3.0,1097.3395521717248,452.0
4,1.0,0.01,4.0,1263.5592120619476,517.0
5,1.0,0.01,5.0,2528.495329602287,1000.0
6,1.0,0.01,6.0,602.0277165363077,265.0
7,1.0,0.01,7.0,2494.889729720926,1000.0
8,1.0,0.01,8.0,2551.925246577186,1000.0
9,1.0,0.01,9.0,2547.6889726730005,1000.0
10,1.0,0.07,0.0,2541.345569953395,1000.0
11,1.0,0.07,1.0,2536.985665667111,1000.0
12,1.0,0.07,2.0,2042.671465075793,799.0
13,1.0,0.07,3.0,2501.6579604590006,1000.0
14,1.0,0.07,4.0,1562.4102533345795,619.0
15,1.0,0.07,5.0,2541.4125979997043,1000.0
16,1.0,0.07,6.0,2533.2320308378403,1000.0
17,1.0,0.07,7.0,2521.20399030517,1000.0
18,1.0,0.07,8.0,2254.002667140492,893.0
19,1.0,0.07,9.0,2230.9251352142674,884.0
20,1.0,0.13,0.0,1907.2700819388556,761.0
21,1.0,0.13,1.0,761.4707033710147,328.0
22,1.0,0.13,2.0,1420.8736515438286,574.0
23,1.0,0.13,3.0,1282.686362468543,517.0
24,1.0,0.13,4.0,1437.6996058434452,578.0
25,1.0,0.13,5.0,948.0500129400461,403.0
26,1.0,0.13,6.0,1270.5232624065538,544.0
27,1.0,0.13,7.0,2567.8836087475574,1000.0
28,1.0,0.13,8.0,2313.001086207194,935.0
29,1.0,0.13,9.0,728.8810569339403,310.0
30,1.0,0.19000000000000003,0.0,394.472425713102,219.0
31,1.0,0.19000000000000003,1.0,598.1725861292289,271.0
32,1.0,0.19000000000000003,2.0,760.163154901762,344.0
33,1.0,0.19000000000000003,3.0,210.07715636760986,118.0
34,1.0,0.19000000000000003,4.0,1865.7309615023405,753.0
35,1.0,0.19000000000000003,5.0,1466.2384481543995,617.0
36,1.0,0.19000000000000003,6.0,253.29314756413078,134.0
37,1.0,0.19000000000000003,7.0,741.6467131738464,321.0
38,1.0,0.19000000000000003,8.0,2387.7973648608313,969.0
39,1.0,0.19000000000000003,9.0,991.8846306503474,422.0
40,1.0,0.25,0.0,105.62211265200312,77.0
41,1.0,0.25,1.0,387.64007400414266,181.0
42,1.0,0.25,2.0,174.9962954275543,119.0
43,1.0,0.25,3.0,502.79995031793806,230.0
44,1.0,0.25,4.0,88.70036708557018,60.0
45,1.0,0.25,5.0,387.54303880605585,180.0
46,1.0,0.25,6.0,1171.2445573942314,499.0
47,1.0,0.25,7.0,704.8756630912612,321.0
48,1.0,0.25,8.0,344.2798151225725,159.0
49,1.0,0.25,9.0,375.1449350306939,179.0
50,1.0,0.31000000000000005,0.0,114.66174432969274,80.0
51,1.0,0.31000000000000005,1.0,323.5266166833535,180.0
52,1.0,0.31000000000000005,2.0,138.26851470621477,112.0
53,1.0,0.31000000000000005,3.0,152.833125935329,86.0
54,1.0,0.31000000000000005,4.0,259.1796459286634,132.0
55,1.0,0.31000000000000005,5.0,179.15086389805947,103.0
56,1.0,0.31000000000000005,6.0,138.17695521561836,85.0
57,1.0,0.31000000000000005,7.0,111.02684039513406,77.0
58,1.0,0.31000000000000005,8.0,691.8325387191508,321.0
59,1.0,0.31000000000000005,9.0,133.99622471765906,85.0
60,1.0,0.37000000000000005,0.0,109.14825225984532,72.0
61,1.0,0.37000000000000005,1.0,419.46300165809953,210.0
62,1.0,0.37000000000000005,2.0,89.3559490176849,89.0
63,1.0,0.37000000000000005,3.0,136.0228760770333,85.0
64,1.0,0.37000000000000005,4.0,125.89052645511401,82.0
65,1.0,0.37000000000000005,5.0,105.61070287804614,73.0
66,1.0,0.37000000000000005,6.0,85.13856038038648,74.0
67,1.0,0.37000000000000005,7.0,151.08936614432605,94.0
68,1.0,0.37000000000000005,8.0,226.7580442303297,132.0
69,1.0,0.37000000000000005,9.0,77.81895841764344,61.0
70,1.0,0.43000000000000005,0.0,83.17939689345076,71.0
71,1.0,0.43000000000000005,1.0,118.60968772359047,98.0
72,1.0,0.43000000000000005,2.0,124.67872691563389,105.0
73,1.0,0.43000000000000005,3.0,137.03769140538498,86.0
74,1.0,0.43000000000000005,4.0,118.70308219688741,76.0
75,1.0,0.43000000000000005,5.0,52.34229228095501,48.0
76,1.0,0.43000000000000005,6.0,85.5949923907101,74.0
77,1.0,0.43000000000000005,7.0,45.83432921433996,42.0
78,1.0,0.43000000000000005,8.0,112.98115458620305,86.0
79,1.0,0.43000000000000005,9.0,329.4848027328626,179.0
80,1.0,0.49000000000000005,0.0,60.03271320620115,65.0
81,1.0,0.49000000000000005,1.0,81.97503998410684,88.0
82,1.0,0.49000000000000005,2.0,101.35035791990958,85.0
83,1.0,0.49000000000000005,3.0,89.15877090945287,60.0
84,1.0,0.49000000000000005,4.0,46.63593460487755,45.0
85,1.0,0.49000000000000005,5.0,92.98738755148224,73.0
86,1.0,0.49000000000000005,6.0,105.57395104531315,75.0
87,1.0,0.49000000000000005,7.0,86.00783042827243,72.0
88,1.0,0.49000000000000005,8.0,80.90085893816286,66.0
89,1.0,0.49000000000000005,9.0,81.4708521484863,80.0
90,1.0,0.55,0.0,90.61572805228207,67.0
91,1.0,0.55,1.0,40.533066684402,67.0
92,1.0,0.55,2.0,117.67638576338504,95.0
93,1.0,0.55,3.0,87.43548397791164,60.0
94,1.0,0.55,4.0,136.02742035820847,83.0
95,1.0,0.55,5.0,41.93567178594094,39.0
96,1.0,0.55,6.0,95.98133910862089,74.0
97,1.0,0.55,7.0,44.836000050549046,42.0
98,1.0,0.55,8.0,54.87104342285602,61.0
99,1.0,0.55,9.0,97.64162295244023,79.0
100,2.0,0.01,0.0,2523.8309737332092,1000.0
101,2.0,0.01,1.0,2498.9016752377065,1000.0
102,2.0,0.01,2.0,2515.059688508416,1000.0
103,2.0,0.01,3.0,515.7535586385857,222.0
104,2.0,0.01,4.0,2544.2913148553926,1000.0
105,2.0,0.01,5.0,2532.525760373843,1000.0
106,2.0,0.01,6.0,1103.817687511044,454.0
107,2.0,0.01,7.0,2561.2645206572925,1000.0
