,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1041.1631929440737,995.0
1,1.0,0.01,1.0,1047.1149256689457,1000.0
2,1.0,0.01,2.0,1046.1471567377846,1000.0
3,1.0,0.01,3.0,1038.724458432831,1000.0
4,1.0,0.01,4.0,1038.5147293097914,992.0
5,1.0,0.01,5.0,1027.6803623657013,1000.0
6,1.0,0.01,6.0,1025.5493270867573,1000.0
7,1.0,0.01,7.0,1033.4065657905028,1000.0
8,1.0,0.01,8.0,1016.2994801098537,973.0
9,1.0,0.01,9.0,1028.358009771474,1000.0
10,1.0,0.07,0.0,825.2189714969813,809.0
11,1.0,0.07,1.0,809.4516475586502,784.0
12,1.0,0.07,2.0,742.1870456959294,722.0
13,1.0,0.07,3.0,888.0817149228158,874.0
14,1.0,0.07,4.0,874.8755926947334,859.0
15,1.0,0.07,5.0,878.3749241476575,866.0
16,1.0,0.07,6.0,912.1521892184614,896.0
17,1.0,0.07,7.0,799.2798136045221,783.0
18,1.0,0.07,8.0,832.5484403566696,815.0
19,1.0,0.07,9.0,859.2458541824136,849.0
20,1.0,0.13,0.0,563.7305807725268,572.0
21,1.0,0.13,1.0,468.4447502756431,474.0
22,1.0,0.13,2.0,646.3766078657706,668.0
23,1.0,0.13,3.0,524.2670502890572,555.0
24,1.0,0.13,4.0,663.083722224579,683.0
25,1.0,0.13,5.0,623.9877806627105,636.0
26,1.0,0.13,6.0,554.4686823877606,578.0
27,1.0,0.13,7.0,640.1819854577656,661.0
28,1.0,0.13,8.0,569.3073497691146,595.0
29,1.0,0.13,9.0,571.7470738766107,582.0
30,1.0,0.19000000000000003,0.0,202.2974800459459,221.0
31,1.0,0.19000000000000003,1.0,211.6651378234499,228.0
32,1.0,0.19000000000000003,2.0,538.1871178313605,665.0
33,1.0,0.19000000000000003,3.0,315.545841030417,357.0
34,1.0,0.19000000000000003,4.0,196.08300397659917,228.0
35,1.0,0.19000000000000003,5.0,257.39778781718326,295.0
36,1.0,0.19000000000000003,6.0,487.3360755759754,547.0
37,1.0,0.19000000000000003,7.0,306.8280642560461,357.0
38,1.0,0.19000000000000003,8.0,159.31802425828772,176.0
39,1.0,0.19000000000000003,9.0,399.7561168576806,453.0
40,1.0,0.25,0.0,140.35451313192894,194.0
41,1.0,0.25,1.0,201.4777489591111,291.0
42,1.0,0.25,2.0,224.2838359266068,348.0
43,1.0,0.25,3.0,141.38560433784738,201.0
44,1.0,0.25,4.0,159.09058949759353,227.0
45,1.0,0.25,5.0,35.86682697816868,28.0
46,1.0,0.25,6.0,91.18242598728106,148.0
47,1.0,0.25,7.0,100.31190802532656,128.0
48,1.0,0.25,8.0,108.87148427937497,138.0
49,1.0,0.25,9.0,151.13889997355437,179.0
50,1.0,0.31000000000000005,0.0,29.118276316529958,23.0
51,1.0,0.31000000000000005,1.0,31.149120039571425,23.0
