,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1382.7733802019375,1000.0
1,1.0,0.01,1.0,1380.919687563921,1000.0
2,1.0,0.01,2.0,1379.1787913160006,1000.0
3,1.0,0.01,3.0,1377.2195132308277,1000.0
4,1.0,0.01,4.0,1004.493623931604,740.0
5,1.0,0.01,5.0,1374.6062517181297,1000.0
6,1.0,0.01,6.0,1379.672978216014,1000.0
7,1.0,0.01,7.0,1381.5159070352188,1000.0
8,1.0,0.01,8.0,1380.6044671827533,1000.0
9,1.0,0.01,9.0,1376.4222027499568,1000.0
10,1.0,0.07,0.0,352.1213436431298,284.0
11,1.0,0.07,1.0,454.04547829345006,353.0
12,1.0,0.07,2.0,374.0907483471992,295.0
13,1.0,0.07,3.0,324.8842164047199,258.0
14,1.0,0.07,4.0,513.2869796583091,407.0
15,1.0,0.07,5.0,351.63146667399013,275.0
16,1.0,0.07,6.0,470.6825291007754,367.0
17,1.0,0.07,7.0,264.18562378660397,209.0
18,1.0,0.07,8.0,568.5378774788011,452.0
19,1.0,0.07,9.0,434.6216669137057,340.0
20,1.0,0.13,0.0,277.19207964901483,243.0
21,1.0,0.13,1.0,246.40216308994363,207.0
22,1.0,0.13,2.0,223.04293105131245,185.0
23,1.0,0.13,3.0,161.33550606746135,142.0
24,1.0,0.13,4.0,188.40467030745475,198.0
25,1.0,0.13,5.0,232.68828449013688,195.0
26,1.0,0.13,6.0,250.52697902305835,215.0
27,1.0,0.13,7.0,176.36495207621445,154.0
28,1.0,0.13,8.0,220.88316609853413,179.0
29,1.0,0.13,9.0,149.40999349245254,128.0
30,1.0,0.19000000000000003,0.0,55.446036152374894,79.0
31,1.0,0.19000000000000003,1.0,119.01064545926276,114.0
32,1.0,0.19000000000000003,2.0,161.6445872386456,166.0
33,1.0,0.19000000000000003,3.0,98.92805656729176,102.0
34,1.0,0.19000000000000003,4.0,100.09077976943941,118.0
35,1.0,0.19000000000000003,5.0,131.5605300205145,134.0
36,1.0,0.19000000000000003,6.0,198.3658108306031,184.0
37,1.0,0.19000000000000003,7.0,169.9451424317551,160.0
38,1.0,0.19000000000000003,8.0,70.78277536328703,85.0
39,1.0,0.19000000000000003,9.0,100.33748272292922,96.0
40,1.0,0.25,0.0,71.57701014052535,91.0
41,1.0,0.25,1.0,83.18321232259848,97.0
42,1.0,0.25,2.0,110.60048413151544,102.0
43,1.0,0.25,3.0,97.56284219967073,100.0
44,1.0,0.25,4.0,46.619377638926444,71.0
45,1.0,0.25,5.0,99.8499728991911,103.0
46,1.0,0.25,6.0,71.69222133126138,79.0
47,1.0,0.25,7.0,122.18829112190458,126.0
48,1.0,0.25,8.0,95.94647737652579,102.0
49,1.0,0.25,9.0,74.64276500613154,80.0
50,1.0,0.31000000000000005,0.0,71.68010328941146,104.0
51,1.0,0.31000000000000005,1.0,72.3096214037978,88.0
52,1.0,0.31000000000000005,2.0,81.40236133962328,78.0
53,1.0,0.31000000000000005,3.0,69.69794697491768,85.0
54,1.0,0.31000000000000005,4.0,39.36601380795925,72.0
55,1.0,0.31000000000000005,5.0,82.45732880237068,77.0
56,1.0,0.31000000000000005,6.0,92.77463969087883,94.0
57,1.0,0.31000000000000005,7.0,102.59732870514163,111.0
58,1.0,0.31000000000000005,8.0,72.35443269875957,88.0
59,1.0,0.31000000000000005,9.0,82.42671400232885,85.0
60,1.0,0.37000000000000005,0.0,30.542755344296047,58.0
61,1.0,0.37000000000000005,1.0,70.58817438282705,82.0
62,1.0,0.37000000000000005,2.0,80.5538509289839,95.0
63,1.0,0.37000000000000005,3.0,48.50221634090363,56.0
64,1.0,0.37000000000000005,4.0,25.733861506395254,61.0
65,1.0,0.37000000000000005,5.0,50.05473028726681,62.0
66,1.0,0.37000000000000005,6.0,62.88483604312232,65.0
67,1.0,0.37000000000000005,7.0,96.67125786201969,114.0
68,1.0,0.37000000000000005,8.0,68.06331856509871,82.0
69,1.0,0.37000000000000005,9.0,69.01303975336451,64.0
70,1.0,0.43000000000000005,0.0,-9.392976987106724,55.0
71,1.0,0.43000000000000005,1.0,65.53386384884716,78.0
72,1.0,0.43000000000000005,2.0,84.90317945188978,77.0
