,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1607.681064939102,1000.0
1,1.0,0.01,1.0,1453.2074473317361,1000.0
2,1.0,0.01,2.0,1581.0610242807902,1000.0
3,1.0,0.01,3.0,1581.6728073764566,1000.0
4,1.0,0.01,4.0,1470.3006817347473,1000.0
5,1.0,0.01,5.0,1353.239380843551,1000.0
6,1.0,0.01,6.0,1621.6011141550164,1000.0
7,1.0,0.01,7.0,1562.3937474226002,1000.0
8,1.0,0.01,8.0,1525.4503847897793,1000.0
9,1.0,0.01,9.0,1537.2766194373578,1000.0
10,1.0,0.07,0.0,1549.6176048124223,1000.0
11,1.0,0.07,1.0,1576.3752793374385,1000.0
12,1.0,0.07,2.0,1571.826458175535,1000.0
13,1.0,0.07,3.0,1572.7741249875723,1000.0
14,1.0,0.07,4.0,1530.0063441156444,1000.0
15,1.0,0.07,5.0,1618.0170404082742,1000.0
16,1.0,0.07,6.0,1435.6472902709888,1000.0
17,1.0,0.07,7.0,1590.9255993125112,1000.0
18,1.0,0.07,8.0,1582.0146630352765,1000.0
19,1.0,0.07,9.0,1594.7488009918773,1000.0
20,1.0,0.13,0.0,1643.2368649978612,1000.0
21,1.0,0.13,1.0,1567.4829191623464,1000.0
22,1.0,0.13,2.0,1560.0504838080628,1000.0
23,1.0,0.13,3.0,1594.7346749516807,1000.0
24,1.0,0.13,4.0,1421.7491107335443,1000.0
25,1.0,0.13,5.0,1489.7307181293138,1000.0
26,1.0,0.13,6.0,1348.0338701090343,1000.0
27,1.0,0.13,7.0,1533.6029637151123,1000.0
28,1.0,0.13,8.0,1575.2300513499338,1000.0
29,1.0,0.13,9.0,1492.560435762127,1000.0
30,1.0,0.19000000000000003,0.0,1578.9222113386338,1000.0
31,1.0,0.19000000000000003,1.0,1553.6340775679703,1000.0
32,1.0,0.19000000000000003,2.0,1482.617253062982,1000.0
33,1.0,0.19000000000000003,3.0,1566.0313347786177,1000.0
34,1.0,0.19000000000000003,4.0,1512.2120098632756,1000.0
35,1.0,0.19000000000000003,5.0,1524.944007453121,1000.0
36,1.0,0.19000000000000003,6.0,1407.3022820826664,1000.0
37,1.0,0.19000000000000003,7.0,1540.271150727301,1000.0
38,1.0,0.19000000000000003,8.0,1545.7010032322653,1000.0
39,1.0,0.19000000000000003,9.0,1312.2361414941072,1000.0
40,1.0,0.25,0.0,1397.1737502301107,1000.0
41,1.0,0.25,1.0,1503.021149910456,1000.0
42,1.0,0.25,2.0,-303.09168509036493,1000.0
43,1.0,0.25,3.0,1523.6585590913453,1000.0
44,1.0,0.25,4.0,1452.2825380984768,1000.0
45,1.0,0.25,5.0,1526.6224307661266,1000.0
46,1.0,0.25,6.0,1443.315914612059,1000.0
47,1.0,0.25,7.0,1487.259253968116,1000.0
48,1.0,0.25,8.0,1511.7540094445003,1000.0
49,1.0,0.25,9.0,1491.6266779056743,1000.0
50,1.0,0.31000000000000005,0.0,1388.9116017223034,1000.0
51,1.0,0.31000000000000005,1.0,1356.953739310279,1000.0
52,1.0,0.31000000000000005,2.0,1403.8629658070324,1000.0
53,1.0,0.31000000000000005,3.0,1090.2099413897693,1000.0
54,1.0,0.31000000000000005,4.0,1519.5708029060772,1000.0
55,1.0,0.31000000000000005,5.0,-175.0525834924036,843.0
