,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2498.4282914550677,1000.0
1,1.0,0.01,1.0,2484.796200404668,1000.0
2,1.0,0.01,2.0,2493.310288631299,1000.0
3,1.0,0.01,3.0,2494.7478296810523,1000.0
4,1.0,0.01,4.0,2507.8650442039498,1000.0
5,1.0,0.01,5.0,2512.316104104087,1000.0
6,1.0,0.01,6.0,2492.0697456645507,1000.0
7,1.0,0.01,7.0,2509.7016894924586,1000.0
8,1.0,0.01,8.0,2505.528220188858,1000.0
9,1.0,0.01,9.0,2518.0045957099883,1000.0
10,1.0,0.07,0.0,2469.0408025797137,1000.0
11,1.0,0.07,1.0,2495.3166316016764,1000.0
12,1.0,0.07,2.0,2483.207846958374,1000.0
13,1.0,0.07,3.0,2498.0569345911276,1000.0
14,1.0,0.07,4.0,2488.6307884540493,1000.0
15,1.0,0.07,5.0,2472.152448911385,1000.0
16,1.0,0.07,6.0,2470.1293276903934,1000.0
17,1.0,0.07,7.0,2477.3635447040874,1000.0
18,1.0,0.07,8.0,2439.8228514029756,1000.0
19,1.0,0.07,9.0,2479.4502243442325,1000.0
20,1.0,0.13,0.0,2412.522950868119,1000.0
21,1.0,0.13,1.0,2451.5494597476013,1000.0
22,1.0,0.13,2.0,2463.6915505527663,1000.0
23,1.0,0.13,3.0,2440.6871398749568,1000.0
24,1.0,0.13,4.0,2452.1701760668843,1000.0
25,1.0,0.13,5.0,2406.9210862474397,1000.0
26,1.0,0.13,6.0,2420.286501319975,1000.0
27,1.0,0.13,7.0,2450.308906679834,1000.0
28,1.0,0.13,8.0,2414.2753330451733,1000.0
29,1.0,0.13,9.0,2458.200351076314,1000.0
30,1.0,0.19000000000000003,0.0,2335.5176498886685,1000.0
31,1.0,0.19000000000000003,1.0,2316.6608252598976,1000.0
32,1.0,0.19000000000000003,2.0,2194.165296218222,1000.0
33,1.0,0.19000000000000003,3.0,2377.976059741148,1000.0
34,1.0,0.19000000000000003,4.0,2381.9336542254587,1000.0
35,1.0,0.19000000000000003,5.0,2259.232369996346,1000.0
36,1.0,0.19000000000000003,6.0,875.7390819205973,1000.0
37,1.0,0.19000000000000003,7.0,2381.075311060085,1000.0
38,1.0,0.19000000000000003,8.0,2365.3649688501737,1000.0
39,1.0,0.19000000000000003,9.0,2325.8397753828926,1000.0
40,1.0,0.25,0.0,2258.1866936538786,1000.0
41,1.0,0.25,1.0,2046.4447577363167,1000.0
42,1.0,0.25,2.0,1236.325256619249,1000.0
43,1.0,0.25,3.0,2330.9434091958055,1000.0
44,1.0,0.25,4.0,991.2432800246163,1000.0
45,1.0,0.25,5.0,1936.5642002224783,1000.0
46,1.0,0.25,6.0,1857.9405257826238,1000.0
47,1.0,0.25,7.0,2327.2473876660492,1000.0
48,1.0,0.25,8.0,891.4776116732014,1000.0
49,1.0,0.25,9.0,2248.7549759667086,1000.0
50,1.0,0.31000000000000005,0.0,2124.0755998181235,1000.0
51,1.0,0.31000000000000005,1.0,2070.5207520353656,1000.0
52,1.0,0.31000000000000005,2.0,1207.694963493267,1000.0
53,1.0,0.31000000000000005,3.0,1393.6455302095517,1000.0
54,1.0,0.31000000000000005,4.0,863.0407744671943,1000.0
55,1.0,0.31000000000000005,5.0,2005.4556263721372,1000.0
56,1.0,0.31000000000000005,6.0,2109.968039504863,1000.0
57,1.0,0.31000000000000005,7.0,2058.391490128831,1000.0
58,1.0,0.31000000000000005,8.0,1018.5364514651421,1000.0
59,1.0,0.31000000000000005,9.0,976.7949173986963,1000.0
60,1.0,0.37000000000000005,0.0,918.2745937678726,1000.0
61,1.0,0.37000000000000005,1.0,1140.278651460545,1000.0
62,1.0,0.37000000000000005,2.0,1934.026959502772,1000.0
63,1.0,0.37000000000000005,3.0,1848.217139613809,1000.0
64,1.0,0.37000000000000005,4.0,1421.8449998033439,1000.0
65,1.0,0.37000000000000005,5.0,805.1046005533593,1000.0
66,1.0,0.37000000000000005,6.0,1379.6569979580033,1000.0
67,1.0,0.37000000000000005,7.0,1770.8724520077508,1000.0
68,1.0,0.37000000000000005,8.0,1982.7759659242047,1000.0
69,1.0,0.37000000000000005,9.0,843.8581682486755,1000.0
70,1.0,0.43000000000000005,0.0,1100.9833421686144,1000.0
71,1.0,0.43000000000000005,1.0,963.6469891055565,1000.0
72,1.0,0.43000000000000005,2.0,797.6731308651221,1000.0
73,1.0,0.43000000000000005,3.0,1057.7297028535613,1000.0
74,1.0,0.43000000000000005,4.0,1023.1160893850138,1000.0
75,1.0,0.43000000000000005,5.0,893.417539102665,1000.0
76,1.0,0.43000000000000005,6.0,1145.3744205259309,1000.0
77,1.0,0.43000000000000005,7.0,935.9035195637578,1000.0
78,1.0,0.43000000000000005,8.0,1602.0972393667635,1000.0
79,1.0,0.43000000000000005,9.0,1103.1129781305324,1000.0
80,1.0,0.49000000000000005,0.0,806.1420013082197,1000.0
81,1.0,0.49000000000000005,1.0,943.7151325333159,1000.0
82,1.0,0.49000000000000005,2.0,971.1585246009337,1000.0
83,1.0,0.49000000000000005,3.0,856.633253857317,1000.0
84,1.0,0.49000000000000005,4.0,895.6485226135669,1000.0
85,1.0,0.49000000000000005,5.0,917.6636987825856,1000.0
86,1.0,0.49000000000000005,6.0,757.4855529765096,1000.0
87,1.0,0.49000000000000005,7.0,945.9359276460042,1000.0
88,1.0,0.49000000000000005,8.0,831.1560270258952,1000.0
89,1.0,0.49000000000000005,9.0,1063.8118811084205,1000.0
90,1.0,0.55,0.0,785.5365411236338,1000.0
91,1.0,0.55,1.0,770.0459006307067,1000.0
92,1.0,0.55,2.0,865.0963264541331,1000.0
93,1.0,0.55,3.0,760.7939738798262,1000.0
94,1.0,0.55,4.0,890.601630043693,1000.0
95,1.0,0.55,5.0,767.4914362764904,1000.0
96,1.0,0.55,6.0,913.1444981516726,1000.0
97,1.0,0.55,7.0,871.8491384613609,1000.0
98,1.0,0.55,8.0,745.6560423892433,1000.0
99,1.0,0.55,9.0,752.697670063044,1000.0
100,2.0,0.01,0.0,2511.4567441296117,1000.0
101,2.0,0.01,1.0,2508.055145660106,1000.0
102,2.0,0.01,2.0,2519.3593940154774,1000.0
103,2.0,0.01,3.0,2516.4269433400686,1000.0
104,2.0,0.01,4.0,2509.2836801518138,1000.0
105,2.0,0.01,5.0,2512.441397114781,1000.0
106,2.0,0.01,6.0,2504.3097218917214,1000.0
107,2.0,0.01,7.0,2493.023469305221,1000.0
108,2.0,0.01,8.0,2514.1793542381465,1000.0
109,2.0,0.01,9.0,2468.707561824305,1000.0
110,2.0,0.07,0.0,2496.7095302405846,1000.0
111,2.0,0.07,1.0,2474.9108424871215,1000.0
