,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1006.9330144790829,1000.0
1,1.0,0.01,1.0,1007.1087918296153,1000.0
2,1.0,0.01,2.0,1007.0059721442365,1000.0
3,1.0,0.01,3.0,1006.9738132439998,1000.0
4,1.0,0.01,4.0,1007.0342155873724,1000.0
5,1.0,0.01,5.0,1007.1081592053238,1000.0
6,1.0,0.01,6.0,1007.0825199537237,1000.0
7,1.0,0.01,7.0,1006.8102608838614,1000.0
8,1.0,0.01,8.0,1007.0383083152531,1000.0
9,1.0,0.01,9.0,1007.2539196586977,1000.0
10,1.0,0.07,0.0,981.6877619193496,1000.0
11,1.0,0.07,1.0,990.9802802065414,1000.0
12,1.0,0.07,2.0,715.8230420683324,1000.0
13,1.0,0.07,3.0,983.2072135928212,1000.0
14,1.0,0.07,4.0,531.45775536648,1000.0
15,1.0,0.07,5.0,978.5239757652013,1000.0
16,1.0,0.07,6.0,987.2337265238274,1000.0
17,1.0,0.07,7.0,986.0584881571975,1000.0
18,1.0,0.07,8.0,987.3264414631283,1000.0
19,1.0,0.07,9.0,983.9428993521423,1000.0
20,1.0,0.13,0.0,-480.5305923216901,1000.0
21,1.0,0.13,1.0,-466.15493020689075,1000.0
22,1.0,0.13,2.0,-589.4999380900596,1000.0
23,1.0,0.13,3.0,-107.13286783400655,1000.0
24,1.0,0.13,4.0,-494.0106113653819,1000.0
25,1.0,0.13,5.0,-615.7741279906444,1000.0
26,1.0,0.13,6.0,-415.64412497969494,1000.0
27,1.0,0.13,7.0,-608.0865036085436,1000.0
28,1.0,0.13,8.0,-514.7369981329481,1000.0
29,1.0,0.13,9.0,-282.43676893375095,1000.0
30,1.0,0.19000000000000003,0.0,-800.5366208825859,1000.0
31,1.0,0.19000000000000003,1.0,-677.9080777833384,1000.0
32,1.0,0.19000000000000003,2.0,-731.3228546368471,1000.0
33,1.0,0.19000000000000003,3.0,-489.4461075531509,1000.0
34,1.0,0.19000000000000003,4.0,-679.0464476894424,1000.0
35,1.0,0.19000000000000003,5.0,-804.1301821886616,1000.0
36,1.0,0.19000000000000003,6.0,-804.8652860908683,1000.0
37,1.0,0.19000000000000003,7.0,-704.6653832191985,1000.0
38,1.0,0.19000000000000003,8.0,-787.6003200454013,1000.0
39,1.0,0.19000000000000003,9.0,-625.376600092318,1000.0
40,1.0,0.25,0.0,-940.5823226567006,1000.0
41,1.0,0.25,1.0,-791.6602078018074,1000.0
42,1.0,0.25,2.0,-938.0799412014445,1000.0
43,1.0,0.25,3.0,-653.8919505406983,1000.0
44,1.0,0.25,4.0,-761.918939213906,1000.0
45,1.0,0.25,5.0,-1209.279780772926,1000.0
46,1.0,0.25,6.0,-968.2170008461413,1000.0
47,1.0,0.25,7.0,-799.9433676112337,1000.0
48,1.0,0.25,8.0,-895.1371595173748,1000.0
49,1.0,0.25,9.0,-828.8621191023527,1000.0
50,1.0,0.31000000000000005,0.0,-1017.9439415227488,1000.0
51,1.0,0.31000000000000005,1.0,-934.6930574084025,1000.0
52,1.0,0.31000000000000005,2.0,-1079.2556201230502,1000.0
53,1.0,0.31000000000000005,3.0,-210.15942013507893,1000.0
54,1.0,0.31000000000000005,4.0,-940.5230104974514,1000.0
55,1.0,0.31000000000000005,5.0,-1276.5322064258114,1000.0
56,1.0,0.31000000000000005,6.0,-976.0481442377176,1000.0
57,1.0,0.31000000000000005,7.0,-1017.0477662349632,1000.0
58,1.0,0.31000000000000005,8.0,-924.9387054700336,1000.0
59,1.0,0.31000000000000005,9.0,-368.02982044030546,1000.0
60,1.0,0.37000000000000005,0.0,-1087.1805213022756,1000.0
61,1.0,0.37000000000000005,1.0,-1003.2650227749242,1000.0
62,1.0,0.37000000000000005,2.0,-1123.5339419857385,1000.0
63,1.0,0.37000000000000005,3.0,-194.2872724467362,1000.0
64,1.0,0.37000000000000005,4.0,-997.4086132443812,1000.0
65,1.0,0.37000000000000005,5.0,-1327.2903554372413,1000.0
66,1.0,0.37000000000000005,6.0,-1111.958055477363,1000.0
67,1.0,0.37000000000000005,7.0,-1149.3704630537593,1000.0
68,1.0,0.37000000000000005,8.0,-992.8838684039872,1000.0
69,1.0,0.37000000000000005,9.0,-703.7082018726962,1000.0
70,1.0,0.43000000000000005,0.0,-1186.3761656884724,1000.0
71,1.0,0.43000000000000005,1.0,-787.4432796518207,1000.0
72,1.0,0.43000000000000005,2.0,-1167.1947600031826,1000.0
73,1.0,0.43000000000000005,3.0,-712.7596446640833,1000.0
74,1.0,0.43000000000000005,4.0,-1087.8064868017611,1000.0
75,1.0,0.43000000000000005,5.0,-1418.4057735386568,1000.0
76,1.0,0.43000000000000005,6.0,-1090.2174155901814,1000.0
77,1.0,0.43000000000000005,7.0,-1199.477505518668,1000.0
78,1.0,0.43000000000000005,8.0,-1135.8177597263507,1000.0
79,1.0,0.43000000000000005,9.0,-582.9994181420778,1000.0
80,1.0,0.49000000000000005,0.0,-1213.6188450495304,1000.0
81,1.0,0.49000000000000005,1.0,-752.4203221276322,1000.0
82,1.0,0.49000000000000005,2.0,-1205.480080791274,1000.0
83,1.0,0.49000000000000005,3.0,-956.3900729944488,1000.0
84,1.0,0.49000000000000005,4.0,-1142.0044955669803,1000.0
85,1.0,0.49000000000000005,5.0,-1493.0069732457823,1000.0
86,1.0,0.49000000000000005,6.0,-623.3426414730033,1000.0
87,1.0,0.49000000000000005,7.0,-1241.393961053065,1000.0
88,1.0,0.49000000000000005,8.0,-1212.5897242994786,1000.0
89,1.0,0.49000000000000005,9.0,-893.4531343631504,1000.0
90,1.0,0.55,0.0,-1240.9158838296537,1000.0
91,1.0,0.55,1.0,-940.05622782901,1000.0
92,1.0,0.55,2.0,-1345.221116344974,1000.0
93,1.0,0.55,3.0,-1094.6210347843414,1000.0
94,1.0,0.55,4.0,-936.671227759461,1000.0
95,1.0,0.55,5.0,-1497.7948617653483,1000.0
96,1.0,0.55,6.0,-735.2370760455708,1000.0
97,1.0,0.55,7.0,-1299.0271224892088,1000.0
98,1.0,0.55,8.0,-1215.616222409439,1000.0
99,1.0,0.55,9.0,-882.848594109138,1000.0
100,2.0,0.01,0.0,1007.5773244382455,1000.0
101,2.0,0.01,1.0,1007.5304293402119,1000.0
102,2.0,0.01,2.0,1007.2460860260475,1000.0
103,2.0,0.01,3.0,1007.8094553528617,1000.0
104,2.0,0.01,4.0,1007.4585513363878,1000.0
105,2.0,0.01,5.0,1007.5874421868159,1000.0
106,2.0,0.01,6.0,1007.7264876090766,1000.0
107,2.0,0.01,7.0,1007.7336365610538,1000.0
108,2.0,0.01,8.0,1007.5465940793385,1000.0
109,2.0,0.01,9.0,1007.6963738977239,1000.0
110,2.0,0.07,0.0,996.1603319894448,1000.0
111,2.0,0.07,1.0,998.0354470682897,1000.0
112,2.0,0.07,2.0,994.3817076153636,1000.0
113,2.0,0.07,3.0,996.417540458881,1000.0
114,2.0,0.07,4.0,995.979307760181,1000.0
115,2.0,0.07,5.0,996.5779129902827,1000.0
116,2.0,0.07,6.0,997.6222919490785,1000.0
117,2.0,0.07,7.0,995.7711725815738,1000.0
118,2.0,0.07,8.0,996.2135525138399,1000.0
119,2.0,0.07,9.0,997.3393922055122,1000.0
120,2.0,0.13,0.0,745.3461397247447,1000.0
121,2.0,0.13,1.0,-173.42403089759875,1000.0
122,2.0,0.13,2.0,-234.23743296734426,1000.0
123,2.0,0.13,3.0,984.1576570309188,1000.0
124,2.0,0.13,4.0,140.97990557436538,1000.0
125,2.0,0.13,5.0,776.9211495128915,1000.0
126,2.0,0.13,6.0,976.4272946140416,1000.0
127,2.0,0.13,7.0,262.24666438898527,1000.0
128,2.0,0.13,8.0,159.9475676552727,1000.0
129,2.0,0.13,9.0,968.2548911122713,1000.0
130,2.0,0.19000000000000003,0.0,-243.1289618738098,1000.0
131,2.0,0.19000000000000003,1.0,-485.5513464248258,1000.0
132,2.0,0.19000000000000003,2.0,-598.4020134238689,1000.0
133,2.0,0.19000000000000003,3.0,832.2522331491954,1000.0
134,2.0,0.19000000000000003,4.0,-361.40015201098777,1000.0
135,2.0,0.19000000000000003,5.0,-209.72561264302618,1000.0
136,2.0,0.19000000000000003,6.0,-307.07685119915755,1000.0
137,2.0,0.19000000000000003,7.0,-396.46702553544714,1000.0
138,2.0,0.19000000000000003,8.0,-388.69744934560384,1000.0
139,2.0,0.19000000000000003,9.0,195.45385412177845,1000.0
140,2.0,0.25,0.0,-334.30870773000015,1000.0
141,2.0,0.25,1.0,-638.2187756715981,1000.0
142,2.0,0.25,2.0,-956.3393735648873,1000.0
143,2.0,0.25,3.0,-381.3366476819409,1000.0
144,2.0,0.25,4.0,-511.4553380122993,1000.0
145,2.0,0.25,5.0,-697.4931691124087,1000.0
146,2.0,0.25,6.0,-215.68463917558788,1000.0
147,2.0,0.25,7.0,-566.9133865295946,1000.0
148,2.0,0.25,8.0,-511.6561128256666,1000.0
149,2.0,0.25,9.0,-232.53863625869147,1000.0
150,2.0,0.31000000000000005,0.0,-428.37214989296336,1000.0
151,2.0,0.31000000000000005,1.0,-692.7263191158441,1000.0
152,2.0,0.31000000000000005,2.0,-965.4480218523361,1000.0
153,2.0,0.31000000000000005,3.0,301.7653670751132,1000.0
154,2.0,0.31000000000000005,4.0,-832.9066361288054,1000.0
155,2.0,0.31000000000000005,5.0,-926.0456071402145,1000.0
156,2.0,0.31000000000000005,6.0,-119.5904261931339,1000.0
157,2.0,0.31000000000000005,7.0,-755.3580101201482,1000.0
158,2.0,0.31000000000000005,8.0,-622.6493219715576,1000.0
159,2.0,0.31000000000000005,9.0,-503.51532436523246,1000.0
160,2.0,0.37000000000000005,0.0,-144.5876623276344,1000.0
161,2.0,0.37000000000000005,1.0,-735.0918651783986,1000.0
162,2.0,0.37000000000000005,2.0,-1147.5567838807788,1000.0
163,2.0,0.37000000000000005,3.0,-38.623930057784214,1000.0
164,2.0,0.37000000000000005,4.0,-1044.2222466576231,1000.0
165,2.0,0.37000000000000005,5.0,-1152.0798222307735,1000.0
166,2.0,0.37000000000000005,6.0,-668.952693059114,1000.0
167,2.0,0.37000000000000005,7.0,-940.0178705362355,1000.0
168,2.0,0.37000000000000005,8.0,-794.9400144332585,1000.0
169,2.0,0.37000000000000005,9.0,-593.4560008715827,1000.0
170,2.0,0.43000000000000005,0.0,-716.3827563842254,1000.0
171,2.0,0.43000000000000005,1.0,-707.0213929699415,1000.0
172,2.0,0.43000000000000005,2.0,-1154.2090323831253,1000.0
173,2.0,0.43000000000000005,3.0,-1001.4440389536803,1000.0
174,2.0,0.43000000000000005,4.0,-576.2975851647855,1000.0
175,2.0,0.43000000000000005,5.0,-1104.428838523068,1000.0
176,2.0,0.43000000000000005,6.0,-672.5451415582793,1000.0
177,2.0,0.43000000000000005,7.0,-1120.8531939777681,1000.0
178,2.0,0.43000000000000005,8.0,-753.9781293982198,1000.0
179,2.0,0.43000000000000005,9.0,-892.9144618081701,1000.0
180,2.0,0.49000000000000005,0.0,-864.1876358711839,1000.0
181,2.0,0.49000000000000005,1.0,-806.9762287954063,1000.0
182,2.0,0.49000000000000005,2.0,-1204.6698291917671,1000.0
183,2.0,0.49000000000000005,3.0,-890.6588133436657,1000.0
184,2.0,0.49000000000000005,4.0,-799.2699256576041,1000.0
185,2.0,0.49000000000000005,5.0,-1178.4128184331796,1000.0
186,2.0,0.49000000000000005,6.0,-774.9587096613141,1000.0
187,2.0,0.49000000000000005,7.0,-1220.2399069904002,1000.0
188,2.0,0.49000000000000005,8.0,-842.5351179183508,1000.0
189,2.0,0.49000000000000005,9.0,-943.260052750259,1000.0
190,2.0,0.55,0.0,-507.7707524230297,1000.0
191,2.0,0.55,1.0,-936.3224979437812,1000.0
192,2.0,0.55,2.0,-1286.8977439731898,1000.0
193,2.0,0.55,3.0,-970.0662367495607,1000.0
194,2.0,0.55,4.0,-743.0981721433052,1000.0
195,2.0,0.55,5.0,-1321.1271916656558,1000.0
196,2.0,0.55,6.0,-765.7129419010422,1000.0
197,2.0,0.55,7.0,-1151.099185163398,1000.0
198,2.0,0.55,8.0,-968.881872708838,1000.0
199,2.0,0.55,9.0,-932.3806815657548,1000.0
200,3.0,0.01,0.0,1007.8766611411188,1000.0
201,3.0,0.01,1.0,1008.1615949970277,1000.0
202,3.0,0.01,2.0,1007.8906118091329,1000.0
203,3.0,0.01,3.0,1007.8234184243835,1000.0
204,3.0,0.01,4.0,1008.1429128485366,1000.0
205,3.0,0.01,5.0,1008.0985040760321,1000.0
206,3.0,0.01,6.0,1008.191230207056,1000.0
207,3.0,0.01,7.0,1007.977196154214,1000.0
208,3.0,0.01,8.0,1008.0696287334405,1000.0
209,3.0,0.01,9.0,1007.8723419261133,1000.0
210,3.0,0.07,0.0,999.9956418715004,1000.0
211,3.0,0.07,1.0,1001.0991971221542,1000.0
212,3.0,0.07,2.0,994.8440347507659,1000.0
213,3.0,0.07,3.0,1000.1300021528593,1000.0
214,3.0,0.07,4.0,1000.4200321024551,1000.0
215,3.0,0.07,5.0,1000.2151215123716,1000.0
216,3.0,0.07,6.0,1001.3167406709391,1000.0
217,3.0,0.07,7.0,998.8213329206494,1000.0
218,3.0,0.07,8.0,1001.1103694698721,1000.0
219,3.0,0.07,9.0,1000.0508160237388,1000.0
220,3.0,0.13,0.0,987.1640971069332,1000.0
221,3.0,0.13,1.0,988.8408257783126,1000.0
222,3.0,0.13,2.0,787.1688358623763,1000.0
223,3.0,0.13,3.0,988.4206949640353,1000.0
224,3.0,0.13,4.0,987.1532568181906,1000.0
225,3.0,0.13,5.0,988.0103897076613,1000.0
226,3.0,0.13,6.0,987.9900661766403,1000.0
227,3.0,0.13,7.0,463.96404661753036,1000.0
228,3.0,0.13,8.0,987.7694694569088,1000.0
229,3.0,0.13,9.0,987.1405209997786,1000.0
230,3.0,0.19000000000000003,0.0,467.52608052168273,1000.0
