,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1318.825622265169,1000.0
1,1.0,0.01,1.0,878.6027451912814,670.0
2,1.0,0.01,2.0,1298.9626703814283,1000.0
3,1.0,0.01,3.0,1296.644590438831,1000.0
4,1.0,0.01,4.0,1314.4826949769558,1000.0
5,1.0,0.01,5.0,1267.4902115968798,972.0
6,1.0,0.01,6.0,1316.2569880365627,1000.0
7,1.0,0.01,7.0,1281.2315626530835,1000.0
8,1.0,0.01,8.0,1304.3628045575388,1000.0
9,1.0,0.01,9.0,1292.4710747715653,1000.0
10,1.0,0.07,0.0,1304.399710337253,1000.0
11,1.0,0.07,1.0,1286.6328741897014,1000.0
12,1.0,0.07,2.0,1315.88313500215,1000.0
13,1.0,0.07,3.0,1311.599953869816,1000.0
14,1.0,0.07,4.0,1325.711194628726,1000.0
15,1.0,0.07,5.0,1285.5753319482465,1000.0
16,1.0,0.07,6.0,1315.0345028111624,1000.0
17,1.0,0.07,7.0,1308.3468265207193,1000.0
18,1.0,0.07,8.0,630.6351268433573,497.0
19,1.0,0.07,9.0,1290.928532635895,1000.0
20,1.0,0.13,0.0,1285.32543733497,1000.0
21,1.0,0.13,1.0,1313.3864447262677,1000.0
22,1.0,0.13,2.0,1273.5639690817043,1000.0
23,1.0,0.13,3.0,1279.3497456939585,1000.0
24,1.0,0.13,4.0,1158.703582527829,877.0
25,1.0,0.13,5.0,1274.3846581852995,1000.0
26,1.0,0.13,6.0,1271.9237222774173,1000.0
27,1.0,0.13,7.0,1151.1673071561381,893.0
28,1.0,0.13,8.0,1284.262598504829,1000.0
29,1.0,0.13,9.0,1311.90982102805,1000.0
30,1.0,0.19000000000000003,0.0,497.65214672519505,407.0
31,1.0,0.19000000000000003,1.0,1297.9908438817802,1000.0
32,1.0,0.19000000000000003,2.0,1261.5979493338891,1000.0
33,1.0,0.19000000000000003,3.0,537.1905215813676,444.0
34,1.0,0.19000000000000003,4.0,1276.940116839367,1000.0
35,1.0,0.19000000000000003,5.0,1287.2204959100272,1000.0
36,1.0,0.19000000000000003,6.0,1299.9494136153953,1000.0
37,1.0,0.19000000000000003,7.0,935.8692392861485,715.0
38,1.0,0.19000000000000003,8.0,1269.7108195882101,1000.0
39,1.0,0.19000000000000003,9.0,1256.943489248646,1000.0
40,1.0,0.25,0.0,752.7092348155056,615.0
41,1.0,0.25,1.0,617.6586190084417,482.0
