,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1585.5408871307154,1000.0
1,1.0,0.01,1.0,1560.2316798315442,1000.0
2,1.0,0.01,2.0,1564.6083920531091,1000.0
3,1.0,0.01,3.0,1592.1508707986795,1000.0
4,1.0,0.01,4.0,1500.4103437976155,1000.0
5,1.0,0.01,5.0,51.181132081394026,66.0
6,1.0,0.01,6.0,1524.593409644418,1000.0
7,1.0,0.01,7.0,1504.3782478193389,1000.0
8,1.0,0.01,8.0,1585.2308721761292,1000.0
9,1.0,0.01,9.0,1580.6876997164509,1000.0
10,1.0,0.07,0.0,1593.9051513258528,1000.0
11,1.0,0.07,1.0,1602.4580106717476,1000.0
12,1.0,0.07,2.0,1526.2068607369729,1000.0
13,1.0,0.07,3.0,1537.5833027152694,1000.0
14,1.0,0.07,4.0,1569.4028348149077,1000.0
15,1.0,0.07,5.0,1580.6152668491632,1000.0
16,1.0,0.07,6.0,1570.1912670788297,1000.0
17,1.0,0.07,7.0,1535.3694492551804,1000.0
18,1.0,0.07,8.0,1577.1998194335902,1000.0
19,1.0,0.07,9.0,1484.1530737981084,1000.0
20,1.0,0.13,0.0,1550.1765153822707,1000.0
21,1.0,0.13,1.0,1566.1916113904226,1000.0
22,1.0,0.13,2.0,1480.0665360238781,1000.0
23,1.0,0.13,3.0,126.93151388445403,109.0
24,1.0,0.13,4.0,1611.5515894027922,1000.0
25,1.0,0.13,5.0,1540.5542558188608,1000.0
26,1.0,0.13,6.0,1512.5229728667036,1000.0
27,1.0,0.13,7.0,1444.967667329438,1000.0
28,1.0,0.13,8.0,1549.5688839862341,1000.0
29,1.0,0.13,9.0,704.4242218793879,472.0
30,1.0,0.19000000000000003,0.0,1416.6266613372864,1000.0
31,1.0,0.19000000000000003,1.0,126.59508952243777,111.0
32,1.0,0.19000000000000003,2.0,849.2476269711915,614.0
33,1.0,0.19000000000000003,3.0,65.5458911827518,74.0
34,1.0,0.19000000000000003,4.0,1560.1218963615902,1000.0
35,1.0,0.19000000000000003,5.0,868.5264774110838,584.0
36,1.0,0.19000000000000003,6.0,361.98191485235293,253.0
37,1.0,0.19000000000000003,7.0,1134.9196795871394,776.0
38,1.0,0.19000000000000003,8.0,1084.562204185051,699.0
39,1.0,0.19000000000000003,9.0,54.085325215659395,67.0
40,1.0,0.25,0.0,1502.2186633877936,1000.0
41,1.0,0.25,1.0,170.00125993987604,135.0
42,1.0,0.25,2.0,74.0759306516411,87.0
43,1.0,0.25,3.0,63.799534904224856,71.0
44,1.0,0.25,4.0,320.94259047772357,240.0
45,1.0,0.25,5.0,543.4461498587189,378.0
46,1.0,0.25,6.0,1475.3562971608917,1000.0
47,1.0,0.25,7.0,1375.2984646116456,1000.0
48,1.0,0.25,8.0,62.14240463286842,71.0
49,1.0,0.25,9.0,55.17548809202708,72.0
50,1.0,0.31000000000000005,0.0,57.93812664125289,78.0
51,1.0,0.31000000000000005,1.0,1443.5422578579019,1000.0
52,1.0,0.31000000000000005,2.0,61.33704973631393,75.0
53,1.0,0.31000000000000005,3.0,57.72547930246219,68.0
54,1.0,0.31000000000000005,4.0,1120.41538825116,836.0
55,1.0,0.31000000000000005,5.0,877.2605350044396,593.0
56,1.0,0.31000000000000005,6.0,765.2534064724605,570.0
57,1.0,0.31000000000000005,7.0,90.85787957149296,97.0
58,1.0,0.31000000000000005,8.0,87.17761196775245,88.0
59,1.0,0.31000000000000005,9.0,49.78195217443135,71.0
60,1.0,0.37000000000000005,0.0,176.83251715431834,145.0
61,1.0,0.37000000000000005,1.0,86.68882458918961,91.0
62,1.0,0.37000000000000005,2.0,789.8213944514573,561.0
63,1.0,0.37000000000000005,3.0,54.69338880824216,64.0
64,1.0,0.37000000000000005,4.0,278.5522887315674,219.0
65,1.0,0.37000000000000005,5.0,60.03916814491822,81.0
66,1.0,0.37000000000000005,6.0,62.09390400615666,83.0
67,1.0,0.37000000000000005,7.0,60.03097466810141,79.0
68,1.0,0.37000000000000005,8.0,53.863334817884606,64.0
69,1.0,0.37000000000000005,9.0,50.92245133315737,70.0
70,1.0,0.43000000000000005,0.0,55.31681491358904,76.0
71,1.0,0.43000000000000005,1.0,109.34493099048996,107.0
72,1.0,0.43000000000000005,2.0,75.36620195359137,89.0
73,1.0,0.43000000000000005,3.0,54.32556273971568,68.0
74,1.0,0.43000000000000005,4.0,59.118550308929116,70.0
75,1.0,0.43000000000000005,5.0,73.97716097998637,85.0
76,1.0,0.43000000000000005,6.0,61.76521663728636,74.0
77,1.0,0.43000000000000005,7.0,57.15875792840234,83.0
78,1.0,0.43000000000000005,8.0,41.76078031685756,63.0
79,1.0,0.43000000000000005,9.0,48.07312624115002,72.0
80,1.0,0.49000000000000005,0.0,499.4684295322295,364.0
81,1.0,0.49000000000000005,1.0,60.5934875794992,75.0
82,1.0,0.49000000000000005,2.0,222.9407945885905,212.0
83,1.0,0.49000000000000005,3.0,52.47025552975538,68.0
84,1.0,0.49000000000000005,4.0,360.62606541389687,317.0
85,1.0,0.49000000000000005,5.0,45.95727978392824,64.0
86,1.0,0.49000000000000005,6.0,49.75758267460333,69.0
87,1.0,0.49000000000000005,7.0,369.73862447254214,323.0
88,1.0,0.49000000000000005,8.0,52.66182556782587,82.0
89,1.0,0.49000000000000005,9.0,40.94374186492496,67.0
90,1.0,0.55,0.0,50.049522958252055,70.0
91,1.0,0.55,1.0,62.828581242203654,81.0
92,1.0,0.55,2.0,96.82033314357977,105.0
93,1.0,0.55,3.0,47.419552912739164,64.0
94,1.0,0.55,4.0,354.68991361008375,298.0
95,1.0,0.55,5.0,58.35567617911147,81.0
96,1.0,0.55,6.0,46.77616794715141,80.0
97,1.0,0.55,7.0,54.72853358112479,75.0
98,1.0,0.55,8.0,45.30606408733729,67.0
99,1.0,0.55,9.0,43.97752868718089,69.0
100,2.0,0.01,0.0,1590.6678786586126,1000.0
101,2.0,0.01,1.0,1608.3306010699744,1000.0
102,2.0,0.01,2.0,1590.909236886895,1000.0
103,2.0,0.01,3.0,1600.2425950219258,1000.0
104,2.0,0.01,4.0,1593.8980945562362,1000.0
105,2.0,0.01,5.0,1574.1194238849275,1000.0
106,2.0,0.01,6.0,1583.361725165778,1000.0
107,2.0,0.01,7.0,1587.8212112225447,1000.0
108,2.0,0.01,8.0,1596.7341269641402,1000.0
109,2.0,0.01,9.0,1581.6197618285078,1000.0
110,2.0,0.07,0.0,1593.0500208976155,1000.0
111,2.0,0.07,1.0,1593.7560704459684,1000.0
112,2.0,0.07,2.0,1569.3063196097355,1000.0
113,2.0,0.07,3.0,1546.4880733282916,1000.0
114,2.0,0.07,4.0,1619.2404650579847,1000.0
115,2.0,0.07,5.0,1333.8799561486376,893.0
116,2.0,0.07,6.0,1539.8600207775598,1000.0
117,2.0,0.07,7.0,1604.2121314115357,1000.0
118,2.0,0.07,8.0,125.29180494960019,105.0
119,2.0,0.07,9.0,1562.9364183699363,1000.0
120,2.0,0.13,0.0,1024.1627058364684,710.0
121,2.0,0.13,1.0,122.58016634570959,102.0
122,2.0,0.13,2.0,1407.4977204068273,1000.0
123,2.0,0.13,3.0,1484.7604809887853,1000.0
124,2.0,0.13,4.0,91.13351908578625,90.0
125,2.0,0.13,5.0,211.7888305434535,163.0
126,2.0,0.13,6.0,1545.3460552014003,1000.0
