,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1812.701506852587,1000.0
1,1.0,0.01,1.0,1787.7378696422334,1000.0
2,1.0,0.01,2.0,1741.6339601124043,1000.0
3,1.0,0.01,3.0,1802.684032064602,1000.0
4,1.0,0.01,4.0,1831.7569300118423,1000.0
5,1.0,0.01,5.0,1729.3714804734022,1000.0
6,1.0,0.01,6.0,1834.0453772459475,1000.0
7,1.0,0.01,7.0,1836.0690333057364,1000.0
8,1.0,0.01,8.0,1871.651847861601,1000.0
9,1.0,0.01,9.0,1713.0305077240773,1000.0
10,1.0,0.07,0.0,1767.5984434807694,1000.0
11,1.0,0.07,1.0,1768.0358425061065,1000.0
12,1.0,0.07,2.0,1666.2627867448803,1000.0
13,1.0,0.07,3.0,1832.4385704671824,1000.0
14,1.0,0.07,4.0,1714.0318340329213,1000.0
15,1.0,0.07,5.0,1811.3734901458538,1000.0
16,1.0,0.07,6.0,1746.9563031738455,1000.0
17,1.0,0.07,7.0,1768.5252651320593,1000.0
18,1.0,0.07,8.0,1809.2700323504055,1000.0
19,1.0,0.07,9.0,1661.6802621389038,1000.0
20,1.0,0.13,0.0,1769.4216842324352,1000.0
21,1.0,0.13,1.0,1535.940320225729,1000.0
22,1.0,0.13,2.0,1767.3059093602935,1000.0
23,1.0,0.13,3.0,1736.7905840468002,1000.0
24,1.0,0.13,4.0,1798.6023216268554,1000.0
25,1.0,0.13,5.0,1817.0500582221614,1000.0
26,1.0,0.13,6.0,1800.5891942961184,1000.0
27,1.0,0.13,7.0,1783.9841001361467,1000.0
28,1.0,0.13,8.0,1731.540199071524,1000.0
29,1.0,0.13,9.0,1695.9934365142951,1000.0
30,1.0,0.19000000000000003,0.0,1647.367212908726,1000.0
31,1.0,0.19000000000000003,1.0,1737.990225743019,1000.0
32,1.0,0.19000000000000003,2.0,1748.9729913298904,1000.0
33,1.0,0.19000000000000003,3.0,1777.3634826405346,1000.0
34,1.0,0.19000000000000003,4.0,1655.7533490869575,1000.0
