,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,92.19347209010616,172.0
1,1.0,0.01,1.0,270.81283362536243,230.0
2,1.0,0.01,2.0,222.57773542568822,209.0
3,1.0,0.01,3.0,448.7665666915292,551.0
4,1.0,0.01,4.0,512.9300516883314,537.0
5,1.0,0.01,5.0,96.24131897808167,73.0
6,1.0,0.01,6.0,68.88685086207232,113.0
7,1.0,0.01,7.0,73.11629569977622,162.0
8,1.0,0.01,8.0,84.90575721200607,158.0
9,1.0,0.01,9.0,125.84240820540514,107.0
10,1.0,0.07,0.0,65.8885362150222,111.0
11,1.0,0.07,1.0,84.1229257014939,68.0
12,1.0,0.07,2.0,524.6231352117541,530.0
13,1.0,0.07,3.0,85.35127248368526,79.0
14,1.0,0.07,4.0,108.50099437754668,92.0
15,1.0,0.07,5.0,352.42904796474005,318.0
16,1.0,0.07,6.0,133.94798273258917,114.0
17,1.0,0.07,7.0,351.7449065660244,358.0
18,1.0,0.07,8.0,656.6034024378506,668.0
19,1.0,0.07,9.0,68.62076045913217,133.0
20,1.0,0.13,0.0,135.56557964830716,124.0
21,1.0,0.13,1.0,141.72928917934394,120.0
22,1.0,0.13,2.0,83.90219992287051,176.0
23,1.0,0.13,3.0,148.105464543781,135.0
24,1.0,0.13,4.0,97.0823268689423,178.0
25,1.0,0.13,5.0,172.4881139576607,165.0
26,1.0,0.13,6.0,78.26890884114827,74.0
27,1.0,0.13,7.0,175.29395880980155,145.0
28,1.0,0.13,8.0,200.48304164951884,182.0
29,1.0,0.13,9.0,61.56837615139087,142.0
30,1.0,0.19000000000000003,0.0,-7.127111725602598,82.0
31,1.0,0.19000000000000003,1.0,104.0038510074595,96.0
32,1.0,0.19000000000000003,2.0,85.89507693753508,78.0
33,1.0,0.19000000000000003,3.0,118.99530361164429,103.0
34,1.0,0.19000000000000003,4.0,116.2796869577228,107.0
35,1.0,0.19000000000000003,5.0,74.2070680707921,141.0
36,1.0,0.19000000000000003,6.0,29.32552132034094,97.0
37,1.0,0.19000000000000003,7.0,96.07066756370344,97.0
38,1.0,0.19000000000000003,8.0,113.27594592691415,112.0
39,1.0,0.19000000000000003,9.0,44.117940307914154,117.0
40,1.0,0.25,0.0,63.51753088059334,83.0
41,1.0,0.25,1.0,101.6822186681585,101.0
42,1.0,0.25,2.0,107.83719038014725,95.0
43,1.0,0.25,3.0,103.13719919318643,88.0
44,1.0,0.25,4.0,39.73974895119471,150.0
45,1.0,0.25,5.0,23.122661967160845,79.0
46,1.0,0.25,6.0,86.42758506300031,81.0
47,1.0,0.25,7.0,140.4177351221024,132.0
48,1.0,0.25,8.0,76.88459024088549,75.0
49,1.0,0.25,9.0,42.93666154676883,86.0
50,1.0,0.31000000000000005,0.0,78.84967602448172,81.0
51,1.0,0.31000000000000005,1.0,108.444749502982,111.0
52,1.0,0.31000000000000005,2.0,75.8307312242317,77.0
53,1.0,0.31000000000000005,3.0,79.29083115831003,68.0
54,1.0,0.31000000000000005,4.0,95.84695388680369,113.0
55,1.0,0.31000000000000005,5.0,62.64017757267207,66.0
56,1.0,0.31000000000000005,6.0,49.645453784499814,70.0
57,1.0,0.31000000000000005,7.0,54.73799215206617,91.0
58,1.0,0.31000000000000005,8.0,69.48989594956487,78.0
59,1.0,0.31000000000000005,9.0,55.22628810686488,119.0
60,1.0,0.37000000000000005,0.0,67.98743482697361,67.0
61,1.0,0.37000000000000005,1.0,87.83278965157527,99.0
62,1.0,0.37000000000000005,2.0,53.793310489778996,66.0
63,1.0,0.37000000000000005,3.0,86.81777751654687,85.0
64,1.0,0.37000000000000005,4.0,78.18180483997342,86.0
65,1.0,0.37000000000000005,5.0,21.943992591494638,44.0
66,1.0,0.37000000000000005,6.0,13.223167939079369,61.0
67,1.0,0.37000000000000005,7.0,-8.712297610674339,105.0
68,1.0,0.37000000000000005,8.0,68.7896600581457,65.0
69,1.0,0.37000000000000005,9.0,-3.4404346935546295,88.0
70,1.0,0.43000000000000005,0.0,72.38510047276763,68.0
71,1.0,0.43000000000000005,1.0,57.79266693455258,126.0
72,1.0,0.43000000000000005,2.0,58.26362621697828,68.0
73,1.0,0.43000000000000005,3.0,83.63428373024684,68.0
74,1.0,0.43000000000000005,4.0,-1.9021505785093695,52.0
75,1.0,0.43000000000000005,5.0,25.928843528830097,66.0
76,1.0,0.43000000000000005,6.0,20.470198343956454,49.0
77,1.0,0.43000000000000005,7.0,43.62057570574611,57.0
78,1.0,0.43000000000000005,8.0,59.488035731495785,62.0
79,1.0,0.43000000000000005,9.0,5.107577504631892,100.0
80,1.0,0.49000000000000005,0.0,27.95593622530749,54.0
81,1.0,0.49000000000000005,1.0,-33.844501317050174,110.0
82,1.0,0.49000000000000005,2.0,46.99223237130154,58.0
83,1.0,0.49000000000000005,3.0,71.84031253628413,61.0
84,1.0,0.49000000000000005,4.0,20.687859696662382,50.0
85,1.0,0.49000000000000005,5.0,29.437455052509556,55.0
86,1.0,0.49000000000000005,6.0,20.282409992093676,60.0
87,1.0,0.49000000000000005,7.0,34.254313409215115,48.0
88,1.0,0.49000000000000005,8.0,73.48581135317488,67.0
89,1.0,0.49000000000000005,9.0,32.418055599267994,62.0
90,1.0,0.55,0.0,30.689135125928598,49.0
91,1.0,0.55,1.0,14.660801780444803,136.0
92,1.0,0.55,2.0,42.179404409297334,55.0
93,1.0,0.55,3.0,46.39102444482781,52.0
94,1.0,0.55,4.0,9.321009268449128,73.0
95,1.0,0.55,5.0,13.286413498719424,43.0
96,1.0,0.55,6.0,12.901493006523596,49.0
97,1.0,0.55,7.0,30.037014860631622,51.0
98,1.0,0.55,8.0,49.057849729348355,54.0
99,1.0,0.55,9.0,6.37876865634763,51.0
100,2.0,0.01,0.0,248.05517109487317,224.0
101,2.0,0.01,1.0,54.68772388829604,122.0
102,2.0,0.01,2.0,382.53670746985165,378.0
103,2.0,0.01,3.0,207.0626382741025,172.0
104,2.0,0.01,4.0,424.35409965529317,406.0
105,2.0,0.01,5.0,315.0088162424196,316.0
106,2.0,0.01,6.0,53.18027605415149,86.0
107,2.0,0.01,7.0,86.53423106366712,76.0
108,2.0,0.01,8.0,321.5874065151557,317.0
109,2.0,0.01,9.0,669.8036429200085,692.0
110,2.0,0.07,0.0,191.55671501574142,166.0
111,2.0,0.07,1.0,217.1259648813533,205.0
112,2.0,0.07,2.0,165.8833654587409,130.0
113,2.0,0.07,3.0,183.06375185911753,243.0
114,2.0,0.07,4.0,33.145131027642705,87.0
115,2.0,0.07,5.0,171.35855638118917,181.0
116,2.0,0.07,6.0,91.02200151355994,90.0
117,2.0,0.07,7.0,134.229167393975,110.0
118,2.0,0.07,8.0,119.42575970698675,101.0
119,2.0,0.07,9.0,117.36414330227976,111.0
120,2.0,0.13,0.0,217.96957162599338,219.0
121,2.0,0.13,1.0,76.36566775302586,75.0
122,2.0,0.13,2.0,87.04875231200955,168.0
123,2.0,0.13,3.0,129.5472379783528,112.0
124,2.0,0.13,4.0,111.86460240409903,108.0
125,2.0,0.13,5.0,96.8809532409567,95.0
126,2.0,0.13,6.0,135.0689388547561,125.0
127,2.0,0.13,7.0,121.63107090334806,114.0
128,2.0,0.13,8.0,174.20018358786015,167.0
129,2.0,0.13,9.0,77.76852923197323,79.0
130,2.0,0.19000000000000003,0.0,198.1763134873784,200.0
131,2.0,0.19000000000000003,1.0,29.48246519648882,75.0
