,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2732.8442467427253,1000.0
1,1.0,0.01,1.0,2743.8367730061996,1000.0
2,1.0,0.01,2.0,2730.3864880299366,1000.0
3,1.0,0.01,3.0,2733.8124180290006,1000.0
4,1.0,0.01,4.0,2730.18777973933,1000.0
5,1.0,0.01,5.0,2736.37137383285,1000.0
6,1.0,0.01,6.0,2726.983492538226,1000.0
7,1.0,0.01,7.0,2696.8817644826117,1000.0
8,1.0,0.01,8.0,2596.394241207771,1000.0
9,1.0,0.01,9.0,2707.843475975214,1000.0
10,1.0,0.07,0.0,2709.8489051619777,1000.0
11,1.0,0.07,1.0,2717.810739764613,1000.0
12,1.0,0.07,2.0,2713.6994300075107,1000.0
13,1.0,0.07,3.0,2727.1800485974536,1000.0
14,1.0,0.07,4.0,2512.3928034562405,1000.0
15,1.0,0.07,5.0,2706.115822876202,1000.0
16,1.0,0.07,6.0,2709.365310419,1000.0
17,1.0,0.07,7.0,2714.5268472430903,1000.0
18,1.0,0.07,8.0,2716.9507505222314,1000.0
19,1.0,0.07,9.0,2701.4452132403644,1000.0
20,1.0,0.13,0.0,2667.81937917627,1000.0
21,1.0,0.13,1.0,2650.711947657588,1000.0
22,1.0,0.13,2.0,2587.925820377213,1000.0
23,1.0,0.13,3.0,2577.5179523250777,1000.0
24,1.0,0.13,4.0,2667.783984736449,1000.0
25,1.0,0.13,5.0,2664.858035752971,1000.0
26,1.0,0.13,6.0,2664.7973448360353,1000.0
27,1.0,0.13,7.0,2658.373657287578,1000.0
28,1.0,0.13,8.0,1570.0951967841345,1000.0
29,1.0,0.13,9.0,2679.623678876279,1000.0
30,1.0,0.19000000000000003,0.0,2598.998709718332,1000.0
31,1.0,0.19000000000000003,1.0,2589.8040638333414,1000.0
32,1.0,0.19000000000000003,2.0,2603.9271407198976,1000.0
33,1.0,0.19000000000000003,3.0,1098.6527560822888,1000.0
34,1.0,0.19000000000000003,4.0,2498.4310150988335,1000.0
35,1.0,0.19000000000000003,5.0,2017.3670649170517,1000.0
36,1.0,0.19000000000000003,6.0,2496.435938881981,1000.0
37,1.0,0.19000000000000003,7.0,2602.0051015941863,1000.0
38,1.0,0.19000000000000003,8.0,2601.934238472741,1000.0
39,1.0,0.19000000000000003,9.0,2593.0116175065605,1000.0
40,1.0,0.25,0.0,2494.288942849022,1000.0
41,1.0,0.25,1.0,2488.5971968533077,1000.0
42,1.0,0.25,2.0,2519.9046189086584,1000.0
43,1.0,0.25,3.0,1348.3241928357152,1000.0
44,1.0,0.25,4.0,2459.577764669305,1000.0
45,1.0,0.25,5.0,2552.154125665474,1000.0
46,1.0,0.25,6.0,2535.5882240323376,1000.0
47,1.0,0.25,7.0,2465.275309279062,1000.0
48,1.0,0.25,8.0,2446.975766857236,1000.0
49,1.0,0.25,9.0,2437.0548627635485,1000.0
50,1.0,0.31000000000000005,0.0,2273.489244111087,1000.0
51,1.0,0.31000000000000005,1.0,2243.093869653277,1000.0
52,1.0,0.31000000000000005,2.0,923.5379709785063,1000.0
53,1.0,0.31000000000000005,3.0,2336.6518314882182,1000.0
54,1.0,0.31000000000000005,4.0,2337.389485532471,1000.0
55,1.0,0.31000000000000005,5.0,2337.3152090141134,1000.0
56,1.0,0.31000000000000005,6.0,1051.3314926479509,1000.0
57,1.0,0.31000000000000005,7.0,2463.796673594903,1000.0
58,1.0,0.31000000000000005,8.0,2417.7485445880166,1000.0
59,1.0,0.31000000000000005,9.0,2234.948981713761,1000.0
60,1.0,0.37000000000000005,0.0,1474.5227998539438,1000.0
61,1.0,0.37000000000000005,1.0,2217.9543108714993,1000.0
62,1.0,0.37000000000000005,2.0,739.4472548762977,1000.0
63,1.0,0.37000000000000005,3.0,815.0004408993913,1000.0
64,1.0,0.37000000000000005,4.0,975.4614058447215,1000.0
65,1.0,0.37000000000000005,5.0,923.6627302461552,1000.0
66,1.0,0.37000000000000005,6.0,2265.095388679376,1000.0
67,1.0,0.37000000000000005,7.0,2292.1752142866026,1000.0
68,1.0,0.37000000000000005,8.0,2316.839278974921,1000.0
69,1.0,0.37000000000000005,9.0,2222.6272236138766,1000.0
70,1.0,0.43000000000000005,0.0,853.372519513742,1000.0
71,1.0,0.43000000000000005,1.0,1465.209215297862,1000.0
72,1.0,0.43000000000000005,2.0,843.4192606843103,1000.0
73,1.0,0.43000000000000005,3.0,1398.2904293491338,1000.0
74,1.0,0.43000000000000005,4.0,2039.685851143419,1000.0
75,1.0,0.43000000000000005,5.0,956.5819064217479,1000.0
76,1.0,0.43000000000000005,6.0,1884.1266716424018,1000.0
77,1.0,0.43000000000000005,7.0,1759.4393934750722,1000.0
78,1.0,0.43000000000000005,8.0,1884.7503840009058,1000.0
79,1.0,0.43000000000000005,9.0,1188.2937934800127,1000.0
80,1.0,0.49000000000000005,0.0,1303.419779250711,1000.0
81,1.0,0.49000000000000005,1.0,1572.9390663891525,1000.0
82,1.0,0.49000000000000005,2.0,802.5067798515151,1000.0
83,1.0,0.49000000000000005,3.0,1149.1827732990985,1000.0
84,1.0,0.49000000000000005,4.0,1029.580504167693,1000.0
85,1.0,0.49000000000000005,5.0,988.9628773858983,1000.0
86,1.0,0.49000000000000005,6.0,1925.8584868660137,1000.0
87,1.0,0.49000000000000005,7.0,1977.2535786027202,1000.0
88,1.0,0.49000000000000005,8.0,845.5810978458253,1000.0
89,1.0,0.49000000000000005,9.0,948.59163009481,1000.0
90,1.0,0.55,0.0,815.5496606683733,1000.0
91,1.0,0.55,1.0,952.3672752435583,1000.0
92,1.0,0.55,2.0,802.0282548733651,1000.0
93,1.0,0.55,3.0,776.5582074166357,1000.0
94,1.0,0.55,4.0,820.0554458311068,1000.0
95,1.0,0.55,5.0,835.1941768723699,1000.0
96,1.0,0.55,6.0,1200.7420862112178,1000.0
97,1.0,0.55,7.0,1100.0789713408285,1000.0
98,1.0,0.55,8.0,855.8089941436741,1000.0
99,1.0,0.55,9.0,925.4049518383769,1000.0
100,2.0,0.01,0.0,2724.921034709002,1000.0
101,2.0,0.01,1.0,2748.002071774205,1000.0
102,2.0,0.01,2.0,2722.6486565519676,1000.0
103,2.0,0.01,3.0,2674.858647892571,1000.0
104,2.0,0.01,4.0,2727.9104241749124,1000.0
105,2.0,0.01,5.0,2711.5424902738805,1000.0
106,2.0,0.01,6.0,2598.77762607307,1000.0
107,2.0,0.01,7.0,2750.303186424596,1000.0
108,2.0,0.01,8.0,2722.1012668202407,1000.0
109,2.0,0.01,9.0,2733.8705414077263,1000.0
110,2.0,0.07,0.0,2563.425743573168,1000.0
111,2.0,0.07,1.0,2679.1065280824437,1000.0
112,2.0,0.07,2.0,2702.8065952018924,1000.0
113,2.0,0.07,3.0,2671.696146560475,1000.0
114,2.0,0.07,4.0,2716.9644895610095,1000.0
115,2.0,0.07,5.0,2636.886488037742,1000.0
116,2.0,0.07,6.0,2672.1691719601904,1000.0
117,2.0,0.07,7.0,2682.909390298737,1000.0
118,2.0,0.07,8.0,2677.9969675106,1000.0
119,2.0,0.07,9.0,2677.8817197046305,1000.0
120,2.0,0.13,0.0,2659.8430675783306,1000.0
121,2.0,0.13,1.0,2487.141675475106,1000.0
122,2.0,0.13,2.0,2595.4131783369185,1000.0
123,2.0,0.13,3.0,2606.414685099267,1000.0
124,2.0,0.13,4.0,2666.4086202341314,1000.0
125,2.0,0.13,5.0,2651.4070165992525,1000.0
126,2.0,0.13,6.0,2633.1380591002426,1000.0
127,2.0,0.13,7.0,2605.7231999015876,1000.0
128,2.0,0.13,8.0,2644.718721067103,1000.0
129,2.0,0.13,9.0,2614.8101305149294,1000.0
130,2.0,0.19000000000000003,0.0,2510.0892146893416,1000.0
131,2.0,0.19000000000000003,1.0,2587.5008063368637,1000.0
132,2.0,0.19000000000000003,2.0,2523.174250548129,1000.0
133,2.0,0.19000000000000003,3.0,2398.659025266441,1000.0
134,2.0,0.19000000000000003,4.0,2532.7875616234433,1000.0
135,2.0,0.19000000000000003,5.0,2542.8593192878543,1000.0
136,2.0,0.19000000000000003,6.0,2567.860112188416,1000.0
137,2.0,0.19000000000000003,7.0,1961.3457752015308,1000.0
138,2.0,0.19000000000000003,8.0,1057.3823458039653,1000.0
139,2.0,0.19000000000000003,9.0,2116.9666582530454,1000.0
140,2.0,0.25,0.0,2154.0138664599544,1000.0
141,2.0,0.25,1.0,2404.97575160982,1000.0
142,2.0,0.25,2.0,2285.6411795635713,1000.0
143,2.0,0.25,3.0,2400.558676720838,1000.0
144,2.0,0.25,4.0,2232.0805149858593,1000.0
145,2.0,0.25,5.0,2418.1730349238187,1000.0
146,2.0,0.25,6.0,2412.604271510531,1000.0
147,2.0,0.25,7.0,1963.6295770176341,1000.0
148,2.0,0.25,8.0,2295.0925138349685,1000.0
149,2.0,0.25,9.0,1644.90267835904,1000.0
150,2.0,0.31000000000000005,0.0,907.6608724780226,1000.0
151,2.0,0.31000000000000005,1.0,963.0120605082188,1000.0
