,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2170.464269658111,1000.0
1,1.0,0.01,1.0,2159.8572285207474,1000.0
2,1.0,0.01,2.0,2151.297902302982,1000.0
3,1.0,0.01,3.0,2171.8750368926035,1000.0
4,1.0,0.01,4.0,2161.2396854755434,1000.0
5,1.0,0.01,5.0,2153.4568285685555,1000.0
6,1.0,0.01,6.0,2150.5459476695805,1000.0
7,1.0,0.01,7.0,2161.6839145773415,1000.0
8,1.0,0.01,8.0,2198.9665915732267,1000.0
9,1.0,0.01,9.0,2186.827162784818,1000.0
10,1.0,0.07,0.0,1692.0815773011352,780.0
11,1.0,0.07,1.0,2211.8731485941194,1000.0
12,1.0,0.07,2.0,2164.6503146515406,1000.0
13,1.0,0.07,3.0,2162.9653873488637,1000.0
14,1.0,0.07,4.0,2205.470935763854,1000.0
15,1.0,0.07,5.0,2177.5676355322034,1000.0
16,1.0,0.07,6.0,2180.7692801288376,1000.0
17,1.0,0.07,7.0,2144.9344340262883,1000.0
18,1.0,0.07,8.0,2209.1577642349557,1000.0
19,1.0,0.07,9.0,2158.8678038934336,1000.0
20,1.0,0.13,0.0,2140.848212750403,1000.0
21,1.0,0.13,1.0,2165.97618068774,1000.0
22,1.0,0.13,2.0,2122.2941213525414,1000.0
23,1.0,0.13,3.0,1671.8072103075745,773.0
24,1.0,0.13,4.0,2107.36138232507,1000.0
25,1.0,0.13,5.0,2125.308357622896,1000.0
26,1.0,0.13,6.0,2148.6263474718576,1000.0
27,1.0,0.13,7.0,2128.3628321086594,1000.0
28,1.0,0.13,8.0,2138.8216087636865,1000.0
29,1.0,0.13,9.0,2144.946410769554,1000.0
30,1.0,0.19000000000000003,0.0,553.4630617625473,279.0
31,1.0,0.19000000000000003,1.0,2133.575273720006,1000.0
32,1.0,0.19000000000000003,2.0,1412.6498075833933,685.0
33,1.0,0.19000000000000003,3.0,641.5311306305334,329.0
34,1.0,0.19000000000000003,4.0,2097.35311556688,1000.0
