,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,169.2070277929422,79.0
1,1.0,0.01,1.0,231.13054650751297,116.0
2,1.0,0.01,2.0,224.95490595029693,110.0
3,1.0,0.01,3.0,188.0418582354483,89.0
4,1.0,0.01,4.0,172.59542132549828,81.0
5,1.0,0.01,5.0,227.9020431396449,112.0
6,1.0,0.01,6.0,174.280993818026,85.0
7,1.0,0.01,7.0,165.03967883561126,78.0
8,1.0,0.01,8.0,177.90916748820462,86.0
9,1.0,0.01,9.0,203.84196947002349,99.0
10,1.0,0.07,0.0,176.03005754385518,89.0
11,1.0,0.07,1.0,195.9734304527185,100.0
12,1.0,0.07,2.0,163.89717875023055,84.0
13,1.0,0.07,3.0,187.47061107281198,97.0
14,1.0,0.07,4.0,155.49263161801503,77.0
15,1.0,0.07,5.0,172.61124273659362,86.0
16,1.0,0.07,6.0,160.71972056603119,81.0
17,1.0,0.07,7.0,116.6350622574639,100.0
18,1.0,0.07,8.0,273.6263605318962,150.0
19,1.0,0.07,9.0,153.26289707496912,74.0
20,1.0,0.13,0.0,169.6977524038666,110.0
21,1.0,0.13,1.0,107.79995636265231,98.0
22,1.0,0.13,2.0,134.61094204055115,80.0
23,1.0,0.13,3.0,173.898143662623,100.0
24,1.0,0.13,4.0,99.50945278378929,106.0
25,1.0,0.13,5.0,148.0931412667734,84.0
26,1.0,0.13,6.0,77.2420539447441,88.0
27,1.0,0.13,7.0,178.803898173054,107.0
28,1.0,0.13,8.0,206.10331816766274,142.0
29,1.0,0.13,9.0,126.05431580948932,76.0
30,1.0,0.19000000000000003,0.0,116.38464920904077,92.0
31,1.0,0.19000000000000003,1.0,110.9899773634912,82.0
32,1.0,0.19000000000000003,2.0,139.14336438127503,106.0
33,1.0,0.19000000000000003,3.0,58.30351931176845,86.0
34,1.0,0.19000000000000003,4.0,116.06377093002227,94.0
35,1.0,0.19000000000000003,5.0,83.10541636766723,72.0
36,1.0,0.19000000000000003,6.0,20.71817787606706,82.0
37,1.0,0.19000000000000003,7.0,140.11388830894424,125.0
38,1.0,0.19000000000000003,8.0,128.96912406011836,83.0
39,1.0,0.19000000000000003,9.0,100.71403970058019,79.0
40,1.0,0.25,0.0,82.84368720058991,82.0
41,1.0,0.25,1.0,58.888508166796235,66.0
42,1.0,0.25,2.0,31.843261355379944,85.0
43,1.0,0.25,3.0,104.9323144523325,84.0
44,1.0,0.25,4.0,100.5267513552113,88.0
45,1.0,0.25,5.0,63.00426668431172,85.0
46,1.0,0.25,6.0,-14.523366963193984,66.0
47,1.0,0.25,7.0,62.191924894960536,79.0
48,1.0,0.25,8.0,100.58041080515835,96.0
49,1.0,0.25,9.0,74.21453189319872,78.0
50,1.0,0.31000000000000005,0.0,42.816485590490615,96.0
51,1.0,0.31000000000000005,1.0,10.49029914403945,56.0
52,1.0,0.31000000000000005,2.0,39.91034926516732,75.0
53,1.0,0.31000000000000005,3.0,26.846812815713935,75.0
54,1.0,0.31000000000000005,4.0,50.24449967724794,69.0
55,1.0,0.31000000000000005,5.0,35.41220879928588,71.0
56,1.0,0.31000000000000005,6.0,13.611874207200888,55.0
57,1.0,0.31000000000000005,7.0,54.95237670452188,76.0
58,1.0,0.31000000000000005,8.0,36.8616795134527,75.0
59,1.0,0.31000000000000005,9.0,22.880261530389543,71.0
60,1.0,0.37000000000000005,0.0,0.9277025244533497,72.0
61,1.0,0.37000000000000005,1.0,-12.184951421641749,94.0
62,1.0,0.37000000000000005,2.0,15.553729011511308,78.0
63,1.0,0.37000000000000005,3.0,-18.310999715785147,70.0
64,1.0,0.37000000000000005,4.0,-22.563393496353818,84.0
65,1.0,0.37000000000000005,5.0,8.533709762695072,69.0
66,1.0,0.37000000000000005,6.0,0.46948149076924994,55.0
67,1.0,0.37000000000000005,7.0,17.802846519585,83.0
68,1.0,0.37000000000000005,8.0,25.70097908575262,66.0
69,1.0,0.37000000000000005,9.0,-0.23916442249174064,68.0
70,1.0,0.43000000000000005,0.0,-36.56192502513296,29.0
71,1.0,0.43000000000000005,1.0,-12.458871073255436,30.0
72,1.0,0.43000000000000005,2.0,-22.504963910704834,96.0
73,1.0,0.43000000000000005,3.0,6.465867824043381,83.0
74,1.0,0.43000000000000005,4.0,-41.389848043215174,48.0
75,1.0,0.43000000000000005,5.0,16.322978092081026,52.0
76,1.0,0.43000000000000005,6.0,-19.985698592310655,40.0
77,1.0,0.43000000000000005,7.0,-60.690581833191395,74.0
78,1.0,0.43000000000000005,8.0,-17.527353005527388,93.0
79,1.0,0.43000000000000005,9.0,-10.514864135804235,61.0
80,1.0,0.49000000000000005,0.0,-38.43740237108286,40.0
81,1.0,0.49000000000000005,1.0,-51.349323695896594,61.0
82,1.0,0.49000000000000005,2.0,-33.055442383963985,103.0
83,1.0,0.49000000000000005,3.0,-13.360000352677874,67.0
84,1.0,0.49000000000000005,4.0,-49.90036989961373,37.0
85,1.0,0.49000000000000005,5.0,-25.35564672220353,23.0
86,1.0,0.49000000000000005,6.0,-36.55607290916524,50.0
87,1.0,0.49000000000000005,7.0,-75.7654541974902,71.0
88,1.0,0.49000000000000005,8.0,-59.85517270031269,94.0
89,1.0,0.49000000000000005,9.0,-61.679225517806486,50.0
90,1.0,0.55,0.0,-43.525859869549464,33.0
91,1.0,0.55,1.0,-77.98972656454279,50.0
92,1.0,0.55,2.0,-69.77710866787676,73.0
93,1.0,0.55,3.0,-47.29188724786219,69.0
94,1.0,0.55,4.0,-48.59631095182703,28.0
