,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2226.5477706931497,1000.0
1,1.0,0.01,1.0,2196.806795133359,1000.0
2,1.0,0.01,2.0,2177.7807902833133,1000.0
3,1.0,0.01,3.0,2100.354402641116,1000.0
4,1.0,0.01,4.0,2197.4777757849974,1000.0
5,1.0,0.01,5.0,2193.0183248119192,1000.0
6,1.0,0.01,6.0,2058.99696857688,1000.0
7,1.0,0.01,7.0,2194.6312404475175,1000.0
8,1.0,0.01,8.0,2171.8656622302415,1000.0
9,1.0,0.01,9.0,2177.4693344240036,1000.0
10,1.0,0.07,0.0,2215.0307836854363,1000.0
11,1.0,0.07,1.0,2205.224004220051,1000.0
12,1.0,0.07,2.0,2125.587183216191,1000.0
13,1.0,0.07,3.0,2205.5089919778225,1000.0
14,1.0,0.07,4.0,2171.1895114225367,1000.0
15,1.0,0.07,5.0,2226.287988200815,1000.0
16,1.0,0.07,6.0,2177.4166465683234,1000.0
17,1.0,0.07,7.0,2189.9412870546585,1000.0
18,1.0,0.07,8.0,2224.710436949498,1000.0
19,1.0,0.07,9.0,2169.506944027219,1000.0
20,1.0,0.13,0.0,2164.055134985974,1000.0
21,1.0,0.13,1.0,2141.696353854866,1000.0
22,1.0,0.13,2.0,2166.2144223224527,1000.0
23,1.0,0.13,3.0,2166.9925658167754,1000.0
24,1.0,0.13,4.0,2014.7640823260906,1000.0
25,1.0,0.13,5.0,2193.224921975772,1000.0
26,1.0,0.13,6.0,2168.4193986813225,1000.0
27,1.0,0.13,7.0,2155.281795463302,1000.0
28,1.0,0.13,8.0,2170.9250841328812,1000.0
29,1.0,0.13,9.0,2107.9853448953468,1000.0
30,1.0,0.19000000000000003,0.0,2083.4029884108827,1000.0
31,1.0,0.19000000000000003,1.0,2071.628942410566,1000.0
32,1.0,0.19000000000000003,2.0,2099.8369297238646,1000.0
33,1.0,0.19000000000000003,3.0,2014.1260573877705,1000.0
34,1.0,0.19000000000000003,4.0,693.9049271204915,1000.0
35,1.0,0.19000000000000003,5.0,2048.3210365041314,1000.0
36,1.0,0.19000000000000003,6.0,2153.609082260962,1000.0
37,1.0,0.19000000000000003,7.0,2125.7317427178077,1000.0
38,1.0,0.19000000000000003,8.0,2154.590712845851,1000.0
39,1.0,0.19000000000000003,9.0,2143.5003746103826,1000.0
40,1.0,0.25,0.0,2074.824068248324,1000.0
41,1.0,0.25,1.0,2056.737095826593,1000.0
42,1.0,0.25,2.0,2075.3031805669643,1000.0
43,1.0,0.25,3.0,2065.2343775662275,1000.0
44,1.0,0.25,4.0,2064.729107817239,1000.0
45,1.0,0.25,5.0,2035.5639971457822,1000.0
46,1.0,0.25,6.0,2102.305358253092,1000.0
47,1.0,0.25,7.0,2160.395393721135,1000.0
48,1.0,0.25,8.0,2021.8020968499482,1000.0
49,1.0,0.25,9.0,1995.261072414308,1000.0
50,1.0,0.31000000000000005,0.0,2042.4474551182984,1000.0
51,1.0,0.31000000000000005,1.0,2001.1721493509565,1000.0
52,1.0,0.31000000000000005,2.0,2032.0547654470463,1000.0
53,1.0,0.31000000000000005,3.0,2038.4459192562013,1000.0
54,1.0,0.31000000000000005,4.0,2012.879552141327,1000.0
55,1.0,0.31000000000000005,5.0,2041.5481211033875,1000.0
56,1.0,0.31000000000000005,6.0,2076.0176273221746,1000.0
57,1.0,0.31000000000000005,7.0,2053.031960377379,1000.0
58,1.0,0.31000000000000005,8.0,2047.5675828348126,1000.0
59,1.0,0.31000000000000005,9.0,1997.7295846478162,1000.0
60,1.0,0.37000000000000005,0.0,1898.1446539698259,1000.0
61,1.0,0.37000000000000005,1.0,1680.088780530092,1000.0
62,1.0,0.37000000000000005,2.0,2002.9090982867954,1000.0
63,1.0,0.37000000000000005,3.0,1986.443846423883,1000.0
64,1.0,0.37000000000000005,4.0,1960.0618861598612,1000.0
65,1.0,0.37000000000000005,5.0,1904.2929531248467,1000.0
66,1.0,0.37000000000000005,6.0,1947.8619168541024,1000.0
67,1.0,0.37000000000000005,7.0,1934.0250591384302,1000.0
68,1.0,0.37000000000000005,8.0,1957.9823711801448,1000.0
69,1.0,0.37000000000000005,9.0,1999.9009415107485,1000.0
70,1.0,0.43000000000000005,0.0,1892.2013461072677,1000.0
71,1.0,0.43000000000000005,1.0,1942.46853141295,1000.0
72,1.0,0.43000000000000005,2.0,1907.9415698993625,1000.0
73,1.0,0.43000000000000005,3.0,1943.5248419950503,1000.0
74,1.0,0.43000000000000005,4.0,2003.5329446600774,1000.0
75,1.0,0.43000000000000005,5.0,1929.4792994535603,1000.0
76,1.0,0.43000000000000005,6.0,1915.686196669516,1000.0
77,1.0,0.43000000000000005,7.0,1937.1282223981373,1000.0
78,1.0,0.43000000000000005,8.0,1831.0135738648553,1000.0
79,1.0,0.43000000000000005,9.0,1880.421109356548,1000.0
80,1.0,0.49000000000000005,0.0,1696.0989876031715,1000.0
81,1.0,0.49000000000000005,1.0,1460.7884884231623,1000.0
82,1.0,0.49000000000000005,2.0,1739.4368605394081,1000.0
83,1.0,0.49000000000000005,3.0,1733.2978797549436,1000.0
84,1.0,0.49000000000000005,4.0,1860.4112799672548,1000.0
85,1.0,0.49000000000000005,5.0,1665.527223148307,1000.0
