,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,96.1886736623594,89.0
1,1.0,0.01,1.0,1811.929766452196,1000.0
2,1.0,0.01,2.0,1854.5233182450427,1000.0
3,1.0,0.01,3.0,1813.2110106233697,1000.0
4,1.0,0.01,4.0,1853.0996865562668,1000.0
5,1.0,0.01,5.0,1825.9491974781706,1000.0
6,1.0,0.01,6.0,1841.6570754440438,1000.0
7,1.0,0.01,7.0,1852.5698864973303,1000.0
8,1.0,0.01,8.0,1856.665825730994,1000.0
9,1.0,0.01,9.0,1810.1060134358304,1000.0
10,1.0,0.07,0.0,1838.821658834859,1000.0
11,1.0,0.07,1.0,1815.268009147913,1000.0
12,1.0,0.07,2.0,1819.3216564886388,1000.0
13,1.0,0.07,3.0,1785.6804706926014,1000.0
14,1.0,0.07,4.0,1824.3772799701758,1000.0
15,1.0,0.07,5.0,1852.0037870468984,1000.0
16,1.0,0.07,6.0,662.0665513426843,403.0
17,1.0,0.07,7.0,1782.4957613213285,1000.0
18,1.0,0.07,8.0,1794.815461396068,1000.0
19,1.0,0.07,9.0,1797.6617709705124,1000.0
20,1.0,0.13,0.0,1816.0024005893931,1000.0
21,1.0,0.13,1.0,1810.5414019972864,1000.0
22,1.0,0.13,2.0,1801.8943568289376,1000.0
23,1.0,0.13,3.0,1810.1126211291655,1000.0
24,1.0,0.13,4.0,1872.3552081679231,1000.0
25,1.0,0.13,5.0,1721.9345919985712,1000.0
26,1.0,0.13,6.0,497.3106306046728,301.0
27,1.0,0.13,7.0,1725.8116265265785,1000.0
28,1.0,0.13,8.0,1774.14969486273,1000.0
29,1.0,0.13,9.0,1753.7571483238962,1000.0
30,1.0,0.19000000000000003,0.0,1776.9415226221333,1000.0
31,1.0,0.19000000000000003,1.0,1744.8683579695426,1000.0
32,1.0,0.19000000000000003,2.0,1521.477519678823,930.0
33,1.0,0.19000000000000003,3.0,1787.444736679985,1000.0
34,1.0,0.19000000000000003,4.0,1749.5481002428578,1000.0
35,1.0,0.19000000000000003,5.0,1746.8955739854803,1000.0
36,1.0,0.19000000000000003,6.0,1708.0736213242587,1000.0
37,1.0,0.19000000000000003,7.0,127.56373718679103,120.0
38,1.0,0.19000000000000003,8.0,1607.1596798323392,918.0
39,1.0,0.19000000000000003,9.0,1719.378907405167,1000.0
40,1.0,0.25,0.0,700.1626187357926,472.0
41,1.0,0.25,1.0,1601.0441965062662,969.0
42,1.0,0.25,2.0,314.64362696624875,221.0
43,1.0,0.25,3.0,800.6915226734379,490.0
44,1.0,0.25,4.0,1441.0329625461452,882.0
45,1.0,0.25,5.0,186.79462125119323,173.0
46,1.0,0.25,6.0,1705.2692009596776,1000.0
47,1.0,0.25,7.0,1162.7335470415253,747.0
48,1.0,0.25,8.0,1656.8730449121779,1000.0
49,1.0,0.25,9.0,1106.7680770331926,668.0
50,1.0,0.31000000000000005,0.0,571.7475502209556,377.0
51,1.0,0.31000000000000005,1.0,76.01396348259136,197.0
52,1.0,0.31000000000000005,2.0,871.7416152495671,565.0
53,1.0,0.31000000000000005,3.0,510.7543043014522,344.0
54,1.0,0.31000000000000005,4.0,1584.8433335011694,1000.0
55,1.0,0.31000000000000005,5.0,79.12341701307595,98.0
56,1.0,0.31000000000000005,6.0,42.06779858396332,111.0
57,1.0,0.31000000000000005,7.0,17.73182871186727,43.0
58,1.0,0.31000000000000005,8.0,416.8605731160263,275.0
59,1.0,0.31000000000000005,9.0,1658.5915888327972,1000.0
60,1.0,0.37000000000000005,0.0,1425.3057385322898,966.0
61,1.0,0.37000000000000005,1.0,629.7386993730402,431.0
62,1.0,0.37000000000000005,2.0,393.5961666391872,271.0
63,1.0,0.37000000000000005,3.0,17.555084714342957,43.0
64,1.0,0.37000000000000005,4.0,576.8428701336752,397.0
65,1.0,0.37000000000000005,5.0,20.65996891121613,46.0
66,1.0,0.37000000000000005,6.0,34.87923406034386,133.0
67,1.0,0.37000000000000005,7.0,16.469139571873527,45.0
68,1.0,0.37000000000000005,8.0,378.71796747027247,264.0
69,1.0,0.37000000000000005,9.0,735.4667764467911,533.0
70,1.0,0.43000000000000005,0.0,78.70683805323502,94.0
71,1.0,0.43000000000000005,1.0,85.64164878353182,120.0
72,1.0,0.43000000000000005,2.0,607.0447286323176,425.0
73,1.0,0.43000000000000005,3.0,151.81130593357682,162.0
74,1.0,0.43000000000000005,4.0,716.6074734101344,470.0
75,1.0,0.43000000000000005,5.0,14.823978362348866,50.0
76,1.0,0.43000000000000005,6.0,22.258808306888383,49.0
77,1.0,0.43000000000000005,7.0,15.04788960918813,46.0
78,1.0,0.43000000000000005,8.0,141.90446945845048,128.0
79,1.0,0.43000000000000005,9.0,124.07184809331665,117.0
80,1.0,0.49000000000000005,0.0,313.12404877606457,341.0
81,1.0,0.49000000000000005,1.0,44.28729847214999,77.0
82,1.0,0.49000000000000005,2.0,513.0038941259609,444.0
83,1.0,0.49000000000000005,3.0,1266.1737475666105,859.0
84,1.0,0.49000000000000005,4.0,473.2828707296938,350.0
85,1.0,0.49000000000000005,5.0,450.64767244205456,384.0
86,1.0,0.49000000000000005,6.0,62.69522473093379,151.0
87,1.0,0.49000000000000005,7.0,88.92673842476806,166.0
88,1.0,0.49000000000000005,8.0,134.61168047080577,127.0
89,1.0,0.49000000000000005,9.0,10.032094285640047,40.0
90,1.0,0.55,0.0,41.157149042154195,111.0
91,1.0,0.55,1.0,116.6438388460476,197.0
92,1.0,0.55,2.0,422.5845486653545,326.0
93,1.0,0.55,3.0,241.4424976043416,233.0
94,1.0,0.55,4.0,461.9271969424301,372.0
95,1.0,0.55,5.0,383.4780852855241,331.0
96,1.0,0.55,6.0,20.9459218690783,50.0
97,1.0,0.55,7.0,49.85401864227601,94.0
98,1.0,0.55,8.0,115.08203361018676,125.0
99,1.0,0.55,9.0,177.5508264053802,255.0
100,2.0,0.01,0.0,1834.1756717152682,1000.0
101,2.0,0.01,1.0,1818.899175966859,1000.0
102,2.0,0.01,2.0,1857.953870142956,1000.0
103,2.0,0.01,3.0,1845.5685762244889,1000.0
104,2.0,0.01,4.0,1830.194137397107,1000.0
105,2.0,0.01,5.0,1884.4865216847538,1000.0
106,2.0,0.01,6.0,1863.5797109375103,1000.0
107,2.0,0.01,7.0,1809.6059480647564,1000.0
108,2.0,0.01,8.0,1844.39668173249,1000.0
109,2.0,0.01,9.0,1848.5684720327054,1000.0
110,2.0,0.07,0.0,1859.6678127282337,1000.0
111,2.0,0.07,1.0,1806.7745565154041,1000.0
112,2.0,0.07,2.0,1839.1425039042877,1000.0
113,2.0,0.07,3.0,1737.0666293122888,1000.0
114,2.0,0.07,4.0,1711.1542988903914,1000.0
