,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2089.5542175113023,1000.0
1,1.0,0.01,1.0,1993.1156060270685,1000.0
2,1.0,0.01,2.0,2058.4030224131807,1000.0
3,1.0,0.01,3.0,2040.0820539088718,1000.0
4,1.0,0.01,4.0,2065.0812388510526,1000.0
5,1.0,0.01,5.0,2073.321973109884,1000.0
6,1.0,0.01,6.0,2088.5866276006655,1000.0
7,1.0,0.01,7.0,2027.818707210646,1000.0
8,1.0,0.01,8.0,2074.575986367718,1000.0
9,1.0,0.01,9.0,2090.176011438824,1000.0
10,1.0,0.07,0.0,1996.2978362787912,1000.0
11,1.0,0.07,1.0,2029.023444985135,1000.0
12,1.0,0.07,2.0,1999.6965416344729,1000.0
13,1.0,0.07,3.0,2028.6355936632842,1000.0
14,1.0,0.07,4.0,2059.0799498826595,1000.0
15,1.0,0.07,5.0,2066.3378734966122,1000.0
16,1.0,0.07,6.0,2039.0519604906376,1000.0
17,1.0,0.07,7.0,2040.3221112658061,1000.0
18,1.0,0.07,8.0,2059.771416529695,1000.0
19,1.0,0.07,9.0,2012.3437773614598,1000.0
20,1.0,0.13,0.0,1951.8241146483813,1000.0
21,1.0,0.13,1.0,2014.1361766183409,1000.0
22,1.0,0.13,2.0,1940.1508292939295,1000.0
23,1.0,0.13,3.0,2000.6857867867602,1000.0
24,1.0,0.13,4.0,1973.961957786658,1000.0
25,1.0,0.13,5.0,1964.5118051328234,1000.0
26,1.0,0.13,6.0,1988.9701290982362,1000.0
27,1.0,0.13,7.0,1956.0090319840338,1000.0
28,1.0,0.13,8.0,1995.6510685699288,1000.0
29,1.0,0.13,9.0,1979.5801910336324,1000.0
30,1.0,0.19000000000000003,0.0,1877.9342502322727,1000.0
31,1.0,0.19000000000000003,1.0,1932.8404932446886,1000.0
32,1.0,0.19000000000000003,2.0,1969.1959506966664,1000.0
33,1.0,0.19000000000000003,3.0,1950.4958091836615,1000.0
34,1.0,0.19000000000000003,4.0,1912.480977233038,1000.0
35,1.0,0.19000000000000003,5.0,1865.3720356120732,1000.0
36,1.0,0.19000000000000003,6.0,1958.3490724321052,1000.0
37,1.0,0.19000000000000003,7.0,1904.5147795193202,1000.0
38,1.0,0.19000000000000003,8.0,1922.016261822001,1000.0
39,1.0,0.19000000000000003,9.0,1848.6655334571676,1000.0
40,1.0,0.25,0.0,1884.2211086380632,1000.0
41,1.0,0.25,1.0,1875.7264333331777,1000.0
42,1.0,0.25,2.0,1871.641749362243,1000.0
43,1.0,0.25,3.0,1867.4723230181685,1000.0
44,1.0,0.25,4.0,1839.2373547592376,1000.0
45,1.0,0.25,5.0,1857.0979113200722,1000.0
46,1.0,0.25,6.0,1857.4715117746705,1000.0
47,1.0,0.25,7.0,1888.9959224850554,1000.0
48,1.0,0.25,8.0,1880.0809053285284,1000.0
49,1.0,0.25,9.0,1885.0015850622965,1000.0
50,1.0,0.31000000000000005,0.0,1766.1470275748775,1000.0
51,1.0,0.31000000000000005,1.0,1797.4589518581197,1000.0
52,1.0,0.31000000000000005,2.0,1745.6708820970118,1000.0
53,1.0,0.31000000000000005,3.0,1780.9156341449436,1000.0
54,1.0,0.31000000000000005,4.0,1806.2941003257417,1000.0
55,1.0,0.31000000000000005,5.0,1715.8436200924857,1000.0
56,1.0,0.31000000000000005,6.0,1798.6721585738755,1000.0
57,1.0,0.31000000000000005,7.0,1780.6579031976173,1000.0
58,1.0,0.31000000000000005,8.0,1741.9403921127803,1000.0
59,1.0,0.31000000000000005,9.0,1764.9000721278028,1000.0
60,1.0,0.37000000000000005,0.0,1606.0753122026958,1000.0
61,1.0,0.37000000000000005,1.0,1720.8878588779933,1000.0
62,1.0,0.37000000000000005,2.0,761.9985912560064,1000.0
63,1.0,0.37000000000000005,3.0,1628.0079640271776,1000.0
64,1.0,0.37000000000000005,4.0,1676.542391308557,1000.0
65,1.0,0.37000000000000005,5.0,1572.7540658109826,1000.0
66,1.0,0.37000000000000005,6.0,1678.3660619214943,1000.0
67,1.0,0.37000000000000005,7.0,1591.785650232052,1000.0
68,1.0,0.37000000000000005,8.0,1674.4040888836867,1000.0
69,1.0,0.37000000000000005,9.0,702.9399037900525,1000.0
70,1.0,0.43000000000000005,0.0,1403.3050229387761,1000.0
71,1.0,0.43000000000000005,1.0,1497.8279918625071,1000.0
72,1.0,0.43000000000000005,2.0,1552.425072409791,1000.0
73,1.0,0.43000000000000005,3.0,1572.3967331601996,1000.0
74,1.0,0.43000000000000005,4.0,1551.5814281192922,1000.0
75,1.0,0.43000000000000005,5.0,1657.1982383349114,1000.0
76,1.0,0.43000000000000005,6.0,1646.8659696497432,1000.0
77,1.0,0.43000000000000005,7.0,550.1565006721834,1000.0
78,1.0,0.43000000000000005,8.0,1568.649907340527,1000.0
79,1.0,0.43000000000000005,9.0,1521.2284657998998,1000.0
80,1.0,0.49000000000000005,0.0,1472.0509604968147,1000.0
81,1.0,0.49000000000000005,1.0,1375.6114839946497,1000.0
82,1.0,0.49000000000000005,2.0,1457.237178845238,1000.0
83,1.0,0.49000000000000005,3.0,1392.6588308983116,1000.0
84,1.0,0.49000000000000005,4.0,1322.3887197422405,1000.0
85,1.0,0.49000000000000005,5.0,1542.0379602019384,1000.0
86,1.0,0.49000000000000005,6.0,1534.0823796789048,1000.0
87,1.0,0.49000000000000005,7.0,1446.6689484451424,1000.0
88,1.0,0.49000000000000005,8.0,1435.9931706821742,1000.0
89,1.0,0.49000000000000005,9.0,1349.7310937956374,1000.0
90,1.0,0.55,0.0,1143.3336405884081,1000.0
91,1.0,0.55,1.0,1424.9214331100754,1000.0
92,1.0,0.55,2.0,1315.1759206013576,1000.0
93,1.0,0.55,3.0,1160.0149971958633,1000.0
94,1.0,0.55,4.0,1239.0863552397284,1000.0
95,1.0,0.55,5.0,1075.2204789002244,1000.0
96,1.0,0.55,6.0,321.00576284315014,1000.0
97,1.0,0.55,7.0,1377.1368457152457,1000.0
98,1.0,0.55,8.0,1398.5536426367987,1000.0
99,1.0,0.55,9.0,1225.4634394838388,1000.0
100,2.0,0.01,0.0,2048.1788661353994,1000.0
101,2.0,0.01,1.0,2080.8890190812695,1000.0
102,2.0,0.01,2.0,2064.101972846565,1000.0
103,2.0,0.01,3.0,2087.1076155036035,1000.0
104,2.0,0.01,4.0,2012.3447075744205,1000.0
105,2.0,0.01,5.0,2030.903130705531,1000.0
106,2.0,0.01,6.0,2048.526606742636,1000.0
107,2.0,0.01,7.0,2058.5235760330183,1000.0
108,2.0,0.01,8.0,2099.30470473855,1000.0
109,2.0,0.01,9.0,2034.486917004379,1000.0
110,2.0,0.07,0.0,2109.528795436871,1000.0
111,2.0,0.07,1.0,2060.848796598026,1000.0
112,2.0,0.07,2.0,2053.7106475059654,1000.0
113,2.0,0.07,3.0,1990.5754297538235,1000.0
114,2.0,0.07,4.0,2020.9801276891783,1000.0
115,2.0,0.07,5.0,1947.8363546130743,1000.0
116,2.0,0.07,6.0,2082.7211563157434,1000.0
117,2.0,0.07,7.0,1975.7141374260555,1000.0
118,2.0,0.07,8.0,2026.8881686430807,1000.0
119,2.0,0.07,9.0,2016.3687401175323,1000.0
120,2.0,0.13,0.0,1954.624369432538,1000.0
121,2.0,0.13,1.0,1993.7695314350372,1000.0
122,2.0,0.13,2.0,1961.13944200352,1000.0
123,2.0,0.13,3.0,2007.3206733830282,1000.0
124,2.0,0.13,4.0,1997.1350818209653,1000.0
125,2.0,0.13,5.0,1970.0725246991065,1000.0
126,2.0,0.13,6.0,1995.343629591582,1000.0
127,2.0,0.13,7.0,1982.90488159748,1000.0
128,2.0,0.13,8.0,1921.741004341983,1000.0
129,2.0,0.13,9.0,1972.1682308074548,1000.0
130,2.0,0.19000000000000003,0.0,1900.466443972549,1000.0
131,2.0,0.19000000000000003,1.0,1923.3761282179455,1000.0
132,2.0,0.19000000000000003,2.0,1812.769666608254,1000.0
133,2.0,0.19000000000000003,3.0,1901.5685473319652,1000.0
134,2.0,0.19000000000000003,4.0,1889.7145454621084,1000.0
135,2.0,0.19000000000000003,5.0,1977.9298635619443,1000.0
136,2.0,0.19000000000000003,6.0,1934.4310044227202,1000.0
137,2.0,0.19000000000000003,7.0,1887.3471520167027,1000.0
138,2.0,0.19000000000000003,8.0,1912.1353680216548,1000.0
139,2.0,0.19000000000000003,9.0,1937.6706602036197,1000.0
140,2.0,0.25,0.0,1799.4862841114007,1000.0
141,2.0,0.25,1.0,1824.1062996331746,1000.0
142,2.0,0.25,2.0,1844.3980852495258,1000.0
143,2.0,0.25,3.0,-649.6678806471319,1000.0
144,2.0,0.25,4.0,1880.997273003338,1000.0
145,2.0,0.25,5.0,1851.2793801333753,1000.0
146,2.0,0.25,6.0,1850.5670786430817,1000.0
147,2.0,0.25,7.0,1812.6746876524462,1000.0
148,2.0,0.25,8.0,1848.7852265691304,1000.0
149,2.0,0.25,9.0,1787.750887927744,1000.0
150,2.0,0.31000000000000005,0.0,1703.9544601382433,1000.0
151,2.0,0.31000000000000005,1.0,1711.1100506042662,1000.0
152,2.0,0.31000000000000005,2.0,1727.3222739368514,1000.0
153,2.0,0.31000000000000005,3.0,1746.2157594994924,1000.0
154,2.0,0.31000000000000005,4.0,1684.6203352607263,1000.0
155,2.0,0.31000000000000005,5.0,1744.3463282295231,1000.0
156,2.0,0.31000000000000005,6.0,1042.6693800372213,1000.0
157,2.0,0.31000000000000005,7.0,1739.4051754714249,1000.0
158,2.0,0.31000000000000005,8.0,1742.3185144902388,1000.0
159,2.0,0.31000000000000005,9.0,1774.5407397360975,1000.0
160,2.0,0.37000000000000005,0.0,1591.0787750115421,1000.0
161,2.0,0.37000000000000005,1.0,1485.7635837150128,1000.0
162,2.0,0.37000000000000005,2.0,1674.1904854961572,1000.0
163,2.0,0.37000000000000005,3.0,1660.7392171605384,1000.0
164,2.0,0.37000000000000005,4.0,1594.2555515803265,1000.0
165,2.0,0.37000000000000005,5.0,1607.5504605082665,1000.0
166,2.0,0.37000000000000005,6.0,1669.7810187149423,1000.0
167,2.0,0.37000000000000005,7.0,1597.350172001663,1000.0
168,2.0,0.37000000000000005,8.0,1598.1256398423573,1000.0
169,2.0,0.37000000000000005,9.0,1503.4074520808742,1000.0
170,2.0,0.43000000000000005,0.0,1321.6681213464635,1000.0
171,2.0,0.43000000000000005,1.0,1398.4575036239512,1000.0
172,2.0,0.43000000000000005,2.0,1452.719525216311,1000.0
173,2.0,0.43000000000000005,3.0,1241.0635744947701,1000.0
174,2.0,0.43000000000000005,4.0,1278.0033984970223,1000.0
175,2.0,0.43000000000000005,5.0,1465.4793492447027,1000.0
176,2.0,0.43000000000000005,6.0,1378.2642439193482,1000.0
177,2.0,0.43000000000000005,7.0,1565.012802015308,1000.0
178,2.0,0.43000000000000005,8.0,1414.414028016708,1000.0
179,2.0,0.43000000000000005,9.0,1440.5161772026358,1000.0
180,2.0,0.49000000000000005,0.0,-274.7374765181648,1000.0
181,2.0,0.49000000000000005,1.0,1184.13470931458,1000.0
