,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2207.380065166154,1000.0
1,1.0,0.01,1.0,2222.4999621989004,1000.0
2,1.0,0.01,2.0,2202.32069502327,1000.0
3,1.0,0.01,3.0,2217.5412230817374,1000.0
4,1.0,0.01,4.0,2195.2589568665317,1000.0
5,1.0,0.01,5.0,2195.783197693155,1000.0
6,1.0,0.01,6.0,2198.8515529947504,1000.0
7,1.0,0.01,7.0,2217.8169507038315,1000.0
8,1.0,0.01,8.0,2184.679696750279,1000.0
9,1.0,0.01,9.0,2176.329584499894,1000.0
10,1.0,0.07,0.0,2170.7215688146803,1000.0
11,1.0,0.07,1.0,2172.792483235187,1000.0
12,1.0,0.07,2.0,2205.900368482637,1000.0
13,1.0,0.07,3.0,2195.87072534879,1000.0
14,1.0,0.07,4.0,2170.4887327116785,1000.0
15,1.0,0.07,5.0,2194.7293855319704,1000.0
16,1.0,0.07,6.0,2164.9783194132315,1000.0
17,1.0,0.07,7.0,2189.0515978444923,1000.0
18,1.0,0.07,8.0,2188.313531235804,1000.0
19,1.0,0.07,9.0,2189.788715343955,1000.0
20,1.0,0.13,0.0,2130.2211892897267,1000.0
21,1.0,0.13,1.0,2136.481637981098,1000.0
22,1.0,0.13,2.0,2110.9277354596097,1000.0
23,1.0,0.13,3.0,2150.5394646042014,1000.0
24,1.0,0.13,4.0,2143.6929110846563,1000.0
25,1.0,0.13,5.0,2130.62168189413,1000.0
26,1.0,0.13,6.0,2163.8128688810903,1000.0
27,1.0,0.13,7.0,2161.1658281352784,1000.0
28,1.0,0.13,8.0,2151.4028106093497,1000.0
29,1.0,0.13,9.0,2161.3726652653772,1000.0
30,1.0,0.19000000000000003,0.0,2136.569142731442,1000.0
31,1.0,0.19000000000000003,1.0,1613.2198788189253,794.0
32,1.0,0.19000000000000003,2.0,2134.1111427172614,1000.0
33,1.0,0.19000000000000003,3.0,2139.7471088039247,1000.0
34,1.0,0.19000000000000003,4.0,2174.553757672562,1000.0
35,1.0,0.19000000000000003,5.0,2132.592576929795,1000.0
36,1.0,0.19000000000000003,6.0,2139.061514609317,1000.0
37,1.0,0.19000000000000003,7.0,2078.0412049265665,1000.0
38,1.0,0.19000000000000003,8.0,2088.0843392940997,1000.0
39,1.0,0.19000000000000003,9.0,2109.782788426724,1000.0
40,1.0,0.25,0.0,2086.141074327708,1000.0
41,1.0,0.25,1.0,2091.522446945218,1000.0
42,1.0,0.25,2.0,1588.8325660473934,790.0
