,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1021.1456753168153,1000.0
1,1.0,0.01,1.0,1022.7067794426895,1000.0
2,1.0,0.01,2.0,1021.3843369898774,1000.0
3,1.0,0.01,3.0,1020.8841189468629,1000.0
4,1.0,0.01,4.0,1023.6329751528983,1000.0
5,1.0,0.01,5.0,1023.2926517315491,1000.0
6,1.0,0.01,6.0,1020.0468924810611,1000.0
7,1.0,0.01,7.0,1023.2029070332436,1000.0
8,1.0,0.01,8.0,1021.4786461167083,1000.0
9,1.0,0.01,9.0,1022.3112923505947,1000.0
10,1.0,0.07,0.0,1012.0825242749617,1000.0
11,1.0,0.07,1.0,1011.11393636931,1000.0
12,1.0,0.07,2.0,1014.95263469272,1000.0
13,1.0,0.07,3.0,1013.8992643076566,1000.0
14,1.0,0.07,4.0,1015.3440580090664,1000.0
15,1.0,0.07,5.0,1012.2153874319522,1000.0
16,1.0,0.07,6.0,1014.3631391954799,1000.0
17,1.0,0.07,7.0,1013.7488930171711,1000.0
18,1.0,0.07,8.0,1015.1005216329629,1000.0
19,1.0,0.07,9.0,1015.2619690094452,1000.0
20,1.0,0.13,0.0,1002.0185990639757,1000.0
21,1.0,0.13,1.0,80.98314500240225,78.0
22,1.0,0.13,2.0,999.1634900688516,1000.0
23,1.0,0.13,3.0,1000.1005701737068,1000.0
24,1.0,0.13,4.0,90.63464383332028,84.0
25,1.0,0.13,5.0,997.4560081561516,1000.0
26,1.0,0.13,6.0,1004.3441891686123,1000.0
27,1.0,0.13,7.0,1000.2546015314884,1000.0
28,1.0,0.13,8.0,1003.5398887794709,1000.0
29,1.0,0.13,9.0,1004.0242259032549,1000.0
30,1.0,0.19000000000000003,0.0,986.0214438097724,1000.0
31,1.0,0.19000000000000003,1.0,984.2158610966169,1000.0
32,1.0,0.19000000000000003,2.0,985.6167808831094,1000.0
33,1.0,0.19000000000000003,3.0,987.3387835891051,1000.0
34,1.0,0.19000000000000003,4.0,980.1240028221459,1000.0
35,1.0,0.19000000000000003,5.0,983.9717207413881,1000.0
36,1.0,0.19000000000000003,6.0,983.659206799962,1000.0
37,1.0,0.19000000000000003,7.0,977.3524882358818,1000.0
38,1.0,0.19000000000000003,8.0,986.1765982198999,1000.0
39,1.0,0.19000000000000003,9.0,987.6117145443989,1000.0
40,1.0,0.25,0.0,954.1252326878932,1000.0
41,1.0,0.25,1.0,949.2425545679922,1000.0
42,1.0,0.25,2.0,955.3431839356177,1000.0
43,1.0,0.25,3.0,950.3428091405077,1000.0
44,1.0,0.25,4.0,953.8514116486297,1000.0
45,1.0,0.25,5.0,957.6138248774106,1000.0
46,1.0,0.25,6.0,961.1028950318585,1000.0
47,1.0,0.25,7.0,952.6990937419085,1000.0
48,1.0,0.25,8.0,958.8151442979954,1000.0
49,1.0,0.25,9.0,957.4867024588674,1000.0
50,1.0,0.31000000000000005,0.0,898.6403106524009,1000.0
51,1.0,0.31000000000000005,1.0,913.9193993297202,1000.0
52,1.0,0.31000000000000005,2.0,912.5139080388313,1000.0
53,1.0,0.31000000000000005,3.0,132.00251758025408,121.0
54,1.0,0.31000000000000005,4.0,105.23598731016972,94.0
55,1.0,0.31000000000000005,5.0,109.18168598597117,105.0
56,1.0,0.31000000000000005,6.0,38.77874652447062,32.0
57,1.0,0.31000000000000005,7.0,25.856092435575558,23.0
58,1.0,0.31000000000000005,8.0,910.0421128194171,1000.0
59,1.0,0.31000000000000005,9.0,914.2923399808752,1000.0
60,1.0,0.37000000000000005,0.0,135.80068631381732,120.0
61,1.0,0.37000000000000005,1.0,165.75886742090955,165.0
62,1.0,0.37000000000000005,2.0,862.9422377875806,1000.0
63,1.0,0.37000000000000005,3.0,90.14524466971488,83.0
64,1.0,0.37000000000000005,4.0,86.64721316555809,90.0
65,1.0,0.37000000000000005,5.0,22.400953599804787,21.0
66,1.0,0.37000000000000005,6.0,32.37347628472053,30.0
67,1.0,0.37000000000000005,7.0,24.881409680268554,24.0
68,1.0,0.37000000000000005,8.0,586.1968464444118,676.0
69,1.0,0.37000000000000005,9.0,549.0142535759967,617.0
70,1.0,0.43000000000000005,0.0,212.64729863215175,236.0
71,1.0,0.43000000000000005,1.0,156.64252443693834,164.0
72,1.0,0.43000000000000005,2.0,814.8501198442021,1000.0
73,1.0,0.43000000000000005,3.0,95.12720106491619,86.0
74,1.0,0.43000000000000005,4.0,108.91669524105819,105.0
75,1.0,0.43000000000000005,5.0,267.80152901554396,310.0
76,1.0,0.43000000000000005,6.0,33.69926578105515,31.0
77,1.0,0.43000000000000005,7.0,428.0875604720146,526.0
78,1.0,0.43000000000000005,8.0,255.12869410332496,287.0
79,1.0,0.43000000000000005,9.0,128.31877331802679,121.0
80,1.0,0.49000000000000005,0.0,192.0154092853264,235.0
81,1.0,0.49000000000000005,1.0,14.257640826054555,14.0
82,1.0,0.49000000000000005,2.0,87.85751368289054,88.0
83,1.0,0.49000000000000005,3.0,80.43481987582925,72.0
84,1.0,0.49000000000000005,4.0,100.47627715752316,113.0
85,1.0,0.49000000000000005,5.0,20.799710322696768,20.0
86,1.0,0.49000000000000005,6.0,28.42913224172516,30.0
87,1.0,0.49000000000000005,7.0,21.05123047498637,21.0
88,1.0,0.49000000000000005,8.0,117.89773940644372,135.0
89,1.0,0.49000000000000005,9.0,129.1303883550863,129.0
90,1.0,0.55,0.0,30.74608026671631,35.0
91,1.0,0.55,1.0,120.17085557047686,147.0
92,1.0,0.55,2.0,71.4150309096105,70.0
93,1.0,0.55,3.0,63.137059796284305,73.0
94,1.0,0.55,4.0,71.38204533293761,91.0
95,1.0,0.55,5.0,27.432673197251283,29.0
96,1.0,0.55,6.0,27.873931402225573,30.0
97,1.0,0.55,7.0,19.44914347348094,21.0
98,1.0,0.55,8.0,117.74607939980197,136.0
99,1.0,0.55,9.0,69.63137050703664,56.0
100,2.0,0.01,0.0,1021.4134723611292,1000.0
101,2.0,0.01,1.0,1021.8040711103819,1000.0
102,2.0,0.01,2.0,1023.5087102566699,1000.0
103,2.0,0.01,3.0,1023.1159960309478,1000.0
104,2.0,0.01,4.0,1018.807372325579,1000.0
105,2.0,0.01,5.0,1022.5811865186397,1000.0
106,2.0,0.01,6.0,1023.9107206370925,1000.0
107,2.0,0.01,7.0,1021.2464346281191,1000.0
108,2.0,0.01,8.0,1021.9562869615753,1000.0
109,2.0,0.01,9.0,1022.1327867441644,1000.0
110,2.0,0.07,0.0,1013.5102253052373,1000.0
111,2.0,0.07,1.0,1008.1092072606154,1000.0
112,2.0,0.07,2.0,1014.471528426258,1000.0
113,2.0,0.07,3.0,1013.3516007765994,1000.0
114,2.0,0.07,4.0,1016.944667140619,1000.0
115,2.0,0.07,5.0,1012.6557282138166,1000.0
116,2.0,0.07,6.0,1010.7223864187766,1000.0
117,2.0,0.07,7.0,1016.9026617305703,1000.0
118,2.0,0.07,8.0,1012.9786648245173,1000.0
119,2.0,0.07,9.0,1013.7036353636951,1000.0
120,2.0,0.13,0.0,1003.3651990232715,1000.0
121,2.0,0.13,1.0,1003.3729043878202,1000.0
122,2.0,0.13,2.0,1005.3790027814367,1000.0
123,2.0,0.13,3.0,998.9548125366365,1000.0
124,2.0,0.13,4.0,1005.1805733642847,1000.0
125,2.0,0.13,5.0,996.928854269286,1000.0
126,2.0,0.13,6.0,996.8311727009807,1000.0
127,2.0,0.13,7.0,990.7372468163554,1000.0
128,2.0,0.13,8.0,992.21266875887,1000.0
129,2.0,0.13,9.0,989.1563355345543,1000.0
130,2.0,0.19000000000000003,0.0,987.1526920110173,1000.0
131,2.0,0.19000000000000003,1.0,987.2698979658873,1000.0
132,2.0,0.19000000000000003,2.0,987.5139436170391,1000.0
133,2.0,0.19000000000000003,3.0,980.2222213577244,1000.0
134,2.0,0.19000000000000003,4.0,985.3592117280474,1000.0
135,2.0,0.19000000000000003,5.0,987.5117896657705,1000.0
136,2.0,0.19000000000000003,6.0,992.3629331800673,1000.0
137,2.0,0.19000000000000003,7.0,984.5046525805607,1000.0
138,2.0,0.19000000000000003,8.0,988.4543227312593,1000.0
139,2.0,0.19000000000000003,9.0,977.9457952734487,1000.0
140,2.0,0.25,0.0,954.3622086524414,1000.0
141,2.0,0.25,1.0,967.8282175000351,1000.0
142,2.0,0.25,2.0,957.9000002562232,1000.0
143,2.0,0.25,3.0,162.32069504272664,138.0
144,2.0,0.25,4.0,959.0380074199664,1000.0
145,2.0,0.25,5.0,957.7107287840497,1000.0
146,2.0,0.25,6.0,962.3625292438362,1000.0
147,2.0,0.25,7.0,961.9847347477677,1000.0
148,2.0,0.25,8.0,959.7104201817048,1000.0
149,2.0,0.25,9.0,958.7514327007806,1000.0
150,2.0,0.31000000000000005,0.0,419.8327443861174,449.0
151,2.0,0.31000000000000005,1.0,313.8859298888796,326.0
152,2.0,0.31000000000000005,2.0,691.1821302826096,748.0
153,2.0,0.31000000000000005,3.0,172.4339416770803,168.0
154,2.0,0.31000000000000005,4.0,785.2246900610324,878.0
155,2.0,0.31000000000000005,5.0,44.164964511680594,36.0
156,2.0,0.31000000000000005,6.0,104.57078702448491,86.0
157,2.0,0.31000000000000005,7.0,48.08505136505847,41.0
158,2.0,0.31000000000000005,8.0,536.6516743067299,572.0
159,2.0,0.31000000000000005,9.0,916.4617785691889,1000.0
160,2.0,0.37000000000000005,0.0,66.09527264249192,55.0
161,2.0,0.37000000000000005,1.0,311.3965196252612,336.0
162,2.0,0.37000000000000005,2.0,212.49572152293115,218.0
163,2.0,0.37000000000000005,3.0,17.623151750009853,15.0
164,2.0,0.37000000000000005,4.0,171.07947855967785,186.0
165,2.0,0.37000000000000005,5.0,22.253179927836758,21.0
166,2.0,0.37000000000000005,6.0,149.31362161921132,145.0
167,2.0,0.37000000000000005,7.0,44.93419425277825,40.0
168,2.0,0.37000000000000005,8.0,127.67354739178117,120.0
169,2.0,0.37000000000000005,9.0,41.854175842489354,34.0
170,2.0,0.43000000000000005,0.0,78.5501623718432,83.0
171,2.0,0.43000000000000005,1.0,206.23538768125718,234.0
172,2.0,0.43000000000000005,2.0,99.63850091999925,88.0
173,2.0,0.43000000000000005,3.0,15.983124779957867,15.0
174,2.0,0.43000000000000005,4.0,85.02465938790846,116.0
175,2.0,0.43000000000000005,5.0,65.77347597816258,81.0
176,2.0,0.43000000000000005,6.0,32.70556302193,31.0
177,2.0,0.43000000000000005,7.0,24.928820946742782,25.0
178,2.0,0.43000000000000005,8.0,146.856045913526,161.0
179,2.0,0.43000000000000005,9.0,35.58082429017523,32.0
180,2.0,0.49000000000000005,0.0,74.6394265222087,76.0
181,2.0,0.49000000000000005,1.0,206.84265934662687,241.0
182,2.0,0.49000000000000005,2.0,29.806166436850617,26.0
183,2.0,0.49000000000000005,3.0,17.018850137964183,15.0
184,2.0,0.49000000000000005,4.0,111.80101482820614,128.0
185,2.0,0.49000000000000005,5.0,63.06718971333175,85.0
186,2.0,0.49000000000000005,6.0,35.4218760047559,32.0
187,2.0,0.49000000000000005,7.0,24.460210033069597,26.0
188,2.0,0.49000000000000005,8.0,91.9536983013968,94.0
189,2.0,0.49000000000000005,9.0,36.12708440644783,33.0
190,2.0,0.55,0.0,67.71722596825856,79.0
191,2.0,0.55,1.0,22.458155037749382,24.0
192,2.0,0.55,2.0,26.27359951999824,26.0
193,2.0,0.55,3.0,13.899508590405457,14.0
194,2.0,0.55,4.0,118.59919398882482,141.0
195,2.0,0.55,5.0,49.05403715692229,87.0
196,2.0,0.55,6.0,33.74857758713188,31.0
197,2.0,0.55,7.0,12.492261818482076,11.0
198,2.0,0.55,8.0,27.773385413424688,25.0
199,2.0,0.55,9.0,37.71800506742293,33.0
200,3.0,0.01,0.0,1012.790820506524,1000.0
201,3.0,0.01,1.0,1022.782556376963,1000.0
202,3.0,0.01,2.0,1015.533552490185,1000.0
203,3.0,0.01,3.0,125.37143506540299,103.0
204,3.0,0.01,4.0,1022.2505463826257,1000.0
205,3.0,0.01,5.0,1019.349671313107,1000.0
206,3.0,0.01,6.0,1022.7732539164474,1000.0
207,3.0,0.01,7.0,1022.6123870314489,1000.0
208,3.0,0.01,8.0,1012.2441387265341,1000.0
209,3.0,0.01,9.0,106.28246110446197,93.0
210,3.0,0.07,0.0,1013.7189925851459,1000.0
211,3.0,0.07,1.0,1015.1333596386418,1000.0
212,3.0,0.07,2.0,1015.7416432231431,1000.0
213,3.0,0.07,3.0,1011.1201391999468,1000.0
214,3.0,0.07,4.0,1009.3141805469653,1000.0
215,3.0,0.07,5.0,1012.2952108357912,1000.0
216,3.0,0.07,6.0,1012.3892388390435,1000.0
217,3.0,0.07,7.0,1013.4676903221955,1000.0
218,3.0,0.07,8.0,1015.5608727418223,1000.0
219,3.0,0.07,9.0,1009.4320636425253,1000.0
220,3.0,0.13,0.0,994.4084860106951,1000.0
221,3.0,0.13,1.0,1006.5902493595512,1000.0
222,3.0,0.13,2.0,1007.1860936799756,1000.0
223,3.0,0.13,3.0,999.8100062875776,1000.0
224,3.0,0.13,4.0,999.1934929874565,1000.0
225,3.0,0.13,5.0,999.3472436867715,1000.0
226,3.0,0.13,6.0,1001.1143416661308,1000.0
227,3.0,0.13,7.0,1003.063198549175,1000.0
228,3.0,0.13,8.0,1006.9659631643268,1000.0
229,3.0,0.13,9.0,979.7727447913826,1000.0
230,3.0,0.19000000000000003,0.0,119.19810991931305,102.0
231,3.0,0.19000000000000003,1.0,991.9907906578239,1000.0
232,3.0,0.19000000000000003,2.0,978.9719674608705,1000.0
233,3.0,0.19000000000000003,3.0,102.93089272236831,89.0
234,3.0,0.19000000000000003,4.0,156.18726043334328,138.0
235,3.0,0.19000000000000003,5.0,989.7553574003736,1000.0
236,3.0,0.19000000000000003,6.0,990.068864322811,1000.0
237,3.0,0.19000000000000003,7.0,986.5182194923023,1000.0
238,3.0,0.19000000000000003,8.0,987.8879510852217,1000.0
239,3.0,0.19000000000000003,9.0,981.1926800034291,1000.0
240,3.0,0.25,0.0,38.36569125218812,32.0
241,3.0,0.25,1.0,960.1335902265147,1000.0
242,3.0,0.25,2.0,868.6591481305702,901.0
243,3.0,0.25,3.0,450.9977422023523,457.0
244,3.0,0.25,4.0,116.0083783936353,103.0
245,3.0,0.25,5.0,939.9194268932339,1000.0
246,3.0,0.25,6.0,463.53259013906836,465.0
247,3.0,0.25,7.0,41.229095533478535,36.0
248,3.0,0.25,8.0,32.414908807523894,26.0
249,3.0,0.25,9.0,958.985973608046,1000.0
250,3.0,0.31000000000000005,0.0,106.92758796745615,103.0
251,3.0,0.31000000000000005,1.0,31.76586568701896,27.0
252,3.0,0.31000000000000005,2.0,313.6452588832633,325.0
253,3.0,0.31000000000000005,3.0,166.07715270507325,150.0
254,3.0,0.31000000000000005,4.0,69.96667225626878,66.0
255,3.0,0.31000000000000005,5.0,168.81758451540247,169.0
256,3.0,0.31000000000000005,6.0,78.83663129507185,75.0
257,3.0,0.31000000000000005,7.0,17.93031245700695,15.0
258,3.0,0.31000000000000005,8.0,28.17491650480806,25.0
259,3.0,0.31000000000000005,9.0,547.646851632288,573.0
260,3.0,0.37000000000000005,0.0,112.580383099943,121.0
261,3.0,0.37000000000000005,1.0,26.849537093238904,27.0
262,3.0,0.37000000000000005,2.0,229.86151649097448,242.0
263,3.0,0.37000000000000005,3.0,47.49863712090446,43.0
264,3.0,0.37000000000000005,4.0,87.06196815767036,101.0
265,3.0,0.37000000000000005,5.0,74.00580633273786,82.0
266,3.0,0.37000000000000005,6.0,93.69008010004909,87.0
267,3.0,0.37000000000000005,7.0,72.29985913722484,61.0
268,3.0,0.37000000000000005,8.0,135.02136927394025,142.0
269,3.0,0.37000000000000005,9.0,74.32475268814014,58.0
270,3.0,0.43000000000000005,0.0,68.3663838890323,87.0
271,3.0,0.43000000000000005,1.0,32.58552674716775,27.0
272,3.0,0.43000000000000005,2.0,126.58843509057185,125.0
273,3.0,0.43000000000000005,3.0,134.73597060109316,141.0
274,3.0,0.43000000000000005,4.0,26.084147028750156,51.0
275,3.0,0.43000000000000005,5.0,25.65433913363231,28.0
276,3.0,0.43000000000000005,6.0,70.70980389138128,58.0
277,3.0,0.43000000000000005,7.0,17.795547466534483,14.0
278,3.0,0.43000000000000005,8.0,72.99211992682105,72.0
279,3.0,0.43000000000000005,9.0,67.75804580754047,55.0
280,3.0,0.49000000000000005,0.0,80.22413253642154,81.0
281,3.0,0.49000000000000005,1.0,25.649732005549595,27.0
