,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1858.7824643869099,1000.0
1,1.0,0.01,1.0,1845.121515149127,1000.0
2,1.0,0.01,2.0,1816.5563296460095,1000.0
3,1.0,0.01,3.0,1053.2493069729753,591.0
4,1.0,0.01,4.0,384.7314311139853,237.0
5,1.0,0.01,5.0,1870.605495705262,1000.0
6,1.0,0.01,6.0,529.5114015703439,313.0
7,1.0,0.01,7.0,1830.609802534993,1000.0
8,1.0,0.01,8.0,1823.9236414007391,1000.0
9,1.0,0.01,9.0,1830.9036867950635,1000.0
10,1.0,0.07,0.0,1876.8189625885425,1000.0
11,1.0,0.07,1.0,1801.736047859631,1000.0
12,1.0,0.07,2.0,1617.2479052808776,886.0
13,1.0,0.07,3.0,788.8677153269455,453.0
14,1.0,0.07,4.0,146.75050985086273,106.0
15,1.0,0.07,5.0,1811.4237708246,1000.0
16,1.0,0.07,6.0,1877.4331972411092,1000.0
17,1.0,0.07,7.0,1875.7577493487843,1000.0
18,1.0,0.07,8.0,1674.154411593452,929.0
19,1.0,0.07,9.0,1795.760269039085,1000.0
20,1.0,0.13,0.0,1769.425937619526,1000.0
21,1.0,0.13,1.0,1813.3971489450414,1000.0
22,1.0,0.13,2.0,1759.0712208278783,1000.0
23,1.0,0.13,3.0,1818.474834001252,1000.0
24,1.0,0.13,4.0,1849.7686445209183,1000.0
25,1.0,0.13,5.0,1869.4653729989077,1000.0
26,1.0,0.13,6.0,1396.0024072946544,760.0
27,1.0,0.13,7.0,1824.3945858542502,1000.0
28,1.0,0.13,8.0,1820.8414783416374,1000.0
29,1.0,0.13,9.0,849.5099628459066,475.0
30,1.0,0.19000000000000003,0.0,772.3171556059606,449.0
31,1.0,0.19000000000000003,1.0,331.61089454754256,221.0
32,1.0,0.19000000000000003,2.0,1109.8744721501716,613.0
33,1.0,0.19000000000000003,3.0,66.34122350232792,67.0
34,1.0,0.19000000000000003,4.0,991.6710653146656,544.0
