,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,181.0255085294034,101.0
1,1.0,0.01,1.0,198.17786674502432,157.0
2,1.0,0.01,2.0,178.1115551641851,109.0
3,1.0,0.01,3.0,155.6904240181902,87.0
4,1.0,0.01,4.0,235.42714985092326,138.0
5,1.0,0.01,5.0,212.55226195665017,121.0
6,1.0,0.01,6.0,178.76292968624912,102.0
7,1.0,0.01,7.0,263.6727094651286,168.0
8,1.0,0.01,8.0,167.97893750356315,96.0
9,1.0,0.01,9.0,208.08244958421415,122.0
10,1.0,0.07,0.0,210.03242306120092,128.0
11,1.0,0.07,1.0,155.0201081494917,87.0
12,1.0,0.07,2.0,158.25164281618933,95.0
13,1.0,0.07,3.0,208.24991324754652,123.0
14,1.0,0.07,4.0,180.81024600158852,108.0
15,1.0,0.07,5.0,184.37034611737033,106.0
16,1.0,0.07,6.0,252.20726571856065,154.0
17,1.0,0.07,7.0,179.29158369756908,100.0
18,1.0,0.07,8.0,195.0012675544728,151.0
19,1.0,0.07,9.0,171.0666867825916,108.0
20,1.0,0.13,0.0,114.70660647572952,109.0
21,1.0,0.13,1.0,169.96663197605525,109.0
22,1.0,0.13,2.0,193.73105962730187,133.0
23,1.0,0.13,3.0,170.36638641872563,101.0
24,1.0,0.13,4.0,117.46889562769357,116.0
25,1.0,0.13,5.0,216.84701117442745,142.0
26,1.0,0.13,6.0,96.29294707055666,101.0
27,1.0,0.13,7.0,77.41636231175507,82.0
28,1.0,0.13,8.0,157.32776446677306,96.0
29,1.0,0.13,9.0,195.64985422639444,125.0
30,1.0,0.19000000000000003,0.0,86.45857209582462,92.0
31,1.0,0.19000000000000003,1.0,157.6149139379311,108.0
32,1.0,0.19000000000000003,2.0,162.11666792660398,140.0
33,1.0,0.19000000000000003,3.0,138.69609645620656,94.0
34,1.0,0.19000000000000003,4.0,106.81327380884177,115.0
35,1.0,0.19000000000000003,5.0,133.20788235252107,91.0
36,1.0,0.19000000000000003,6.0,45.53558390246325,81.0
37,1.0,0.19000000000000003,7.0,142.75755146193256,97.0
38,1.0,0.19000000000000003,8.0,131.7861844096959,85.0
39,1.0,0.19000000000000003,9.0,76.30826597112028,102.0
40,1.0,0.25,0.0,34.56544146379309,86.0
41,1.0,0.25,1.0,23.14060694690707,79.0
42,1.0,0.25,2.0,96.18090693139673,93.0
43,1.0,0.25,3.0,111.46052436822643,95.0
44,1.0,0.25,4.0,50.1744332486458,102.0
45,1.0,0.25,5.0,57.96048965783995,114.0
46,1.0,0.25,6.0,18.084181020669334,71.0
47,1.0,0.25,7.0,164.90810542363184,140.0
48,1.0,0.25,8.0,71.08427412201853,113.0
49,1.0,0.25,9.0,176.58313067001424,153.0
50,1.0,0.31000000000000005,0.0,4.862622620994807,69.0
51,1.0,0.31000000000000005,1.0,18.456971216406973,91.0
52,1.0,0.31000000000000005,2.0,73.08833924945357,97.0
53,1.0,0.31000000000000005,3.0,83.48788376351006,82.0
54,1.0,0.31000000000000005,4.0,80.61694507592621,84.0
55,1.0,0.31000000000000005,5.0,64.45750647239913,81.0
56,1.0,0.31000000000000005,6.0,0.9804248292988644,78.0
57,1.0,0.31000000000000005,7.0,22.306753478785676,70.0
58,1.0,0.31000000000000005,8.0,22.92137590062631,103.0
59,1.0,0.31000000000000005,9.0,5.363919614261241,92.0
60,1.0,0.37000000000000005,0.0,-43.2246765558695,77.0
61,1.0,0.37000000000000005,1.0,-19.978302680247,106.0
62,1.0,0.37000000000000005,2.0,40.76509997539544,80.0
63,1.0,0.37000000000000005,3.0,50.502785129219404,69.0
64,1.0,0.37000000000000005,4.0,-13.995032096983046,101.0
65,1.0,0.37000000000000005,5.0,26.97271502329386,79.0
66,1.0,0.37000000000000005,6.0,16.65762280108465,79.0
67,1.0,0.37000000000000005,7.0,8.167158988134178,77.0
68,1.0,0.37000000000000005,8.0,51.58439766295635,78.0
69,1.0,0.37000000000000005,9.0,27.526888651493945,72.0
70,1.0,0.43000000000000005,0.0,-51.147451477654975,81.0
71,1.0,0.43000000000000005,1.0,-57.73414003393845,113.0
72,1.0,0.43000000000000005,2.0,9.217358866559515,81.0
73,1.0,0.43000000000000005,3.0,5.809548345056825,89.0
74,1.0,0.43000000000000005,4.0,-42.92951189208543,77.0
75,1.0,0.43000000000000005,5.0,1.75592267649481,83.0
76,1.0,0.43000000000000005,6.0,-24.609738453209886,70.0
77,1.0,0.43000000000000005,7.0,-35.40981948395202,70.0
78,1.0,0.43000000000000005,8.0,-8.616530245749168,78.0
79,1.0,0.43000000000000005,9.0,10.507054910536677,57.0
80,1.0,0.49000000000000005,0.0,-65.13947076183106,61.0
81,1.0,0.49000000000000005,1.0,-131.93526053298262,128.0
82,1.0,0.49000000000000005,2.0,-27.599118815321702,108.0
83,1.0,0.49000000000000005,3.0,-5.997706602544348,72.0
84,1.0,0.49000000000000005,4.0,-93.81923651820108,90.0
85,1.0,0.49000000000000005,5.0,-33.18918895592214,86.0
86,1.0,0.49000000000000005,6.0,-41.94216883669581,77.0
87,1.0,0.49000000000000005,7.0,-48.04342190326569,69.0
88,1.0,0.49000000000000005,8.0,-47.253614254901166,83.0
89,1.0,0.49000000000000005,9.0,-7.479908430618524,57.0
90,1.0,0.55,0.0,-34.99707992764453,42.0
91,1.0,0.55,1.0,-105.10858317865058,105.0
92,1.0,0.55,2.0,-45.13204041179851,77.0
93,1.0,0.55,3.0,-39.553905895214115,63.0
94,1.0,0.55,4.0,-136.51973801130222,90.0
95,1.0,0.55,5.0,-77.24882128455793,97.0
96,1.0,0.55,6.0,-94.68304275665143,109.0
97,1.0,0.55,7.0,-48.91924337915844,60.0
98,1.0,0.55,8.0,-72.04925953986384,75.0
99,1.0,0.55,9.0,-27.266546819367793,51.0
100,2.0,0.01,0.0,211.59674483083234,126.0
101,2.0,0.01,1.0,218.48848811203212,126.0
102,2.0,0.01,2.0,170.78800995901256,93.0
103,2.0,0.01,3.0,230.01643771691158,173.0
104,2.0,0.01,4.0,158.03986664252008,88.0
105,2.0,0.01,5.0,213.02810628081647,122.0
106,2.0,0.01,6.0,213.06830123898106,124.0
107,2.0,0.01,7.0,209.06137392038374,120.0
108,2.0,0.01,8.0,170.69525680613592,133.0
109,2.0,0.01,9.0,176.76269608041468,102.0
110,2.0,0.07,0.0,149.91037202410809,122.0
111,2.0,0.07,1.0,179.51770023256972,104.0
112,2.0,0.07,2.0,150.08840198742982,83.0
113,2.0,0.07,3.0,175.91849904419357,98.0
114,2.0,0.07,4.0,239.01673058207965,146.0
115,2.0,0.07,5.0,116.6275744435785,115.0
116,2.0,0.07,6.0,171.5131263153846,133.0
117,2.0,0.07,7.0,178.60413116134885,101.0
118,2.0,0.07,8.0,203.0198477633822,143.0
119,2.0,0.07,9.0,228.76816849372554,142.0
120,2.0,0.13,0.0,170.84829939775815,147.0
121,2.0,0.13,1.0,151.18414287255726,117.0
122,2.0,0.13,2.0,154.21465347507763,92.0
123,2.0,0.13,3.0,189.17296518156795,115.0
124,2.0,0.13,4.0,261.8760932278821,203.0
125,2.0,0.13,5.0,121.99206284916144,116.0
126,2.0,0.13,6.0,132.48169648739125,124.0
127,2.0,0.13,7.0,163.09997948242383,100.0
128,2.0,0.13,8.0,198.16514896033914,129.0
129,2.0,0.13,9.0,112.76112423798473,101.0
130,2.0,0.19000000000000003,0.0,34.51060492488906,72.0
131,2.0,0.19000000000000003,1.0,138.61387896492963,90.0
132,2.0,0.19000000000000003,2.0,120.79144131681825,82.0
133,2.0,0.19000000000000003,3.0,174.1189373318658,118.0
134,2.0,0.19000000000000003,4.0,62.32202555797556,83.0
135,2.0,0.19000000000000003,5.0,174.80291129639812,128.0
136,2.0,0.19000000000000003,6.0,64.99335102463226,95.0
137,2.0,0.19000000000000003,7.0,163.72062088549575,109.0
138,2.0,0.19000000000000003,8.0,54.4823104904106,83.0
139,2.0,0.19000000000000003,9.0,63.0144096516582,77.0
140,2.0,0.25,0.0,3.7953342667606194,72.0
141,2.0,0.25,1.0,56.86975008478624,94.0
142,2.0,0.25,2.0,127.73937514997664,102.0
143,2.0,0.25,3.0,150.0887018173496,108.0
144,2.0,0.25,4.0,47.865547951222084,87.0
145,2.0,0.25,5.0,27.05578579454449,58.0
146,2.0,0.25,6.0,56.10133895211767,104.0
147,2.0,0.25,7.0,126.45884547186726,105.0
148,2.0,0.25,8.0,31.599446559361247,76.0
149,2.0,0.25,9.0,99.00252705993628,88.0
150,2.0,0.31000000000000005,0.0,31.2366023237555,67.0
