,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.3,0.0,1883.3729844495838,1000.0
1,1.0,0.3,1.0,1778.3278999532395,1000.0
2,1.0,0.3,2.0,1892.2132747811654,1000.0
3,1.0,0.3,3.0,1954.3749521242887,1000.0
4,1.0,0.3,4.0,2025.2412417844052,1000.0
5,1.0,0.3,5.0,2045.4034940901697,1000.0
6,1.0,0.3,6.0,1939.627895409766,1000.0
7,1.0,0.3,7.0,1994.2620489501455,1000.0
8,1.0,0.3,8.0,1960.5482732603691,1000.0
9,1.0,0.3,9.0,1880.6491520018558,1000.0
10,15.0,0.3,0.0,204.1532685437617,1000.0
11,15.0,0.3,1.0,-573.4088867093617,1000.0
12,15.0,0.3,2.0,487.10334432769037,1000.0
13,15.0,0.3,3.0,723.0318295218531,1000.0
14,15.0,0.3,4.0,-552.7862876927082,1000.0
15,15.0,0.3,5.0,537.5966686797675,1000.0
16,15.0,0.3,6.0,1231.9135369376881,1000.0
17,15.0,0.3,7.0,949.490979329681,1000.0
18,15.0,0.3,8.0,1054.5537031853255,1000.0
19,15.0,0.3,9.0,1298.5693902778544,1000.0
