,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1932.6303972824317,1000.0
1,1.0,0.01,1.0,1870.6142059400881,1000.0
2,1.0,0.01,2.0,1780.2858151649853,938.0
3,1.0,0.01,3.0,1251.2841791019455,638.0
4,1.0,0.01,4.0,1921.8952801086198,1000.0
5,1.0,0.01,5.0,1922.7816039440659,1000.0
6,1.0,0.01,6.0,1903.6325884612452,1000.0
7,1.0,0.01,7.0,1910.9169440129263,1000.0
8,1.0,0.01,8.0,1852.1835591928175,1000.0
9,1.0,0.01,9.0,1935.6276892245296,1000.0
10,1.0,0.07,0.0,400.4787752611155,256.0
11,1.0,0.07,1.0,1923.6656625794712,1000.0
12,1.0,0.07,2.0,1705.7847161390746,888.0
13,1.0,0.07,3.0,905.3000128548956,506.0
14,1.0,0.07,4.0,1884.9416171445991,1000.0
15,1.0,0.07,5.0,1142.2001778103731,617.0
16,1.0,0.07,6.0,1894.931522480816,1000.0
17,1.0,0.07,7.0,1078.702722559312,577.0
18,1.0,0.07,8.0,1057.8709279467002,582.0
19,1.0,0.07,9.0,1863.2795155642016,1000.0
20,1.0,0.13,0.0,1353.9521512448628,719.0
21,1.0,0.13,1.0,1867.0224350293283,1000.0
22,1.0,0.13,2.0,1199.516864986399,666.0
23,1.0,0.13,3.0,325.1574553739192,193.0
24,1.0,0.13,4.0,760.2943845997506,421.0
25,1.0,0.13,5.0,1552.0552337645204,868.0
26,1.0,0.13,6.0,688.8180317198567,390.0
27,1.0,0.13,7.0,174.6006267203411,119.0
28,1.0,0.13,8.0,1883.9705502738434,1000.0
29,1.0,0.13,9.0,470.7739911586614,267.0
30,1.0,0.19000000000000003,0.0,100.92501622185227,89.0
31,1.0,0.19000000000000003,1.0,296.52831066952785,198.0
32,1.0,0.19000000000000003,2.0,612.6704933381334,353.0
33,1.0,0.19000000000000003,3.0,517.3426771679078,327.0
34,1.0,0.19000000000000003,4.0,315.1600915155577,195.0
35,1.0,0.19000000000000003,5.0,392.82898436987307,238.0
36,1.0,0.19000000000000003,6.0,301.28193939204357,203.0
37,1.0,0.19000000000000003,7.0,172.459345611147,116.0
38,1.0,0.19000000000000003,8.0,253.39910742299253,162.0
39,1.0,0.19000000000000003,9.0,1080.7303730203566,605.0
40,1.0,0.25,0.0,530.4081377731345,320.0
41,1.0,0.25,1.0,310.60625901576714,201.0
42,1.0,0.25,2.0,237.5378073303582,148.0
43,1.0,0.25,3.0,156.14705701807543,122.0
44,1.0,0.25,4.0,855.5198426825591,508.0
45,1.0,0.25,5.0,333.0810083725737,194.0
46,1.0,0.25,6.0,44.23233363568579,43.0
47,1.0,0.25,7.0,144.25214130628592,117.0
48,1.0,0.25,8.0,868.9724518947987,501.0
49,1.0,0.25,9.0,100.88562296427699,90.0
50,1.0,0.31000000000000005,0.0,50.15973923428828,70.0
51,1.0,0.31000000000000005,1.0,197.37049346524873,158.0
52,1.0,0.31000000000000005,2.0,101.5405017093799,88.0
53,1.0,0.31000000000000005,3.0,157.17646104427695,120.0
54,1.0,0.31000000000000005,4.0,41.318109038009425,45.0
55,1.0,0.31000000000000005,5.0,168.6783935522326,128.0
56,1.0,0.31000000000000005,6.0,109.41915852102102,86.0
57,1.0,0.31000000000000005,7.0,160.32879821145616,118.0
58,1.0,0.31000000000000005,8.0,39.48621076121344,47.0
59,1.0,0.31000000000000005,9.0,83.2141634882064,83.0
60,1.0,0.37000000000000005,0.0,66.48778727634635,70.0
61,1.0,0.37000000000000005,1.0,144.4078507252998,126.0
62,1.0,0.37000000000000005,2.0,232.89825283241225,170.0
63,1.0,0.37000000000000005,3.0,148.728599906397,121.0
64,1.0,0.37000000000000005,4.0,40.33777512460074,47.0
65,1.0,0.37000000000000005,5.0,54.329769693467824,69.0
66,1.0,0.37000000000000005,6.0,39.593856628620415,41.0
67,1.0,0.37000000000000005,7.0,601.2750906609581,400.0
68,1.0,0.37000000000000005,8.0,39.09939516984741,46.0
69,1.0,0.37000000000000005,9.0,41.434831053818925,40.0
70,1.0,0.43000000000000005,0.0,83.14035581589997,69.0
71,1.0,0.43000000000000005,1.0,56.67275523122953,78.0
72,1.0,0.43000000000000005,2.0,103.26294055553444,87.0
73,1.0,0.43000000000000005,3.0,111.93143476036494,124.0
74,1.0,0.43000000000000005,4.0,415.2205751891015,294.0
75,1.0,0.43000000000000005,5.0,38.5236655666522,38.0
76,1.0,0.43000000000000005,6.0,37.791341406038555,42.0
77,1.0,0.43000000000000005,7.0,38.98331021679769,68.0
78,1.0,0.43000000000000005,8.0,42.24476306106226,47.0
79,1.0,0.43000000000000005,9.0,40.99594055248599,39.0
80,1.0,0.49000000000000005,0.0,78.42150911915087,74.0
81,1.0,0.49000000000000005,1.0,96.43338344183576,94.0
82,1.0,0.49000000000000005,2.0,152.3752019509484,126.0
83,1.0,0.49000000000000005,3.0,62.26701982544182,76.0
84,1.0,0.49000000000000005,4.0,152.4308116400498,129.0
85,1.0,0.49000000000000005,5.0,64.37123273761972,89.0
86,1.0,0.49000000000000005,6.0,91.47591376378114,85.0
87,1.0,0.49000000000000005,7.0,29.320672329609806,64.0
88,1.0,0.49000000000000005,8.0,43.73562484605645,46.0
89,1.0,0.49000000000000005,9.0,41.22394758101291,40.0
90,1.0,0.55,0.0,70.25650091566786,72.0
91,1.0,0.55,1.0,114.91963655643485,89.0
92,1.0,0.55,2.0,85.9874347936784,89.0
93,1.0,0.55,3.0,79.48922072505957,75.0
94,1.0,0.55,4.0,160.2481517218548,130.0
95,1.0,0.55,5.0,240.15389563438657,177.0
96,1.0,0.55,6.0,85.1379239309681,85.0
97,1.0,0.55,7.0,123.87429250533023,112.0
98,1.0,0.55,8.0,44.4774982573872,47.0
99,1.0,0.55,9.0,39.41614587811637,39.0
100,2.0,0.01,0.0,1932.578221680982,1000.0
101,2.0,0.01,1.0,1870.6142059400881,1000.0
102,2.0,0.01,2.0,1780.2858151649853,938.0
103,2.0,0.01,3.0,1251.2841791019455,638.0
104,2.0,0.01,4.0,1921.8952801086198,1000.0
