,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2807.6813743257317,1000.0
1,1.0,0.01,1.0,2779.7444682129476,1000.0
2,1.0,0.01,2.0,2791.85447318654,1000.0
3,1.0,0.01,3.0,2835.84103654075,1000.0
4,1.0,0.01,4.0,2806.1224044474156,1000.0
5,1.0,0.01,5.0,2738.629033755022,1000.0
6,1.0,0.01,6.0,2774.2581943907235,1000.0
7,1.0,0.01,7.0,2784.680790267357,1000.0
8,1.0,0.01,8.0,2773.9309667431867,1000.0
9,1.0,0.01,9.0,2825.289908426616,1000.0
10,1.0,0.07,0.0,2725.5496635170934,1000.0
11,1.0,0.07,1.0,2786.2986768263904,1000.0
12,1.0,0.07,2.0,2781.028511055311,1000.0
13,1.0,0.07,3.0,2798.3671380862515,1000.0
14,1.0,0.07,4.0,2763.806504038852,1000.0
15,1.0,0.07,5.0,2809.4284209911793,1000.0
16,1.0,0.07,6.0,2770.57706331266,1000.0
17,1.0,0.07,7.0,2801.951763439728,1000.0
18,1.0,0.07,8.0,2784.4893308151286,1000.0
19,1.0,0.07,9.0,2767.9484224700905,1000.0
20,1.0,0.13,0.0,2742.914832571887,1000.0
21,1.0,0.13,1.0,2733.865021791225,1000.0
22,1.0,0.13,2.0,2692.000195350924,1000.0
23,1.0,0.13,3.0,2709.7330625090676,1000.0
24,1.0,0.13,4.0,2475.924689637525,1000.0
25,1.0,0.13,5.0,2705.451678150195,1000.0
26,1.0,0.13,6.0,2648.6192803310196,1000.0
27,1.0,0.13,7.0,2742.25690568706,1000.0
28,1.0,0.13,8.0,2685.9481279040792,1000.0
29,1.0,0.13,9.0,2715.89631781793,1000.0
30,1.0,0.19000000000000003,0.0,2632.2049720886366,1000.0
31,1.0,0.19000000000000003,1.0,2657.854701831086,1000.0
32,1.0,0.19000000000000003,2.0,2593.513758597973,1000.0
33,1.0,0.19000000000000003,3.0,2635.674863493026,1000.0
34,1.0,0.19000000000000003,4.0,2660.479036473023,1000.0
35,1.0,0.19000000000000003,5.0,2596.2107777107212,1000.0
36,1.0,0.19000000000000003,6.0,2666.2191190508925,1000.0
37,1.0,0.19000000000000003,7.0,2639.9823687441767,1000.0
38,1.0,0.19000000000000003,8.0,2645.204266909893,1000.0
39,1.0,0.19000000000000003,9.0,2651.512385952928,991.0
40,1.0,0.25,0.0,467.76778915574846,243.0
41,1.0,0.25,1.0,2493.5496483795237,1000.0
42,1.0,0.25,2.0,2551.8030962697107,1000.0
43,1.0,0.25,3.0,2355.593655678258,1000.0
44,1.0,0.25,4.0,904.9353754990649,388.0
45,1.0,0.25,5.0,1084.8250046501496,442.0
46,1.0,0.25,6.0,1717.272222914925,689.0
47,1.0,0.25,7.0,1332.636974914538,552.0
48,1.0,0.25,8.0,2433.822879113803,1000.0
49,1.0,0.25,9.0,807.3084199436657,407.0
50,1.0,0.31000000000000005,0.0,1341.212985217281,574.0
51,1.0,0.31000000000000005,1.0,961.224497610966,443.0
52,1.0,0.31000000000000005,2.0,110.59952423832587,106.0
53,1.0,0.31000000000000005,3.0,2200.525013508207,1000.0
54,1.0,0.31000000000000005,4.0,189.8876657200613,166.0
55,1.0,0.31000000000000005,5.0,1650.1975740599803,797.0
56,1.0,0.31000000000000005,6.0,701.3945402726287,330.0
57,1.0,0.31000000000000005,7.0,123.74270642798948,120.0
58,1.0,0.31000000000000005,8.0,793.2906421326733,377.0
59,1.0,0.31000000000000005,9.0,2478.2223382921475,1000.0
60,1.0,0.37000000000000005,0.0,404.927451555562,254.0
61,1.0,0.37000000000000005,1.0,2147.151977314056,1000.0
62,1.0,0.37000000000000005,2.0,1241.4147717438582,677.0
63,1.0,0.37000000000000005,3.0,131.7383903355556,91.0
64,1.0,0.37000000000000005,4.0,1650.2082143056396,792.0
65,1.0,0.37000000000000005,5.0,1044.5681434093026,472.0
66,1.0,0.37000000000000005,6.0,1987.0889243052977,1000.0
67,1.0,0.37000000000000005,7.0,523.1394896200106,289.0
68,1.0,0.37000000000000005,8.0,1937.4120312305242,1000.0
69,1.0,0.37000000000000005,9.0,2262.31336734577,1000.0
70,1.0,0.43000000000000005,0.0,426.28347698789327,216.0
71,1.0,0.43000000000000005,1.0,2002.0968384472337,1000.0
72,1.0,0.43000000000000005,2.0,524.5107412751255,348.0
73,1.0,0.43000000000000005,3.0,864.6788829044041,517.0
74,1.0,0.43000000000000005,4.0,319.8325374603801,307.0
75,1.0,0.43000000000000005,5.0,199.1169715908007,152.0
76,1.0,0.43000000000000005,6.0,1616.1675043547546,819.0
77,1.0,0.43000000000000005,7.0,765.4590219811047,460.0
78,1.0,0.43000000000000005,8.0,164.49010708316325,151.0
79,1.0,0.43000000000000005,9.0,2014.356344966633,1000.0
80,1.0,0.49000000000000005,0.0,158.66125582551754,141.0
81,1.0,0.49000000000000005,1.0,1451.0216034584794,801.0
82,1.0,0.49000000000000005,2.0,69.69676399910098,74.0
83,1.0,0.49000000000000005,3.0,324.8925308413209,211.0
84,1.0,0.49000000000000005,4.0,-4.857649874885103,84.0
85,1.0,0.49000000000000005,5.0,493.19963314442003,325.0
86,1.0,0.49000000000000005,6.0,908.8816182131801,628.0
87,1.0,0.49000000000000005,7.0,733.5127783369943,354.0
88,1.0,0.49000000000000005,8.0,538.6354251365019,330.0
89,1.0,0.49000000000000005,9.0,510.1256885202147,382.0
90,1.0,0.55,0.0,342.44831137569736,211.0
91,1.0,0.55,1.0,52.25884784428632,67.0
92,1.0,0.55,2.0,354.11569765465276,245.0
93,1.0,0.55,3.0,501.71368320547225,366.0
94,1.0,0.55,4.0,1436.0467627824892,1000.0
95,1.0,0.55,5.0,135.4662079991103,108.0
96,1.0,0.55,6.0,255.67581792823233,190.0
97,1.0,0.55,7.0,497.4794023819617,331.0
98,1.0,0.55,8.0,71.76598648479995,87.0
99,1.0,0.55,9.0,264.44257319386986,183.0
100,2.0,0.01,0.0,2807.6325687834196,1000.0
101,2.0,0.01,1.0,2779.7444682129476,1000.0
102,2.0,0.01,2.0,2791.85447318654,1000.0
103,2.0,0.01,3.0,2835.84103654075,1000.0
104,2.0,0.01,4.0,2806.1224044474156,1000.0
105,2.0,0.01,5.0,2738.629033755022,1000.0
106,2.0,0.01,6.0,2774.2581943907235,1000.0
107,2.0,0.01,7.0,2784.680790267357,1000.0
108,2.0,0.01,8.0,2773.9309667431867,1000.0
109,2.0,0.01,9.0,2825.289908426616,1000.0
110,2.0,0.07,0.0,2725.5496635170934,1000.0
111,2.0,0.07,1.0,2786.2986768263904,1000.0
112,2.0,0.07,2.0,2781.028511055311,1000.0
113,2.0,0.07,3.0,2798.3671380862515,1000.0
