,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,316.3501260932171,227.0
1,1.0,0.01,1.0,859.2017775586646,1000.0
2,1.0,0.01,2.0,833.9504441285244,1000.0
3,1.0,0.01,3.0,1820.1799613939656,1000.0
4,1.0,0.01,4.0,732.6361247764507,1000.0
5,1.0,0.01,5.0,1748.0671241179298,1000.0
6,1.0,0.01,6.0,1819.7224953627083,1000.0
7,1.0,0.01,7.0,799.1192704278219,500.0
8,1.0,0.01,8.0,1818.7889181228384,1000.0
9,1.0,0.01,9.0,500.59174228311895,320.0
10,1.0,0.07,0.0,1552.6360204026496,876.0
11,1.0,0.07,1.0,920.4010552394611,1000.0
12,1.0,0.07,2.0,976.7237314835802,1000.0
13,1.0,0.07,3.0,773.0632545346452,469.0
14,1.0,0.07,4.0,927.4224780517252,1000.0
15,1.0,0.07,5.0,740.0648142703722,445.0
16,1.0,0.07,6.0,1338.6384538923667,758.0
17,1.0,0.07,7.0,864.2628517857156,1000.0
18,1.0,0.07,8.0,1380.143896412621,789.0
19,1.0,0.07,9.0,826.3757264106825,520.0
20,1.0,0.13,0.0,278.0331998218244,206.0
21,1.0,0.13,1.0,1384.889025884062,1000.0
22,1.0,0.13,2.0,1188.5241987657137,801.0
23,1.0,0.13,3.0,604.8401187590352,377.0
24,1.0,0.13,4.0,1153.8674264046786,1000.0
25,1.0,0.13,5.0,413.49909381264297,289.0
26,1.0,0.13,6.0,761.0388658287266,463.0
27,1.0,0.13,7.0,1021.8402626760799,1000.0
28,1.0,0.13,8.0,202.6067508879496,171.0
29,1.0,0.13,9.0,420.82419638695865,288.0
30,1.0,0.19000000000000003,0.0,582.8122622345836,378.0
31,1.0,0.19000000000000003,1.0,1287.5504750705732,813.0
32,1.0,0.19000000000000003,2.0,679.2484940615395,451.0
33,1.0,0.19000000000000003,3.0,612.0028239270396,406.0
34,1.0,0.19000000000000003,4.0,1127.0084123290872,858.0
35,1.0,0.19000000000000003,5.0,184.2490257707177,168.0
36,1.0,0.19000000000000003,6.0,350.93763347271306,252.0
37,1.0,0.19000000000000003,7.0,426.4314944696307,317.0
38,1.0,0.19000000000000003,8.0,1720.1286409469612,1000.0
39,1.0,0.19000000000000003,9.0,356.75959939686436,254.0
40,1.0,0.25,0.0,192.11432514873013,157.0
41,1.0,0.25,1.0,270.39145206580724,200.0
42,1.0,0.25,2.0,397.71671119346865,282.0
43,1.0,0.25,3.0,1019.9847423312021,663.0
44,1.0,0.25,4.0,1196.6160517358658,782.0
45,1.0,0.25,5.0,173.98577391290746,167.0
46,1.0,0.25,6.0,776.1682553902065,541.0
47,1.0,0.25,7.0,405.29713327399077,315.0
48,1.0,0.25,8.0,487.6405600788421,347.0
49,1.0,0.25,9.0,412.3467215336859,290.0
50,1.0,0.31000000000000005,0.0,174.12540007975622,170.0
51,1.0,0.31000000000000005,1.0,516.6674424066368,334.0
52,1.0,0.31000000000000005,2.0,332.74180471446743,253.0
53,1.0,0.31000000000000005,3.0,555.6539378895613,428.0
54,1.0,0.31000000000000005,4.0,236.58474968405062,203.0
55,1.0,0.31000000000000005,5.0,185.55424876387406,165.0
56,1.0,0.31000000000000005,6.0,638.3517816007807,422.0
57,1.0,0.31000000000000005,7.0,392.0302302172495,314.0
58,1.0,0.31000000000000005,8.0,357.92775906163297,316.0
59,1.0,0.31000000000000005,9.0,335.4554002505902,237.0
60,1.0,0.37000000000000005,0.0,293.41542847448727,240.0
61,1.0,0.37000000000000005,1.0,181.90993611206068,165.0
62,1.0,0.37000000000000005,2.0,280.32128293192363,279.0
63,1.0,0.37000000000000005,3.0,439.76442748474074,311.0
64,1.0,0.37000000000000005,4.0,287.3071571146138,246.0
65,1.0,0.37000000000000005,5.0,190.50570103008067,166.0
66,1.0,0.37000000000000005,6.0,197.26595552013168,172.0
67,1.0,0.37000000000000005,7.0,220.20215613026085,192.0
68,1.0,0.37000000000000005,8.0,413.79096104636847,281.0
69,1.0,0.37000000000000005,9.0,182.7420923917307,164.0
70,1.0,0.43000000000000005,0.0,239.2392546913543,192.0
71,1.0,0.43000000000000005,1.0,222.54565255801572,213.0
72,1.0,0.43000000000000005,2.0,270.6242164761643,210.0
73,1.0,0.43000000000000005,3.0,315.17204607712483,263.0
74,1.0,0.43000000000000005,4.0,203.99882369279658,197.0
75,1.0,0.43000000000000005,5.0,195.66149255972414,157.0
76,1.0,0.43000000000000005,6.0,224.17095540358423,175.0
77,1.0,0.43000000000000005,7.0,177.49997061430622,155.0
78,1.0,0.43000000000000005,8.0,51.38004180695134,97.0
79,1.0,0.43000000000000005,9.0,111.74274381746363,132.0
80,1.0,0.49000000000000005,0.0,295.3794335207931,221.0
81,1.0,0.49000000000000005,1.0,201.87488242999825,165.0
82,1.0,0.49000000000000005,2.0,88.40359337289556,114.0
83,1.0,0.49000000000000005,3.0,229.43410140524065,206.0
84,1.0,0.49000000000000005,4.0,169.2697832769918,160.0
85,1.0,0.49000000000000005,5.0,174.00899901786033,157.0
86,1.0,0.49000000000000005,6.0,152.94792948009854,146.0
87,1.0,0.49000000000000005,7.0,208.85844135605294,174.0
88,1.0,0.49000000000000005,8.0,44.301439604343614,89.0
89,1.0,0.49000000000000005,9.0,228.80611333627166,187.0
90,1.0,0.55,0.0,194.9988879854136,160.0
91,1.0,0.55,1.0,26.625765582022723,58.0
92,1.0,0.55,2.0,392.9764033751417,333.0
93,1.0,0.55,3.0,215.5156205147723,182.0
94,1.0,0.55,4.0,101.91583757937042,140.0
95,1.0,0.55,5.0,123.53306047389924,118.0
96,1.0,0.55,6.0,342.74450506184803,262.0
97,1.0,0.55,7.0,170.6041900399141,142.0
98,1.0,0.55,8.0,222.64023899965105,201.0
99,1.0,0.55,9.0,181.43779280363378,159.0
100,2.0,0.01,0.0,316.29795049176755,227.0
101,2.0,0.01,1.0,859.2017775586646,1000.0
102,2.0,0.01,2.0,833.9504441285244,1000.0
103,2.0,0.01,3.0,1820.1799613939656,1000.0
104,2.0,0.01,4.0,732.6361247764507,1000.0
105,2.0,0.01,5.0,1748.0671241179298,1000.0
106,2.0,0.01,6.0,1819.7224953627083,1000.0
107,2.0,0.01,7.0,799.1192704278219,500.0
108,2.0,0.01,8.0,1818.7889181228384,1000.0
109,2.0,0.01,9.0,500.59174228311895,320.0
110,2.0,0.07,0.0,1552.6360204026496,876.0
111,2.0,0.07,1.0,920.4010552394611,1000.0
112,2.0,0.07,2.0,976.7237314835802,1000.0
113,2.0,0.07,3.0,773.0632545346452,469.0
114,2.0,0.07,4.0,927.4224780517252,1000.0
115,2.0,0.07,5.0,740.0648142703722,445.0
116,2.0,0.07,6.0,1338.6384538923667,758.0
117,2.0,0.07,7.0,864.2628517857156,1000.0
118,2.0,0.07,8.0,1380.143896412621,789.0
119,2.0,0.07,9.0,826.3757264106825,520.0
120,2.0,0.13,0.0,278.0331998218244,206.0
121,2.0,0.13,1.0,1384.889025884062,1000.0
122,2.0,0.13,2.0,1188.5241987657137,801.0
123,2.0,0.13,3.0,604.8401187590352,377.0
124,2.0,0.13,4.0,1153.8674264046786,1000.0
125,2.0,0.13,5.0,413.49909381264297,289.0
126,2.0,0.13,6.0,761.0388658287266,463.0
127,2.0,0.13,7.0,1021.8402626760799,1000.0
128,2.0,0.13,8.0,202.6067508879496,171.0
129,2.0,0.13,9.0,420.82419638695865,288.0
130,2.0,0.19000000000000003,0.0,582.8122622345836,378.0
131,2.0,0.19000000000000003,1.0,1287.5504750705732,813.0
132,2.0,0.19000000000000003,2.0,679.2484940615395,451.0
133,2.0,0.19000000000000003,3.0,612.0028239270396,406.0
134,2.0,0.19000000000000003,4.0,1127.0084123290872,858.0
135,2.0,0.19000000000000003,5.0,184.2490257707177,168.0
136,2.0,0.19000000000000003,6.0,350.93763347271306,252.0
137,2.0,0.19000000000000003,7.0,426.4314944696307,317.0
138,2.0,0.19000000000000003,8.0,1720.1286409469612,1000.0
139,2.0,0.19000000000000003,9.0,356.75959939686436,254.0
140,2.0,0.25,0.0,192.11432514873013,157.0
141,2.0,0.25,1.0,270.39145206580724,200.0
142,2.0,0.25,2.0,397.71671119346865,282.0
143,2.0,0.25,3.0,1019.9847423312021,663.0
144,2.0,0.25,4.0,1196.6160517358658,782.0
145,2.0,0.25,5.0,173.98577391290746,167.0
146,2.0,0.25,6.0,776.1682553902065,541.0
147,2.0,0.25,7.0,405.29713327399077,315.0
148,2.0,0.25,8.0,487.6405600788421,347.0
149,2.0,0.25,9.0,412.3467215336859,290.0
150,2.0,0.31000000000000005,0.0,174.12540007975622,170.0
151,2.0,0.31000000000000005,1.0,516.6674424066368,334.0
152,2.0,0.31000000000000005,2.0,332.74180471446743,253.0
153,2.0,0.31000000000000005,3.0,555.6539378895613,428.0
154,2.0,0.31000000000000005,4.0,236.58474968405062,203.0
155,2.0,0.31000000000000005,5.0,185.55424876387406,165.0
156,2.0,0.31000000000000005,6.0,638.3517816007807,422.0
157,2.0,0.31000000000000005,7.0,392.0302302172495,314.0
158,2.0,0.31000000000000005,8.0,357.92775906163297,316.0
159,2.0,0.31000000000000005,9.0,335.4554002505902,237.0
160,2.0,0.37000000000000005,0.0,293.41542847448727,240.0
161,2.0,0.37000000000000005,1.0,181.90993611206068,165.0
162,2.0,0.37000000000000005,2.0,280.32128293192363,279.0
163,2.0,0.37000000000000005,3.0,439.76442748474074,311.0
164,2.0,0.37000000000000005,4.0,287.3071571146138,246.0
165,2.0,0.37000000000000005,5.0,190.50570103008067,166.0
166,2.0,0.37000000000000005,6.0,197.26595552013168,172.0
167,2.0,0.37000000000000005,7.0,220.20215613026085,192.0
168,2.0,0.37000000000000005,8.0,413.79096104636847,281.0
169,2.0,0.37000000000000005,9.0,182.7420923917307,164.0
170,2.0,0.43000000000000005,0.0,239.2392546913543,192.0
171,2.0,0.43000000000000005,1.0,222.54565255801572,213.0
172,2.0,0.43000000000000005,2.0,270.6242164761643,210.0
173,2.0,0.43000000000000005,3.0,315.17204607712483,263.0
174,2.0,0.43000000000000005,4.0,203.99882369279658,197.0
175,2.0,0.43000000000000005,5.0,195.66149255972414,157.0
176,2.0,0.43000000000000005,6.0,224.17095540358423,175.0
177,2.0,0.43000000000000005,7.0,177.49997061430622,155.0
178,2.0,0.43000000000000005,8.0,51.38004180695134,97.0
179,2.0,0.43000000000000005,9.0,111.74274381746363,132.0
180,2.0,0.49000000000000005,0.0,295.3794335207931,221.0
181,2.0,0.49000000000000005,1.0,201.87488242999825,165.0
182,2.0,0.49000000000000005,2.0,88.40359337289556,114.0
183,2.0,0.49000000000000005,3.0,229.43410140524065,206.0
184,2.0,0.49000000000000005,4.0,169.2697832769918,160.0
185,2.0,0.49000000000000005,5.0,174.00899901786033,157.0
186,2.0,0.49000000000000005,6.0,152.94792948009854,146.0
187,2.0,0.49000000000000005,7.0,208.85844135605294,174.0
188,2.0,0.49000000000000005,8.0,44.301439604343614,89.0
189,2.0,0.49000000000000005,9.0,228.80611333627166,187.0
190,2.0,0.55,0.0,194.9988879854136,160.0
191,2.0,0.55,1.0,26.625765582022723,58.0
192,2.0,0.55,2.0,392.9764033751417,333.0
193,2.0,0.55,3.0,215.5156205147723,182.0
194,2.0,0.55,4.0,101.91583757937042,140.0
195,2.0,0.55,5.0,123.53306047389924,118.0
196,2.0,0.55,6.0,342.74450506184803,262.0
197,2.0,0.55,7.0,170.6041900399141,142.0
198,2.0,0.55,8.0,222.64023899965105,201.0
199,2.0,0.55,9.0,181.43779280363378,159.0
200,3.0,0.01,0.0,316.29795049176755,227.0
201,3.0,0.01,1.0,859.2017775586646,1000.0
202,3.0,0.01,2.0,833.9504441285244,1000.0
203,3.0,0.01,3.0,1820.1799613939656,1000.0
204,3.0,0.01,4.0,732.6361247764507,1000.0
205,3.0,0.01,5.0,1748.0671241179298,1000.0
206,3.0,0.01,6.0,1819.7224953627083,1000.0
207,3.0,0.01,7.0,799.1192704278219,500.0
208,3.0,0.01,8.0,1818.7889181228384,1000.0
209,3.0,0.01,9.0,500.59174228311895,320.0
210,3.0,0.07,0.0,1552.6360204026496,876.0
211,3.0,0.07,1.0,920.4010552394611,1000.0
212,3.0,0.07,2.0,976.7237314835802,1000.0
213,3.0,0.07,3.0,773.0632545346452,469.0
214,3.0,0.07,4.0,927.4224780517252,1000.0
215,3.0,0.07,5.0,740.0648142703722,445.0
216,3.0,0.07,6.0,1338.6384538923667,758.0
217,3.0,0.07,7.0,864.2628517857156,1000.0
218,3.0,0.07,8.0,1380.143896412621,789.0
219,3.0,0.07,9.0,826.3757264106825,520.0
220,3.0,0.13,0.0,278.0331998218244,206.0
221,3.0,0.13,1.0,1384.889025884062,1000.0
222,3.0,0.13,2.0,1188.5241987657137,801.0
223,3.0,0.13,3.0,604.8401187590352,377.0
224,3.0,0.13,4.0,1153.8674264046786,1000.0
225,3.0,0.13,5.0,413.49909381264297,289.0
226,3.0,0.13,6.0,761.0388658287266,463.0
227,3.0,0.13,7.0,1021.8402626760799,1000.0
228,3.0,0.13,8.0,202.6067508879496,171.0
229,3.0,0.13,9.0,420.82419638695865,288.0
230,3.0,0.19000000000000003,0.0,582.8122622345836,378.0
231,3.0,0.19000000000000003,1.0,1287.5504750705732,813.0
232,3.0,0.19000000000000003,2.0,679.2484940615395,451.0
233,3.0,0.19000000000000003,3.0,612.0028239270396,406.0
234,3.0,0.19000000000000003,4.0,1127.0084123290872,858.0
235,3.0,0.19000000000000003,5.0,184.2490257707177,168.0
236,3.0,0.19000000000000003,6.0,350.93763347271306,252.0
237,3.0,0.19000000000000003,7.0,426.4314944696307,317.0
238,3.0,0.19000000000000003,8.0,1720.1286409469612,1000.0
239,3.0,0.19000000000000003,9.0,356.75959939686436,254.0
240,3.0,0.25,0.0,192.11432514873013,157.0
241,3.0,0.25,1.0,270.39145206580724,200.0
242,3.0,0.25,2.0,397.71671119346865,282.0
243,3.0,0.25,3.0,1019.9847423312021,663.0
244,3.0,0.25,4.0,1196.6160517358658,782.0
245,3.0,0.25,5.0,173.98577391290746,167.0
246,3.0,0.25,6.0,776.1682553902065,541.0
247,3.0,0.25,7.0,405.29713327399077,315.0
248,3.0,0.25,8.0,487.6405600788421,347.0
249,3.0,0.25,9.0,412.3467215336859,290.0
250,3.0,0.31000000000000005,0.0,174.12540007975622,170.0
251,3.0,0.31000000000000005,1.0,516.6674424066368,334.0
252,3.0,0.31000000000000005,2.0,332.74180471446743,253.0
253,3.0,0.31000000000000005,3.0,555.6539378895613,428.0
254,3.0,0.31000000000000005,4.0,236.58474968405062,203.0
255,3.0,0.31000000000000005,5.0,185.55424876387406,165.0
256,3.0,0.31000000000000005,6.0,638.3517816007807,422.0
257,3.0,0.31000000000000005,7.0,392.0302302172495,314.0
258,3.0,0.31000000000000005,8.0,357.92775906163297,316.0
259,3.0,0.31000000000000005,9.0,335.4554002505902,237.0
260,3.0,0.37000000000000005,0.0,293.41542847448727,240.0
261,3.0,0.37000000000000005,1.0,181.90993611206068,165.0
262,3.0,0.37000000000000005,2.0,280.32128293192363,279.0
263,3.0,0.37000000000000005,3.0,439.76442748474074,311.0
264,3.0,0.37000000000000005,4.0,287.3071571146138,246.0
265,3.0,0.37000000000000005,5.0,190.50570103008067,166.0
266,3.0,0.37000000000000005,6.0,197.26595552013168,172.0
267,3.0,0.37000000000000005,7.0,220.20215613026085,192.0
268,3.0,0.37000000000000005,8.0,413.79096104636847,281.0
269,3.0,0.37000000000000005,9.0,182.7420923917307,164.0
270,3.0,0.43000000000000005,0.0,239.2392546913543,192.0
271,3.0,0.43000000000000005,1.0,222.54565255801572,213.0
272,3.0,0.43000000000000005,2.0,270.6242164761643,210.0
273,3.0,0.43000000000000005,3.0,315.17204607712483,263.0
274,3.0,0.43000000000000005,4.0,203.99882369279658,197.0
275,3.0,0.43000000000000005,5.0,195.66149255972414,157.0
276,3.0,0.43000000000000005,6.0,224.17095540358423,175.0
277,3.0,0.43000000000000005,7.0,177.49997061430622,155.0
278,3.0,0.43000000000000005,8.0,51.38004180695134,97.0
