,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1016.4393667220551,1000.0
1,1.0,0.01,1.0,1023.2838449241831,1000.0
2,1.0,0.01,2.0,1019.5172937372561,1000.0
3,1.0,0.01,3.0,1017.4720517107152,1000.0
4,1.0,0.01,4.0,1023.951821871267,1000.0
5,1.0,0.01,5.0,1021.1062812095815,1000.0
6,1.0,0.01,6.0,1018.1329103795174,1000.0
7,1.0,0.01,7.0,1012.9507071580416,1000.0
8,1.0,0.01,8.0,1022.4179389622154,1000.0
9,1.0,0.01,9.0,1016.8429636045811,1000.0
10,1.0,0.07,0.0,988.6420488896797,1000.0
11,1.0,0.07,1.0,999.4663205589977,1000.0
12,1.0,0.07,2.0,991.6099032186869,1000.0
13,1.0,0.07,3.0,990.5310906788931,1000.0
14,1.0,0.07,4.0,997.0696959738004,1000.0
15,1.0,0.07,5.0,994.6366100401325,1000.0
16,1.0,0.07,6.0,993.5873887402122,1000.0
17,1.0,0.07,7.0,986.4436811565221,1000.0
18,1.0,0.07,8.0,996.3821692013848,1000.0
19,1.0,0.07,9.0,987.061885177599,1000.0
20,1.0,0.13,0.0,930.7608754025367,1000.0
21,1.0,0.13,1.0,948.402719044039,1000.0
22,1.0,0.13,2.0,933.2360061158851,1000.0
23,1.0,0.13,3.0,933.5366143214535,1000.0
24,1.0,0.13,4.0,941.8853509000843,1000.0
25,1.0,0.13,5.0,939.9806645888976,1000.0
26,1.0,0.13,6.0,940.300247917622,1000.0
27,1.0,0.13,7.0,926.0081707946235,1000.0
28,1.0,0.13,8.0,942.0231735444967,1000.0
29,1.0,0.13,9.0,924.599653953518,1000.0
30,1.0,0.19000000000000003,0.0,852.427360336484,1000.0
31,1.0,0.19000000000000003,1.0,875.2468312489078,1000.0
32,1.0,0.19000000000000003,2.0,854.4166292708919,1000.0
33,1.0,0.19000000000000003,3.0,854.8282530478639,1000.0
34,1.0,0.19000000000000003,4.0,856.4584395050423,1000.0
35,1.0,0.19000000000000003,5.0,860.0332219725385,1000.0
36,1.0,0.19000000000000003,6.0,869.5370703201211,1000.0
37,1.0,0.19000000000000003,7.0,852.4549778093173,1000.0
38,1.0,0.19000000000000003,8.0,869.6734527359774,1000.0
39,1.0,0.19000000000000003,9.0,844.4660921192287,1000.0
40,1.0,0.25,0.0,398.00865088196633,512.0
41,1.0,0.25,1.0,793.2902349823659,1000.0
42,1.0,0.25,2.0,700.2144966087869,894.0
43,1.0,0.25,3.0,768.6990137685732,1000.0
44,1.0,0.25,4.0,443.39753569801513,541.0
45,1.0,0.25,5.0,431.6498236017258,511.0
46,1.0,0.25,6.0,610.6305666976563,765.0
47,1.0,0.25,7.0,773.239761496213,1000.0
48,1.0,0.25,8.0,458.58568815217296,572.0
49,1.0,0.25,9.0,379.99878503936606,459.0
50,1.0,0.31000000000000005,0.0,144.54613266306407,170.0
51,1.0,0.31000000000000005,1.0,195.22183384893594,231.0
52,1.0,0.31000000000000005,2.0,423.97331473639645,585.0
53,1.0,0.31000000000000005,3.0,164.93210159648433,231.0
54,1.0,0.31000000000000005,4.0,144.36338409876342,186.0
55,1.0,0.31000000000000005,5.0,116.99339906581739,146.0
56,1.0,0.31000000000000005,6.0,295.4800441897633,372.0
57,1.0,0.31000000000000005,7.0,121.62557622581662,165.0
58,1.0,0.31000000000000005,8.0,249.42173050169956,298.0
59,1.0,0.31000000000000005,9.0,164.93504200452008,193.0
60,1.0,0.37000000000000005,0.0,25.372298822703314,22.0
61,1.0,0.37000000000000005,1.0,135.36986243163992,202.0
62,1.0,0.37000000000000005,2.0,127.74265799434656,174.0
63,1.0,0.37000000000000005,3.0,73.89369578672337,101.0
64,1.0,0.37000000000000005,4.0,121.0928288488154,179.0
65,1.0,0.37000000000000005,5.0,104.51554388571523,146.0
66,1.0,0.37000000000000005,6.0,189.44271876282124,253.0
67,1.0,0.37000000000000005,7.0,91.41499673395307,128.0
68,1.0,0.37000000000000005,8.0,133.00562743887866,177.0
69,1.0,0.37000000000000005,9.0,140.25759832382323,175.0
70,1.0,0.43000000000000005,0.0,25.731084183894566,22.0
71,1.0,0.43000000000000005,1.0,84.99009993630025,109.0
72,1.0,0.43000000000000005,2.0,65.9768916450208,85.0
