,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1959.628362479947,1000.0
1,1.0,0.01,1.0,482.6616488219588,1000.0
2,1.0,0.01,2.0,661.0802023348951,1000.0
3,1.0,0.01,3.0,1922.1415196864837,1000.0
4,1.0,0.01,4.0,75.72158271239459,127.0
5,1.0,0.01,5.0,1078.0270434199265,595.0
6,1.0,0.01,6.0,1927.0591406014282,1000.0
7,1.0,0.01,7.0,1954.4894255271138,1000.0
8,1.0,0.01,8.0,169.7966702912163,133.0
9,1.0,0.01,9.0,1947.553185401499,1000.0
10,1.0,0.07,0.0,1940.7224538058072,1000.0
11,1.0,0.07,1.0,403.46185152738326,701.0
12,1.0,0.07,2.0,464.8007453328246,1000.0
13,1.0,0.07,3.0,1178.1851593024985,631.0
14,1.0,0.07,4.0,496.4362689262198,921.0
15,1.0,0.07,5.0,1024.3788395303345,561.0
16,1.0,0.07,6.0,1918.6091800936483,1000.0
17,1.0,0.07,7.0,1896.4108011952267,1000.0
18,1.0,0.07,8.0,765.0899277415301,444.0
19,1.0,0.07,9.0,1909.8792547817648,1000.0
20,1.0,0.13,0.0,867.2403964728219,470.0
21,1.0,0.13,1.0,449.12276447049953,1000.0
22,1.0,0.13,2.0,343.4966913387034,1000.0
23,1.0,0.13,3.0,1921.957318074994,1000.0
24,1.0,0.13,4.0,310.9921466877422,607.0
25,1.0,0.13,5.0,165.72193597853038,135.0
26,1.0,0.13,6.0,167.52471600649005,124.0
27,1.0,0.13,7.0,1882.4633249603867,1000.0
28,1.0,0.13,8.0,634.023227689213,382.0
29,1.0,0.13,9.0,880.6200975416796,486.0
30,1.0,0.19000000000000003,0.0,1884.0622077201624,982.0
31,1.0,0.19000000000000003,1.0,262.57882563061867,1000.0
32,1.0,0.19000000000000003,2.0,383.6826716331125,1000.0
33,1.0,0.19000000000000003,3.0,324.1784001727283,220.0
34,1.0,0.19000000000000003,4.0,417.69718428537453,875.0
35,1.0,0.19000000000000003,5.0,147.79566003483342,123.0
36,1.0,0.19000000000000003,6.0,565.6827540553786,337.0
37,1.0,0.19000000000000003,7.0,374.6721856919539,235.0
38,1.0,0.19000000000000003,8.0,253.34677343591466,171.0
39,1.0,0.19000000000000003,9.0,1084.6047543440582,593.0
40,1.0,0.25,0.0,157.03336274195317,124.0
41,1.0,0.25,1.0,690.4913556900938,740.0
42,1.0,0.25,2.0,964.2170628082895,1000.0
43,1.0,0.25,3.0,151.60382603386824,118.0
44,1.0,0.25,4.0,779.5002347135305,591.0
45,1.0,0.25,5.0,145.61639408324845,122.0
46,1.0,0.25,6.0,1033.2230307199934,580.0
47,1.0,0.25,7.0,286.95799448001344,192.0
48,1.0,0.25,8.0,65.79865577344754,72.0
49,1.0,0.25,9.0,358.70478007374913,226.0
50,1.0,0.31000000000000005,0.0,487.5304399267916,321.0
51,1.0,0.31000000000000005,1.0,98.38917222296732,149.0
52,1.0,0.31000000000000005,2.0,597.0628433581587,738.0
53,1.0,0.31000000000000005,3.0,247.95763493532286,169.0
54,1.0,0.31000000000000005,4.0,290.5283930966543,214.0
55,1.0,0.31000000000000005,5.0,278.86906849537627,206.0
56,1.0,0.31000000000000005,6.0,71.9483125135448,71.0
57,1.0,0.31000000000000005,7.0,189.16339460133895,146.0
58,1.0,0.31000000000000005,8.0,146.76575277243683,114.0
59,1.0,0.31000000000000005,9.0,260.1966354121905,170.0
60,1.0,0.37000000000000005,0.0,33.21432719453878,32.0
61,1.0,0.37000000000000005,1.0,285.13349398023274,338.0
62,1.0,0.37000000000000005,2.0,143.15277338154556,135.0
63,1.0,0.37000000000000005,3.0,308.6406329460806,221.0
64,1.0,0.37000000000000005,4.0,133.67107741448126,130.0
65,1.0,0.37000000000000005,5.0,128.8295719319358,118.0
66,1.0,0.37000000000000005,6.0,231.56927692177123,171.0
67,1.0,0.37000000000000005,7.0,205.25550524771097,173.0
68,1.0,0.37000000000000005,8.0,57.61668551522598,67.0
69,1.0,0.37000000000000005,9.0,72.83588488694659,73.0
70,1.0,0.43000000000000005,0.0,34.003607511411246,30.0
71,1.0,0.43000000000000005,1.0,78.10493427702022,108.0
72,1.0,0.43000000000000005,2.0,179.5355749795708,164.0
73,1.0,0.43000000000000005,3.0,25.103252250119112,51.0
74,1.0,0.43000000000000005,4.0,153.12317472734867,126.0
75,1.0,0.43000000000000005,5.0,164.64170031369576,152.0
