,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,158.66251028247348,126.0
1,1.0,0.01,1.0,176.17683818765252,115.0
2,1.0,0.01,2.0,211.72256852021053,119.0
3,1.0,0.01,3.0,123.33304237359442,84.0
4,1.0,0.01,4.0,152.2096465609167,81.0
5,1.0,0.01,5.0,161.91526670933442,81.0
6,1.0,0.01,6.0,-9.800753839122951,35.0
7,1.0,0.01,7.0,123.3247713525381,87.0
8,1.0,0.01,8.0,-228.206934081668,46.0
9,1.0,0.01,9.0,-9.176081807718802,34.0
10,1.0,0.07,0.0,222.89426340339148,140.0
11,1.0,0.07,1.0,152.1054707537517,102.0
12,1.0,0.07,2.0,192.48604349133475,114.0
13,1.0,0.07,3.0,114.00679518234814,76.0
14,1.0,0.07,4.0,149.24860290599014,78.0
15,1.0,0.07,5.0,221.40519234361176,104.0
16,1.0,0.07,6.0,-2.4852330681102703,33.0
17,1.0,0.07,7.0,113.16610065912076,86.0
18,1.0,0.07,8.0,-150.62671583213228,40.0
19,1.0,0.07,9.0,12.966991443370002,40.0
20,1.0,0.13,0.0,193.56885499519595,121.0
21,1.0,0.13,1.0,151.30237017654014,110.0
22,1.0,0.13,2.0,133.83424276521941,94.0
23,1.0,0.13,3.0,91.51898279411053,67.0
24,1.0,0.13,4.0,186.1014518506775,100.0
25,1.0,0.13,5.0,87.3888302711298,58.0
26,1.0,0.13,6.0,13.42387380319222,37.0
27,1.0,0.13,7.0,96.3437618507852,75.0
28,1.0,0.13,8.0,-142.2784116181492,40.0
29,1.0,0.13,9.0,-3.624227631036749,34.0
30,1.0,0.19000000000000003,0.0,109.91686664775806,113.0
31,1.0,0.19000000000000003,1.0,134.2570209077038,90.0
32,1.0,0.19000000000000003,2.0,125.40266169623646,93.0
33,1.0,0.19000000000000003,3.0,155.6341731498876,92.0
34,1.0,0.19000000000000003,4.0,92.71337075588647,59.0
35,1.0,0.19000000000000003,5.0,103.02818701576182,66.0
36,1.0,0.19000000000000003,6.0,15.076736614567503,53.0
37,1.0,0.19000000000000003,7.0,97.65347719705387,75.0
38,1.0,0.19000000000000003,8.0,-176.24939590987898,34.0
39,1.0,0.19000000000000003,9.0,13.530446560606617,43.0
40,1.0,0.25,0.0,50.66956263318745,91.0
41,1.0,0.25,1.0,127.00368432582235,86.0
42,1.0,0.25,2.0,117.54243839473486,80.0
43,1.0,0.25,3.0,59.508836559626985,56.0
44,1.0,0.25,4.0,96.15526597325167,63.0
45,1.0,0.25,5.0,110.8689754936257,73.0
46,1.0,0.25,6.0,-4.837217463494739,32.0
47,1.0,0.25,7.0,88.69433631147467,68.0
48,1.0,0.25,8.0,-179.4534881798045,37.0
49,1.0,0.25,9.0,7.890687102556827,40.0
50,1.0,0.31000000000000005,0.0,121.39288661774944,116.0
51,1.0,0.31000000000000005,1.0,105.95901604829224,81.0
52,1.0,0.31000000000000005,2.0,103.06267800240636,72.0
53,1.0,0.31000000000000005,3.0,49.04641987806151,55.0
54,1.0,0.31000000000000005,4.0,69.34973965771937,54.0
55,1.0,0.31000000000000005,5.0,74.68938249899837,54.0
56,1.0,0.31000000000000005,6.0,-7.045502676084102,32.0
57,1.0,0.31000000000000005,7.0,40.57512721252044,58.0
58,1.0,0.31000000000000005,8.0,-155.59854101926567,41.0
59,1.0,0.31000000000000005,9.0,5.18213149270181,32.0
60,1.0,0.37000000000000005,0.0,117.07980212866082,89.0
61,1.0,0.37000000000000005,1.0,65.3115739157671,87.0
62,1.0,0.37000000000000005,2.0,93.96895522766513,88.0
63,1.0,0.37000000000000005,3.0,47.85175373318151,59.0
64,1.0,0.37000000000000005,4.0,116.92308229535922,69.0
65,1.0,0.37000000000000005,5.0,73.8569818706929,57.0
66,1.0,0.37000000000000005,6.0,-11.78126367029375,36.0
67,1.0,0.37000000000000005,7.0,34.013097356158674,48.0
68,1.0,0.37000000000000005,8.0,-188.80519460517715,34.0
69,1.0,0.37000000000000005,9.0,-6.0708082634910205,36.0
70,1.0,0.43000000000000005,0.0,-94.07126260940984,83.0
71,1.0,0.43000000000000005,1.0,33.697873154509246,70.0
72,1.0,0.43000000000000005,2.0,76.1621385532983,72.0
73,1.0,0.43000000000000005,3.0,49.912543663348366,56.0
74,1.0,0.43000000000000005,4.0,87.32110473937186,59.0
75,1.0,0.43000000000000005,5.0,68.57658800536139,55.0
76,1.0,0.43000000000000005,6.0,-15.79742042001758,25.0
77,1.0,0.43000000000000005,7.0,89.90998190505128,74.0
78,1.0,0.43000000000000005,8.0,-138.33258334853005,34.0
79,1.0,0.43000000000000005,9.0,-33.98223232926594,32.0
80,1.0,0.49000000000000005,0.0,37.42556837044919,59.0
81,1.0,0.49000000000000005,1.0,22.91523434338538,82.0
82,1.0,0.49000000000000005,2.0,83.76316261835534,84.0
83,1.0,0.49000000000000005,3.0,39.52621643923954,74.0
84,1.0,0.49000000000000005,4.0,41.59606451909618,43.0
85,1.0,0.49000000000000005,5.0,44.29315964857084,43.0
86,1.0,0.49000000000000005,6.0,-36.59507253296285,25.0
87,1.0,0.49000000000000005,7.0,68.84120492319396,66.0
88,1.0,0.49000000000000005,8.0,-110.62783783639217,43.0
89,1.0,0.49000000000000005,9.0,-3.8317285721703573,34.0
90,1.0,0.55,0.0,26.56135553307287,47.0
91,1.0,0.55,1.0,60.668219083973064,86.0
92,1.0,0.55,2.0,35.278294762040055,92.0
93,1.0,0.55,3.0,21.477290734040768,60.0
94,1.0,0.55,4.0,50.62146897256017,48.0
95,1.0,0.55,5.0,27.916164935898042,51.0
96,1.0,0.55,6.0,-1.6754501183587176,22.0
97,1.0,0.55,7.0,44.55413395610618,52.0
98,1.0,0.55,8.0,-149.0700955206389,41.0
99,1.0,0.55,9.0,-4.974784073328438,40.0
100,2.0,0.01,0.0,157.25162138565327,126.0
101,2.0,0.01,1.0,176.17683818765252,115.0
102,2.0,0.01,2.0,211.72256852021053,119.0
103,2.0,0.01,3.0,123.33304237359442,84.0
104,2.0,0.01,4.0,152.2096465609167,81.0
105,2.0,0.01,5.0,161.91526670933442,81.0
106,2.0,0.01,6.0,-9.800753839122951,35.0
107,2.0,0.01,7.0,123.3247713525381,87.0
108,2.0,0.01,8.0,-228.206934081668,46.0
109,2.0,0.01,9.0,-9.176081807718802,34.0
110,2.0,0.07,0.0,222.89426340339148,140.0
111,2.0,0.07,1.0,152.1054707537517,102.0
112,2.0,0.07,2.0,192.48604349133475,114.0
113,2.0,0.07,3.0,114.00679518234814,76.0
114,2.0,0.07,4.0,149.24860290599014,78.0
115,2.0,0.07,5.0,221.40519234361176,104.0
116,2.0,0.07,6.0,-2.4852330681102703,33.0
117,2.0,0.07,7.0,113.16610065912076,86.0
118,2.0,0.07,8.0,-150.62671583213228,40.0
119,2.0,0.07,9.0,12.966991443370002,40.0
120,2.0,0.13,0.0,193.56885499519595,121.0
121,2.0,0.13,1.0,151.30237017654014,110.0
122,2.0,0.13,2.0,133.83424276521941,94.0
123,2.0,0.13,3.0,91.51898279411053,67.0
124,2.0,0.13,4.0,186.1014518506775,100.0
125,2.0,0.13,5.0,87.3888302711298,58.0
126,2.0,0.13,6.0,13.42387380319222,37.0
127,2.0,0.13,7.0,96.3437618507852,75.0
128,2.0,0.13,8.0,-142.2784116181492,40.0
129,2.0,0.13,9.0,-3.624227631036749,34.0
130,2.0,0.19000000000000003,0.0,109.91686664775806,113.0
131,2.0,0.19000000000000003,1.0,134.2570209077038,90.0
132,2.0,0.19000000000000003,2.0,125.40266169623646,93.0
133,2.0,0.19000000000000003,3.0,155.6341731498876,92.0
134,2.0,0.19000000000000003,4.0,92.71337075588647,59.0
135,2.0,0.19000000000000003,5.0,103.02818701576182,66.0
136,2.0,0.19000000000000003,6.0,15.076736614567503,53.0
137,2.0,0.19000000000000003,7.0,97.65347719705387,75.0
138,2.0,0.19000000000000003,8.0,-176.24939590987898,34.0
139,2.0,0.19000000000000003,9.0,13.530446560606617,43.0
140,2.0,0.25,0.0,50.66956263318745,91.0
141,2.0,0.25,1.0,127.00368432582235,86.0
142,2.0,0.25,2.0,117.54243839473486,80.0
143,2.0,0.25,3.0,59.508836559626985,56.0
144,2.0,0.25,4.0,96.15526597325167,63.0
145,2.0,0.25,5.0,110.8689754936257,73.0
146,2.0,0.25,6.0,-4.837217463494739,32.0
147,2.0,0.25,7.0,88.69433631147467,68.0
148,2.0,0.25,8.0,-179.4534881798045,37.0
149,2.0,0.25,9.0,7.890687102556827,40.0
150,2.0,0.31000000000000005,0.0,121.39288661774944,116.0
151,2.0,0.31000000000000005,1.0,105.95901604829224,81.0
152,2.0,0.31000000000000005,2.0,103.06267800240636,72.0
153,2.0,0.31000000000000005,3.0,49.04641987806151,55.0
154,2.0,0.31000000000000005,4.0,69.34973965771937,54.0
155,2.0,0.31000000000000005,5.0,74.68938249899837,54.0
156,2.0,0.31000000000000005,6.0,-7.045502676084102,32.0
157,2.0,0.31000000000000005,7.0,40.57512721252044,58.0
158,2.0,0.31000000000000005,8.0,-155.59854101926567,41.0
159,2.0,0.31000000000000005,9.0,5.18213149270181,32.0
160,2.0,0.37000000000000005,0.0,117.07980212866082,89.0
161,2.0,0.37000000000000005,1.0,65.3115739157671,87.0
162,2.0,0.37000000000000005,2.0,93.96895522766513,88.0
163,2.0,0.37000000000000005,3.0,47.85175373318151,59.0
164,2.0,0.37000000000000005,4.0,116.92308229535922,69.0
165,2.0,0.37000000000000005,5.0,73.8569818706929,57.0
166,2.0,0.37000000000000005,6.0,-11.78126367029375,36.0
167,2.0,0.37000000000000005,7.0,34.013097356158674,48.0
168,2.0,0.37000000000000005,8.0,-188.80519460517715,34.0
169,2.0,0.37000000000000005,9.0,-6.0708082634910205,36.0
170,2.0,0.43000000000000005,0.0,-94.07126260940984,83.0
171,2.0,0.43000000000000005,1.0,33.697873154509246,70.0
172,2.0,0.43000000000000005,2.0,76.1621385532983,72.0
