,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,204.90666768751638,89.0
1,1.0,0.01,1.0,193.89168899229625,80.0
2,1.0,0.01,2.0,207.580269504302,85.0
3,1.0,0.01,3.0,181.43906769350673,79.0
4,1.0,0.01,4.0,18.36905508356891,26.0
5,1.0,0.01,5.0,213.81689290248752,101.0
6,1.0,0.01,6.0,-13.328821424259143,28.0
7,1.0,0.01,7.0,196.30768393889318,82.0
8,1.0,0.01,8.0,-10.507606386309858,19.0
9,1.0,0.01,9.0,-5.1615328358572174,31.0
10,1.0,0.07,0.0,210.55009964177955,96.0
11,1.0,0.07,1.0,189.65519504625388,78.0
12,1.0,0.07,2.0,189.06037027541308,80.0
13,1.0,0.07,3.0,216.274425977371,100.0
14,1.0,0.07,4.0,17.208389149420686,27.0
15,1.0,0.07,5.0,202.85332761194067,82.0
16,1.0,0.07,6.0,4.285405678248524,23.0
17,1.0,0.07,7.0,209.18877146835828,88.0
18,1.0,0.07,8.0,-4.81758938440315,19.0
19,1.0,0.07,9.0,1.952893058760485,31.0
20,1.0,0.13,0.0,193.14582365782806,85.0
21,1.0,0.13,1.0,173.74205941197528,81.0
22,1.0,0.13,2.0,217.01631610351416,92.0
23,1.0,0.13,3.0,223.6001019129049,109.0
24,1.0,0.13,4.0,21.593491034834777,29.0
25,1.0,0.13,5.0,221.87962075410104,89.0
26,1.0,0.13,6.0,4.5839668327350305,23.0
27,1.0,0.13,7.0,199.94212277316973,87.0
28,1.0,0.13,8.0,-14.847728476842647,19.0
29,1.0,0.13,9.0,-5.021262612880404,31.0
30,1.0,0.19000000000000003,0.0,154.87033533527404,88.0
31,1.0,0.19000000000000003,1.0,176.4658871930747,98.0
32,1.0,0.19000000000000003,2.0,184.6568860050217,87.0
33,1.0,0.19000000000000003,3.0,233.53429161718717,95.0
34,1.0,0.19000000000000003,4.0,20.091074671468085,29.0
35,1.0,0.19000000000000003,5.0,142.84866287342763,67.0
36,1.0,0.19000000000000003,6.0,4.470430180726722,22.0
37,1.0,0.19000000000000003,7.0,210.3491442611319,87.0
38,1.0,0.19000000000000003,8.0,-42.96849375714933,19.0
39,1.0,0.19000000000000003,9.0,-3.4695256916018433,36.0
40,1.0,0.25,0.0,119.6683102758845,91.0
41,1.0,0.25,1.0,149.9994649143697,85.0
42,1.0,0.25,2.0,159.87469655250925,91.0
43,1.0,0.25,3.0,185.36089126803222,83.0
44,1.0,0.25,4.0,42.446359492779536,41.0
45,1.0,0.25,5.0,140.4880016960747,67.0
46,1.0,0.25,6.0,0.9477692360822656,21.0
47,1.0,0.25,7.0,135.47743531647527,74.0
48,1.0,0.25,8.0,-47.669484316283736,19.0
49,1.0,0.25,9.0,-6.267059593562754,35.0
50,1.0,0.31000000000000005,0.0,164.52657276571364,96.0
51,1.0,0.31000000000000005,1.0,98.892729285107,83.0
52,1.0,0.31000000000000005,2.0,137.4942260957916,81.0
53,1.0,0.31000000000000005,3.0,161.1137948495959,80.0
54,1.0,0.31000000000000005,4.0,29.50212837782027,32.0
55,1.0,0.31000000000000005,5.0,109.49863707886952,61.0
56,1.0,0.31000000000000005,6.0,3.7980913443780535,20.0
57,1.0,0.31000000000000005,7.0,171.72453684457255,95.0
58,1.0,0.31000000000000005,8.0,-11.104328562638294,19.0
59,1.0,0.31000000000000005,9.0,-17.09137524979528,36.0
60,1.0,0.37000000000000005,0.0,53.77617067853792,79.0
61,1.0,0.37000000000000005,1.0,79.84791340601755,81.0
62,1.0,0.37000000000000005,2.0,71.48898578544451,69.0
63,1.0,0.37000000000000005,3.0,196.22873742480144,103.0
64,1.0,0.37000000000000005,4.0,33.1218251060908,35.0
65,1.0,0.37000000000000005,5.0,88.9916836650002,55.0
66,1.0,0.37000000000000005,6.0,-2.4128086469822776,19.0
67,1.0,0.37000000000000005,7.0,124.35917071753339,80.0
68,1.0,0.37000000000000005,8.0,-34.66515400595257,20.0
69,1.0,0.37000000000000005,9.0,-6.046169600602395,39.0
