,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1469.8492776444675,1000.0
1,1.0,0.01,1.0,1462.5265626073865,1000.0
2,1.0,0.01,2.0,1466.156252701171,1000.0
3,1.0,0.01,3.0,47.83575380425462,83.0
4,1.0,0.01,4.0,1466.1971450389472,1000.0
5,1.0,0.01,5.0,1463.9567281018967,1000.0
6,1.0,0.01,6.0,139.31219364693246,112.0
7,1.0,0.01,7.0,1467.4786088612243,1000.0
8,1.0,0.01,8.0,1470.4028038096556,1000.0
9,1.0,0.01,9.0,179.0290564492811,152.0
10,1.0,0.07,0.0,1456.971823333641,1000.0
11,1.0,0.07,1.0,1462.996926530363,1000.0
12,1.0,0.07,2.0,1462.2566656386568,1000.0
13,1.0,0.07,3.0,53.234305823719474,85.0
14,1.0,0.07,4.0,1460.2885845261303,1000.0
15,1.0,0.07,5.0,1458.4926721929896,1000.0
16,1.0,0.07,6.0,143.58991528379553,117.0
17,1.0,0.07,7.0,1455.4469705662452,1000.0
18,1.0,0.07,8.0,1462.367729980038,1000.0
19,1.0,0.07,9.0,144.98757279995047,119.0
20,1.0,0.13,0.0,1416.9449355624395,1000.0
21,1.0,0.13,1.0,1432.3987931136937,1000.0
22,1.0,0.13,2.0,1447.1171114342667,1000.0
23,1.0,0.13,3.0,147.68885735878425,121.0
24,1.0,0.13,4.0,1437.2040243594408,1000.0
25,1.0,0.13,5.0,171.5444362807059,135.0
26,1.0,0.13,6.0,137.2541689696212,113.0
27,1.0,0.13,7.0,1421.1584214463592,1000.0
28,1.0,0.13,8.0,1003.0184010639393,730.0
29,1.0,0.13,9.0,141.44232790641254,119.0
30,1.0,0.19000000000000003,0.0,143.36724645354553,121.0
31,1.0,0.19000000000000003,1.0,1395.460058953523,1000.0
32,1.0,0.19000000000000003,2.0,971.1929016434785,695.0
33,1.0,0.19000000000000003,3.0,65.04760012843178,88.0
34,1.0,0.19000000000000003,4.0,825.5230844416741,593.0
35,1.0,0.19000000000000003,5.0,134.03937872671816,108.0
36,1.0,0.19000000000000003,6.0,135.71719757980756,114.0
37,1.0,0.19000000000000003,7.0,1407.3744097189574,1000.0
38,1.0,0.19000000000000003,8.0,751.8539859152376,533.0
39,1.0,0.19000000000000003,9.0,128.45787701578664,112.0
40,1.0,0.25,0.0,154.76028461189563,133.0
41,1.0,0.25,1.0,148.40620889951535,125.0
42,1.0,0.25,2.0,995.7129419178945,729.0
43,1.0,0.25,3.0,266.9123279748817,233.0
44,1.0,0.25,4.0,737.1138259317617,544.0
45,1.0,0.25,5.0,111.10043463230834,98.0
46,1.0,0.25,6.0,131.36422796369007,111.0
