,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,115.52213558837859,124.0
1,1.0,0.01,1.0,431.1937737515564,234.0
2,1.0,0.01,2.0,296.2526686876112,190.0
3,1.0,0.01,3.0,90.27811591587717,109.0
4,1.0,0.01,4.0,90.34466202540662,63.0
5,1.0,0.01,5.0,158.2885276445064,104.0
6,1.0,0.01,6.0,27.492884661793664,56.0
7,1.0,0.01,7.0,84.57845225917059,114.0
8,1.0,0.01,8.0,-112.00007622010536,22.0
9,1.0,0.01,9.0,28.29423624859377,49.0
10,1.0,0.07,0.0,131.49196181677542,117.0
11,1.0,0.07,1.0,428.3107514665295,251.0
12,1.0,0.07,2.0,109.6700718732336,113.0
13,1.0,0.07,3.0,112.58326726838364,113.0
14,1.0,0.07,4.0,134.60108840086738,84.0
15,1.0,0.07,5.0,188.40836415035955,118.0
16,1.0,0.07,6.0,11.549062812790847,48.0
17,1.0,0.07,7.0,168.9960956011743,153.0
18,1.0,0.07,8.0,-127.31208968278312,24.0
19,1.0,0.07,9.0,29.544041338973248,55.0
20,1.0,0.13,0.0,149.90497560082207,152.0
21,1.0,0.13,1.0,256.0973120233597,153.0
22,1.0,0.13,2.0,108.22406061580924,145.0
23,1.0,0.13,3.0,107.1415982668998,96.0
24,1.0,0.13,4.0,107.10580177885062,73.0
25,1.0,0.13,5.0,94.89990066968755,72.0
26,1.0,0.13,6.0,-0.8487224573280171,41.0
27,1.0,0.13,7.0,98.09821984868856,162.0
28,1.0,0.13,8.0,-144.2657607775114,28.0
29,1.0,0.13,9.0,28.770620095125587,53.0
30,1.0,0.19000000000000003,0.0,115.22073912379234,132.0
31,1.0,0.19000000000000003,1.0,218.08131393172118,157.0
32,1.0,0.19000000000000003,2.0,134.9730691338461,123.0
33,1.0,0.19000000000000003,3.0,74.35501333874971,80.0
34,1.0,0.19000000000000003,4.0,121.32852947586056,83.0
35,1.0,0.19000000000000003,5.0,78.37212427608058,62.0
36,1.0,0.19000000000000003,6.0,11.546753681650486,47.0
37,1.0,0.19000000000000003,7.0,94.23703573019705,122.0
38,1.0,0.19000000000000003,8.0,-128.57434225868357,25.0
39,1.0,0.19000000000000003,9.0,38.7473105550246,55.0
40,1.0,0.25,0.0,28.646957373466044,112.0
41,1.0,0.25,1.0,145.7533913780544,97.0
42,1.0,0.25,2.0,73.9747772712432,100.0
43,1.0,0.25,3.0,80.88889339676018,76.0
44,1.0,0.25,4.0,139.03590205227925,90.0
45,1.0,0.25,5.0,73.10361876471423,60.0
46,1.0,0.25,6.0,32.334931399129744,60.0
47,1.0,0.25,7.0,42.372847453224246,73.0
48,1.0,0.25,8.0,-124.01934244415915,27.0
49,1.0,0.25,9.0,26.051344173439507,48.0
50,1.0,0.31000000000000005,0.0,43.036320400728904,77.0
51,1.0,0.31000000000000005,1.0,98.89626387838375,82.0
52,1.0,0.31000000000000005,2.0,46.67385439992057,87.0
53,1.0,0.31000000000000005,3.0,84.64757748933883,76.0
54,1.0,0.31000000000000005,4.0,129.22359258400414,82.0
55,1.0,0.31000000000000005,5.0,78.3174900484561,66.0
56,1.0,0.31000000000000005,6.0,28.17052338383363,62.0
57,1.0,0.31000000000000005,7.0,53.692401846415954,72.0
58,1.0,0.31000000000000005,8.0,-115.73410044661642,23.0
59,1.0,0.31000000000000005,9.0,38.12284732773185,58.0
60,1.0,0.37000000000000005,0.0,60.88757947266564,85.0
61,1.0,0.37000000000000005,1.0,88.64879791006267,85.0
62,1.0,0.37000000000000005,2.0,58.81763133903415,76.0
63,1.0,0.37000000000000005,3.0,76.32194381878006,73.0
64,1.0,0.37000000000000005,4.0,118.11245151475909,77.0
65,1.0,0.37000000000000005,5.0,52.30477474940789,56.0
66,1.0,0.37000000000000005,6.0,15.893636274736096,53.0
67,1.0,0.37000000000000005,7.0,46.34751969692274,77.0
68,1.0,0.37000000000000005,8.0,-88.52771317791598,25.0
69,1.0,0.37000000000000005,9.0,28.990873244407208,49.0
70,1.0,0.43000000000000005,0.0,34.862238302264444,73.0
71,1.0,0.43000000000000005,1.0,38.58830737267462,71.0
72,1.0,0.43000000000000005,2.0,60.754616712584614,81.0
73,1.0,0.43000000000000005,3.0,58.21438287486676,72.0
74,1.0,0.43000000000000005,4.0,48.65902861146076,44.0
75,1.0,0.43000000000000005,5.0,48.2404058363694,51.0
76,1.0,0.43000000000000005,6.0,17.247724839673914,50.0
77,1.0,0.43000000000000005,7.0,38.57857659417591,71.0
78,1.0,0.43000000000000005,8.0,-42.16054382923033,25.0
79,1.0,0.43000000000000005,9.0,21.781686423325645,43.0
80,1.0,0.49000000000000005,0.0,31.10282751583892,50.0
81,1.0,0.49000000000000005,1.0,61.05769661204129,71.0
82,1.0,0.49000000000000005,2.0,53.668694738187334,80.0
83,1.0,0.49000000000000005,3.0,61.20429504134724,72.0
84,1.0,0.49000000000000005,4.0,40.80092112991332,43.0
85,1.0,0.49000000000000005,5.0,24.801693066194236,38.0
86,1.0,0.49000000000000005,6.0,1.480398178377801,50.0
87,1.0,0.49000000000000005,7.0,9.584451415262752,74.0
88,1.0,0.49000000000000005,8.0,-76.07842537528883,23.0
89,1.0,0.49000000000000005,9.0,3.4816740160187925,39.0
90,1.0,0.55,0.0,27.051124703576825,71.0
91,1.0,0.55,1.0,29.828124797458344,49.0
92,1.0,0.55,2.0,35.826581509319766,71.0
93,1.0,0.55,3.0,38.577644759207466,72.0
94,1.0,0.55,4.0,32.80076737270507,38.0
95,1.0,0.55,5.0,19.7701122846901,36.0
96,1.0,0.55,6.0,-12.52698747864359,63.0
97,1.0,0.55,7.0,7.13778184843779,73.0
98,1.0,0.55,8.0,-46.43622835186,23.0
99,1.0,0.55,9.0,6.03028550720329,42.0
100,2.0,0.01,0.0,115.64445488461885,124.0
101,2.0,0.01,1.0,431.1937737515564,234.0
102,2.0,0.01,2.0,296.2526686876112,190.0
103,2.0,0.01,3.0,90.27811591587717,109.0
104,2.0,0.01,4.0,90.34466202540662,63.0
105,2.0,0.01,5.0,158.2885276445064,104.0
106,2.0,0.01,6.0,27.492884661793664,56.0
107,2.0,0.01,7.0,84.57845225917059,114.0
108,2.0,0.01,8.0,-112.00007622010536,22.0
109,2.0,0.01,9.0,28.29423624859377,49.0
110,2.0,0.07,0.0,131.49196181677542,117.0
111,2.0,0.07,1.0,428.3107514665295,251.0
112,2.0,0.07,2.0,109.6700718732336,113.0
113,2.0,0.07,3.0,112.58326726838364,113.0
114,2.0,0.07,4.0,134.60108840086738,84.0
115,2.0,0.07,5.0,188.40836415035955,118.0
116,2.0,0.07,6.0,11.549062812790847,48.0
117,2.0,0.07,7.0,168.9960956011743,153.0
118,2.0,0.07,8.0,-127.31208968278312,24.0
119,2.0,0.07,9.0,29.544041338973248,55.0
120,2.0,0.13,0.0,149.90497560082207,152.0
121,2.0,0.13,1.0,256.0973120233597,153.0
122,2.0,0.13,2.0,108.22406061580924,145.0
123,2.0,0.13,3.0,107.1415982668998,96.0
124,2.0,0.13,4.0,107.10580177885062,73.0
125,2.0,0.13,5.0,94.89990066968755,72.0
126,2.0,0.13,6.0,-0.8487224573280171,41.0
127,2.0,0.13,7.0,98.09821984868856,162.0
128,2.0,0.13,8.0,-144.2657607775114,28.0
129,2.0,0.13,9.0,28.770620095125587,53.0
130,2.0,0.19000000000000003,0.0,115.22073912379234,132.0
