,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,122.65299238643502,97.0
1,1.0,0.01,1.0,227.99929702161,125.0
2,1.0,0.01,2.0,112.3451889345132,96.0
3,1.0,0.01,3.0,182.12960024616243,126.0
4,1.0,0.01,4.0,135.37086195544262,72.0
5,1.0,0.01,5.0,202.18854378934344,96.0
6,1.0,0.01,6.0,55.889547497494355,50.0
7,1.0,0.01,7.0,208.12079164778388,125.0
8,1.0,0.01,8.0,-96.40896511117751,31.0
9,1.0,0.01,9.0,22.829033085879356,37.0
10,1.0,0.07,0.0,109.70068656866798,98.0
11,1.0,0.07,1.0,259.36972265572626,182.0
12,1.0,0.07,2.0,174.28968033612307,123.0
13,1.0,0.07,3.0,186.68307892185612,119.0
14,1.0,0.07,4.0,126.66788164779601,72.0
15,1.0,0.07,5.0,98.22206074558741,59.0
16,1.0,0.07,6.0,24.069967001590243,42.0
17,1.0,0.07,7.0,261.3212051529122,148.0
18,1.0,0.07,8.0,-16.439716574597085,31.0
19,1.0,0.07,9.0,28.85208838267356,43.0
20,1.0,0.13,0.0,106.78209459691197,95.0
21,1.0,0.13,1.0,233.3632543324445,166.0
22,1.0,0.13,2.0,173.24502354467197,110.0
23,1.0,0.13,3.0,157.61998521480436,100.0
24,1.0,0.13,4.0,156.52891834257184,81.0
25,1.0,0.13,5.0,86.34815792728104,56.0
26,1.0,0.13,6.0,25.254030027098516,43.0
27,1.0,0.13,7.0,168.66368759384366,109.0
28,1.0,0.13,8.0,-33.63238984722201,29.0
29,1.0,0.13,9.0,14.439816722188493,38.0
30,1.0,0.19000000000000003,0.0,92.81747763904782,86.0
31,1.0,0.19000000000000003,1.0,162.99077435278576,95.0
32,1.0,0.19000000000000003,2.0,205.37601069426955,120.0
33,1.0,0.19000000000000003,3.0,159.751830271697,101.0
34,1.0,0.19000000000000003,4.0,145.11260675120513,75.0
35,1.0,0.19000000000000003,5.0,63.42804807855978,48.0
36,1.0,0.19000000000000003,6.0,28.82728000119854,45.0
37,1.0,0.19000000000000003,7.0,249.6806229537813,145.0
38,1.0,0.19000000000000003,8.0,-39.31217489005592,31.0
39,1.0,0.19000000000000003,9.0,6.5088124652529515,35.0
40,1.0,0.25,0.0,36.21822284135293,51.0
41,1.0,0.25,1.0,138.5082331604116,87.0
42,1.0,0.25,2.0,165.27344129779686,126.0
43,1.0,0.25,3.0,103.32901900406297,79.0
44,1.0,0.25,4.0,113.71795926881381,65.0
45,1.0,0.25,5.0,64.20656162490349,49.0
46,1.0,0.25,6.0,19.37555552456816,45.0
47,1.0,0.25,7.0,130.5145132699831,93.0
48,1.0,0.25,8.0,-80.0584327912421,27.0
49,1.0,0.25,9.0,4.405981306758468,35.0
50,1.0,0.31000000000000005,0.0,24.30892600103075,51.0
51,1.0,0.31000000000000005,1.0,62.84819496477847,54.0
52,1.0,0.31000000000000005,2.0,136.5221897765617,108.0
53,1.0,0.31000000000000005,3.0,65.03655868385788,59.0
54,1.0,0.31000000000000005,4.0,104.04612294324083,68.0
55,1.0,0.31000000000000005,5.0,52.45358434527804,45.0
56,1.0,0.31000000000000005,6.0,24.738799817030845,49.0
57,1.0,0.31000000000000005,7.0,149.74416619291216,111.0
58,1.0,0.31000000000000005,8.0,-53.35867444924694,32.0
59,1.0,0.31000000000000005,9.0,8.903872867503257,36.0
60,1.0,0.37000000000000005,0.0,20.090921367583523,54.0
61,1.0,0.37000000000000005,1.0,99.09290197371965,73.0
62,1.0,0.37000000000000005,2.0,38.19583810529903,66.0
63,1.0,0.37000000000000005,3.0,65.62418550894444,60.0
64,1.0,0.37000000000000005,4.0,49.882171011428625,42.0
65,1.0,0.37000000000000005,5.0,53.46582452329223,45.0
66,1.0,0.37000000000000005,6.0,20.849597835665996,49.0
67,1.0,0.37000000000000005,7.0,137.31690288202802,94.0
68,1.0,0.37000000000000005,8.0,-84.17679781481363,25.0
69,1.0,0.37000000000000005,9.0,27.001571775804965,41.0
70,1.0,0.43000000000000005,0.0,33.40167255848748,51.0
71,1.0,0.43000000000000005,1.0,89.06753942833403,67.0
72,1.0,0.43000000000000005,2.0,60.31450108858314,87.0
73,1.0,0.43000000000000005,3.0,47.69182282452266,56.0
74,1.0,0.43000000000000005,4.0,47.80961263584194,44.0
75,1.0,0.43000000000000005,5.0,46.50729088247305,43.0
76,1.0,0.43000000000000005,6.0,18.9248919663526,41.0
77,1.0,0.43000000000000005,7.0,118.31778165819529,98.0
78,1.0,0.43000000000000005,8.0,-44.59639645269844,27.0
79,1.0,0.43000000000000005,9.0,9.61566667205188,35.0
80,1.0,0.49000000000000005,0.0,-3.9230923684317913,105.0
81,1.0,0.49000000000000005,1.0,68.37136474460709,71.0
82,1.0,0.49000000000000005,2.0,18.244574688982368,60.0
83,1.0,0.49000000000000005,3.0,61.685598513223646,58.0
84,1.0,0.49000000000000005,4.0,17.49623236042736,31.0
85,1.0,0.49000000000000005,5.0,42.41866606119031,43.0
86,1.0,0.49000000000000005,6.0,9.361679164929464,28.0
87,1.0,0.49000000000000005,7.0,96.79322800003219,107.0
88,1.0,0.49000000000000005,8.0,-22.727462656843517,29.0
89,1.0,0.49000000000000005,9.0,7.29167412903011,41.0
90,1.0,0.55,0.0,32.74845484889431,116.0
