,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,937.265411085471,1000.0
1,1.0,0.01,1.0,977.8306735310834,1000.0
2,1.0,0.01,2.0,32.97872521811223,71.0
3,1.0,0.01,3.0,12.232190179420286,17.0
4,1.0,0.01,4.0,968.3864668310489,1000.0
5,1.0,0.01,5.0,961.4843624022833,1000.0
6,1.0,0.01,6.0,941.240838808837,1000.0
7,1.0,0.01,7.0,951.1846520117833,1000.0
8,1.0,0.01,8.0,968.0075897823772,1000.0
9,1.0,0.01,9.0,12.662303920013073,18.0
10,1.0,0.07,0.0,891.1803229804136,1000.0
11,1.0,0.07,1.0,968.7748177715621,1000.0
12,1.0,0.07,2.0,51.76215339186456,121.0
13,1.0,0.07,3.0,12.442943019290396,17.0
14,1.0,0.07,4.0,932.2472662154323,1000.0
15,1.0,0.07,5.0,13.390484467046917,18.0
16,1.0,0.07,6.0,914.6515893458054,1000.0
17,1.0,0.07,7.0,807.9415070242248,861.0
18,1.0,0.07,8.0,949.4822022974549,1000.0
19,1.0,0.07,9.0,13.076773230553954,19.0
20,1.0,0.13,0.0,97.68357359610673,152.0
21,1.0,0.13,1.0,368.11242108583974,403.0
22,1.0,0.13,2.0,49.31774474106351,110.0
23,1.0,0.13,3.0,12.381987388020207,17.0
24,1.0,0.13,4.0,289.62534332609357,348.0
25,1.0,0.13,5.0,480.25706716629793,550.0
26,1.0,0.13,6.0,246.314206363204,320.0
27,1.0,0.13,7.0,956.277595491214,1000.0
28,1.0,0.13,8.0,941.8333971974571,1000.0
29,1.0,0.13,9.0,13.164422422763892,19.0
30,1.0,0.19000000000000003,0.0,527.2953142819315,618.0
31,1.0,0.19000000000000003,1.0,902.5689078868309,1000.0
32,1.0,0.19000000000000003,2.0,21.71524157769454,45.0
33,1.0,0.19000000000000003,3.0,13.29547941446799,20.0
34,1.0,0.19000000000000003,4.0,961.5435347576495,1000.0
35,1.0,0.19000000000000003,5.0,13.37815427647729,18.0
36,1.0,0.19000000000000003,6.0,557.2563943571222,625.0
37,1.0,0.19000000000000003,7.0,788.305860411936,858.0
38,1.0,0.19000000000000003,8.0,581.6660398777894,652.0
39,1.0,0.19000000000000003,9.0,13.043764016692876,19.0
40,1.0,0.25,0.0,848.9752270530589,1000.0
41,1.0,0.25,1.0,195.792476386996,248.0
42,1.0,0.25,2.0,473.9643673997707,545.0
43,1.0,0.25,3.0,13.332079851388698,20.0
44,1.0,0.25,4.0,169.182983645871,213.0
45,1.0,0.25,5.0,13.08125229322468,17.0
46,1.0,0.25,6.0,13.031448521869606,19.0
47,1.0,0.25,7.0,14.834998774371343,21.0
48,1.0,0.25,8.0,617.239738233111,749.0
49,1.0,0.25,9.0,298.3144778326314,448.0
50,1.0,0.31000000000000005,0.0,98.43342319713702,154.0
51,1.0,0.31000000000000005,1.0,118.98969936944923,161.0
52,1.0,0.31000000000000005,2.0,231.5964070654154,329.0
53,1.0,0.31000000000000005,3.0,13.674519292195328,21.0
54,1.0,0.31000000000000005,4.0,421.6548098271014,493.0
55,1.0,0.31000000000000005,5.0,13.248936514319212,17.0
56,1.0,0.31000000000000005,6.0,13.477725830212876,20.0
57,1.0,0.31000000000000005,7.0,14.878077643705183,21.0
58,1.0,0.31000000000000005,8.0,172.27526210992073,218.0
59,1.0,0.31000000000000005,9.0,57.712137836555485,120.0
60,1.0,0.37000000000000005,0.0,153.02400041293004,359.0
61,1.0,0.37000000000000005,1.0,428.72732704783266,554.0
62,1.0,0.37000000000000005,2.0,375.01477812122175,531.0
63,1.0,0.37000000000000005,3.0,194.39821004889382,300.0
64,1.0,0.37000000000000005,4.0,143.32972533463908,178.0
65,1.0,0.37000000000000005,5.0,13.482323982098023,17.0
66,1.0,0.37000000000000005,6.0,13.585878707410302,20.0
67,1.0,0.37000000000000005,7.0,14.676947498308436,21.0
68,1.0,0.37000000000000005,8.0,192.42838853536523,254.0
69,1.0,0.37000000000000005,9.0,43.49609428086114,1000.0
70,1.0,0.43000000000000005,0.0,199.01844455541868,1000.0
71,1.0,0.43000000000000005,1.0,241.00173480639933,349.0
72,1.0,0.43000000000000005,2.0,32.990647355538385,96.0
73,1.0,0.43000000000000005,3.0,13.360214609027025,21.0
74,1.0,0.43000000000000005,4.0,87.51228814297065,122.0
75,1.0,0.43000000000000005,5.0,12.912893803295447,16.0
76,1.0,0.43000000000000005,6.0,13.594176085447543,20.0
77,1.0,0.43000000000000005,7.0,304.5089468347942,391.0
78,1.0,0.43000000000000005,8.0,314.9086553862726,408.0
79,1.0,0.43000000000000005,9.0,13.950918979673588,21.0
80,1.0,0.49000000000000005,0.0,102.80005722530768,174.0
81,1.0,0.49000000000000005,1.0,119.59168227743794,1000.0
82,1.0,0.49000000000000005,2.0,65.4785518657809,211.0
83,1.0,0.49000000000000005,3.0,12.80603703322413,20.0
84,1.0,0.49000000000000005,4.0,305.87393764816807,472.0
85,1.0,0.49000000000000005,5.0,12.917808812162548,16.0
86,1.0,0.49000000000000005,6.0,13.178628127920092,20.0
87,1.0,0.49000000000000005,7.0,266.5569485786327,458.0
88,1.0,0.49000000000000005,8.0,298.2145523688305,417.0
89,1.0,0.49000000000000005,9.0,14.445552142176894,22.0
90,1.0,0.55,0.0,181.77026482555812,247.0
91,1.0,0.55,1.0,275.9071107294294,404.0
92,1.0,0.55,2.0,183.50717407058983,247.0
93,1.0,0.55,3.0,12.732334669301054,20.0
94,1.0,0.55,4.0,34.06767431658227,54.0
95,1.0,0.55,5.0,12.498396640308783,17.0
96,1.0,0.55,6.0,13.336992663716956,21.0
97,1.0,0.55,7.0,238.90309096720011,339.0
98,1.0,0.55,8.0,317.7304671101301,443.0
99,1.0,0.55,9.0,55.67982289582869,149.0
100,2.0,0.01,0.0,937.3066174476407,1000.0
101,2.0,0.01,1.0,977.8306735310834,1000.0
102,2.0,0.01,2.0,32.97872521811223,71.0
103,2.0,0.01,3.0,12.232190179420286,17.0
104,2.0,0.01,4.0,968.3864668310489,1000.0
105,2.0,0.01,5.0,961.4843624022833,1000.0
106,2.0,0.01,6.0,941.240838808837,1000.0
107,2.0,0.01,7.0,951.1846520117833,1000.0
108,2.0,0.01,8.0,968.0075897823772,1000.0
109,2.0,0.01,9.0,12.662303920013073,18.0
110,2.0,0.07,0.0,891.1803229804136,1000.0
111,2.0,0.07,1.0,968.7748177715621,1000.0
112,2.0,0.07,2.0,51.76215339186456,121.0
113,2.0,0.07,3.0,12.442943019290396,17.0
114,2.0,0.07,4.0,932.2472662154323,1000.0
115,2.0,0.07,5.0,13.390484467046917,18.0
116,2.0,0.07,6.0,914.6515893458054,1000.0
117,2.0,0.07,7.0,807.9415070242248,861.0
118,2.0,0.07,8.0,949.4822022974549,1000.0
119,2.0,0.07,9.0,13.076773230553954,19.0
120,2.0,0.13,0.0,97.68357359610673,152.0
121,2.0,0.13,1.0,368.11242108583974,403.0
122,2.0,0.13,2.0,49.31774474106351,110.0
123,2.0,0.13,3.0,12.381987388020207,17.0
124,2.0,0.13,4.0,289.62534332609357,348.0
125,2.0,0.13,5.0,480.25706716629793,550.0
126,2.0,0.13,6.0,246.314206363204,320.0
127,2.0,0.13,7.0,956.277595491214,1000.0
128,2.0,0.13,8.0,941.8333971974571,1000.0
129,2.0,0.13,9.0,13.164422422763892,19.0
130,2.0,0.19000000000000003,0.0,527.2953142819315,618.0
131,2.0,0.19000000000000003,1.0,902.5689078868309,1000.0
