,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,745.294095601135,1000.0
1,1.0,0.01,1.0,751.3588091766412,1000.0
2,1.0,0.01,2.0,722.3734757050039,1000.0
3,1.0,0.01,3.0,747.1575151489291,1000.0
4,1.0,0.01,4.0,769.6126295384203,1000.0
5,1.0,0.01,5.0,727.3866579160233,1000.0
6,1.0,0.01,6.0,720.373143788847,1000.0
7,1.0,0.01,7.0,729.8332211431323,1000.0
8,1.0,0.01,8.0,732.7383560244001,1000.0
9,1.0,0.01,9.0,752.879485752765,1000.0
10,1.0,0.07,0.0,726.7252164623173,1000.0
11,1.0,0.07,1.0,765.7607732972994,1000.0
12,1.0,0.07,2.0,-54.1548612920355,175.0
13,1.0,0.07,3.0,754.4486497263599,1000.0
14,1.0,0.07,4.0,761.1624524753644,1000.0
15,1.0,0.07,5.0,723.5037591575538,1000.0
16,1.0,0.07,6.0,724.0952118655335,1000.0
17,1.0,0.07,7.0,106.89633039938205,386.0
18,1.0,0.07,8.0,691.743764928755,1000.0
19,1.0,0.07,9.0,728.6250468933325,1000.0
20,1.0,0.13,0.0,734.3565507001925,1000.0
21,1.0,0.13,1.0,714.0780399014728,1000.0
22,1.0,0.13,2.0,35.71631797841313,303.0
23,1.0,0.13,3.0,697.0201191624709,1000.0
24,1.0,0.13,4.0,751.6483110447848,1000.0
25,1.0,0.13,5.0,762.6343745478974,1000.0
26,1.0,0.13,6.0,699.4706086118717,1000.0
27,1.0,0.13,7.0,741.106122025847,1000.0
28,1.0,0.13,8.0,710.0272952253214,1000.0
29,1.0,0.13,9.0,725.2548523301303,1000.0
30,1.0,0.19000000000000003,0.0,710.2547244941024,1000.0
31,1.0,0.19000000000000003,1.0,662.6586218384859,1000.0
32,1.0,0.19000000000000003,2.0,283.3709903951888,632.0
33,1.0,0.19000000000000003,3.0,731.9274203476883,1000.0
34,1.0,0.19000000000000003,4.0,725.2410496608703,1000.0
35,1.0,0.19000000000000003,5.0,729.2602457888771,1000.0
36,1.0,0.19000000000000003,6.0,735.4960949401752,1000.0
37,1.0,0.19000000000000003,7.0,-39.265260971457465,80.0
38,1.0,0.19000000000000003,8.0,709.760375829177,1000.0
39,1.0,0.19000000000000003,9.0,682.4103385467251,1000.0
40,1.0,0.25,0.0,710.2192623574424,1000.0
41,1.0,0.25,1.0,713.3757289759459,1000.0
42,1.0,0.25,2.0,544.8660365021669,1000.0
43,1.0,0.25,3.0,698.6816810369146,1000.0
44,1.0,0.25,4.0,710.7725512828982,1000.0
45,1.0,0.25,5.0,689.7951774149873,1000.0
46,1.0,0.25,6.0,656.285611974288,1000.0
47,1.0,0.25,7.0,-39.72371909012175,81.0
48,1.0,0.25,8.0,710.3617007429789,1000.0
49,1.0,0.25,9.0,685.0792739997005,1000.0
50,1.0,0.31000000000000005,0.0,705.2355749331508,1000.0
51,1.0,0.31000000000000005,1.0,438.1639135039073,857.0
52,1.0,0.31000000000000005,2.0,-52.922327064073436,144.0
53,1.0,0.31000000000000005,3.0,663.2905467360948,1000.0
54,1.0,0.31000000000000005,4.0,683.369390969233,1000.0
55,1.0,0.31000000000000005,5.0,639.2320107765748,1000.0
56,1.0,0.31000000000000005,6.0,649.9524873839121,1000.0
57,1.0,0.31000000000000005,7.0,48.050967250538264,1000.0
58,1.0,0.31000000000000005,8.0,642.3156351325551,1000.0
59,1.0,0.31000000000000005,9.0,612.1452636717261,1000.0
60,1.0,0.37000000000000005,0.0,491.7230059150537,905.0
61,1.0,0.37000000000000005,1.0,635.3892206541061,1000.0
62,1.0,0.37000000000000005,2.0,-65.96189422458531,162.0
63,1.0,0.37000000000000005,3.0,645.6457882226305,1000.0
64,1.0,0.37000000000000005,4.0,138.50047613755183,479.0
65,1.0,0.37000000000000005,5.0,645.6964100216499,1000.0
66,1.0,0.37000000000000005,6.0,614.2942908189162,1000.0
67,1.0,0.37000000000000005,7.0,-0.8853523708047866,285.0
