,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,29.71810342203239,76.0
1,1.0,0.01,1.0,65.62775388519653,116.0
2,1.0,0.01,2.0,108.18169306455506,131.0
3,1.0,0.01,3.0,96.07039010157433,80.0
4,1.0,0.01,4.0,117.02268556774884,82.0
5,1.0,0.01,5.0,101.7410251668909,70.0
6,1.0,0.01,6.0,-6.399854654014241,70.0
7,1.0,0.01,7.0,127.52143998776862,141.0
8,1.0,0.01,8.0,-82.11401046113032,68.0
9,1.0,0.01,9.0,34.78325383745851,96.0
10,1.0,0.07,0.0,33.70708199052139,82.0
11,1.0,0.07,1.0,53.1480188849145,105.0
12,1.0,0.07,2.0,73.4015304540681,97.0
13,1.0,0.07,3.0,103.01367930244372,81.0
14,1.0,0.07,4.0,118.56442196132909,81.0
15,1.0,0.07,5.0,125.39897506419605,83.0
16,1.0,0.07,6.0,32.72995313058601,88.0
17,1.0,0.07,7.0,122.53388836957464,93.0
18,1.0,0.07,8.0,-95.13264274443075,37.0
19,1.0,0.07,9.0,35.978913324973114,56.0
20,1.0,0.13,0.0,32.709898909527574,86.0
21,1.0,0.13,1.0,116.9664414955862,102.0
22,1.0,0.13,2.0,106.21609167384338,98.0
23,1.0,0.13,3.0,92.12067060168143,74.0
24,1.0,0.13,4.0,111.75450610044558,76.0
25,1.0,0.13,5.0,109.14509985424371,77.0
26,1.0,0.13,6.0,14.255134098979479,40.0
27,1.0,0.13,7.0,140.91368198382432,109.0
28,1.0,0.13,8.0,-88.14424826803203,80.0
29,1.0,0.13,9.0,50.97278108345247,61.0
30,1.0,0.19000000000000003,0.0,34.67918544332193,84.0
31,1.0,0.19000000000000003,1.0,106.24534887770764,110.0
32,1.0,0.19000000000000003,2.0,107.71166965900937,111.0
33,1.0,0.19000000000000003,3.0,105.96147062811758,78.0
34,1.0,0.19000000000000003,4.0,112.65744950709872,75.0
35,1.0,0.19000000000000003,5.0,103.1380362888782,70.0
36,1.0,0.19000000000000003,6.0,-3.059020254617644,42.0
37,1.0,0.19000000000000003,7.0,145.53804927820104,114.0
38,1.0,0.19000000000000003,8.0,-145.64474150805412,54.0
39,1.0,0.19000000000000003,9.0,24.133360523857668,44.0
40,1.0,0.25,0.0,25.068897807925968,82.0
41,1.0,0.25,1.0,125.1719132363134,99.0
42,1.0,0.25,2.0,73.20793117640764,108.0
43,1.0,0.25,3.0,105.96774142449685,81.0
44,1.0,0.25,4.0,93.21564138037428,67.0
45,1.0,0.25,5.0,99.09180495689938,73.0
46,1.0,0.25,6.0,-5.935823464117327,29.0
47,1.0,0.25,7.0,61.89327956537093,102.0
48,1.0,0.25,8.0,-84.18562097952164,82.0
49,1.0,0.25,9.0,16.085530307419386,30.0
50,1.0,0.31000000000000005,0.0,18.74833797605908,87.0
51,1.0,0.31000000000000005,1.0,112.45504669380904,99.0
52,1.0,0.31000000000000005,2.0,113.69152934873627,108.0
53,1.0,0.31000000000000005,3.0,91.79050466453484,72.0
54,1.0,0.31000000000000005,4.0,83.17617271080395,64.0
55,1.0,0.31000000000000005,5.0,76.56452703268539,63.0
56,1.0,0.31000000000000005,6.0,-24.953624446364994,26.0
57,1.0,0.31000000000000005,7.0,24.84840771185874,95.0
58,1.0,0.31000000000000005,8.0,-85.91385085339131,79.0
59,1.0,0.31000000000000005,9.0,17.835645655465292,46.0
60,1.0,0.37000000000000005,0.0,45.26038378260836,91.0
61,1.0,0.37000000000000005,1.0,89.21065813819527,91.0
62,1.0,0.37000000000000005,2.0,51.33604721250338,88.0
63,1.0,0.37000000000000005,3.0,108.46460863209006,88.0
64,1.0,0.37000000000000005,4.0,78.40119139856732,64.0
65,1.0,0.37000000000000005,5.0,71.21665801314413,57.0
66,1.0,0.37000000000000005,6.0,-25.045956323675995,24.0
67,1.0,0.37000000000000005,7.0,11.781089099025019,159.0
68,1.0,0.37000000000000005,8.0,-177.24722810891595,76.0
69,1.0,0.37000000000000005,9.0,27.25796114591897,52.0
70,1.0,0.43000000000000005,0.0,29.53576733638721,104.0
71,1.0,0.43000000000000005,1.0,97.94808703610663,94.0
72,1.0,0.43000000000000005,2.0,74.16548656879102,109.0
