,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,112.57143043169131,96.0
1,1.0,0.01,1.0,246.88385487271984,135.0
2,1.0,0.01,2.0,114.93159451456063,113.0
3,1.0,0.01,3.0,100.89017644552015,88.0
4,1.0,0.01,4.0,110.3369060923901,70.0
5,1.0,0.01,5.0,143.6865728806327,82.0
6,1.0,0.01,6.0,-5.861926760253985,38.0
7,1.0,0.01,7.0,96.0027115138448,107.0
8,1.0,0.01,8.0,-58.10537488129187,26.0
9,1.0,0.01,9.0,13.054677345610429,40.0
10,1.0,0.07,0.0,98.25913291768632,93.0
11,1.0,0.07,1.0,146.69206236623515,107.0
12,1.0,0.07,2.0,133.84026159070487,114.0
13,1.0,0.07,3.0,101.88594563375847,86.0
14,1.0,0.07,4.0,111.96024003442528,71.0
15,1.0,0.07,5.0,139.69206553112167,84.0
16,1.0,0.07,6.0,5.412772319810483,35.0
17,1.0,0.07,7.0,110.24402766096698,88.0
18,1.0,0.07,8.0,-102.1697831051859,25.0
19,1.0,0.07,9.0,8.797779240771577,40.0
20,1.0,0.13,0.0,99.95478360007716,93.0
21,1.0,0.13,1.0,216.3489671686079,133.0
22,1.0,0.13,2.0,113.96742959243977,111.0
23,1.0,0.13,3.0,94.71423221876721,77.0
24,1.0,0.13,4.0,128.14987143715973,74.0
25,1.0,0.13,5.0,103.76199400676123,67.0
26,1.0,0.13,6.0,12.81796711054077,38.0
27,1.0,0.13,7.0,111.13916882817934,87.0
28,1.0,0.13,8.0,-89.3806390422469,26.0
29,1.0,0.13,9.0,12.06446588682289,40.0
30,1.0,0.19000000000000003,0.0,102.45209941094637,99.0
31,1.0,0.19000000000000003,1.0,158.3991288419969,112.0
32,1.0,0.19000000000000003,2.0,85.497232418908,117.0
33,1.0,0.19000000000000003,3.0,94.48141665771061,81.0
34,1.0,0.19000000000000003,4.0,41.86584773904268,43.0
35,1.0,0.19000000000000003,5.0,109.75133494090197,71.0
36,1.0,0.19000000000000003,6.0,1.3447520033061509,29.0
37,1.0,0.19000000000000003,7.0,109.06195829637642,82.0
38,1.0,0.19000000000000003,8.0,-61.1563565467053,29.0
39,1.0,0.19000000000000003,9.0,54.865335382310846,66.0
40,1.0,0.25,0.0,139.86178444671154,108.0
41,1.0,0.25,1.0,112.70431688484285,94.0
42,1.0,0.25,2.0,80.17664192081865,118.0
43,1.0,0.25,3.0,79.82167739499519,67.0
44,1.0,0.25,4.0,126.72973781738474,78.0
45,1.0,0.25,5.0,80.0637687208712,60.0
46,1.0,0.25,6.0,-3.496191502764005,33.0
47,1.0,0.25,7.0,100.19987173068264,88.0
48,1.0,0.25,8.0,-72.73818991289014,30.0
49,1.0,0.25,9.0,21.823502254943456,44.0
50,1.0,0.31000000000000005,0.0,94.70304135210219,100.0
51,1.0,0.31000000000000005,1.0,93.49485995551495,92.0
52,1.0,0.31000000000000005,2.0,118.29748025653986,101.0
53,1.0,0.31000000000000005,3.0,96.82363941928793,70.0
