,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,167.97771445839373,101.0
1,1.0,0.01,1.0,185.9424828127301,98.0
2,1.0,0.01,2.0,156.2310230852852,90.0
3,1.0,0.01,3.0,160.33999065517523,106.0
4,1.0,0.01,4.0,166.42247983786092,89.0
5,1.0,0.01,5.0,162.7418533685945,76.0
6,1.0,0.01,6.0,9.271836338822155,20.0
7,1.0,0.01,7.0,187.140039979632,95.0
8,1.0,0.01,8.0,-75.35017477743638,19.0
9,1.0,0.01,9.0,-16.386044236915474,48.0
10,1.0,0.07,0.0,153.42640047602873,90.0
11,1.0,0.07,1.0,226.05415683751917,107.0
12,1.0,0.07,2.0,203.2121880358928,114.0
13,1.0,0.07,3.0,179.23429756605853,88.0
14,1.0,0.07,4.0,192.08525799246488,99.0
15,1.0,0.07,5.0,87.52474222154966,51.0
16,1.0,0.07,6.0,5.265305192690561,20.0
17,1.0,0.07,7.0,184.24770496100143,92.0
18,1.0,0.07,8.0,-62.206880549426664,20.0
19,1.0,0.07,9.0,-0.2312926841800198,44.0
20,1.0,0.13,0.0,101.43119880295501,87.0
21,1.0,0.13,1.0,223.6705883092943,106.0
22,1.0,0.13,2.0,229.28141882669462,114.0
23,1.0,0.13,3.0,199.7554242141597,94.0
24,1.0,0.13,4.0,27.65036535134405,30.0
25,1.0,0.13,5.0,82.29432556018924,51.0
26,1.0,0.13,6.0,6.694251738092549,20.0
27,1.0,0.13,7.0,177.7188901637451,96.0
28,1.0,0.13,8.0,-52.78084474981945,20.0
29,1.0,0.13,9.0,6.188523450685681,38.0
30,1.0,0.19000000000000003,0.0,123.76933716659077,85.0
31,1.0,0.19000000000000003,1.0,173.77551973251926,108.0
32,1.0,0.19000000000000003,2.0,198.36524805844482,105.0
33,1.0,0.19000000000000003,3.0,193.78853102713032,91.0
34,1.0,0.19000000000000003,4.0,25.483270130875113,30.0
35,1.0,0.19000000000000003,5.0,93.48561669435074,56.0
36,1.0,0.19000000000000003,6.0,10.842647247063665,20.0
37,1.0,0.19000000000000003,7.0,211.36080622494075,120.0
38,1.0,0.19000000000000003,8.0,-97.66774274521357,19.0
39,1.0,0.19000000000000003,9.0,6.343218007018407,53.0
40,1.0,0.25,0.0,128.69093158099489,84.0
41,1.0,0.25,1.0,143.58642167465123,115.0
42,1.0,0.25,2.0,44.45578906425997,40.0
43,1.0,0.25,3.0,179.4305736618328,87.0
44,1.0,0.25,4.0,46.4168153459048,40.0
45,1.0,0.25,5.0,78.33808761038318,52.0
46,1.0,0.25,6.0,9.449958656211976,21.0
47,1.0,0.25,7.0,188.49175020159961,111.0
48,1.0,0.25,8.0,-78.59919886824669,20.0
49,1.0,0.25,9.0,7.92230400568956,32.0
50,1.0,0.31000000000000005,0.0,112.21530062906886,80.0
51,1.0,0.31000000000000005,1.0,207.99828006772043,97.0
52,1.0,0.31000000000000005,2.0,49.65338521679098,45.0
53,1.0,0.31000000000000005,3.0,70.94389848265834,52.0
54,1.0,0.31000000000000005,4.0,81.39445597982403,53.0
55,1.0,0.31000000000000005,5.0,80.76360053424216,54.0
56,1.0,0.31000000000000005,6.0,10.968745320919057,20.0
57,1.0,0.31000000000000005,7.0,105.14811105791699,90.0
58,1.0,0.31000000000000005,8.0,-91.2856538608611,20.0
59,1.0,0.31000000000000005,9.0,8.15126164598028,29.0
60,1.0,0.37000000000000005,0.0,47.37776034198115,70.0
61,1.0,0.37000000000000005,1.0,105.68898427185646,72.0
62,1.0,0.37000000000000005,2.0,61.68687541908777,48.0
63,1.0,0.37000000000000005,3.0,177.25107279406646,101.0
64,1.0,0.37000000000000005,4.0,43.735489472314754,42.0
65,1.0,0.37000000000000005,5.0,71.98514325494786,55.0
66,1.0,0.37000000000000005,6.0,10.824727878261589,20.0
67,1.0,0.37000000000000005,7.0,91.64784318840228,81.0
68,1.0,0.37000000000000005,8.0,-118.83919045343436,21.0
69,1.0,0.37000000000000005,9.0,7.158037564752105,27.0
70,1.0,0.43000000000000005,0.0,12.110703179664155,48.0
71,1.0,0.43000000000000005,1.0,122.49199219035218,71.0
72,1.0,0.43000000000000005,2.0,122.84649568617675,100.0
73,1.0,0.43000000000000005,3.0,65.96966157323463,55.0
74,1.0,0.43000000000000005,4.0,64.82121559876543,49.0
75,1.0,0.43000000000000005,5.0,67.6655792573888,61.0
76,1.0,0.43000000000000005,6.0,8.612917330462016,20.0
77,1.0,0.43000000000000005,7.0,77.27080902351439,86.0
78,1.0,0.43000000000000005,8.0,-60.075804221498615,20.0
79,1.0,0.43000000000000005,9.0,8.171520433532896,41.0
80,1.0,0.49000000000000005,0.0,31.752246808613506,43.0
81,1.0,0.49000000000000005,1.0,95.05725044947786,75.0
82,1.0,0.49000000000000005,2.0,90.4025292804356,88.0
83,1.0,0.49000000000000005,3.0,18.708363539769756,35.0
84,1.0,0.49000000000000005,4.0,40.54422749634836,41.0
85,1.0,0.49000000000000005,5.0,41.39156075953585,59.0
86,1.0,0.49000000000000005,6.0,4.1649888495732466,20.0
87,1.0,0.49000000000000005,7.0,23.682904642560285,93.0
88,1.0,0.49000000000000005,8.0,-104.50000842834,20.0
89,1.0,0.49000000000000005,9.0,-3.307078500512954,34.0
90,1.0,0.55,0.0,3.1473022856807082,39.0
91,1.0,0.55,1.0,77.1665424084362,71.0
92,1.0,0.55,2.0,23.664952932536504,38.0
93,1.0,0.55,3.0,31.24971788306618,34.0
94,1.0,0.55,4.0,41.53087632590453,42.0
95,1.0,0.55,5.0,24.238750733168484,46.0
96,1.0,0.55,6.0,-1.2030703412373607,20.0
97,1.0,0.55,7.0,23.63758621584416,40.0
98,1.0,0.55,8.0,-116.87155143727522,19.0
99,1.0,0.55,9.0,6.736031653697777,27.0
100,2.0,0.01,0.0,168.09951170841637,101.0
101,2.0,0.01,1.0,185.9424828127301,98.0
102,2.0,0.01,2.0,156.2310230852852,90.0
103,2.0,0.01,3.0,160.33999065517523,106.0
104,2.0,0.01,4.0,166.42247983786092,89.0
105,2.0,0.01,5.0,162.7418533685945,76.0
106,2.0,0.01,6.0,9.271836338822155,20.0
107,2.0,0.01,7.0,187.140039979632,95.0
108,2.0,0.01,8.0,-75.35017477743638,19.0
109,2.0,0.01,9.0,-16.386044236915474,48.0
110,2.0,0.07,0.0,153.42640047602873,90.0
111,2.0,0.07,1.0,226.05415683751917,107.0
112,2.0,0.07,2.0,203.2121880358928,114.0
113,2.0,0.07,3.0,179.23429756605853,88.0
114,2.0,0.07,4.0,192.08525799246488,99.0
115,2.0,0.07,5.0,87.52474222154966,51.0
116,2.0,0.07,6.0,5.265305192690561,20.0
117,2.0,0.07,7.0,184.24770496100143,92.0
118,2.0,0.07,8.0,-62.206880549426664,20.0
119,2.0,0.07,9.0,-0.2312926841800198,44.0
120,2.0,0.13,0.0,101.43119880295501,87.0
121,2.0,0.13,1.0,223.6705883092943,106.0
122,2.0,0.13,2.0,229.28141882669462,114.0
123,2.0,0.13,3.0,199.7554242141597,94.0
124,2.0,0.13,4.0,27.65036535134405,30.0
125,2.0,0.13,5.0,82.29432556018924,51.0
126,2.0,0.13,6.0,6.694251738092549,20.0
127,2.0,0.13,7.0,177.7188901637451,96.0
128,2.0,0.13,8.0,-52.78084474981945,20.0
129,2.0,0.13,9.0,6.188523450685681,38.0
130,2.0,0.19000000000000003,0.0,123.76933716659077,85.0
131,2.0,0.19000000000000003,1.0,173.77551973251926,108.0
132,2.0,0.19000000000000003,2.0,198.36524805844482,105.0
133,2.0,0.19000000000000003,3.0,193.78853102713032,91.0
134,2.0,0.19000000000000003,4.0,25.483270130875113,30.0
135,2.0,0.19000000000000003,5.0,93.48561669435074,56.0
136,2.0,0.19000000000000003,6.0,10.842647247063665,20.0
137,2.0,0.19000000000000003,7.0,211.36080622494075,120.0
138,2.0,0.19000000000000003,8.0,-97.66774274521357,19.0
139,2.0,0.19000000000000003,9.0,6.343218007018407,53.0
140,2.0,0.25,0.0,128.69093158099489,84.0
141,2.0,0.25,1.0,143.58642167465123,115.0
142,2.0,0.25,2.0,44.45578906425997,40.0
143,2.0,0.25,3.0,179.4305736618328,87.0
144,2.0,0.25,4.0,46.4168153459048,40.0
145,2.0,0.25,5.0,78.33808761038318,52.0
146,2.0,0.25,6.0,9.449958656211976,21.0
147,2.0,0.25,7.0,188.49175020159961,111.0
148,2.0,0.25,8.0,-78.59919886824669,20.0
149,2.0,0.25,9.0,7.92230400568956,32.0
150,2.0,0.31000000000000005,0.0,112.21530062906886,80.0
151,2.0,0.31000000000000005,1.0,207.99828006772043,97.0
