,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2521.829503952038,1000.0
1,1.0,0.01,1.0,2559.3496051389584,1000.0
2,1.0,0.01,2.0,2541.7079590321987,1000.0
3,1.0,0.01,3.0,2541.9990716140246,1000.0
4,1.0,0.01,4.0,2533.4859391361274,1000.0
5,1.0,0.01,5.0,2530.7324853704686,1000.0
6,1.0,0.01,6.0,2534.957466508072,1000.0
7,1.0,0.01,7.0,2527.397339440952,1000.0
8,1.0,0.01,8.0,2526.6875683865615,1000.0
9,1.0,0.01,9.0,2538.4176168107642,1000.0
10,1.0,0.07,0.0,2552.3601050125903,1000.0
11,1.0,0.07,1.0,2544.151419660714,1000.0
12,1.0,0.07,2.0,2569.8868568296843,1000.0
13,1.0,0.07,3.0,2487.67503519796,1000.0
14,1.0,0.07,4.0,2533.241549849315,1000.0
15,1.0,0.07,5.0,2501.249713811202,1000.0
16,1.0,0.07,6.0,2497.61775720101,1000.0
17,1.0,0.07,7.0,2521.677783037204,1000.0
18,1.0,0.07,8.0,2555.7352086993205,1000.0
19,1.0,0.07,9.0,2545.733708096988,1000.0
20,1.0,0.13,0.0,2504.9050204720024,1000.0
21,1.0,0.13,1.0,2489.838097993919,1000.0
22,1.0,0.13,2.0,2527.6675342092035,1000.0
23,1.0,0.13,3.0,2514.6568288232666,1000.0
24,1.0,0.13,4.0,2504.970858536506,1000.0
25,1.0,0.13,5.0,2425.99507787512,1000.0
26,1.0,0.13,6.0,2501.5920301169367,1000.0
27,1.0,0.13,7.0,2482.1524999419166,1000.0
28,1.0,0.13,8.0,2516.3361371259966,1000.0
29,1.0,0.13,9.0,2522.8627671174418,1000.0
30,1.0,0.19000000000000003,0.0,2464.5388171722966,1000.0
31,1.0,0.19000000000000003,1.0,2446.084598108331,1000.0
32,1.0,0.19000000000000003,2.0,2494.0403118137137,1000.0
33,1.0,0.19000000000000003,3.0,2467.46515231665,1000.0
34,1.0,0.19000000000000003,4.0,2477.271979278481,1000.0
35,1.0,0.19000000000000003,5.0,2278.088249487718,1000.0
36,1.0,0.19000000000000003,6.0,2456.7824868022167,1000.0
37,1.0,0.19000000000000003,7.0,2488.8435099310104,1000.0
38,1.0,0.19000000000000003,8.0,2451.2605992573544,1000.0
39,1.0,0.19000000000000003,9.0,2461.0918912522293,1000.0
40,1.0,0.25,0.0,2405.3240578114733,1000.0
41,1.0,0.25,1.0,2411.3233533621024,1000.0
42,1.0,0.25,2.0,2436.9975349319775,1000.0
43,1.0,0.25,3.0,2403.028112161219,1000.0
44,1.0,0.25,4.0,2429.528140626502,1000.0
45,1.0,0.25,5.0,2389.6214289927852,1000.0
46,1.0,0.25,6.0,2438.864786571502,1000.0
47,1.0,0.25,7.0,2444.811519251196,1000.0
48,1.0,0.25,8.0,2422.3172278127495,1000.0
49,1.0,0.25,9.0,2416.0745305021755,1000.0
50,1.0,0.31000000000000005,0.0,2371.328995757184,1000.0
51,1.0,0.31000000000000005,1.0,2355.6216330935704,1000.0
52,1.0,0.31000000000000005,2.0,2384.338043483741,1000.0
53,1.0,0.31000000000000005,3.0,2367.7217969011094,1000.0
54,1.0,0.31000000000000005,4.0,2374.389423909904,1000.0
55,1.0,0.31000000000000005,5.0,2358.3752855210405,1000.0
56,1.0,0.31000000000000005,6.0,2310.7420186066174,1000.0
57,1.0,0.31000000000000005,7.0,2398.7732700008582,1000.0
58,1.0,0.31000000000000005,8.0,2389.976931230625,1000.0
59,1.0,0.31000000000000005,9.0,2350.5310692088287,1000.0
60,1.0,0.37000000000000005,0.0,2147.3978241254945,1000.0
61,1.0,0.37000000000000005,1.0,2298.0201074021816,1000.0
62,1.0,0.37000000000000005,2.0,2335.0225736757784,1000.0
63,1.0,0.37000000000000005,3.0,2280.3711361734545,1000.0
