,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,53.04709558532798,70.0
1,1.0,0.01,1.0,105.55789980512729,71.0
2,1.0,0.01,2.0,73.65016944703885,92.0
3,1.0,0.01,3.0,97.09440454234135,74.0
4,1.0,0.01,4.0,100.35540033653609,64.0
5,1.0,0.01,5.0,98.17952921605087,68.0
6,1.0,0.01,6.0,-13.297313330162819,21.0
7,1.0,0.01,7.0,90.75944306431948,69.0
8,1.0,0.01,8.0,-16.54761110037389,18.0
9,1.0,0.01,9.0,7.437587768679173,23.0
10,1.0,0.07,0.0,63.30798114432449,74.0
11,1.0,0.07,1.0,101.78994404384049,67.0
12,1.0,0.07,2.0,129.30723517343495,96.0
13,1.0,0.07,3.0,90.77379939480227,71.0
14,1.0,0.07,4.0,98.86294783862635,63.0
15,1.0,0.07,5.0,88.6150385431729,67.0
16,1.0,0.07,6.0,-16.976909276506,21.0
17,1.0,0.07,7.0,98.64477267344547,85.0
18,1.0,0.07,8.0,-26.30350591457277,18.0
19,1.0,0.07,9.0,1.681073673446253,22.0
20,1.0,0.13,0.0,67.3655952414728,74.0
21,1.0,0.13,1.0,102.1221110667045,71.0
22,1.0,0.13,2.0,99.82653225081444,110.0
23,1.0,0.13,3.0,85.94572837726572,67.0
24,1.0,0.13,4.0,91.30009470185993,60.0
25,1.0,0.13,5.0,83.59181953029258,63.0
26,1.0,0.13,6.0,-0.33318750638983763,21.0
27,1.0,0.13,7.0,99.9527573738578,70.0
28,1.0,0.13,8.0,-16.703229345251607,18.0
29,1.0,0.13,9.0,5.871119442775333,24.0
30,1.0,0.19000000000000003,0.0,73.46798231677882,76.0
31,1.0,0.19000000000000003,1.0,88.93529519334034,67.0
32,1.0,0.19000000000000003,2.0,140.30759882966228,112.0
33,1.0,0.19000000000000003,3.0,92.92851452787623,78.0
34,1.0,0.19000000000000003,4.0,95.62795312373719,65.0
35,1.0,0.19000000000000003,5.0,69.83760743197476,70.0
36,1.0,0.19000000000000003,6.0,-3.0584423972878696,21.0
37,1.0,0.19000000000000003,7.0,90.56572947874805,61.0
38,1.0,0.19000000000000003,8.0,-10.370454721504224,18.0
39,1.0,0.19000000000000003,9.0,6.640605021412608,24.0
40,1.0,0.25,0.0,58.05160791423502,79.0
41,1.0,0.25,1.0,105.04436450958515,73.0
42,1.0,0.25,2.0,121.50339401850974,101.0
43,1.0,0.25,3.0,96.85252496958016,71.0
44,1.0,0.25,4.0,84.83988692427513,58.0
45,1.0,0.25,5.0,79.51648647338581,60.0
46,1.0,0.25,6.0,-25.567920357945447,20.0
47,1.0,0.25,7.0,76.72267403026099,58.0
48,1.0,0.25,8.0,-33.80016257165905,18.0
49,1.0,0.25,9.0,4.811726414198178,23.0
50,1.0,0.31000000000000005,0.0,48.90816116911718,78.0
51,1.0,0.31000000000000005,1.0,100.54720282176244,71.0
52,1.0,0.31000000000000005,2.0,141.43020913187698,136.0
53,1.0,0.31000000000000005,3.0,101.03327083346758,71.0
54,1.0,0.31000000000000005,4.0,81.89543456840751,56.0
55,1.0,0.31000000000000005,5.0,81.30904795899855,63.0
56,1.0,0.31000000000000005,6.0,2.5977194852272367,20.0
57,1.0,0.31000000000000005,7.0,82.58708137368247,62.0
58,1.0,0.31000000000000005,8.0,-2.3786867435548884,19.0
59,1.0,0.31000000000000005,9.0,6.2894073626998575,23.0
60,1.0,0.37000000000000005,0.0,56.01591515771075,76.0
61,1.0,0.37000000000000005,1.0,93.72123337228257,74.0
62,1.0,0.37000000000000005,2.0,39.9827761463746,118.0
63,1.0,0.37000000000000005,3.0,101.05445074753827,80.0
