,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,164.25051270209207,105.0
1,1.0,0.01,1.0,185.85038767791886,107.0
2,1.0,0.01,2.0,121.19691346101645,84.0
3,1.0,0.01,3.0,167.21157245253974,86.0
4,1.0,0.01,4.0,56.99876108245936,45.0
5,1.0,0.01,5.0,175.25774460989845,83.0
6,1.0,0.01,6.0,13.205460189541395,42.0
7,1.0,0.01,7.0,123.16300217998912,75.0
8,1.0,0.01,8.0,-327.058627085695,39.0
9,1.0,0.01,9.0,1.4480396979518102,33.0
10,1.0,0.07,0.0,50.35315169477727,150.0
11,1.0,0.07,1.0,162.15159377870054,99.0
12,1.0,0.07,2.0,110.38934855705222,83.0
13,1.0,0.07,3.0,168.8041897721098,96.0
14,1.0,0.07,4.0,50.48292040254532,44.0
15,1.0,0.07,5.0,151.58123416834147,80.0
16,1.0,0.07,6.0,-95.31733901058489,43.0
17,1.0,0.07,7.0,139.66469868344342,78.0
18,1.0,0.07,8.0,-552.2745799546667,41.0
19,1.0,0.07,9.0,-81.89683353631911,31.0
20,1.0,0.13,0.0,108.62185073452349,108.0
21,1.0,0.13,1.0,128.4903147232745,100.0
22,1.0,0.13,2.0,126.70946636642594,85.0
23,1.0,0.13,3.0,226.13950919161118,126.0
24,1.0,0.13,4.0,52.06468282085621,45.0
25,1.0,0.13,5.0,107.98043900247043,72.0
26,1.0,0.13,6.0,2.141147282680634,40.0
27,1.0,0.13,7.0,88.752110046886,84.0
28,1.0,0.13,8.0,-392.7340198494695,40.0
29,1.0,0.13,9.0,-95.58912318413377,34.0
30,1.0,0.19000000000000003,0.0,183.68870216759663,154.0
31,1.0,0.19000000000000003,1.0,121.53577285172241,97.0
32,1.0,0.19000000000000003,2.0,116.99243385462546,83.0
33,1.0,0.19000000000000003,3.0,181.12714311339258,89.0
34,1.0,0.19000000000000003,4.0,33.877057031820534,40.0
35,1.0,0.19000000000000003,5.0,69.50245312634807,50.0
36,1.0,0.19000000000000003,6.0,8.48124800568809,46.0
37,1.0,0.19000000000000003,7.0,118.01987521798631,94.0
38,1.0,0.19000000000000003,8.0,-514.1166415557168,38.0
39,1.0,0.19000000000000003,9.0,-82.80591720575583,29.0
40,1.0,0.25,0.0,104.71732805849675,84.0
41,1.0,0.25,1.0,133.7459239842004,95.0
42,1.0,0.25,2.0,96.64568412658184,78.0
43,1.0,0.25,3.0,177.4599634362996,86.0
44,1.0,0.25,4.0,23.080813509827987,39.0
45,1.0,0.25,5.0,52.333462716366896,45.0
46,1.0,0.25,6.0,28.517778949048,43.0
47,1.0,0.25,7.0,121.72877250728033,98.0
48,1.0,0.25,8.0,-235.34345918797686,40.0
49,1.0,0.25,9.0,-41.02517931259944,33.0
50,1.0,0.31000000000000005,0.0,66.99022467919659,81.0
51,1.0,0.31000000000000005,1.0,117.51356814440251,109.0
52,1.0,0.31000000000000005,2.0,67.12351597543771,78.0
53,1.0,0.31000000000000005,3.0,148.82460859604237,84.0
54,1.0,0.31000000000000005,4.0,29.558826781036952,41.0
55,1.0,0.31000000000000005,5.0,52.640624793053966,46.0
56,1.0,0.31000000000000005,6.0,4.245531877885852,39.0
57,1.0,0.31000000000000005,7.0,110.36680691385193,81.0
58,1.0,0.31000000000000005,8.0,-377.0470252362741,36.0
59,1.0,0.31000000000000005,9.0,-19.051166825334555,34.0
60,1.0,0.37000000000000005,0.0,39.40799159078399,66.0
61,1.0,0.37000000000000005,1.0,63.318749653814045,88.0
62,1.0,0.37000000000000005,2.0,73.72588087926204,80.0
63,1.0,0.37000000000000005,3.0,161.17179248461923,89.0
64,1.0,0.37000000000000005,4.0,42.68515500128523,42.0
65,1.0,0.37000000000000005,5.0,47.36234818816681,44.0
66,1.0,0.37000000000000005,6.0,0.10452476969438435,28.0
67,1.0,0.37000000000000005,7.0,81.64579881201651,111.0
68,1.0,0.37000000000000005,8.0,-263.0055491088941,39.0
69,1.0,0.37000000000000005,9.0,-57.76581363071782,32.0
70,1.0,0.43000000000000005,0.0,33.42547950040596,95.0
71,1.0,0.43000000000000005,1.0,41.39635863853067,49.0
72,1.0,0.43000000000000005,2.0,21.08765407144749,77.0
73,1.0,0.43000000000000005,3.0,105.17623228765105,69.0
74,1.0,0.43000000000000005,4.0,27.7476615326463,39.0
75,1.0,0.43000000000000005,5.0,36.70202749351984,40.0
76,1.0,0.43000000000000005,6.0,-0.2294386808068935,27.0
77,1.0,0.43000000000000005,7.0,94.23902605301902,86.0
78,1.0,0.43000000000000005,8.0,-177.08872352370298,41.0
79,1.0,0.43000000000000005,9.0,-45.523457400502586,33.0
80,1.0,0.49000000000000005,0.0,-13.84609642184712,63.0
81,1.0,0.49000000000000005,1.0,47.178396244516726,54.0
82,1.0,0.49000000000000005,2.0,77.49636079754218,82.0
83,1.0,0.49000000000000005,3.0,69.4093173931415,56.0
84,1.0,0.49000000000000005,4.0,27.66914953330467,35.0
85,1.0,0.49000000000000005,5.0,37.78511275530152,42.0
86,1.0,0.49000000000000005,6.0,3.4202240665426067,25.0
87,1.0,0.49000000000000005,7.0,104.64746836961892,85.0
88,1.0,0.49000000000000005,8.0,-230.14226452511056,37.0
89,1.0,0.49000000000000005,9.0,-12.587856081563553,32.0
90,1.0,0.55,0.0,4.299937559989042,52.0
91,1.0,0.55,1.0,50.500307845823826,56.0
92,1.0,0.55,2.0,59.438766474821755,68.0
93,1.0,0.55,3.0,64.72147679562705,53.0
94,1.0,0.55,4.0,-2.970655478128658,30.0
95,1.0,0.55,5.0,30.22313275524101,42.0
96,1.0,0.55,6.0,-8.516278073571634,22.0
97,1.0,0.55,7.0,89.03442351942809,71.0
98,1.0,0.55,8.0,-178.8082646358251,34.0
99,1.0,0.55,9.0,-36.78325216123041,31.0
100,2.0,0.01,0.0,164.37242898997556,105.0
101,2.0,0.01,1.0,185.85038767791886,107.0
102,2.0,0.01,2.0,121.19691346101645,84.0
103,2.0,0.01,3.0,167.21157245253974,86.0
104,2.0,0.01,4.0,56.99876108245936,45.0
105,2.0,0.01,5.0,175.25774460989845,83.0
106,2.0,0.01,6.0,13.205460189541395,42.0
107,2.0,0.01,7.0,123.16300217998912,75.0
108,2.0,0.01,8.0,-327.058627085695,39.0
109,2.0,0.01,9.0,1.4480084257237826,33.0
110,2.0,0.07,0.0,50.35315169477727,150.0
111,2.0,0.07,1.0,162.15159377870054,99.0
112,2.0,0.07,2.0,110.38934855705222,83.0
113,2.0,0.07,3.0,168.8041897721098,96.0
114,2.0,0.07,4.0,50.48292040254532,44.0
115,2.0,0.07,5.0,151.58123416834147,80.0
116,2.0,0.07,6.0,-95.31733901058489,43.0
117,2.0,0.07,7.0,139.66469868344342,78.0
118,2.0,0.07,8.0,-552.2745799546667,41.0
119,2.0,0.07,9.0,-81.89683353631911,31.0
120,2.0,0.13,0.0,108.62185073452349,108.0
121,2.0,0.13,1.0,128.4903147232745,100.0
122,2.0,0.13,2.0,126.70946636642594,85.0
123,2.0,0.13,3.0,226.13950919161118,126.0
124,2.0,0.13,4.0,52.06468282085621,45.0
125,2.0,0.13,5.0,107.98043900247043,72.0
126,2.0,0.13,6.0,2.141147282680634,40.0
127,2.0,0.13,7.0,88.752110046886,84.0
128,2.0,0.13,8.0,-392.7340198494695,40.0
129,2.0,0.13,9.0,-95.58912318413377,34.0
130,2.0,0.19000000000000003,0.0,183.68870216759663,154.0
131,2.0,0.19000000000000003,1.0,121.53577285172241,97.0
132,2.0,0.19000000000000003,2.0,116.99243385462546,83.0
133,2.0,0.19000000000000003,3.0,181.12714311339258,89.0
134,2.0,0.19000000000000003,4.0,33.877057031820534,40.0
135,2.0,0.19000000000000003,5.0,69.50245312634807,50.0
136,2.0,0.19000000000000003,6.0,8.48124800568809,46.0
137,2.0,0.19000000000000003,7.0,118.01987521798631,94.0
138,2.0,0.19000000000000003,8.0,-514.1166415557168,38.0
139,2.0,0.19000000000000003,9.0,-82.80591720575583,29.0
140,2.0,0.25,0.0,104.71732805849675,84.0
141,2.0,0.25,1.0,133.7459239842004,95.0
142,2.0,0.25,2.0,96.64568412658184,78.0
143,2.0,0.25,3.0,177.4599634362996,86.0
144,2.0,0.25,4.0,23.080813509827987,39.0
145,2.0,0.25,5.0,52.333462716366896,45.0
146,2.0,0.25,6.0,28.517778949048,43.0
147,2.0,0.25,7.0,121.72877250728033,98.0
148,2.0,0.25,8.0,-235.34345918797686,40.0
149,2.0,0.25,9.0,-41.02517931259944,33.0
150,2.0,0.31000000000000005,0.0,66.99022467919659,81.0
151,2.0,0.31000000000000005,1.0,117.51356814440251,109.0
152,2.0,0.31000000000000005,2.0,67.12351597543771,78.0
153,2.0,0.31000000000000005,3.0,148.82460859604237,84.0
154,2.0,0.31000000000000005,4.0,29.558826781036952,41.0
155,2.0,0.31000000000000005,5.0,52.640624793053966,46.0
156,2.0,0.31000000000000005,6.0,4.245531877885852,39.0
157,2.0,0.31000000000000005,7.0,110.36680691385193,81.0
158,2.0,0.31000000000000005,8.0,-377.0470252362741,36.0
159,2.0,0.31000000000000005,9.0,-19.051166825334555,34.0
160,2.0,0.37000000000000005,0.0,39.40799159078399,66.0
161,2.0,0.37000000000000005,1.0,63.318749653814045,88.0
162,2.0,0.37000000000000005,2.0,73.72588087926204,80.0
163,2.0,0.37000000000000005,3.0,161.17179248461923,89.0
164,2.0,0.37000000000000005,4.0,42.68515500128523,42.0
165,2.0,0.37000000000000005,5.0,47.36234818816681,44.0
166,2.0,0.37000000000000005,6.0,0.10452476969438435,28.0
167,2.0,0.37000000000000005,7.0,81.64579881201651,111.0
168,2.0,0.37000000000000005,8.0,-263.0055491088941,39.0
169,2.0,0.37000000000000005,9.0,-57.76581363071782,32.0
170,2.0,0.43000000000000005,0.0,33.42547950040596,95.0
171,2.0,0.43000000000000005,1.0,41.39635863853067,49.0
172,2.0,0.43000000000000005,2.0,21.08765407144749,77.0
173,2.0,0.43000000000000005,3.0,105.17623228765105,69.0
174,2.0,0.43000000000000005,4.0,27.7476615326463,39.0
175,2.0,0.43000000000000005,5.0,36.70202749351984,40.0
176,2.0,0.43000000000000005,6.0,-0.2294386808068935,27.0
177,2.0,0.43000000000000005,7.0,94.23902605301902,86.0
178,2.0,0.43000000000000005,8.0,-177.08872352370298,41.0
179,2.0,0.43000000000000005,9.0,-45.523457400502586,33.0
180,2.0,0.49000000000000005,0.0,-13.84609642184712,63.0
181,2.0,0.49000000000000005,1.0,47.178396244516726,54.0
182,2.0,0.49000000000000005,2.0,77.49636079754218,82.0
183,2.0,0.49000000000000005,3.0,69.4093173931415,56.0
184,2.0,0.49000000000000005,4.0,27.66914953330467,35.0
185,2.0,0.49000000000000005,5.0,37.78511275530152,42.0
186,2.0,0.49000000000000005,6.0,3.4202240665426067,25.0
187,2.0,0.49000000000000005,7.0,104.64746836961892,85.0
188,2.0,0.49000000000000005,8.0,-230.14226452511056,37.0
189,2.0,0.49000000000000005,9.0,-12.587856081563553,32.0
190,2.0,0.55,0.0,4.299937559989042,52.0
191,2.0,0.55,1.0,50.500307845823826,56.0
192,2.0,0.55,2.0,59.438766474821755,68.0
193,2.0,0.55,3.0,64.72147679562705,53.0
194,2.0,0.55,4.0,-2.970655478128658,30.0
195,2.0,0.55,5.0,30.22313275524101,42.0
196,2.0,0.55,6.0,-8.516278073571634,22.0
197,2.0,0.55,7.0,89.03442351942809,71.0
198,2.0,0.55,8.0,-178.8082646358251,34.0
199,2.0,0.55,9.0,-36.78325216123041,31.0
200,3.0,0.01,0.0,164.37242898997556,105.0
201,3.0,0.01,1.0,185.85038767791886,107.0
202,3.0,0.01,2.0,121.19691346101645,84.0
203,3.0,0.01,3.0,167.21157245253974,86.0
204,3.0,0.01,4.0,56.99876108245936,45.0
205,3.0,0.01,5.0,175.25774460989845,83.0
206,3.0,0.01,6.0,13.205460189541395,42.0
207,3.0,0.01,7.0,123.16300217998912,75.0
208,3.0,0.01,8.0,-327.058627085695,39.0
209,3.0,0.01,9.0,1.4480084257237826,33.0
210,3.0,0.07,0.0,50.35315169477727,150.0
211,3.0,0.07,1.0,162.15159377870054,99.0
212,3.0,0.07,2.0,110.38934855705222,83.0
213,3.0,0.07,3.0,168.8041897721098,96.0
214,3.0,0.07,4.0,50.48292040254532,44.0
215,3.0,0.07,5.0,151.58123416834147,80.0
216,3.0,0.07,6.0,-95.31733901058489,43.0
217,3.0,0.07,7.0,139.66469868344342,78.0
218,3.0,0.07,8.0,-552.2745799546667,41.0
219,3.0,0.07,9.0,-81.89683353631911,31.0
220,3.0,0.13,0.0,108.62185073452349,108.0
221,3.0,0.13,1.0,128.4903147232745,100.0
222,3.0,0.13,2.0,126.70946636642594,85.0
223,3.0,0.13,3.0,226.13950919161118,126.0
224,3.0,0.13,4.0,52.06468282085621,45.0
225,3.0,0.13,5.0,107.98043900247043,72.0
226,3.0,0.13,6.0,2.141147282680634,40.0
227,3.0,0.13,7.0,88.752110046886,84.0
228,3.0,0.13,8.0,-392.7340198494695,40.0
229,3.0,0.13,9.0,-95.58912318413377,34.0
230,3.0,0.19000000000000003,0.0,183.68870216759663,154.0
231,3.0,0.19000000000000003,1.0,121.53577285172241,97.0
232,3.0,0.19000000000000003,2.0,116.99243385462546,83.0
233,3.0,0.19000000000000003,3.0,181.12714311339258,89.0
234,3.0,0.19000000000000003,4.0,33.877057031820534,40.0
235,3.0,0.19000000000000003,5.0,69.50245312634807,50.0
236,3.0,0.19000000000000003,6.0,8.48124800568809,46.0
237,3.0,0.19000000000000003,7.0,118.01987521798631,94.0
238,3.0,0.19000000000000003,8.0,-514.1166415557168,38.0
239,3.0,0.19000000000000003,9.0,-82.80591720575583,29.0
240,3.0,0.25,0.0,104.71732805849675,84.0
241,3.0,0.25,1.0,133.7459239842004,95.0
242,3.0,0.25,2.0,96.64568412658184,78.0
243,3.0,0.25,3.0,177.4599634362996,86.0
244,3.0,0.25,4.0,23.080813509827987,39.0
245,3.0,0.25,5.0,52.333462716366896,45.0
246,3.0,0.25,6.0,28.517778949048,43.0
247,3.0,0.25,7.0,121.72877250728033,98.0
248,3.0,0.25,8.0,-235.34345918797686,40.0
249,3.0,0.25,9.0,-41.02517931259944,33.0
250,3.0,0.31000000000000005,0.0,66.99022467919659,81.0
251,3.0,0.31000000000000005,1.0,117.51356814440251,109.0
252,3.0,0.31000000000000005,2.0,67.12351597543771,78.0
253,3.0,0.31000000000000005,3.0,148.82460859604237,84.0
254,3.0,0.31000000000000005,4.0,29.558826781036952,41.0
255,3.0,0.31000000000000005,5.0,52.640624793053966,46.0
256,3.0,0.31000000000000005,6.0,4.245531877885852,39.0
257,3.0,0.31000000000000005,7.0,110.36680691385193,81.0
258,3.0,0.31000000000000005,8.0,-377.0470252362741,36.0
259,3.0,0.31000000000000005,9.0,-19.051166825334555,34.0
260,3.0,0.37000000000000005,0.0,39.40799159078399,66.0
261,3.0,0.37000000000000005,1.0,63.318749653814045,88.0
262,3.0,0.37000000000000005,2.0,73.72588087926204,80.0
263,3.0,0.37000000000000005,3.0,161.17179248461923,89.0
264,3.0,0.37000000000000005,4.0,42.68515500128523,42.0
265,3.0,0.37000000000000005,5.0,47.36234818816681,44.0
266,3.0,0.37000000000000005,6.0,0.10452476969438435,28.0
267,3.0,0.37000000000000005,7.0,81.64579881201651,111.0
268,3.0,0.37000000000000005,8.0,-263.0055491088941,39.0
269,3.0,0.37000000000000005,9.0,-57.76581363071782,32.0
270,3.0,0.43000000000000005,0.0,33.42547950040596,95.0
271,3.0,0.43000000000000005,1.0,41.39635863853067,49.0
272,3.0,0.43000000000000005,2.0,21.08765407144749,77.0
273,3.0,0.43000000000000005,3.0,105.17623228765105,69.0
274,3.0,0.43000000000000005,4.0,27.7476615326463,39.0
275,3.0,0.43000000000000005,5.0,36.70202749351984,40.0
276,3.0,0.43000000000000005,6.0,-0.2294386808068935,27.0
277,3.0,0.43000000000000005,7.0,94.23902605301902,86.0
278,3.0,0.43000000000000005,8.0,-177.08872352370298,41.0
279,3.0,0.43000000000000005,9.0,-45.523457400502586,33.0
280,3.0,0.49000000000000005,0.0,-13.84609642184712,63.0
281,3.0,0.49000000000000005,1.0,47.178396244516726,54.0
282,3.0,0.49000000000000005,2.0,77.49636079754218,82.0
283,3.0,0.49000000000000005,3.0,69.4093173931415,56.0
284,3.0,0.49000000000000005,4.0,27.66914953330467,35.0
285,3.0,0.49000000000000005,5.0,37.78511275530152,42.0
286,3.0,0.49000000000000005,6.0,3.4202240665426067,25.0
287,3.0,0.49000000000000005,7.0,104.64746836961892,85.0
