,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,30.84187015360658,189.0
1,1.0,0.01,1.0,433.85703549481696,1000.0
2,1.0,0.01,2.0,435.66031335941807,1000.0
3,1.0,0.01,3.0,66.6118399935367,253.0
4,1.0,0.01,4.0,20.47209377494437,139.0
5,1.0,0.01,5.0,33.22979932530143,184.0
6,1.0,0.01,6.0,446.83243143482105,1000.0
7,1.0,0.01,7.0,43.82886553724529,186.0
8,1.0,0.01,8.0,41.66192506954394,165.0
9,1.0,0.01,9.0,433.28562348392006,1000.0
10,1.0,0.07,0.0,28.4298169048634,148.0
11,1.0,0.07,1.0,287.62216679051926,733.0
12,1.0,0.07,2.0,425.8144172814282,1000.0
13,1.0,0.07,3.0,63.41716882403853,240.0
14,1.0,0.07,4.0,20.333340959608904,138.0
15,1.0,0.07,5.0,31.906613607257896,190.0
16,1.0,0.07,6.0,440.1700558168668,1000.0
17,1.0,0.07,7.0,60.123300621664384,228.0
18,1.0,0.07,8.0,48.810916030284716,169.0
19,1.0,0.07,9.0,419.56014385216986,1000.0
20,1.0,0.13,0.0,30.082368174589647,173.0
21,1.0,0.13,1.0,426.77043136049906,1000.0
22,1.0,0.13,2.0,417.69788289113785,1000.0
23,1.0,0.13,3.0,68.4091703755912,275.0
24,1.0,0.13,4.0,24.162343199663155,125.0
25,1.0,0.13,5.0,42.68676808434975,198.0
26,1.0,0.13,6.0,441.3540676789489,1000.0
27,1.0,0.13,7.0,59.22226138626138,215.0
28,1.0,0.13,8.0,36.00903983013268,167.0
29,1.0,0.13,9.0,394.9434975181284,1000.0
30,1.0,0.19000000000000003,0.0,40.65880126415141,191.0
31,1.0,0.19000000000000003,1.0,417.8321458754144,1000.0
32,1.0,0.19000000000000003,2.0,389.9015192212828,1000.0
33,1.0,0.19000000000000003,3.0,63.39410359811154,309.0
34,1.0,0.19000000000000003,4.0,33.92818630835973,133.0
35,1.0,0.19000000000000003,5.0,47.7150165559724,230.0
36,1.0,0.19000000000000003,6.0,300.0970424431289,769.0
37,1.0,0.19000000000000003,7.0,34.03935541845567,161.0
38,1.0,0.19000000000000003,8.0,398.7580410956216,1000.0
39,1.0,0.19000000000000003,9.0,409.66480252063775,1000.0
40,1.0,0.25,0.0,27.09106423547928,129.0
41,1.0,0.25,1.0,396.9801802074435,1000.0
42,1.0,0.25,2.0,352.73611895579234,1000.0
43,1.0,0.25,3.0,34.17061932236538,144.0
44,1.0,0.25,4.0,30.32258211053704,123.0
45,1.0,0.25,5.0,27.173186250591243,149.0
46,1.0,0.25,6.0,132.09185232868913,370.0
47,1.0,0.25,7.0,32.2981476573259,155.0
48,1.0,0.25,8.0,40.19744630414789,166.0
49,1.0,0.25,9.0,319.3507558866477,1000.0
50,1.0,0.31000000000000005,0.0,55.43074063016684,197.0
51,1.0,0.31000000000000005,1.0,321.8222374496545,1000.0
52,1.0,0.31000000000000005,2.0,316.87162681324116,1000.0
53,1.0,0.31000000000000005,3.0,38.73693978749361,172.0
54,1.0,0.31000000000000005,4.0,26.856661336190882,122.0
55,1.0,0.31000000000000005,5.0,31.781592485109286,147.0
56,1.0,0.31000000000000005,6.0,315.24590356304543,945.0
57,1.0,0.31000000000000005,7.0,51.26114549568592,212.0
58,1.0,0.31000000000000005,8.0,282.7512403073051,1000.0
59,1.0,0.31000000000000005,9.0,245.42535490221053,748.0
60,1.0,0.37000000000000005,0.0,64.40085502896545,252.0
61,1.0,0.37000000000000005,1.0,197.80340355751105,612.0
62,1.0,0.37000000000000005,2.0,161.50032668002677,619.0
63,1.0,0.37000000000000005,3.0,35.91476475316449,129.0
64,1.0,0.37000000000000005,4.0,41.955605605849996,141.0
65,1.0,0.37000000000000005,5.0,36.00387850307743,143.0
66,1.0,0.37000000000000005,6.0,340.2448907536018,980.0
67,1.0,0.37000000000000005,7.0,139.4316340416408,589.0
68,1.0,0.37000000000000005,8.0,130.48348273723968,528.0
69,1.0,0.37000000000000005,9.0,205.42216136673233,675.0
70,1.0,0.43000000000000005,0.0,57.79661053871678,220.0
71,1.0,0.43000000000000005,1.0,126.25171441991552,465.0
72,1.0,0.43000000000000005,2.0,78.22143853624584,288.0
73,1.0,0.43000000000000005,3.0,39.64052539203112,121.0
74,1.0,0.43000000000000005,4.0,36.76450006866071,146.0
75,1.0,0.43000000000000005,5.0,35.198188940034015,138.0
