,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,37.45547427476268,36.0
1,1.0,0.01,1.0,272.10860833656176,303.0
2,1.0,0.01,2.0,809.1659743623751,1000.0
3,1.0,0.01,3.0,34.23257993236766,33.0
4,1.0,0.01,4.0,178.79524562773443,181.0
5,1.0,0.01,5.0,39.09473086021899,37.0
6,1.0,0.01,6.0,42.954682988597774,38.0
7,1.0,0.01,7.0,1024.5043394333766,1000.0
8,1.0,0.01,8.0,1022.5856725501513,1000.0
9,1.0,0.01,9.0,31.588901951433222,32.0
10,1.0,0.07,0.0,36.65272336139897,35.0
11,1.0,0.07,1.0,248.89518814969622,277.0
12,1.0,0.07,2.0,803.2881144450245,1000.0
13,1.0,0.07,3.0,33.427745353986396,31.0
14,1.0,0.07,4.0,171.25193439553397,175.0
15,1.0,0.07,5.0,39.62823127336159,37.0
16,1.0,0.07,6.0,38.79653814338962,35.0
17,1.0,0.07,7.0,1013.7470390448859,1000.0
18,1.0,0.07,8.0,1016.2631761262527,1000.0
19,1.0,0.07,9.0,31.84792817106209,32.0
20,1.0,0.13,0.0,32.31967528257373,33.0
21,1.0,0.13,1.0,183.23470128660693,194.0
22,1.0,0.13,2.0,741.1599039123263,1000.0
23,1.0,0.13,3.0,35.34828095637495,34.0
24,1.0,0.13,4.0,147.86500961991118,152.0
25,1.0,0.13,5.0,33.8974053361846,32.0
26,1.0,0.13,6.0,36.76532239469815,35.0
27,1.0,0.13,7.0,1005.5214012005082,1000.0
28,1.0,0.13,8.0,997.8735505110611,1000.0
29,1.0,0.13,9.0,31.357896573517067,33.0
30,1.0,0.19000000000000003,0.0,30.935190683486873,32.0
31,1.0,0.19000000000000003,1.0,697.6914063624021,1000.0
32,1.0,0.19000000000000003,2.0,246.43691276208406,274.0
33,1.0,0.19000000000000003,3.0,29.50289059562783,28.0
34,1.0,0.19000000000000003,4.0,136.9660303618672,140.0
35,1.0,0.19000000000000003,5.0,30.091719602828373,28.0
36,1.0,0.19000000000000003,6.0,31.36573285603226,30.0
37,1.0,0.19000000000000003,7.0,970.7578126568512,1000.0
38,1.0,0.19000000000000003,8.0,353.7910944510338,352.0
39,1.0,0.19000000000000003,9.0,29.43257382563752,32.0
40,1.0,0.25,0.0,29.880649246388927,32.0
41,1.0,0.25,1.0,344.5342422162344,475.0
42,1.0,0.25,2.0,275.2779163446945,346.0
43,1.0,0.25,3.0,26.765426495095014,28.0
44,1.0,0.25,4.0,137.50074590646105,151.0
45,1.0,0.25,5.0,21.788439531881885,20.0
46,1.0,0.25,6.0,28.575050276529502,29.0
47,1.0,0.25,7.0,933.3188051740512,1000.0
48,1.0,0.25,8.0,236.15674174951408,234.0
49,1.0,0.25,9.0,22.023907727103513,22.0
50,1.0,0.31000000000000005,0.0,29.87101224623037,34.0
51,1.0,0.31000000000000005,1.0,146.3816436026885,167.0
52,1.0,0.31000000000000005,2.0,164.48535212034463,211.0
53,1.0,0.31000000000000005,3.0,24.033170643153422,26.0
54,1.0,0.31000000000000005,4.0,110.4077171947444,123.0
55,1.0,0.31000000000000005,5.0,20.277305764994527,19.0
56,1.0,0.31000000000000005,6.0,27.889247416534634,28.0
57,1.0,0.31000000000000005,7.0,232.51729487501444,233.0
58,1.0,0.31000000000000005,8.0,207.64090140262857,210.0
59,1.0,0.31000000000000005,9.0,19.84419978749356,21.0
60,1.0,0.37000000000000005,0.0,27.63420257167163,34.0
61,1.0,0.37000000000000005,1.0,88.99771061731737,91.0
62,1.0,0.37000000000000005,2.0,108.83366702025958,120.0
63,1.0,0.37000000000000005,3.0,23.137684314307986,26.0
64,1.0,0.37000000000000005,4.0,104.35464698721185,118.0
65,1.0,0.37000000000000005,5.0,20.09902800832497,19.0
66,1.0,0.37000000000000005,6.0,27.185653306030144,29.0
67,1.0,0.37000000000000005,7.0,164.4827811557726,161.0
68,1.0,0.37000000000000005,8.0,190.12769372250335,200.0
69,1.0,0.37000000000000005,9.0,20.279772816757035,21.0
70,1.0,0.43000000000000005,0.0,26.71930962679616,34.0
71,1.0,0.43000000000000005,1.0,94.10164616200925,105.0
72,1.0,0.43000000000000005,2.0,113.30245980517064,139.0
73,1.0,0.43000000000000005,3.0,19.184306345132065,22.0
74,1.0,0.43000000000000005,4.0,92.74094041595528,104.0
75,1.0,0.43000000000000005,5.0,17.95272383097763,18.0
76,1.0,0.43000000000000005,6.0,24.07007735409425,28.0
77,1.0,0.43000000000000005,7.0,20.33588199900259,22.0
78,1.0,0.43000000000000005,8.0,94.78497194451924,89.0
79,1.0,0.43000000000000005,9.0,19.50343633642624,21.0
80,1.0,0.49000000000000005,0.0,22.567331041570284,28.0
81,1.0,0.49000000000000005,1.0,79.385139459114,90.0
82,1.0,0.49000000000000005,2.0,108.8658107074589,128.0
83,1.0,0.49000000000000005,3.0,20.065996640671802,26.0
84,1.0,0.49000000000000005,4.0,101.67997261260604,120.0
85,1.0,0.49000000000000005,5.0,17.431144273570677,18.0
86,1.0,0.49000000000000005,6.0,22.889386017518696,28.0
87,1.0,0.49000000000000005,7.0,18.970252332893146,22.0
88,1.0,0.49000000000000005,8.0,15.356339962809578,14.0
89,1.0,0.49000000000000005,9.0,19.253864627801523,22.0
90,1.0,0.55,0.0,22.398307041909717,34.0
91,1.0,0.55,1.0,79.62234755174138,94.0
92,1.0,0.55,2.0,108.25068913503198,135.0
93,1.0,0.55,3.0,17.318850395127086,23.0
94,1.0,0.55,4.0,25.63241040789289,24.0
95,1.0,0.55,5.0,16.06263859410392,18.0
96,1.0,0.55,6.0,17.518274377629858,20.0
97,1.0,0.55,7.0,17.298622221498224,22.0
98,1.0,0.55,8.0,14.639683952026829,13.0
99,1.0,0.55,9.0,17.7713929562291,21.0
100,2.0,0.01,0.0,37.49668063693244,36.0
101,2.0,0.01,1.0,272.10860833656176,303.0
102,2.0,0.01,2.0,809.1659743623751,1000.0
103,2.0,0.01,3.0,34.23257993236766,33.0
104,2.0,0.01,4.0,178.79524562773443,181.0
105,2.0,0.01,5.0,39.09473086021899,37.0
106,2.0,0.01,6.0,42.954682988597774,38.0
107,2.0,0.01,7.0,1024.5043394333766,1000.0
108,2.0,0.01,8.0,1022.5856725501513,1000.0
109,2.0,0.01,9.0,31.588901951433222,32.0
110,2.0,0.07,0.0,36.65272336139897,35.0
111,2.0,0.07,1.0,248.89518814969622,277.0
112,2.0,0.07,2.0,803.2881144450245,1000.0
113,2.0,0.07,3.0,33.427745353986396,31.0
114,2.0,0.07,4.0,171.25193439553397,175.0
115,2.0,0.07,5.0,39.62823127336159,37.0
116,2.0,0.07,6.0,38.79653814338962,35.0
117,2.0,0.07,7.0,1013.7470390448859,1000.0
118,2.0,0.07,8.0,1016.2631761262527,1000.0
119,2.0,0.07,9.0,31.84792817106209,32.0
120,2.0,0.13,0.0,32.31967528257373,33.0
121,2.0,0.13,1.0,183.23470128660693,194.0
122,2.0,0.13,2.0,741.1599039123263,1000.0
123,2.0,0.13,3.0,35.34828095637495,34.0
124,2.0,0.13,4.0,147.86500961991118,152.0
125,2.0,0.13,5.0,33.8974053361846,32.0
126,2.0,0.13,6.0,36.76532239469815,35.0
127,2.0,0.13,7.0,1005.5214012005082,1000.0
128,2.0,0.13,8.0,997.8735505110611,1000.0
129,2.0,0.13,9.0,31.357896573517067,33.0
130,2.0,0.19000000000000003,0.0,30.935190683486873,32.0
131,2.0,0.19000000000000003,1.0,697.6914063624021,1000.0
132,2.0,0.19000000000000003,2.0,246.43691276208406,274.0
133,2.0,0.19000000000000003,3.0,29.50289059562783,28.0
134,2.0,0.19000000000000003,4.0,136.9660303618672,140.0
135,2.0,0.19000000000000003,5.0,30.091719602828373,28.0
136,2.0,0.19000000000000003,6.0,31.36573285603226,30.0
137,2.0,0.19000000000000003,7.0,970.7578126568512,1000.0
138,2.0,0.19000000000000003,8.0,353.7910944510338,352.0
139,2.0,0.19000000000000003,9.0,29.43257382563752,32.0
140,2.0,0.25,0.0,29.880649246388927,32.0
141,2.0,0.25,1.0,344.5342422162344,475.0
142,2.0,0.25,2.0,275.2779163446945,346.0
143,2.0,0.25,3.0,26.765426495095014,28.0
144,2.0,0.25,4.0,137.50074590646105,151.0
145,2.0,0.25,5.0,21.788439531881885,20.0
146,2.0,0.25,6.0,28.575050276529502,29.0
147,2.0,0.25,7.0,933.3188051740512,1000.0
148,2.0,0.25,8.0,236.15674174951408,234.0
149,2.0,0.25,9.0,22.023907727103513,22.0
150,2.0,0.31000000000000005,0.0,29.87101224623037,34.0
151,2.0,0.31000000000000005,1.0,146.3816436026885,167.0
152,2.0,0.31000000000000005,2.0,164.48535212034463,211.0
153,2.0,0.31000000000000005,3.0,24.033170643153422,26.0
154,2.0,0.31000000000000005,4.0,110.4077171947444,123.0
155,2.0,0.31000000000000005,5.0,20.277305764994527,19.0
156,2.0,0.31000000000000005,6.0,27.889247416534634,28.0
157,2.0,0.31000000000000005,7.0,232.51729487501444,233.0
158,2.0,0.31000000000000005,8.0,207.64090140262857,210.0
159,2.0,0.31000000000000005,9.0,19.84419978749356,21.0
160,2.0,0.37000000000000005,0.0,27.63420257167163,34.0
161,2.0,0.37000000000000005,1.0,88.99771061731737,91.0
162,2.0,0.37000000000000005,2.0,108.83366702025958,120.0
163,2.0,0.37000000000000005,3.0,23.137684314307986,26.0
164,2.0,0.37000000000000005,4.0,104.35464698721185,118.0
