,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1644.3914304044883,1000.0
1,1.0,0.01,1.0,1591.72059133328,1000.0
2,1.0,0.01,2.0,1601.3512876373206,1000.0
3,1.0,0.01,3.0,1617.5938840376548,1000.0
4,1.0,0.01,4.0,-18.179439288949652,101.0
5,1.0,0.01,5.0,1586.1065259582392,1000.0
6,1.0,0.01,6.0,1615.3940090258839,1000.0
7,1.0,0.01,7.0,1662.8900182188154,1000.0
8,1.0,0.01,8.0,1601.1551453050415,1000.0
9,1.0,0.01,9.0,1614.3377413552662,1000.0
10,1.0,0.07,0.0,1646.043403113079,1000.0
11,1.0,0.07,1.0,1539.7520407906923,1000.0
12,1.0,0.07,2.0,1603.526072490291,1000.0
13,1.0,0.07,3.0,1603.6895740920154,1000.0
14,1.0,0.07,4.0,-17.522667774406727,95.0
15,1.0,0.07,5.0,1605.4760021009643,1000.0
16,1.0,0.07,6.0,1574.3460377606316,1000.0
17,1.0,0.07,7.0,1598.3020369681908,1000.0
18,1.0,0.07,8.0,1588.9861799812934,1000.0
19,1.0,0.07,9.0,1616.7012635258943,1000.0
20,1.0,0.13,0.0,1560.4398056770515,1000.0
21,1.0,0.13,1.0,1550.248171740117,1000.0
22,1.0,0.13,2.0,1578.9643143884969,1000.0
23,1.0,0.13,3.0,1636.0399406311917,1000.0
24,1.0,0.13,4.0,-17.27257200600434,98.0
25,1.0,0.13,5.0,1539.8829736632397,1000.0
26,1.0,0.13,6.0,1578.8675797599572,1000.0
27,1.0,0.13,7.0,1593.3880400818598,1000.0
28,1.0,0.13,8.0,1570.393207163026,1000.0
29,1.0,0.13,9.0,1537.3872130006202,1000.0
30,1.0,0.19000000000000003,0.0,1536.551222937669,1000.0
31,1.0,0.19000000000000003,1.0,1531.8423887885656,1000.0
32,1.0,0.19000000000000003,2.0,1485.4159242729365,1000.0
33,1.0,0.19000000000000003,3.0,1529.3940879396905,1000.0
34,1.0,0.19000000000000003,4.0,-17.218457049995777,93.0
35,1.0,0.19000000000000003,5.0,1534.297817659026,1000.0
36,1.0,0.19000000000000003,6.0,1536.1226803801983,1000.0
37,1.0,0.19000000000000003,7.0,1631.151481813511,1000.0
38,1.0,0.19000000000000003,8.0,1492.1747755829274,1000.0
39,1.0,0.19000000000000003,9.0,1508.6403809733092,1000.0
40,1.0,0.25,0.0,1492.8911470632156,1000.0
41,1.0,0.25,1.0,1439.8577303958227,1000.0
42,1.0,0.25,2.0,1478.6689572721734,1000.0
43,1.0,0.25,3.0,1526.5696482788771,1000.0
44,1.0,0.25,4.0,-18.652259897884505,91.0
45,1.0,0.25,5.0,1472.307477286704,1000.0
46,1.0,0.25,6.0,412.07454615489405,285.0
47,1.0,0.25,7.0,1550.133655496269,1000.0
48,1.0,0.25,8.0,1462.9986732207326,1000.0
49,1.0,0.25,9.0,102.9231862698507,91.0
50,1.0,0.31000000000000005,0.0,1459.5832009826336,1000.0
51,1.0,0.31000000000000005,1.0,85.84974892409082,116.0
52,1.0,0.31000000000000005,2.0,1501.7971626468861,1000.0
53,1.0,0.31000000000000005,3.0,1478.2250982329497,1000.0
54,1.0,0.31000000000000005,4.0,-21.19893161876098,92.0
55,1.0,0.31000000000000005,5.0,1175.53208431667,819.0
56,1.0,0.31000000000000005,6.0,437.3070042062827,312.0
57,1.0,0.31000000000000005,7.0,1465.9640388190674,1000.0
