Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
32	29198.0	18966.0	0.8563	3934.0	1.0
13	23493.0	17996.0	0.9188	3316.0	1.0
23	28095.0	18351.0	0.8625	3254.0	1.0
16	30814.0	19318.0	0.85	3913.0	1.0
26	27319.0	19971.0	0.8938	3413.0	1.0
7	29193.0	19648.0	0.8938	4007.0	1.0
22	23302.0	18811.0	0.9187	3271.0	1.0
15	26141.0	19584.0	0.9125	4006.0	1.0
12	29777.0	23460.0	0.9313	3007.0	1.0
14	23994.0	18519.0	0.9125	3731.0	1.0
20	31794.0	21755.0	0.9063	3089.0	1.0
2	29302.0	20719.0	0.9063	2892.0	1.0
18	28832.0	18773.0	0.8938	3306.0	1.0
20	25515.0	20156.0	0.9	3969.0	1.0
9	29035.0	23610.0	0.9563	3496.0	1.0
29	29632.0	20224.0	0.9063	3012.0	1.0
2	29931.0	21611.0	0.9125	3322.0	1.0
23	26731.0	21786.0	0.925	3432.0	1.0
8	25966.0	20527.0	0.9375	3182.0	1.0
38	31993.0	22861.0	0.8938	3783.0	1.0
39	28689.0	20210.0	0.9125	3438.0	1.0
38	28241.0	20892.0	0.8938	3541.0	1.0
2	32998.0	23020.0	0.9125	2830.0	1.0
34	29831.0	21362.0	0.9	3582.0	1.0
26	30810.0	23189.0	0.9187	3446.0	1.0
11	30733.0	21615.0	0.9	3239.0	1.0
38	29827.0	20973.0	0.9125	4041.0	1.0
3	30236.0	21252.0	0.9063	3026.0	1.0
3	32348.0	22717.0	0.9188	3534.0	1.0
11	30195.0	20843.0	0.9125	4054.0	1.0
25	25707.0	19676.0	0.9	4189.0	1.0
24	28549.0	21805.0	0.925	3711.0	1.0
33	29396.0	23855.0	0.9313	3242.0	1.0
6	27928.0	23120.0	0.9563	3504.0	1.0
37	26520.0	20492.0	0.8938	3401.0	1.0
3	28413.0	19421.0	0.8938	3273.0	1.0
6	27264.0	23485.0	0.95	3489.0	1.0
27	32134.0	21579.0	0.8937	4600.0	1.0
23	30116.0	19591.0	0.8875	3060.0	1.0
23	29505.0	18378.0	0.85	2874.0	1.0
5	29576.0	22633.0	0.9062	4578.0	1.0
15	28694.0	19180.0	0.9125	2552.0	1.0
1	29006.0	22266.0	0.9313	2925.0	1.0
30	27928.0	19825.0	0.8812	2992.0	1.0
20	30423.0	20583.0	0.8688	3729.0	1.0
20	29552.0	21080.0	0.9125	3705.0	1.0
2	29175.0	22256.0	0.875	4908.0	1.0
35	30989.0	22008.0	0.9125	3646.0	1.0
29	26892.0	19804.0	0.9125	3320.0	1.0
10	30908.0	21487.0	0.9062	3318.0	1.0
8	30395.0	22646.0	0.9187	3591.0	1.0
25	29812.0	18947.0	0.9062	2932.0	1.0
0	27235.0	20820.0	0.925	2799.0	1.0
25	32257.0	21681.0	0.8938	3093.0	1.0
10	27787.0	20780.0	0.8812	3415.0	1.0
31	26677.0	21026.0	0.9062	4687.0	1.0
18	28883.0	20434.0	0.9313	2632.0	1.0
2	28091.0	20935.0	0.9312	2995.0	1.0
38	24275.0	19926.0	0.9438	3022.0	1.0
34	31415.0	22555.0	0.9125	3838.0	1.0
27	28486.0	22468.0	0.9188	3988.0	1.0
9	28416.0	18788.0	0.8813	3193.0	1.0
12	30460.0	20325.0	0.8937	3972.0	1.0
21	27680.0	20131.0	0.9062	3246.0	1.0
13	28292.0	23407.0	0.9375	4069.0	1.0
14	29503.0	21550.0	0.925	3329.0	1.0
29	29605.0	21653.0	0.925	2849.0	1.0
32	32149.0	22400.0	0.8813	3876.0	1.0
15	31358.0	21228.0	0.8875	3232.0	1.0
9	30838.0	22014.0	0.9125	3504.0	1.0
35	30031.0	21083.0	0.9063	3110.0	1.0
