Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
2	25406.0	21362.0	0.9438	2984.0	1.0
19	26964.0	17628.0	0.8937	2712.0	1.0
27	24634.0	16957.0	0.9063	2834.0	1.0
4	22710.0	16794.0	0.8875	2857.0	1.0
4	26070.0	20947.0	0.9188	2930.0	1.0
37	23329.0	19230.0	0.9437	2779.0	1.0
16	27371.0	20978.0	0.925	3833.0	1.0
19	25898.0	17937.0	0.9062	3367.0	1.0
13	20152.0	16229.0	0.9188	3224.0	1.0
11	24392.0	18392.0	0.9125	3317.0	1.0
11	22787.0	18897.0	0.925	3038.0	1.0
39	24109.0	17888.0	0.9	3875.0	1.0
11	24886.0	19020.0	0.9313	3051.0	1.0
18	29116.0	21718.0	0.9	3862.0	1.0
2	15950.0	13874.0	0.9563	2513.0	1.0
24	23233.0	18848.0	0.9313	2871.0	1.0
7	22038.0	16948.0	0.9062	2928.0	1.0
24	17787.0	15592.0	0.9813	1692.0	1.0
7	26690.0	21167.0	0.9062	4323.0	1.0
25	28876.0	22378.0	0.9125	3914.0	1.0
11	20911.0	17441.0	0.95	2618.0	1.0
22	23044.0	17937.0	0.9125	3743.0	1.0
20	29950.0	18570.0	0.8625	3316.0	1.0
12	22036.0	17246.0	0.9313	3487.0	1.0
23	19596.0	16987.0	0.9437	3679.0	1.0
21	21291.0	16963.0	0.9313	3117.0	1.0
26	22273.0	18083.0	0.925	3386.0	1.0
24	25350.0	18359.0	0.9125	2397.0	1.0
17	18961.0	19475.0	0.9938	3206.0	1.0
5	20578.0	17683.0	0.95	2336.0	1.0
0	20970.0	16748.0	0.9313	2700.0	1.0
36	28245.0	20567.0	0.8812	3770.0	1.0
38	19989.0	16468.0	0.95	2252.0	1.0
22	21753.0	18566.0	0.9437	2853.0	1.0
29	21153.0	17029.0	0.9313	2094.0	1.0
22	22875.0	18006.0	0.9625	2265.0	1.0
28	22763.0	17777.0	0.9375	2286.0	1.0
30	24822.0	19729.0	0.925	3192.0	1.0
18	19789.0	17271.0	0.95	2866.0	1.0
16	25066.0	19712.0	0.925	3698.0	1.0
9	22916.0	18213.0	0.9375	2480.0	1.0
33	23552.0	20704.0	0.95	3236.0	1.0
18	17002.0	16064.0	0.9875	2362.0	1.0
