Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	76396.0	80256.0	0.984	5271.0	1.0
1	2973550.0	41902.0	0.2395	35081.0	0.9988
2	104599.0	119496.0	0.8891	6886.0	1.0
3	75026.0	85493.0	0.9771	5768.0	1.0
4	1929784.0	143134.0	0.6122	10897.0	1.0
5	75547.0	95625.0	0.9557	6787.0	1.0
6	2493256.0	53096.0	0.2396	38760.0	0.99
7	75970.0	79436.0	0.9538	5681.0	1.0
8	67435.0	66726.0	0.9965	5792.0	1.0
9	75151.0	82337.0	0.9784	5601.0	1.0
10	76772.0	95518.0	0.9819	6366.0	1.0
11	97669.0	116725.0	0.9184	7343.0	1.0
12	927892.0	137527.0	0.6216	9610.0	1.0
13	80491.0	95001.0	0.9521	5731.0	1.0
14	78595.0	74828.0	0.9849	5299.0	1.0
15	126367.0	115785.0	0.7937	7679.0	1.0
16	591741.0	131237.0	0.6171	8124.0	1.0
17	75634.0	84375.0	0.978	5456.0	1.0
18	74450.0	81402.0	0.9854	5517.0	1.0
19	75109.0	75712.0	0.9854	5260.0	1.0
20	73716.0	74682.0	0.9917	5702.0	1.0
21	79271.0	100149.0	0.9509	6589.0	1.0
22	75655.0	90255.0	0.988	6212.0	1.0
23	79235.0	99603.0	0.9591	6121.0	1.0
24	89458.0	109614.0	0.9137	6734.0	1.0
25	1148894301.0	151385.0	0.3714	16575.0	1.0
26	282138.0	33432.0	0.2601	15734.0	0.99
27	73954.0	75533.0	0.9844	6417.0	1.0
28	77267.0	83530.0	0.9497	5500.0	1.0
29	76233.0	97102.0	0.9644	6508.0	1.0
30	77064.0	85632.0	0.9807	5048.0	1.0
31	80819.0	103523.0	0.9728	6640.0	1.0
32	78124.0	77428.0	0.9872	5394.0	1.0
33	75676.0	70929.0	0.9546	5640.0	1.0
34	78012.0	27711.0	0.1714	7114.0	1.0
35	75388.0	79964.0	0.983	5404.0	1.0
36	75715.0	77512.0	0.9852	5622.0	1.0
37	77885.0	91383.0	0.9575	6403.0	1.0
38	1076926.0	40031.0	0.2464	20205.0	1.0
39	13407386.0	140671.0	0.4335	13427.0	1.0
40	133487.0	125765.0	0.8736	7525.0	1.0
41	78304.0	90647.0	0.9765	5857.0	1.0
42	4781350.0	73862.0	0.2644	27753.0	1.0
43	260178.0	110545.0	0.4106	9978.0	1.0
44	73089.0	70173.0	0.993	5244.0	1.0
45	78069.0	101356.0	0.9471	7209.0	1.0
46	78145.0	27787.0	0.5801	5293.0	1.0
47	1623391.0	152336.0	0.7119	9643.0	1.0
48	83461.0	106742.0	0.9396	6907.0	1.0
49	75329.0	90194.0	0.9771	5506.0	1.0
50	626525.0	137033.0	0.6637	9178.0	1.0
51	74610.0	80023.0	0.9822	6075.0	1.0
52	74500.0	70248.0	0.9859	5019.0	1.0
53	247394.0	135155.0	0.7777	8166.0	1.0
54	75832.0	85381.0	0.9816	5862.0	1.0
55	105207.0	122928.0	0.891	8529.0	1.0
56	124120.0	74476.0	0.4039	10443.0	1.0
57	208902.0	126829.0	0.745	8227.0	1.0
58	1439171.0	135490.0	0.5379	11296.0	1.0
59	79687.0	75962.0	0.7295	6915.0	1.0
60	114673.0	100663.0	0.7031	6298.0	1.0
61	75941.0	75121.0	0.9864	5433.0	1.0
62	73634.0	82905.0	0.9792	6137.0	1.0
63	76284.0	76517.0	0.9881	5081.0	1.0
64	75389.0	68350.0	0.9711	5660.0	1.0
65	75450.0	91365.0	0.9601	6574.0	1.0
66	154208.0	126947.0	0.8339	8821.0	1.0
67	172825.0	127969.0	0.8108	7844.0	1.0
68	75338.0	75174.0	0.9901	5396.0	1.0
69	75939.0	77947.0	0.9816	5349.0	1.0
70	96524.0	115386.0	0.8884	7135.0	1.0
71	1063939.0	109142.0	0.339	11049.0	1.0
72	74303.0	77314.0	0.9844	5940.0	1.0
73	76144.0	86665.0	0.9781	5796.0	1.0
74	1280267.0	78280.0	0.3193	14722.0	1.0
75	75693.0	95824.0	0.9498	6742.0	1.0
76	75628.0	75000.0	0.9816	6092.0	1.0
77	75929.0	81092.0	0.9333	5820.0	1.0
78	1132659.0	142179.0	0.6356	9614.0	1.0
79	73459.0	76370.0	0.9744	5802.0	1.0
80	106265.0	82555.0	0.5636	7658.0	1.0
81	76567.0	73421.0	0.9864	4805.0	1.0
82	75981.0	91507.0	0.9731	6111.0	1.0
83	66620.0	64141.0	0.986	4922.0	1.0
84	84104.0	107626.0	0.9325	6552.0	1.0
85	5904562.0	173381.0	0.8438	13713.0	1.0
86	76969.0	98258.0	0.9691	6156.0	1.0
87	76553.0	78284.0	0.9439	5593.0	1.0
88	210873.0	103156.0	0.5809	7900.0	1.0
89	72463.0	79986.0	0.9727	6031.0	1.0
90	75472.0	81715.0	0.9756	5112.0	1.0
91	1802944.0	37166.0	0.2357	30305.0	0.9996
92	78691.0	97917.0	0.958	6354.0	1.0
93	74066.0	84368.0	0.9857	5874.0	1.0
94	107002.0	113416.0	0.8639	5378.0	1.0
95	86236.0	112857.0	0.927	7266.0	1.0
96	1471533.0	65513.0	0.2609	24569.0	1.0
97	88389.0	82918.0	0.7381	6489.0	1.0
98	79187.0	91427.0	0.9497	6256.0	1.0
99	74783.0	78684.0	0.9886	5743.0	1.0
