Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
0    	33088.0                	21533.0        	0.899              	3036.0           	1.0
1    	35225.0                	23113.0        	0.8995             	3214.0           	1.0
2    	34118.0                	22260.0        	0.896              	3348.0           	1.0
3    	35378.0                	22763.0        	0.8905             	3339.0           	1.0
4    	34487.0                	21400.0        	0.8905             	3063.0           	1.0
5    	33184.0                	21758.0        	0.903              	3081.0           	1.0
6    	36166.0                	22573.0        	0.8885             	3197.0           	1.0
7    	32833.0                	21541.0        	0.9065             	3108.0           	1.0
8    	32299.0                	21319.0        	0.907              	2946.0           	1.0
9    	34226.0                	22693.0        	0.9025             	2962.0           	1.0
