Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   0 	               31384.0 	       22078.0 	            0.925  	          2872.0 	                 1.0
   1 	               30193.0 	       21524.0 	            0.924  	          3087.0 	                 1.0
   2 	               32733.0 	       22467.0 	            0.9075 	          3331.0 	                 1.0
   3 	               30425.0 	       21849.0 	            0.925  	          3203.0 	                 1.0
   4 	               31608.0 	       21899.0 	            0.9215 	          3070.0 	                 1.0
   5 	               30434.0 	       21878.0 	            0.9225 	          2978.0 	                 1.0
   6 	               29942.0 	       21725.0 	            0.9315 	          2946.0 	                 1.0
   7 	               28925.0 	       21809.0 	            0.9425 	          3051.0 	                 1.0
   8 	               34847.0 	       23514.0 	            0.9015 	          3741.0 	                 1.0
   9 	               32991.0 	       22607.0 	            0.917  	          3090.0 	                 1.0
  10 	               29682.0 	       21704.0 	            0.9255 	          3343.0 	                 1.0
  11 	               33419.0 	       22055.0 	            0.9    	          3137.0 	                 1.0
  12 	               33692.0 	       22508.0 	            0.9075 	          3380.0 	                 1.0
  13 	               30017.0 	       22175.0 	            0.9245 	          3499.0 	                 1.0
  14 	               29294.0 	       21646.0 	            0.9325 	          3182.0 	                 1.0
  15 	               31065.0 	       21971.0 	            0.9215 	          3133.0 	                 1.0
  16 	               35708.0 	       23034.0 	            0.899  	          3282.0 	                 1.0
  17 	               31009.0 	       22498.0 	            0.9235 	          3216.0 	                 1.0
  18 	               29380.0 	       21497.0 	            0.932  	          3018.0 	                 1.0
  19 	               31205.0 	       21060.0 	            0.905  	          3134.0 	                 1.0
  20 	               31178.0 	       21951.0 	            0.9175 	          3082.0 	                 1.0
  21 	               30072.0 	       21136.0 	            0.9185 	          3212.0 	                 1.0
  22 	               33591.0 	       22498.0 	            0.9065 	          3428.0 	                 1.0
  23 	               32005.0 	       21965.0 	            0.9155 	          3244.0 	                 1.0
  24 	               32444.0 	       22410.0 	            0.9145 	          3166.0 	                 1.0
  25 	               31178.0 	       22028.0 	            0.922  	          3153.0 	                 1.0
  26 	               30595.0 	       21644.0 	            0.921  	          3188.0 	                 1.0
  27 	               30084.0 	       21504.0 	            0.923  	          2938.0 	                 1.0
  28 	               35284.0 	       22877.0 	            0.902  	          3314.0 	                 1.0
  29 	               31589.0 	       22280.0 	            0.9185 	          3090.0 	                 1.0
  30 	               35805.0 	       23510.0 	            0.895  	          3581.0 	                 1.0
  31 	               31000.0 	       21925.0 	            0.9215 	          3153.0 	                 1.0
  32 	               30776.0 	       22307.0 	            0.93   	          3113.0 	                 1.0
  33 	               31860.0 	       21960.0 	            0.913  	          3142.0 	                 1.0
  34 	               32449.0 	       22437.0 	            0.9125 	          3167.0 	                 1.0
  35 	               30086.0 	       21948.0 	            0.9315 	          3015.0 	                 1.0
  36 	               29225.0 	       21109.0 	            0.9295 	          2920.0 	                 1.0
  37 	               31756.0 	       21888.0 	            0.9195 	          3132.0 	                 1.0
  38 	               30675.0 	       21687.0 	            0.9245 	          3036.0 	                 1.0
  39 	               30196.0 	       21361.0 	            0.915  	          3062.0 	                 1.0
  40 	               37346.0 	       24252.0 	            0.894  	          3459.0 	                 1.0
  41 	               30023.0 	       21105.0 	            0.923  	          3076.0 	                 1.0
  42 	               28584.0 	       21416.0 	            0.9265 	          3285.0 	                 1.0
  43 	               30822.0 	       21911.0 	            0.92   	          3240.0 	                 1.0
  44 	               30423.0 	       21510.0 	            0.9185 	          3147.0 	                 1.0
  45 	               28704.0 	       21608.0 	            0.9335 	          3247.0 	                 1.0
  46 	               28806.0 	       21078.0 	            0.937  	          2928.0 	                 1.0
  47 	               31016.0 	       22280.0 	            0.9275 	          3169.0 	                 1.0
  48 	               32001.0 	       22727.0 	            0.9255 	          3504.0 	                 1.0
  49 	               30624.0 	       21950.0 	            0.923  	          3022.0 	                 1.0
