Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	31216.0	21665.0	0.9155	3061.0	1.0
1	32345.0	22437.0	0.9155	3279.0	1.0
2	30457.0	21821.0	0.9245	3100.0	1.0
3	29639.0	21710.0	0.9305	3160.0	1.0
4	32699.0	22157.0	0.9125	3165.0	1.0
5	31436.0	21649.0	0.91	3073.0	1.0
6	32008.0	22877.0	0.9205	3298.0	1.0
7	29180.0	21497.0	0.9285	3014.0	1.0
8	31887.0	22242.0	0.918	3179.0	1.0
9	31845.0	21882.0	0.9125	3175.0	1.0
10	31761.0	21923.0	0.913	3352.0	1.0
11	33919.0	23250.0	0.9175	3323.0	1.0
12	31333.0	22169.0	0.926	3038.0	1.0
13	31121.0	21691.0	0.9165	3125.0	1.0
14	31342.0	22895.0	0.93	3334.0	1.0
15	31216.0	21951.0	0.922	3192.0	1.0
16	29699.0	21116.0	0.9235	3153.0	1.0
17	31687.0	22336.0	0.9225	3178.0	1.0
18	32255.0	22511.0	0.915	3281.0	1.0
19	31132.0	21988.0	0.923	2944.0	1.0
