Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	39262.0	23001.0	0.8675	3388.0	1.0
1	39047.0	21461.0	0.8569	3260.0	1.0
2	40110.0	23175.0	0.8613	3262.0	1.0
3	34562.0	22867.0	0.9025	3492.0	1.0
4	38088.0	22749.0	0.8725	3369.0	1.0
5	37936.0	24415.0	0.89	3660.0	1.0
6	79762.0	21865.0	0.7219	3610.0	1.0
0	41037.0	22772.0	0.8625	3297.0	1.0
1	42566.0	23600.0	0.8562	3412.0	1.0
2	39751.0	22808.0	0.8613	3694.0	1.0
3	36532.0	23060.0	0.885	3640.0	1.0
4	40160.0	23954.0	0.8763	3546.0	1.0
5	37041.0	23284.0	0.885	3731.0	1.0
6	81349.0	21444.0	0.7144	3597.0	1.0
0	41094.0	23534.0	0.8544	3473.0	1.0
1	40408.0	24159.0	0.8625	3664.0	1.0
2	37089.0	22957.0	0.88	3353.0	1.0
3	37256.0	22195.0	0.8712	3266.0	1.0
4	38253.0	22876.0	0.88	3317.0	1.0
5	36533.0	22675.0	0.8838	3624.0	1.0
6	80983.0	20784.0	0.7081	3332.0	1.0
0	41730.0	23159.0	0.8538	3439.0	1.0
1	37989.0	22123.0	0.8738	3396.0	1.0
2	39768.0	23173.0	0.8644	3379.0	1.0
3	36910.0	23106.0	0.8838	3469.0	1.0
4	39399.0	23424.0	0.8706	3359.0	1.0
5	37160.0	23216.0	0.8931	3367.0	1.0
6	76649.0	21074.0	0.7306	3250.0	1.0
0	43347.0	22950.0	0.8469	3611.0	1.0
1	38037.0	22848.0	0.8788	3334.0	1.0
2	37688.0	22070.0	0.8594	3936.0	1.0
3	38824.0	23181.0	0.8725	3669.0	1.0
4	37900.0	22735.0	0.8788	3175.0	1.0
5	38740.0	23381.0	0.885	3318.0	1.0
6	80139.0	21722.0	0.7225	3426.0	1.0
0	44912.0	23919.0	0.8519	3227.0	1.0
1	42933.0	23670.0	0.8544	3498.0	1.0
2	43050.0	23051.0	0.8544	3244.0	1.0
3	36385.0	22490.0	0.8756	3511.0	1.0
4	39374.0	22597.0	0.8675	3064.0	1.0
5	33215.0	22593.0	0.9081	3233.0	1.0
6	76291.0	21477.0	0.7406	3376.0	1.0
0	44445.0	23781.0	0.8481	3521.0	1.0
1	39643.0	23273.0	0.8663	3347.0	1.0
2	38214.0	23058.0	0.8775	3365.0	1.0
3	39184.0	23488.0	0.8769	3459.0	1.0
4	38216.0	22838.0	0.8669	3556.0	1.0
5	35819.0	22383.0	0.8956	3011.0	1.0
6	73315.0	21098.0	0.7412	3364.0	1.0
0	44016.0	23357.0	0.8581	3428.0	1.0
1	38451.0	21953.0	0.865	3451.0	1.0
2	40220.0	22438.0	0.8656	3047.0	1.0
3	36239.0	20892.0	0.8725	3082.0	1.0
4	36186.0	23292.0	0.8875	3443.0	1.0
5	37194.0	23977.0	0.8931	3720.0	1.0
