Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	18873.0	17676.0	0.9675	3947.0	1.0
1	20132.0	19060.0	0.99	3032.0	1.0
2	24914.0	22143.0	0.9831	3647.0	1.0
3	36079.0	25662.0	0.9294	3349.0	1.0
4	36118.0	27070.0	0.9413	4041.0	1.0
5	28254.0	23313.0	0.9619	3687.0	1.0
6	51798.0	13093.0	0.7225	3812.0	1.0
0	18191.0	17613.0	0.9781	4106.0	1.0
1	21711.0	19932.0	0.9856	3501.0	1.0
2	25362.0	22108.0	0.9775	4016.0	1.0
3	36734.0	26045.0	0.9375	3302.0	1.0
4	35758.0	26885.0	0.9425	4511.0	1.0
5	28879.0	23732.0	0.9706	3478.0	1.0
6	51136.0	13106.0	0.7263	3663.0	1.0
0	19237.0	18136.0	0.9794	4230.0	1.0
1	21053.0	19409.0	0.9888	3217.0	1.0
2	24427.0	21836.0	0.9844	3998.0	1.0
3	36725.0	25235.0	0.93	3379.0	1.0
4	35485.0	26637.0	0.9325	4459.0	1.0
5	28555.0	23636.0	0.9719	3531.0	1.0
6	51987.0	12895.0	0.7044	3706.0	0.9994
0	19635.0	17892.0	0.97	4096.0	1.0
1	21042.0	19660.0	0.9913	3420.0	1.0
2	24577.0	22089.0	0.9825	4065.0	1.0
3	36493.0	25339.0	0.9238	3199.0	1.0
4	36454.0	27407.0	0.94	4362.0	1.0
5	29646.0	23478.0	0.9588	3409.0	1.0
6	54630.0	12945.0	0.71	4257.0	0.9981
0	19823.0	18046.0	0.9763	3908.0	1.0
1	19882.0	18562.0	0.9888	3003.0	1.0
2	25493.0	22554.0	0.9888	4093.0	1.0
3	39373.0	26635.0	0.9213	3365.0	1.0
4	37729.0	27773.0	0.9363	4522.0	1.0
5	27492.0	22440.0	0.9688	3267.0	1.0
6	55620.0	12740.0	0.715	3713.0	0.9994
0	19999.0	18485.0	0.9725	4086.0	1.0
1	19693.0	18708.0	0.9956	3275.0	1.0
2	25150.0	22271.0	0.9856	4000.0	1.0
3	33375.0	24483.0	0.9375	3353.0	1.0
4	34982.0	26205.0	0.9406	4400.0	1.0
5	28494.0	23138.0	0.9656	3234.0	1.0
6	51314.0	12724.0	0.7256	3637.0	1.0
0	20680.0	18424.0	0.9713	3799.0	1.0
1	21859.0	19883.0	0.9869	3068.0	1.0
2	25789.0	23066.0	0.9856	3684.0	1.0
3	34603.0	25437.0	0.94	3265.0	1.0
4	36619.0	27466.0	0.9438	4605.0	1.0
5	27406.0	22522.0	0.97	3678.0	1.0
6	51114.0	12495.0	0.7087	3942.0	1.0
0	19981.0	18222.0	0.975	3825.0	1.0
1	20598.0	19259.0	0.9869	3324.0	1.0
2	25938.0	22625.0	0.9813	3969.0	1.0
3	32972.0	24032.0	0.9406	3250.0	1.0
4	36127.0	26414.0	0.9356	4446.0	1.0
5	27895.0	22879.0	0.9638	3382.0	1.0
6	52154.0	13341.0	0.7031	3716.0	1.0
0	18835.0	17831.0	0.9769	4010.0	1.0
1	19852.0	18951.0	0.9944	3056.0	1.0
2	24387.0	21994.0	0.9825	4199.0	1.0
3	36704.0	26170.0	0.9375	3270.0	1.0
4	35631.0	25375.0	0.9263	4168.0	1.0
5	26532.0	22481.0	0.9738	3627.0	1.0
6	57461.0	13123.0	0.715	3766.0	0.9994
0	19462.0	18193.0	0.9794	3970.0	1.0
1	21000.0	19536.0	0.9875	3135.0	1.0
2	23482.0	21393.0	0.9863	3804.0	1.0
3	37441.0	25726.0	0.9206	3282.0	1.0
4	36440.0	27259.0	0.9331	4646.0	1.0
5	26890.0	21948.0	0.9638	3699.0	1.0
6	48139.0	12698.0	0.7294	3392.0	1.0
0	19407.0	17609.0	0.97	3776.0	1.0
1	20345.0	18591.0	0.9863	3204.0	1.0
2	24728.0	22345.0	0.9856	3906.0	1.0
3	39382.0	26687.0	0.9231	3604.0	1.0
4	38554.0	28454.0	0.9344	4505.0	1.0
5	27420.0	23197.0	0.9706	3558.0	1.0
6	53954.0	13242.0	0.7019	4180.0	0.9994
0	19061.0	18289.0	0.9769	4214.0	1.0
1	19842.0	19058.0	0.9906	3232.0	1.0
2	23841.0	21354.0	0.985	4141.0	1.0
3	32836.0	23973.0	0.94	3046.0	1.0
4	37483.0	26243.0	0.9225	3907.0	1.0
5	29019.0	23354.0	0.9669	3506.0	1.0
6	54249.0	13006.0	0.7137	3778.0	1.0
0	19040.0	17714.0	0.9713	3694.0	1.0
1	20714.0	19035.0	0.9875	3319.0	1.0
2	24434.0	21709.0	0.9838	3769.0	1.0
