Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	29829.0	21587.0	0.9265	2914.0	1.0
1	30818.0	21936.0	0.919	3246.0	1.0
2	29762.0	21504.0	0.927	2844.0	1.0
3	29385.0	20506.0	0.919	2717.0	1.0
4	30392.0	21475.0	0.925	2920.0	1.0
5	28474.0	19548.0	0.9	3073.0	1.0
0	28865.0	21077.0	0.9275	3104.0	1.0
1	29648.0	21149.0	0.9255	3071.0	1.0
2	30109.0	22129.0	0.9215	3025.0	1.0
3	30859.0	20502.0	0.906	2873.0	1.0
4	30062.0	20460.0	0.9115	2898.0	1.0
5	29655.0	18855.0	0.8935	2795.0	1.0
0	29217.0	21173.0	0.9205	3293.0	1.0
1	27114.0	20668.0	0.9295	3098.0	1.0
2	31745.0	21896.0	0.9115	3067.0	1.0
3	32065.0	21161.0	0.905	3128.0	1.0
4	29106.0	20858.0	0.921	3101.0	1.0
5	27994.0	18776.0	0.899	2848.0	1.0
0	30139.0	20763.0	0.9065	3108.0	1.0
1	31277.0	21355.0	0.916	3021.0	1.0
2	31612.0	22557.0	0.9225	3501.0	1.0
3	31233.0	21617.0	0.913	3134.0	1.0
4	26738.0	19372.0	0.917	3149.0	1.0
5	29044.0	20001.0	0.899	3109.0	1.0
0	29231.0	20831.0	0.9165	3285.0	1.0
1	26893.0	20229.0	0.927	3208.0	1.0
2	28101.0	20951.0	0.9205	3226.0	1.0
3	31085.0	20808.0	0.905	3132.0	1.0
4	28825.0	20435.0	0.918	2897.0	1.0
5	31710.0	19594.0	0.885	3156.0	1.0
0	28810.0	20900.0	0.9215	3108.0	1.0
1	29274.0	21517.0	0.922	3073.0	1.0
2	28070.0	21137.0	0.9275	3412.0	1.0
3	30687.0	21184.0	0.908	3284.0	1.0
4	28706.0	20102.0	0.9185	3035.0	1.0
5	29911.0	20026.0	0.898	2952.0	1.0
0	30377.0	20715.0	0.911	2994.0	1.0
1	28360.0	20167.0	0.9175	2929.0	1.0
2	29409.0	21168.0	0.925	3096.0	1.0
3	30536.0	20887.0	0.913	2830.0	1.0
4	28997.0	19807.0	0.9105	3106.0	1.0
5	30984.0	20078.0	0.894	3033.0	1.0
0	29120.0	20635.0	0.9165	2901.0	1.0
1	29498.0	20809.0	0.928	2782.0	1.0
2	29045.0	21150.0	0.928	2781.0	1.0
3	32772.0	20960.0	0.8955	3143.0	1.0
4	30174.0	20829.0	0.9125	3092.0	1.0
5	30577.0	19972.0	0.896	3016.0	1.0
0	27682.0	20780.0	0.933	3217.0	1.0
1	28188.0	20682.0	0.9305	2995.0	1.0
2	30188.0	21357.0	0.92	3042.0	1.0
