Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
1    	32763.0                	21794.0        	0.907              	2659.0           	1.0
2    	30968.0                	21325.0        	0.913              	2872.0           	1.0
3    	31414.0                	22205.0        	0.917              	2801.0           	1.0
4    	29837.0                	21671.0        	0.9245             	2886.0           	1.0
5    	29982.0                	21180.0        	0.918              	2935.0           	1.0
6    	28444.0                	21044.0        	0.9265             	2988.0           	1.0
7    	31357.0                	21677.0        	0.911              	3053.0           	1.0
8    	32370.0                	21407.0        	0.8995             	3035.0           	1.0
9    	31085.0                	21783.0        	0.9175             	3097.0           	1.0
10   	28812.0                	21036.0        	0.9205             	3133.0           	1.0
